Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
      1041,        1.0231795311,       173,        0.8908553720,        92,       -2.5744767189,       211,       -0.4597305655,       150,        3.0531520844,       142,        0.8602809906,       193,     -385.3838806152,        98,      -82.6495208740,        47,      229.0570220947,       164,      182.1820220947,       244,     -385.3838806152,        98,      -82.6495208740,        47,        1.9477269650,        0.4460850656
      1286,        2.5856795311,       165,        1.0773787498,        64,       -3.3191056252,       154,       -2.8059220314,       205,        3.3739528656,       127,        1.0663356781,       195,     -518.8983154297,        98,      -60.7226371765,       218,      365.1959533691,       155,      263.7402648926,         5,     -518.8983154297,        98,      -60.7226371765,       218,        2.1627538204,        0.5863985419
      1522,        2.6447615623,       163,        0.8732772470,        62,       -4.5305314064,       156,       -2.6169571877,       207,        3.2338161469,       126,        1.3368434906,       177,     -544.5483398438,        90,      -35.2709770203,       215,      366.8744201660,       157,      303.9166564941,         7,     -544.5483398438,        90,      -35.2709770203,       215,        2.2865524292,        0.5114063025
      1761,        3.4074568748,       166,        0.7297225595,        61,       -7.3357071877,       158,       -2.0715470314,       209,        3.1698513031,       110,        2.6493434906,       170,     -544.5483398438,        88,      -29.1216850281,       211,      380.0580139160,       158,      308.0517883301,       238,     -544.5483398438,        88,      -29.1216850281,       211,        2.9071354866,        0.5527588129
      2005,        3.2282576561,       160,        0.9592147470,        58,       -5.0144181252,       153,       -2.1667618752,       204,        2.9745388031,       107,        1.8480739594,       160,     -544.5483398438,        84,      -31.7004203796,       208,      373.2068176270,       151,      313.6975402832,       232,     -544.5483398438,        84,      -31.7004203796,       208,        2.4702250957,        0.5414603353
      2239,        2.6906599998,       164,        0.8669295907,        58,       -5.3459610939,       153,       -2.3733048439,       204,        3.3651638031,       118,        1.5526638031,       169,     -544.5483398438,        81,      -33.9129447937,       210,      415.7788391113,       155,      320.2588195801,         0,     -544.5483398438,        81,      -33.9129447937,       210,        2.4101529121,        0.5290940404
      2476,        3.4147810936,       162,        1.0422224998,        56,       -5.6399064064,       154,       -2.1433243752,       205,        3.4301052094,       108,        2.0219020844,       165,     -544.5483398438,        83,      -42.9003715515,       210,      399.4824523926,       152,      310.1575012207,       232,     -544.5483398438,        83,      -42.9003715515,       210,        2.5060958862,        0.5449000597
      2710,        3.1266951561,       158,        1.2097029686,        56,       -5.6335587502,       150,       -1.2932267189,         0,        3.2255153656,       109,        2.9135036469,       161,     -544.5483398438,        84,        0.0000000000,     -2710,      399.1925354004,       152,      321.1285705566,         2,     -544.5483398438,        84,        0.0000000000,     -2710,        2.2550215721,        0.5333140492
      2900,        2.9804482460,       206,        1.1159529686,        96,       -7.4160361290,       199,       -3.1818985939,         6,        3.4844012260,       157,        1.8462177515,       209,     -506.1272888184,       117,      -78.2098083496,       168,      460.3644104004,       201,      357.5659484863,       280,     -506.1272888184,       117,      -78.2098083496,       168,        2.2168142796,        0.4950228333
      3182,        2.8051552773,       162,        1.0107216835,        53,       -6.4248251915,       154,       -2.2217001915,       205,        3.5029559135,       109,        2.0278582573,       165,     -506.1272888184,        76,       -1.1987037659,       210,      440.5432434082,       155,      351.3556213379,         0,     -506.1272888184,        76,       -1.1987037659,       210,        2.1136481762,        0.4707328677
      3425,        3.1503701210,       161,        1.1850380898,        52,       -6.7378134727,       154,       -1.9814658165,       205,        2.9555926323,       108,        2.4677996635,       165,     -506.1272888184,        77,      -38.5064430237,       128,      438.1933898926,       157,      323.0505676270,       240,     -506.1272888184,        77,      -38.5064430237,       128,        2.0699069500,        0.4538085461
      3675,        3.4614052773,       161,        1.0912880898,        47,       -7.4111533165,       153,       -1.7124228477,       206,        3.6040301323,       164,        2.7124285698,       111,     -506.1272888184,        74,      -89.6081237793,       125,      427.4969787598,       155,      300.9558410645,         1,     -506.1272888184,        74,      -89.6081237793,       125,        2.2604768276,        0.4763626158
      7481,        0.6221202016,        55,        0.4004405141,       202,       -1.6859853268,       183,       -1.1337392330,         9,        2.6414484978,       186,        1.1756281853,       134,     -367.3211364746,        98,     -144.1613311768,       149,      207.2485809326,        16,      185.1233367920,       187,     -367.3211364746,        98,     -144.1613311768,       149,        0.7359527349,        0.1957499236
      7822,        0.9326670766,       183,        0.6030772328,        51,       -2.1176259518,       172,       -1.3969228268,         9,        2.2024836540,       141,        1.0174250603,       198,     -382.4883728027,        98,     -110.4699249268,        47,      231.2964324951,        14,      217.8992156982,       176,     -382.4883728027,        98,     -110.4699249268,        47,        0.8876259327,        0.2259290367
      8099,        0.6328623891,       170,        0.1929209828,       227,       -2.5009267330,       155,       -1.0155751705,       103,        4.1780695915,       159,        1.2601008415,       106,     -487.6824645996,        98,      -62.5878448486,        47,      265.5981750488,       159,      198.6426239014,        27,     -487.6824645996,        98,      -62.5878448486,        47,        0.9452434182,        0.1961814761
      8363,        0.4937022328,        88,        0.3594248891,       224,       -1.3100087643,        46,       -1.1630361080,       209,        3.3118586540,       209,        1.1878352165,       153,     -440.3191833496,       140,     -196.8957061768,        89,      256.4429016113,        50,      231.7847137451,       209,     -440.3191833496,       140,     -196.8957061768,        89,        0.7972711921,        0.1958242655
      8721,        0.7646983266,        44,        0.3730967641,       176,       -1.6083486080,         6,       -1.3310048580,       161,        2.9563899040,       164,        0.9222101569,       112,     -444.9578552246,        98,     -198.5741729736,        47,      261.4630432129,         6,      257.0685119629,       167,     -444.9578552246,        98,     -198.5741729736,        47,        1.0185421705,        0.1705725193
      9002,        0.7037290335,        80,        0.5152524710,       220,       -1.3758608103,        42,       -1.1146303415,       205,        3.2006151676,       205,        0.9603807330,       144,     -484.5574340820,       132,     -228.8811798096,        81,      212.0520477295,        41,      195.0079803467,       203,     -484.5574340820,       132,     -228.8811798096,        81,        0.8669294715,        0.2930224836
      9354,        0.7169126272,        49,        0.5284360647,       185,       -1.3250795603,        12,       -1.2122865915,       161,        3.5272753239,       169,        1.1962206364,       113,     -497.8325805664,       102,     -242.5988311768,        51,      221.6193084717,       168,      207.2760467529,        10,     -497.8325805664,       102,     -242.5988311768,        51,        0.9074593782,        0.2577167451
      9641,        0.9205259085,       216,        0.7613462210,        83,       -1.5267397165,       200,       -1.3104311228,        46,        3.2802050114,       204,        1.0238573551,       151,     -499.0380249023,       141,     -260.8483276367,        90,      234.6808319092,       204,      205.1550750732,        45,     -499.0380249023,       141,     -260.8483276367,        90,        0.9439678788,        0.2646539211
      9971,        0.7906430960,        78,        0.6680845022,       211,       -1.5736147165,       196,       -1.3114076853,        36,        3.0345995426,       199,        1.1249315739,       146,     -489.2418823242,       136,     -258.0712280273,        85,      226.7920379639,       200,      199.5550994873,        40,     -489.2418823242,       136,     -258.0712280273,        85,        0.9186303616,        0.2849869728
     10333,        0.7603696585,        41,        0.5118345022,       184,       -1.2591615915,         0,       -1.1610170603,       330,        2.7870409489,       127,        0.9486619830,       178,     -490.4015502930,        98,     -260.4210815430,        47,      201.0809783936,       167,      196.9153289795,         4,     -490.4015502930,        98,     -260.4210815430,        47,        0.8730121851,        0.2601796389
