Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
       977,        1.4742877483,       170,        0.5211626887,        63,       -1.9788372517,       158,       -1.4944622517,       228,        1.8644849062,       124,        1.7223950624,       175,     -412.6525878906,        98,     -100.2441329956,        47,      233.9233398438,       162,      202.0019531250,       278,     -412.6525878906,        98,     -100.2441329956,        47,        1.2286205292,        0.2905702889
      1258,        1.6368854046,       170,        0.4430376887,        72,       -3.1907513142,       162,       -1.7429974079,       219,        2.4509108067,       173,        1.8366528749,       121,     -429.8034667969,        98,      -60.2966232300,        46,      287.5732421875,       163,      218.4356689453,       268,     -429.8034667969,        98,      -60.2966232300,        46,        1.6617259979,        0.2959375381
      1527,        1.6183307171,       175,        0.5001665950,        61,       -3.1336224079,       163,       -1.6873333454,       224,        2.4450514317,       174,        2.0090162754,       118,     -469.9493408203,       102,      -82.8185958862,        51,      293.2342529297,       167,      218.4356689453,         0,     -469.9493408203,       102,      -82.8185958862,        51,        1.3610937595,        0.3149773180
      1793,        1.9235064983,       173,        0.2823931575,        67,       -3.3772747517,       162,       -1.6863567829,       222,        2.2399733067,       173,        2.1603834629,       116,     -461.4349365234,        98,      -45.0836105347,        46,      299.6276855469,       164,      221.1364746094,         1,     -461.4349365234,        98,      -45.0836105347,        46,        1.6137174368,        0.2995680869
      2055,        1.7423541546,       180,        0.4518267512,        78,       -4.1492476463,       168,       -1.5930950642,       219,        2.4509108067,       180,        1.8708325624,       128,     -470.6512451172,       104,      -78.8207931519,        52,      327.7343750000,       171,      226.4770507812,         3,     -470.6512451172,       104,      -78.8207931519,        52,        1.6542292833,        0.3138504326
      2295,        2.0690143108,       197,        0.6261431575,        85,       -4.1204390526,       190,       -1.6433880329,       247,        2.4294264317,       201,        1.9684888124,       148,     -476.4648437500,       126,      -97.2991867065,        75,      324.7589111328,       191,      226.5991210938,        20,     -476.4648437500,       126,      -97.2991867065,        75,        1.5234595537,        0.3095762134
      2588,        1.7198932171,       170,        0.6954790950,        54,       -3.6492474079,       159,       -1.5965130329,       220,        2.2341139317,       126,        1.8073559999,       177,     -495.2636718750,        98,      -75.9826583862,        47,      324.9572753906,       163,      220.4498291016,         3,     -495.2636718750,        98,      -75.9826583862,        47,        1.4059638977,        0.3434270322
      2861,        1.9912050962,       170,        0.5128619075,        72,       -3.1889705658,       163,       -1.7236386538,       219,        2.3315360546,       174,        1.9885083437,       121,     -465.9210205078,        98,      -95.6207199097,        47,      308.3861694336,       165,      215.1245117188,         0,     -465.9210205078,        98,      -95.6207199097,        47,        1.5472283363,        0.3185733259
      3132,        1.9746035337,       169,        0.5380800962,        55,       -3.2631893158,       161,       -1.7290097475,       218,        2.7817313671,       172,        2.0312430859,       115,     -478.5401000977,        98,      -63.7604217529,        45,      320.4711303711,       162,      199.0264434814,         0,     -478.5401000977,        98,      -63.7604217529,        45,        1.7210315466,        0.3360909224
      3409,        1.8315371275,       168,        0.5151308775,        58,       -4.4838924408,       160,       -1.6596738100,       217,        2.8745048046,       172,        1.8422782421,       115,     -479.3030395508,        97,     -102.2430877686,        46,      305.7616577148,       163,      219.8852081299,       268,     -479.3030395508,        97,     -102.2430877686,        46,        1.8230131865,        0.3722272217
      3679,        2.1064395905,       174,        0.6249941587,        60,       -3.9721736908,       162,       -1.8002988100,       220,        2.4936454296,       174,        2.0209891796,       120,     -485.8490600586,        99,      -50.9735565186,        47,      327.2002563477,       165,      221.6857452393,         0,     -485.8490600586,        99,      -50.9735565186,        47,        1.6667246819,        0.3777391016
      3954,        1.9741152525,       175,        0.9316347837,        54,       -3.4682674408,       163,       -1.6689511538,       220,        2.2231376171,       174,        2.1728446484,       118,     -509.7748413086,        98,      -47.7539520264,        46,      326.6356811523,       165,      211.0045928955,         0,     -509.7748413086,        98,      -47.7539520264,        46,        1.4771821499,        0.3703230023
      4219,        1.9872988462,       178,        0.7514590025,        65,       -3.3178768158,       166,       -1.5542050600,       223,        2.2211844921,       125,        2.0634696484,       181,     -497.1100463867,       106,      -72.9156951904,        55,      327.5359497070,       171,      211.6454620361,         4,     -497.1100463867,       106,      -72.9156951904,        55,        1.4271522760,        0.3610410392
      4494,        1.8408144712,       172,        0.6562441587,        55,       -3.0371150970,       164,       -1.2216855288,       225,        2.5742118359,       176,        1.9038016796,       119,     -496.6675415039,        98,      -52.1484832764,        47,      309.5458374023,       165,      201.2389678955,       272,     -496.6675415039,        98,      -52.1484832764,        47,        1.3512463570,        0.3658735156
