Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
       791,        0.6173357368,       176,        0.3204607368,        65,       -1.7166485786,       164,       -0.7928205132,       226,        1.8525105715,       122,        1.3715535402,       173,     -402.6266174316,        97,      -87.0901336670,        46,      212.4704132080,       165,      176.8716583252,         7,     -402.6266174316,        97,      -87.0901336670,        46,        0.6868894100,        0.1904783100
      1076,        1.0631365776,       172,        0.4356951118,        72,       -1.9227032661,       160,       -0.8631330132,       107,        1.8847371340,       171,        1.3339558840,       118,     -431.5877990723,        98,      -57.8695487976,        46,      244.6817169189,       166,      178.1533966064,         2,     -431.5877990723,        98,      -57.8695487976,        46,        0.8193747997,        0.2353949547
      1336,        1.1700701714,       202,        0.3365740180,        99,       -1.8802227974,       190,       -0.9471173882,       259,        2.0287802219,       205,        1.7675496340,       148,     -411.8887023926,       128,      -90.8437957764,        77,      242.1945343018,       194,      175.2694854736,        32,     -411.8887023926,       128,      -90.8437957764,        77,        0.7994342446,        0.1995961368
      1616,        1.0494647026,       192,        0.3180193305,        97,       -1.0145001411,       180,       -0.9295392632,       248,        2.4506552219,       195,        1.3886433840,       143,     -425.4537658691,       128,      -68.4133758545,        77,      249.8697052002,       181,      178.6721954346,        38,     -425.4537658691,       128,      -68.4133758545,        77,        0.6932793260,        0.1999296993
      1911,        1.0299334526,       184,        0.2647966743,        78,       -2.6106915474,       173,       -0.8035627007,       244,        1.8359090090,       147,        0.5912801027,       214,     -445.9158020020,       110,      -86.8154754639,        59,      251.0904083252,       177,      176.7648468018,        16,     -445.9158020020,       110,      -86.8154754639,        59,        0.8147163987,        0.1845657676
      2203,        1.0787615776,       180,        0.3282732368,        74,       -1.8079571724,       169,       -0.8728986382,       241,        2.0175497532,       184,        1.7377644777,       126,     -418.7246398926,       107,     -106.2246551514,        56,      238.6087188721,       173,      189.2007598877,        12,     -418.7246398926,       107,     -106.2246551514,        56,        0.7617468238,        0.2154774666
      2498,        1.0924334526,       169,        0.3712419868,        67,       -1.9529767036,       157,       -0.8890119195,       226,        2.0253622532,       168,        1.6532918215,       116,     -444.4967346191,        98,      -68.5659637451,        46,      253.4555206299,       161,      178.0465850830,         3,     -444.4967346191,        98,      -68.5659637451,        46,        0.8004694581,        0.2138689458
      2769,        1.1295428276,       176,        0.3185076118,        76,       -1.9266095161,       164,       -0.7679072618,       237,        2.1977255344,       179,        1.6449910402,       126,     -428.2461242676,       106,      -69.2068328857,        54,      244.5901641846,       170,      177.1615753174,        11,     -428.2461242676,       106,      -69.2068328857,        54,        0.8072428107,        0.2017779350
      3050,        1.0763310194,       184,        0.3810185194,        81,       -2.1580438614,       172,       -0.8577510118,       249,        1.8356761932,       184,        1.5514965057,       130,     -446.1030883789,       110,      -91.3667678833,        59,      216.1283569336,       177,      175.9672241211,        16,     -446.1030883789,       110,      -91.3667678833,        59,        0.8548856974,        0.2321281433
      3354,        1.0919560194,       170,        0.4147099257,        63,       -2.3455438614,       162,       -0.8372431993,       231,        1.8439769745,       173,        1.6066722870,       120,     -427.6552124023,        98,      -93.2588577271,        46,      239.9015502930,       163,      168.0173950195,         1,     -427.6552124023,        98,      -93.2588577271,        46,        1.0028555393,        0.2453964949
      3607,        1.1163700819,       198,        0.4186161757,        98,       -1.5203486681,       182,       -0.9397822618,       255,        1.9626293182,       197,        1.5500316620,       144,     -424.9086303711,       127,      -79.3581008911,        75,      200.8695678711,       191,      159.8692016602,        29,     -424.9086303711,       127,      -79.3581008911,        75,        0.8894919157,        0.2445370108
      3886,        0.9376591444,       196,        0.3683232069,        93,       -1.6663447618,       188,       -0.7967158556,       256,        1.9587230682,       199,        1.8283519745,       146,     -449.6736450195,       124,      -82.2725296021,        73,      205.5845336914,       190,      158.6484985352,        28,     -449.6736450195,       124,      -82.2725296021,        73,        0.8235840797,        0.2260752916
      4200,        0.8824833632,       174,        0.2794560194,       277,       -2.5242547989,       166,       -0.8382197618,       238,        1.7214183807,       132,        1.5388011932,       183,     -407.1931762695,        98,      -85.1259231567,        47,      195.2390747070,       168,      147.1738891602,       293,     -407.1931762695,        98,      -85.1259231567,        47,        0.9115695357,        0.2304000854
      4495,        1.1114872694,       171,        0.4049443007,        65,       -1.8738642931,       160,       -0.8484736681,       232,        1.9494457245,       175,        1.7448558807,       118,     -438.0769653320,        98,      -76.1995315552,        46,      200.6406860352,       164,      172.3661499023,         9,     -438.0769653320,        98,      -76.1995315552,        46,        0.8226294518,        0.2550813556
      4760,        1.1026982069,       196,        0.2960575819,        89,       -3.2244501114,       184,       -0.8362666368,       256,        2.0812816620,       200,        1.6672191620,       149,     -418.9729614258,       118,      -85.0496292114,        67,      238.3298950195,       188,      161.7002563477,        22,     -418.9729614258,       118,      -85.0496292114,        67,        1.0854164362,        0.2319858521
      5051,        0.9508427382,       193,        0.4191044569,        87,       -2.2923212051,       181,       -0.8719111681,       250,        1.7267894745,       140,        1.4626293182,       197,     -436.4900512695,       116,      -77.9085159302,        65,      213.6564331055,       185,      167.7122192383,        17,     -436.4900512695,       116,      -77.9085159302,        65,        0.9131751657,        0.2458040714
      5346,        0.9957646132,       183,        0.3268193007,        77,       -2.6932001114,       176,       -0.8704463243,       244,        1.7643871307,       191,        1.6613597870,       134,     -429.2116088867,       108,      -90.7258987427,        56,      216.1283569336,       177,      169.0244750977,        14,     -429.2116088867,       108,      -90.7258987427,        56,        0.9364223480,        0.2369829267
      5647,        1.3453739882,       170,        0.3048466444,        61,       -2.3084344864,       159,       -0.8015986681,       227,        2.2609691620,       170,        1.4650707245,       118,     -432.7363891602,        99,      -94.2049026489,        48,      221.9877319336,       164,      158.3280639648,         3,     -432.7363891602,        99,      -94.2049026489,        48,        1.0249646902,        0.2488721758
      5900,        1.0568336248,       206,        0.3351200819,        96,       -2.0061545372,       194,       -0.9470726252,       267,        2.0318403244,       210,        1.7164105177,       153,     -384.7127380371,       130,      -77.4049758911,        79,      265.0522766113,       198,      199.2563781738,       325,     -384.7127380371,       130,      -77.4049758911,        79,        0.6934692860,        0.1538403034
