Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
       842,        0.6532003880,        26,        0.1595480442,       209,       -0.5338113308,       117,       -0.4361550808,       187,        1.1870818138,       137,        0.4932341576,       190,     -342.4338378906,        98,     -216.4114990234,        47,      122.5472412109,       160,       93.1435546875,         0,     -342.4338378906,        98,     -216.4114990234,        47,        0.4779279232,        0.1252514720
      1209,        0.6068136692,        81,        0.2576925755,       259,       -0.9151589870,        28,       -0.6925027370,       233,        1.2544646263,       229,        0.8877654076,       175,     -347.9880371094,       150,     -223.8883056641,        99,      152.3476562500,        41,      138.6757812500,       230,     -347.9880371094,       150,     -223.8883056641,        99,        0.5075780153,        0.1341888756
      1640,        0.6048605442,        63,        0.3675558567,       215,       -0.7872292995,         9,       -0.7652566433,       196,        1.4966521263,       165,        0.5386443138,        40,     -369.3656005859,       126,     -215.3586425781,        75,      165.9737548828,       202,      158.7410888672,        19,     -369.3656005859,       126,     -215.3586425781,        75,        0.5139814615,        0.1212162003
      2033,        0.6199972630,        65,        0.4310324192,       213,       -1.0006082058,        12,       -0.7759988308,       194,        1.5000700951,       197,        0.9077849388,       144,     -370.9677734375,       124,     -214.5651855469,        73,      158.6037597656,        22,      150.4250488281,       197,     -370.9677734375,       124,     -214.5651855469,        73,        0.5722949505,        0.1216874868
      2398,        0.6033957005,        92,        0.1922628880,       259,       -1.0308816433,        38,       -0.8511941433,       434,        1.5488982201,       190,        0.5508513451,       243,     -386.4096679688,       154,     -217.8610839844,       101,      168.9492187500,        52,      150.6234130859,       212,     -386.4096679688,       154,     -217.8610839844,       101,        0.5741069913,        0.1474081129
      2836,        0.6986105442,        52,        0.2520006299,       216,       -0.7354714870,         0,       -0.7066628933,       110,        1.4883513451,       155,        0.5484099388,        30,     -366.9547119141,       114,     -220.5771484375,        63,      173.8930664062,         7,      110.8862457275,       194,     -366.9547119141,       114,     -220.5771484375,        63,        0.5451487899,        0.1368598342
      3217,        0.6338365674,        79,        0.2651842237,       245,       -0.9105970263,        24,       -0.7943860888,       425,        1.5599080324,       176,        0.5838337541,        55,     -398.8641357422,       139,     -238.5858001709,        88,      137.9858551025,        36,      121.3842926025,       432,     -398.8641357422,       139,     -238.5858001709,        88,        0.5560497642,        0.1436500400
      3650,        0.6665514112,        45,        0.2227037549,       219,       -0.7245618701,       112,       -0.5863782763,         0,        1.3738728762,       146,        0.4300251603,        26,     -391.6925048828,       114,     -251.0217132568,        62,      152.5427398682,         4,       96.6040191650,       193,     -391.6925048828,       114,     -251.0217132568,        62,        0.5206149817,        0.1403730065
      4020,        0.6270006299,        85,        0.2793443799,       260,       -0.9223157763,       435,       -0.7646009326,        32,        1.5164510012,       188,        0.6043415666,        66,     -399.2761230469,       151,     -250.0146331787,        99,      142.9449615479,        43,      139.8321685791,       448,     -399.2761230469,       151,     -250.0146331787,        99,        0.5285502672,        0.1431485265
      4477,        0.6728990674,        31,        0.3203600049,       203,       -0.9447767138,       377,       -0.7777845263,        92,        1.5213338137,       134,        0.5350056291,       185,     -405.0744628906,        98,     -257.4761962891,        47,      120.1635894775,       391,      117.6458892822,       153,     -405.0744628906,        98,     -257.4761962891,        47,        0.5671055913,        0.1366384178
      4878,        0.6636217237,        30,        0.2231920362,       203,       -0.6435071826,       103,       -0.5448743701,       180,        1.5457478762,       133,        0.4568806291,       184,     -397.0025634766,        97,     -253.1579437256,        46,      101.0901031494,       176,      100.0067291260,         0,     -397.0025634766,        97,     -253.1579437256,        46,        0.5179054141,        0.1221003830
      5226,        0.6265123487,        88,        0.2515123487,       263,       -0.8471204638,        38,       -0.7348157763,       447,        1.3479939699,       190,        0.9993610978,       241,     -406.9360351562,       154,     -252.6391448975,       103,      137.2229156494,        50,      134.6899566650,       459,     -406.9360351562,       154,     -252.6391448975,       103,        0.5394608378,        0.1469092220
      5689,        0.6299303174,        38,        0.2925279737,       211,       -1.0061202049,       394,       -0.6547376513,       189,        1.3255330324,       143,        0.4280720353,       194,     -388.0303955078,       108,     -266.9824218750,        57,      198.3274230957,       407,      127.2589263916,         0,     -388.0303955078,       108,     -266.9824218750,        57,        0.5293914080,        0.1443423927
      6109,        0.6183915734,        31,        0.1789384484,       198,       -0.7390303016,        95,       -0.6648115516,       176,        1.5134949684,       133,        0.6673035622,        12,     -335.4707946777,        97,     -198.4621276855,        46,      168.3439025879,       174,      157.3117980957,         0,     -335.4707946777,        97,     -198.4621276855,        46,        0.4815883338,        0.0844954550
