time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488506406.0300550461,1488506406.0356109142,        0.5888671875,        0.1293945312,       -0.2167968750,        1.2512207031,       -1.3275146484,        0.9002685547
1488506406.0359179974,1488506406.0393450260,        0.5888671875,        0.1293945312,       -0.2167968750,        1.2512207031,       -1.3275146484,        0.9002685547
1488506406.0396530628,1488506406.0425961018,        0.5888671875,        0.1293945312,       -0.2167968750,        1.2207031250,       -1.0528564453,        0.9155273438
1488506406.0428841114,1488506406.0453031063,        0.5903320312,        0.1318359375,       -0.2143554688,        1.2207031250,       -1.2664794922,        0.9613037109
1488506406.0455861092,1488506406.0480029583,        0.5903320312,        0.1318359375,       -0.2143554688,        1.4801025391,       -1.2664794922,        0.9613037109
1488506406.0482819080,1488506406.0506958961,        0.5903320312,        0.1318359375,       -0.2143554688,        1.4801025391,       -1.2664794922,        0.8697509766
1488506406.0509729385,1488506406.0534009933,        0.5903320312,        0.1318359375,       -0.2143554688,        1.3580322266,       -1.2817382812,        0.8697509766
1488506406.0536780357,1488506406.0560948849,        0.5888671875,        0.1269531250,       -0.2143554688,        1.3580322266,       -1.2817382812,        0.9002685547
1488506406.0563728809,1488506406.0587871075,        0.5888671875,        0.1269531250,       -0.2143554688,        1.7089843750,       -1.1138916016,        0.9002685547
1488506406.0590670109,1488506406.0614750385,        0.5888671875,        0.1269531250,       -0.2143554688,        1.7089843750,       -1.1138916016,        1.1138916016
1488506406.0617609024,1488506406.0640480518,        0.5888671875,        0.1254882812,       -0.2138671875,        1.6174316406,       -1.4343261719,        1.1138916016
1488506406.0643179417,1488506406.0666060448,        0.5834960938,        0.1254882812,       -0.2138671875,        1.6174316406,       -1.4343261719,        0.9918212891
1488506406.0668759346,1488506406.0691668987,        0.5834960938,        0.1254882812,       -0.2138671875,        1.3580322266,       -1.0833740234,        0.9918212891
1488506406.0694379807,1488506406.0718929768,        0.5834960938,        0.1254882812,       -0.2138671875,        1.3580322266,       -1.0833740234,        0.9918212891
1488506406.0721650124,1488506406.0744559765,        0.5834960938,        0.1259765625,       -0.2163085938,        0.7629394531,       -1.4038085938,        0.9613037109
1488506406.0747270584,1488506406.0770161152,        0.5805664062,        0.1259765625,       -0.2163085938,        0.7629394531,       -1.4038085938,        0.9613037109
1488506406.0772900581,1488506406.0795860291,        0.5805664062,        0.1259765625,       -0.2163085938,        1.1596679688,       -1.5716552734,        1.0528564453
1488506406.0798580647,1488506406.0822660923,        0.5805664062,        0.1259765625,       -0.2163085938,        1.1596679688,       -1.5716552734,        1.0528564453
1488506406.0825459957,1488506406.0851058960,        0.5859375000,        0.1230468750,       -0.2104492188,        0.9918212891,       -1.3427734375,        1.2359619141
1488506406.0853850842,1488506406.0876839161,        0.5859375000,        0.1230468750,       -0.2104492188,        0.9918212891,       -1.3427734375,        1.2359619141
1488506406.0879580975,1488506406.0902519226,        0.5859375000,        0.1230468750,       -0.2104492188,        0.8087158203,       -1.3122558594,        0.8850097656
1488506406.0905261040,1488506406.0930609703,        0.5859375000,        0.1230468750,       -0.2104492188,        0.8087158203,       -1.3122558594,        0.8850097656
1488506406.0933420658,1488506406.0957319736,        0.5830078125,        0.1250000000,       -0.2207031250,        0.6408691406,       -0.8239746094,        0.7781982422
1488506406.0960109234,1488506406.0986790657,        0.5830078125,        0.1250000000,       -0.2207031250,        0.6408691406,       -0.8239746094,        0.7781982422
1488506406.0991210938,1488506406.1015269756,        0.5830078125,        0.1250000000,       -0.2207031250,        0.9307861328,       -1.2054443359,        0.9613037109
1488506406.1018168926,1488506406.1041979790,        0.5830078125,        0.1250000000,       -0.2099609375,        0.9307861328,       -1.2054443359,        0.9613037109
1488506406.1044759750,1488506406.1068580151,        0.5878906250,        0.1269531250,       -0.2099609375,        0.5645751953,       -1.5411376953,        0.9307861328
1488506406.1071360111,1488506406.1096580029,        0.5878906250,        0.1269531250,       -0.2099609375,        0.5645751953,       -1.5411376953,        0.9307861328
1488506406.1099429131,1488506406.1123690605,        0.5878906250,        0.1269531250,       -0.2099609375,        0.4577636719,       -1.4801025391,        0.9613037109
1488506406.1126499176,1488506406.1150701046,        0.5869140625,        0.1220703125,       -0.2207031250,        0.4577636719,       -1.4801025391,        0.9613037109
1488506406.1153519154,1488506406.1177680492,        0.5869140625,        0.1220703125,       -0.2207031250,        0.1983642578,       -1.3275146484,        0.9918212891
1488506406.1180489063,1488506406.1204679012,        0.5869140625,        0.1220703125,       -0.2207031250,        0.1983642578,       -1.3275146484,        0.9918212891
1488506406.1207480431,1488506406.1231760979,        0.5869140625,        0.1220703125,       -0.2207031250,        0.6256103516,       -0.9613037109,        0.8087158203
1488506406.1234591007,1488506406.1258690357,        0.5869140625,        0.1201171875,       -0.2202148438,        0.6256103516,       -0.9613037109,        0.8087158203
1488506406.1261510849,1488506406.1285688877,        0.5869140625,        0.1201171875,       -0.2202148438,        0.7324218750,       -0.9918212891,        0.9002685547
1488506406.1288518906,1488506406.1312720776,        0.5869140625,        0.1201171875,       -0.2202148438,        0.7324218750,       -0.9918212891,        0.9002685547
1488506406.1315529346,1488506406.1338710785,        0.5869140625,        0.1201171875,       -0.2202148438,        0.1220703125,       -0.8087158203,        0.7934570312
1488506406.1341459751,1488506406.1364469528,        0.5859375000,        0.1230468750,       -0.2216796875,        0.1220703125,       -0.8087158203,        0.7934570312
1488506406.1367220879,1488506406.1390159130,        0.5859375000,        0.1230468750,       -0.2216796875,       -0.0457763672,       -0.2746582031,        0.8239746094
1488506406.1392929554,1488506406.1415851116,        0.5859375000,        0.1230468750,       -0.2216796875,       -0.0457763672,       -0.2746582031,        0.8239746094
1488506406.1420359612,1488506406.1443319321,        0.5859375000,        0.1230468750,       -0.2216796875,        0.1678466797,       -0.5493164062,        0.4577636719
1488506406.1446080208,1488506406.1468989849,        0.5839843750,        0.1210937500,       -0.2207031250,        0.1678466797,       -0.5493164062,        0.4577636719
1488506406.1471719742,1488506406.1494660378,        0.5839843750,        0.1210937500,       -0.2207031250,        0.2593994141,       -0.9002685547,        0.3662109375
1488506406.1497409344,1488506406.1522169113,        0.5839843750,        0.1210937500,       -0.2207031250,        0.2593994141,       -0.9002685547,        0.3662109375
1488506406.1525011063,1488506406.1549189091,        0.5839843750,        0.1210937500,       -0.2128906250,        0.1831054688,       -0.9613037109,        0.4730224609
1488506406.1552000046,1488506406.1576220989,        0.5859375000,        0.1196289062,       -0.2128906250,        0.1831054688,       -0.9613037109,        0.4730224609
1488506406.1579051018,1488506406.1603229046,        0.5859375000,        0.1196289062,       -0.2128906250,        0.4272460938,       -0.6713867188,        0.6103515625
1488506406.1606059074,1488506406.1630229950,        0.5859375000,        0.1196289062,       -0.2128906250,        0.4272460938,       -0.6713867188,        0.6103515625
1488506406.1634140015,1488506406.1658420563,        0.5922851562,        0.1206054688,       -0.2021484375,       -0.0457763672,       -0.8087158203,        0.1831054688
1488506406.1661260128,1488506406.1685481071,        0.5922851562,        0.1206054688,       -0.2021484375,       -0.0457763672,       -0.8087158203,        0.1831054688
1488506406.1688299179,1488506406.1712460518,        0.5922851562,        0.1206054688,       -0.2021484375,       -0.1068115234,       -0.9460449219,        0.4272460938
1488506406.1715281010,1488506406.1738510132,        0.5922851562,        0.1206054688,       -0.2021484375,       -0.1068115234,       -0.9460449219,        0.4272460938
1488506406.1741259098,1488506406.1764171124,        0.5883789062,        0.1225585938,       -0.2177734375,       -0.2136230469,       -1.0223388672,        0.3814697266
1488506406.1766910553,1488506406.1789939404,        0.5883789062,        0.1225585938,       -0.2177734375,       -0.2136230469,       -1.0223388672,        0.3814697266
1488506406.1792678833,1488506406.1815590858,        0.5883789062,        0.1225585938,       -0.2177734375,        3.6926269531,       -1.0833740234,        0.5493164062
1488506406.1818380356,1488506406.1842310429,        0.5883789062,        0.1225585938,       -0.2177734375,        0.2441406250,       -1.0833740234,        0.5493164062
1488506406.1845109463,1488506406.1869199276,        0.5859375000,        0.1220703125,       -0.2177734375,        0.2441406250,       -0.8087158203,        0.6866455078
1488506406.1872029305,1488506406.1895999908,        0.5859375000,        0.1220703125,       -0.2177734375,        0.2746582031,       -0.8087158203,        0.6866455078
1488506406.1898810863,1488506406.1923260689,        0.5859375000,        0.1220703125,       -0.2177734375,        0.2746582031,       -0.7934570312,        0.5035400391
1488506406.1926059723,1488506406.1950120926,        0.5859375000,        0.1220703125,       -0.2133789062,        0.0762939453,       -0.7934570312,        0.5035400391
1488506406.1952929497,1488506406.1976969242,        0.5786132812,        0.1279296875,       -0.2133789062,        0.0762939453,       -0.6866455078,        0.5340576172
1488506406.1979770660,1488506406.2003800869,        0.5786132812,        0.1279296875,       -0.2133789062,        0.2746582031,       -0.6866455078,        0.5340576172
1488506406.2006609440,1488506406.2030870914,        0.5786132812,        0.1279296875,       -0.2133789062,        0.2746582031,       -0.6866455078,        0.3662109375
1488506406.2033669949,1488506406.2057449818,        0.5786132812,        0.1181640625,       -0.2128906250,        0.0305175781,       -0.6561279297,        0.3662109375
1488506406.2060239315,1488506406.2086119652,        0.5874023438,        0.1181640625,       -0.2128906250,        0.0305175781,       -0.6561279297,        0.3509521484
1488506406.2088949680,1488506406.2112989426,        0.5874023438,        0.1181640625,       -0.2128906250,        0.0152587891,       -0.4730224609,        0.3509521484
1488506406.2115800381,1488506406.2138938904,        0.5874023438,        0.1181640625,       -0.2128906250,        0.0152587891,       -0.4730224609,        0.5645751953
1488506406.2141699791,1488506406.2164630890,        0.5893554688,        0.1191406250,       -0.2153320312,       -0.1678466797,       -0.7781982422,        0.5645751953
1488506406.2167379856,1488506406.2191500664,        0.5893554688,        0.1191406250,       -0.2153320312,       -0.1678466797,       -0.7781982422,        0.7324218750
