time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488506911.0288660526,1488506911.0354440212,        0.5864257812,        0.0654296875,       -0.0322265625,       21.4691162109,      -15.2587890625,      -18.5546875000
1488506911.0357520580,1488506911.0384690762,        0.5864257812,        0.0654296875,       -0.0322265625,       20.2636718750,      -14.8773193359,      -16.8457031250
1488506911.0387771130,1488506911.0410649776,        0.5864257812,        0.0654296875,       -0.0322265625,       20.2636718750,      -14.8773193359,      -15.1367187500
1488506911.0413489342,1488506911.0437140465,        0.5908203125,        0.0424804688,       -0.0249023438,       20.0653076172,      -14.9688720703,      -15.1367187500
1488506911.0439989567,1488506911.0462779999,        0.5908203125,        0.0424804688,       -0.0249023438,       20.0653076172,      -14.9688720703,      -15.1367187500
1488506911.0465600491,1488506911.0488450527,        0.5908203125,        0.0424804688,       -0.0249023438,       20.6756591797,      -14.7857666016,      -13.6108398438
1488506911.0491280556,1488506911.0514099598,        0.5908203125,        0.0424804688,       -0.0249023438,       20.6756591797,      -14.7857666016,      -13.6108398438
1488506911.0517299175,1488506911.0540139675,        0.5917968750,        0.0268554688,       -0.0317382812,       21.7132568359,      -14.1143798828,      -12.1154785156
1488506911.0542950630,1488506911.0565810204,        0.5917968750,        0.0268554688,       -0.0317382812,       21.7132568359,      -14.1143798828,      -12.1154785156
1488506911.0568621159,1488506911.0591409206,        0.5917968750,        0.0268554688,       -0.0317382812,       22.9949951172,      -13.1225585938,      -10.8337402344
1488506911.0594229698,1488506911.0617558956,        0.5917968750,        0.0268554688,       -0.0317382812,       22.9949951172,      -13.1225585938,      -10.8337402344
1488506911.0620379448,1488506911.0643219948,        0.5898437500,        0.0253906250,        0.0073242188,       24.3835449219,      -12.6037597656,      -10.1318359375
1488506911.0646049976,1488506911.0668880939,        0.5898437500,        0.0253906250,        0.0073242188,       24.3835449219,      -12.6037597656,      -10.1318359375
1488506911.0671689510,1488506911.0694561005,        0.5898437500,        0.0253906250,        0.0073242188,       25.8026123047,      -11.5661621094,       -9.2926025391
1488506911.0697369576,1488506911.0720779896,        0.5898437500,        0.0253906250,        0.0073242188,       25.8026123047,      -11.5661621094,       -9.2926025391
1488506911.0723590851,1488506911.0746419430,        0.6005859375,        0.0400390625,       -0.0097656250,       26.8402099609,      -10.5285644531,       -8.3312988281
1488506911.0749258995,1488506911.0772171021,        0.6005859375,        0.0400390625,       -0.0097656250,       26.8402099609,      -10.5285644531,       -8.3312988281
1488506911.0775001049,1488506911.0797860622,        0.6005859375,        0.0400390625,       -0.0097656250,       30.7464599609,       -9.6435546875,       -7.1411132812
1488506911.0800650120,1488506911.0824840069,        0.6005859375,        0.0400390625,       -0.0097656250,       27.4810791016,       -9.6435546875,       -7.1411132812
1488506911.0827660561,1488506911.0850529671,        0.5859375000,        0.0312500000,        0.0083007812,       27.4810791016,       -8.1176757812,       -5.6915283203
1488506911.0853350163,1488506911.0876250267,        0.5859375000,        0.0312500000,        0.0083007812,       28.0914306641,       -8.1176757812,       -5.6915283203
1488506911.0879049301,1488506911.0901949406,        0.5859375000,        0.0312500000,        0.0083007812,       28.0914306641,       -8.1176757812,       -3.7078857422
1488506911.0904750824,1488506911.0927700996,        0.5859375000,        0.0312500000,        0.0083007812,       28.9459228516,       -7.1868896484,       -3.7078857422
1488506911.0930500031,1488506911.0953359604,        0.5976562500,        0.0175781250,       -0.0097656250,       28.9459228516,       -7.1868896484,       -3.7078857422
1488506911.0957839489,1488506911.0980761051,        0.5976562500,        0.0175781250,       -0.0097656250,       29.1137695312,       -5.8746337891,       -2.1362304688
1488506911.0983550549,1488506911.1006379128,        0.5976562500,        0.0175781250,       -0.0097656250,       29.1137695312,       -5.8746337891,       -2.1362304688
1488506911.1009171009,1488506911.1033320427,        0.5976562500,        0.0175781250,       -0.0024414062,       28.3050537109,       -5.1422119141,       -0.3509521484
1488506911.1036179066,1488506911.1060490608,        0.5849609375,        0.0034179688,       -0.0024414062,       28.3050537109,       -5.1422119141,       -0.3509521484
1488506911.1063370705,1488506911.1087510586,        0.5849609375,        0.0034179688,       -0.0024414062,       27.9083251953,       -4.1503906250,        1.1444091797
1488506911.1090369225,1488506911.1114490032,        0.5849609375,        0.0034179688,       -0.0024414062,       27.9083251953,       -4.1503906250,        1.1444091797
1488506911.1117451191,1488506911.1141669750,        0.5849609375,       -0.0009765625,       -0.0185546875,       27.0996093750,       -3.7384033203,        3.0212402344
1488506911.1144518852,1488506911.1168720722,        0.5864257812,       -0.0009765625,       -0.0185546875,       27.0996093750,       -3.7384033203,        3.0212402344
1488506911.1171569824,1488506911.1195731163,        0.5864257812,       -0.0009765625,       -0.0185546875,       25.2838134766,       -3.7231445312,        5.2490234375
1488506911.1198570728,1488506911.1224379539,        0.5864257812,       -0.0009765625,       -0.0185546875,       25.2838134766,       -3.7231445312,        5.2490234375
1488506911.1227231026,1488506911.1251139641,        0.5776367188,       -0.0073242188,       -0.0253906250,       22.2473144531,       -3.3721923828,        7.4920654297
1488506911.1254019737,1488506911.1284000874,        0.5776367188,       -0.0073242188,       -0.0253906250,       22.2473144531,       -3.3721923828,        9.6740722656
1488506911.1286909580,1488506911.1311140060,        0.5776367188,       -0.0073242188,       -0.0253906250,       19.7143554688,       -3.2196044922,        9.6740722656
1488506911.1314010620,1488506911.1338250637,        0.5776367188,       -0.0073242188,       -0.0297851562,       19.7143554688,       -3.2196044922,       11.3677978516
1488506911.1341168880,1488506911.1365280151,        0.5854492188,       -0.0185546875,       -0.0297851562,       17.5628662109,       -3.1890869141,       11.3677978516
1488506911.1368160248,1488506911.1392369270,        0.5854492188,       -0.0185546875,       -0.0297851562,       17.5628662109,       -3.1890869141,       12.6190185547
