time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488506709.0315868855,1488506709.0455350876,        0.5942382812,        0.1054687500,       -0.1748046875,       -0.5798339844,       -0.4119873047,       -0.8697509766
1488506709.0458369255,1488506709.0485470295,        0.5966796875,        0.1054687500,       -0.1748046875,       -0.5798339844,       -0.3204345703,       -0.9765625000
1488506709.0488400459,1488506709.0520310402,        0.5966796875,        0.1054687500,       -0.1748046875,        0.4272460938,       -0.3204345703,       -0.9765625000
1488506709.0523231030,1488506709.0549170971,        0.5966796875,        0.1127929688,       -0.1679687500,        0.0762939453,       -0.8087158203,       -1.2054443359
1488506709.0552070141,1488506709.0576229095,        0.5917968750,        0.1127929688,       -0.1679687500,        0.0762939453,       -0.8087158203,       -1.2054443359
1488506709.0579040051,1488506709.0603160858,        0.5917968750,        0.1127929688,       -0.1679687500,       -0.2441406250,       -0.7476806641,       -1.0070800781
1488506709.0605959892,1488506709.0630130768,        0.5917968750,        0.1127929688,       -0.1679687500,       -0.2441406250,       -0.7476806641,       -1.0070800781
1488506709.0632920265,1488506709.0657069683,        0.5927734375,        0.1010742188,       -0.1791992188,        0.0305175781,       -0.7324218750,       -1.0223388672
1488506709.0659899712,1488506709.0684020519,        0.5927734375,        0.1010742188,       -0.1791992188,        0.0305175781,       -0.7324218750,       -1.0223388672
1488506709.0686819553,1488506709.0710959435,        0.5927734375,        0.1010742188,       -0.1791992188,        0.4272460938,       -1.0070800781,       -1.3275146484
1488506709.0713748932,1488506709.0738029480,        0.5927734375,        0.1010742188,       -0.1791992188,        0.4272460938,       -1.0070800781,       -1.3275146484
1488506709.0740818977,1488506709.0764980316,        0.5932617188,        0.1035156250,       -0.1865234375,       -0.4730224609,       -0.4119873047,       -1.1596679688
1488506709.0767769814,1488506709.0791909695,        0.5932617188,        0.1035156250,       -0.1865234375,       -0.4730224609,       -0.4119873047,       -1.1596679688
1488506709.0794699192,1488506709.0818850994,        0.5932617188,        0.1035156250,       -0.1865234375,       -0.0457763672,       -0.2593994141,       -0.9918212891
1488506709.0821580887,1488506709.0844509602,        0.5932617188,        0.1035156250,       -0.1840820312,       -0.0457763672,       -0.2593994141,       -0.9918212891
1488506709.0847249031,1488506709.0870130062,        0.6000976562,        0.0947265625,       -0.1840820312,        0.3051757812,       -0.6103515625,       -1.2664794922
1488506709.0879490376,1488506709.0902440548,        0.6000976562,        0.0947265625,       -0.1840820312,        0.3051757812,       -0.6103515625,       -1.2664794922
1488506709.0905179977,1488506709.0929310322,        0.6000976562,        0.0947265625,       -0.1840820312,        0.1678466797,       -0.7781982422,       -1.5258789062
1488506709.0932130814,1488506709.0956180096,        0.6030273438,        0.0986328125,       -0.1835937500,        0.1678466797,       -0.7781982422,       -1.5258789062
1488506709.0959019661,1488506709.0983109474,        0.6030273438,        0.0986328125,       -0.1835937500,       -0.0762939453,       -0.6561279297,       -1.5258789062
1488506709.0985920429,1488506709.1009910107,        0.6030273438,        0.0986328125,       -0.1835937500,       -0.0762939453,       -0.6561279297,       -1.5258789062
1488506709.1012740135,1488506709.1036760807,        0.6030273438,        0.0986328125,       -0.1835937500,        0.2288818359,       -0.4882812500,       -1.4038085938
1488506709.1039559841,1488506709.1064310074,        0.6074218750,        0.0908203125,       -0.1840820312,        0.2288818359,       -0.4882812500,       -1.4038085938
1488506709.1067149639,1488506709.1091339588,        0.6074218750,        0.0908203125,       -0.1840820312,        0.8239746094,       -0.4577636719,       -1.3885498047
1488506709.1095869541,1488506709.1120169163,        0.6074218750,        0.0908203125,       -0.1840820312,        0.8239746094,       -0.4577636719,       -1.3885498047
1488506709.1123011112,1488506709.1147139072,        0.6074218750,        0.0908203125,       -0.1640625000,        0.4272460938,       -0.6408691406,       -1.4495849609
1488506709.1149959564,1488506709.1174070835,        0.6005859375,        0.0976562500,       -0.1640625000,        0.4272460938,       -0.6408691406,       -1.4495849609
1488506709.1176869869,1488506709.1201109886,        0.6005859375,        0.0976562500,       -0.1640625000,        0.3814697266,       -0.6713867188,       -1.3580322266
1488506709.1203930378,1488506709.1227669716,        0.6005859375,        0.0976562500,       -0.1640625000,        0.3814697266,       -0.6713867188,       -1.3580322266
1488506709.1230449677,1488506709.1253349781,        0.6005859375,        0.1152343750,       -0.1738281250,        0.5187988281,       -1.1138916016,       -1.1291503906
1488506709.1256101131,1488506709.1278998852,        0.6040039062,        0.1152343750,       -0.1738281250,        0.5187988281,       -1.1138916016,       -1.1291503906
1488506709.1281740665,1488506709.1304690838,        0.6040039062,        0.1152343750,       -0.1738281250,        0.5035400391,       -0.6866455078,       -1.0986328125
1488506709.1307430267,1488506709.1332280636,        0.6040039062,        0.1152343750,       -0.1738281250,        0.5035400391,       -0.6866455078,       -1.0986328125
1488506709.1335029602,1488506709.1357951164,        0.5991210938,        0.1215820312,       -0.1665039062,        0.2136230469,       -0.7781982422,       -0.4730224609
1488506709.1360700130,1488506709.1383640766,        0.5991210938,        0.1215820312,       -0.1665039062,        0.2136230469,       -0.7781982422,       -0.4730224609
1488506709.1386380196,1488506709.1409380436,        0.5991210938,        0.1215820312,       -0.1665039062,       -3.6926269531,       -0.6866455078,       -0.2136230469
1488506709.1412129402,1488506709.1437740326,        0.5991210938,        0.1215820312,       -0.1665039062,       -0.2136230469,       -0.6866455078,       -0.2136230469
1488506709.1440560818,1488506709.1464629173,        0.5913085938,        0.1030273438,       -0.1591796875,       -0.2136230469,       -0.5340576172,       -0.3204345703
1488506709.1467459202,1488506709.1491439342,        0.5913085938,        0.1030273438,       -0.1591796875,       -0.4882812500,       -0.5340576172,       -0.3204345703
1488506709.1494240761,1488506709.1518249512,        0.5913085938,        0.1030273438,       -0.1591796875,       -0.4882812500,       -0.5950927734,       -0.1831054688
1488506709.1521070004,1488506709.1545140743,        0.5913085938,        0.1030273438,       -0.1591796875,       -0.3814697266,       -0.5950927734,       -0.1831054688
1488506709.1547949314,1488506709.1571938992,        0.5952148438,        0.1093750000,       -0.1938476562,       -0.3814697266,       -0.6866455078,       -0.1983642578
1488506709.1574769020,1488506709.1598780155,        0.5952148438,        0.1093750000,       -0.1938476562,       -0.4425048828,       -0.6866455078,       -0.1983642578
1488506709.1601600647,1488506709.1625831127,        0.5952148438,        0.1093750000,       -0.1938476562,       -0.4425048828,       -0.6408691406,        0.0915527344
1488506709.1628661156,1488506709.1652629375,        0.5952148438,        0.1093750000,       -0.1840820312,       -0.7171630859,       -0.6408691406,        0.0915527344
1488506709.1655440331,1488506709.1679430008,        0.5942382812,        0.0991210938,       -0.1840820312,       -0.7171630859,       -0.6408691406,        0.0610351562
1488506709.1682240963,1488506709.1706221104,        0.5942382812,        0.0991210938,       -0.1840820312,       -1.2817382812,       -0.4730224609,        0.0610351562
1488506709.1709039211,1488506709.1733169556,        0.5942382812,        0.0991210938,       -0.1840820312,       -1.2817382812,       -0.4730224609,       -0.4119873047
1488506709.1737089157,1488506709.1761169434,        0.6020507812,        0.0937500000,       -0.1831054688,       -0.9918212891,       -0.0457763672,       -0.4119873047
1488506709.1764008999,1488506709.1788029671,        0.6020507812,        0.0937500000,       -0.1831054688,       -0.9918212891,       -0.0457763672,       -0.3967285156
