time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488506810.0299689770,1488506810.0358569622,        0.5986328125,       -0.0112304688,       -0.2382812500,       -0.3662109375,       -1.1291503906,       -1.2054443359
1488506810.0361659527,1488506810.0392448902,        0.5986328125,       -0.0112304688,       -0.2382812500,       -0.3662109375,       -0.9002685547,       -1.0528564453
1488506810.0395491123,1488506810.0419549942,        0.5986328125,       -0.0112304688,       -0.2255859375,       -0.2136230469,       -0.9002685547,       -1.0528564453
1488506810.0422289371,1488506810.0445659161,        0.5834960938,       -0.0151367188,       -0.2255859375,       -0.2136230469,       -0.9002685547,       -1.2207031250
1488506810.0448389053,1488506810.0471220016,        0.5834960938,       -0.0151367188,       -0.2255859375,        0.0305175781,       -1.1138916016,       -1.2207031250
1488506810.0473930836,1488506810.0496790409,        0.5834960938,       -0.0151367188,       -0.2255859375,        0.0305175781,       -1.1138916016,       -1.2512207031
1488506810.0499510765,1488506810.0523419380,        0.5834960938,       -0.0151367188,       -0.2299804688,        0.1525878906,       -1.0223388672,       -1.2512207031
1488506810.0526220798,1488506810.0552020073,        0.5874023438,       -0.0151367188,       -0.2299804688,        0.1525878906,       -1.0223388672,       -1.2664794922
1488506810.0554940701,1488506810.0579180717,        0.5874023438,       -0.0151367188,       -0.2299804688,       -0.2136230469,       -0.9765625000,       -1.2664794922
1488506810.0581989288,1488506810.0606119633,        0.5874023438,       -0.0151367188,       -0.2299804688,       -0.2136230469,       -0.9765625000,       -0.6561279297
1488506810.0608949661,1488506810.0632350445,        0.5947265625,       -0.0126953125,       -0.2421875000,       -0.5798339844,       -0.6256103516,       -0.6561279297
1488506810.0635070801,1488506810.0657930374,        0.5947265625,       -0.0126953125,       -0.2421875000,       -0.5798339844,       -0.6256103516,       -0.6561279297
1488506810.0660650730,1488506810.0683529377,        0.5947265625,       -0.0126953125,       -0.2421875000,       -0.9307861328,       -0.6408691406,       -1.1749267578
1488506810.0686240196,1488506810.0709149837,        0.5947265625,       -0.0126953125,       -0.2421875000,       -0.9307861328,       -0.6408691406,       -1.1749267578
1488506810.0711851120,1488506810.0734860897,        0.5883789062,       -0.0185546875,       -0.2260742188,       -0.7019042969,       -0.8239746094,       -1.2969970703
1488506810.0737578869,1488506810.0760529041,        0.5883789062,       -0.0185546875,       -0.2260742188,       -0.7019042969,       -0.8239746094,       -1.2969970703
1488506810.0763258934,1488506810.0786249638,        0.5883789062,       -0.0185546875,       -0.2260742188,       -0.3509521484,       -1.4190673828,       -1.5869140625
1488506810.0789000988,1488506810.0811939240,        0.5883789062,       -0.0185546875,       -0.2260742188,       -0.3509521484,       -1.4190673828,       -1.5869140625
1488506810.0814690590,1488506810.0839259624,        0.5961914062,       -0.0161132812,       -0.2368164062,       -0.1525878906,       -1.2359619141,       -1.6021728516
1488506810.0842080116,1488506810.0866219997,        0.5961914062,       -0.0161132812,       -0.2368164062,       -0.1525878906,       -1.2359619141,       -1.6021728516
1488506810.0869040489,1488506810.0893139839,        0.5961914062,       -0.0161132812,       -0.2368164062,       -0.5035400391,       -1.0833740234,       -1.3427734375
1488506810.0895938873,1488506810.0920090675,        0.5961914062,       -0.0161132812,       -0.2368164062,       -0.5035400391,       -1.0833740234,       -1.3427734375
1488506810.0922830105,1488506810.0945758820,        0.5869140625,       -0.0117187500,       -0.2304687500,       -0.4882812500,       -1.0833740234,       -1.4953613281
1488506810.0948510170,1488506810.0971469879,        0.5869140625,       -0.0117187500,       -0.2304687500,       -0.4882812500,       -1.0833740234,       -1.4953613281
1488506810.0975830555,1488506810.0998830795,        0.5869140625,       -0.0117187500,       -0.2304687500,       -0.4272460938,       -0.8850097656,       -1.1444091797
1488506810.1001570225,1488506810.1026198864,        0.5869140625,       -0.0117187500,       -0.2265625000,       -0.4272460938,       -0.8850097656,       -1.1444091797
1488506810.1028959751,1488506810.1051950455,        0.5878906250,       -0.0073242188,       -0.2265625000,       -0.2136230469,       -0.9002685547,       -1.5106201172
1488506810.1054708958,1488506810.1077721119,        0.5878906250,       -0.0073242188,       -0.2265625000,       -0.2136230469,       -0.9002685547,       -1.5106201172
1488506810.1080510616,1488506810.1103479862,        0.5878906250,       -0.0073242188,       -0.2265625000,        0.1220703125,       -1.2664794922,       -1.3732910156
1488506810.1106250286,1488506810.1130950451,        0.5878906250,       -0.0073242188,       -0.2397460938,        0.1220703125,       -1.2664794922,       -1.3732910156
1488506810.1133809090,1488506810.1157948971,        0.5864257812,       -0.0078125000,       -0.2397460938,       -0.1373291016,       -1.2054443359,       -1.2359619141
1488506810.1160778999,1488506810.1184909344,        0.5864257812,       -0.0078125000,       -0.2397460938,       -0.1373291016,       -1.2054443359,       -1.2359619141
1488506810.1187729836,1488506810.1211879253,        0.5864257812,       -0.0078125000,       -0.2397460938,       -0.1373291016,       -1.2817382812,       -1.4190673828
1488506810.1214690208,1488506810.1238160133,        0.5893554688,       -0.0097656250,       -0.2265625000,       -0.1678466797,       -1.2817382812,       -1.4190673828
1488506810.1240921021,1488506810.1263849735,        0.5893554688,       -0.0097656250,       -0.2265625000,       -0.1678466797,       -1.0986328125,       -1.2512207031
