time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488506305.0312030315,1488506305.0354189873,        0.6303710938,       -0.0366210938,       -0.1489257812,       -4.4403076172,      -32.2418212891,     -120.0866699219
1488506305.0357279778,1488506305.0386860371,        0.6303710938,        0.3383789062,       -0.1909179688,       -4.4403076172,      -32.2418212891,     -120.0866699219
1488506305.0389940739,1488506305.0412840843,        0.7856445312,        0.2875976562,       -0.1909179688,       -4.3792724609,      -31.5399169922,     -123.0468750000
1488506305.0415649414,1488506305.0440270901,        0.7856445312,        0.2875976562,       -0.1909179688,       -4.3792724609,      -31.5399169922,     -123.0468750000
1488506305.0443139076,1488506305.0467000008,        0.7856445312,        0.2875976562,       -0.1909179688,        3.0670166016,      -32.1350097656,     -123.5198974609
1488506305.0471990108,1488506305.0496189594,        0.7758789062,        0.3784179688,       -0.1992187500,        3.0670166016,      -32.1350097656,     -123.5198974609
1488506305.0499069691,1488506305.0523340702,        0.7758789062,        0.3784179688,       -0.1992187500,        9.1094970703,      -35.6445312500,     -119.4458007812
1488506305.0526239872,1488506305.0550420284,        0.7758789062,        0.3784179688,       -0.1992187500,        9.1094970703,      -35.6445312500,     -119.4458007812
1488506305.0553290844,1488506305.0577440262,        0.7758789062,        0.3784179688,       -0.1992187500,       12.4206542969,      -37.7044677734,     -113.6474609375
1488506305.0580339432,1488506305.0604500771,        0.5605468750,        0.1699218750,       -0.2426757812,       12.4206542969,      -37.7044677734,     -113.6474609375
1488506305.0607399940,1488506305.0631649494,        0.5605468750,        0.1699218750,       -0.2426757812,       12.9852294922,      -37.5213623047,     -105.8044433594
1488506305.0634539127,1488506305.0658710003,        0.5605468750,        0.1699218750,       -0.2426757812,       12.9852294922,      -37.5213623047,     -105.8044433594
1488506305.0661590099,1488506305.0685770512,        0.5605468750,        0.1699218750,       -0.2124023438,        7.4005126953,      -34.1339111328,      -96.8475341797
1488506305.0688629150,1488506305.0712780952,        0.4921875000,        0.2397460938,       -0.2124023438,        7.4005126953,      -34.1339111328,      -96.8475341797
1488506305.0715661049,1488506305.0739939213,        0.4921875000,        0.2397460938,       -0.2124023438,        2.8076171875,      -31.5704345703,      -87.5549316406
1488506305.0742819309,1488506305.0767049789,        0.4921875000,        0.2397460938,       -0.2124023438,        2.8076171875,      -31.5704345703,      -87.5549316406
1488506305.0769939423,1488506305.0794169903,        0.5986328125,        0.2973632812,       -0.1850585938,       -0.9460449219,      -31.0668945312,      -79.7576904297
1488506305.0797059536,1488506305.0821208954,        0.5986328125,        0.2973632812,       -0.1850585938,       -0.9460449219,      -31.0668945312,      -79.7576904297
1488506305.0824050903,1488506305.0847010612,        0.5986328125,        0.2973632812,       -0.1850585938,       -6.1492919922,      -30.2581787109,      -73.2421875000
1488506305.0849809647,1488506305.0872750282,        0.5986328125,        0.2973632812,       -0.1850585938,       -6.1492919922,      -30.2581787109,      -73.2421875000
1488506305.0875558853,1488506305.0898470879,        0.6391601562,        0.1479492188,       -0.1508789062,      -12.2375488281,      -28.1982421875,      -66.1468505859
1488506305.0901319981,1488506305.0926189423,        0.6391601562,        0.1479492188,       -0.1508789062,      -12.2375488281,      -28.1982421875,      -66.1468505859
1488506305.0929040909,1488506305.0952019691,        0.6391601562,        0.1479492188,       -0.1508789062,      -16.2963867188,      -26.9775390625,      -62.2863769531
