time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488506204.0333719254,1488506204.0456080437,        0.6152343750,        0.0092773438,       -0.1586914062,        3.5400390625,        3.5247802734,        1.0375976562
1488506204.0459129810,1488506204.0485498905,        0.6308593750,       -0.0053710938,       -0.1586914062,        4.5471191406,        4.1351318359,        1.0375976562
1488506204.0488340855,1488506204.0512468815,        0.6308593750,       -0.0053710938,       -0.1586914062,        4.5471191406,        4.1351318359,        0.7629394531
1488506204.0515270233,1488506204.0539610386,        0.6308593750,       -0.0053710938,       -0.1586914062,        4.7607421875,        4.8980712891,        0.7629394531
1488506204.0542399883,1488506204.0566630363,        0.6191406250,        0.0024414062,       -0.1518554688,        4.7607421875,        4.8980712891,        0.9765625000
1488506204.0569419861,1488506204.0593569279,        0.6191406250,        0.0024414062,       -0.1518554688,        5.5389404297,        5.1879882812,        0.9765625000
1488506204.0596380234,1488506204.0621199608,        0.6191406250,        0.0024414062,       -0.1518554688,        5.5389404297,        5.1879882812,        0.9460449219
1488506204.0624001026,1488506204.0648179054,        0.6191406250,        0.0024414062,       -0.1518554688,        5.7373046875,        5.3405761719,        0.9460449219
1488506204.0650970936,1488506204.0675129890,        0.6152343750,        0.0053710938,       -0.1440429688,        5.7373046875,        5.3405761719,        1.1138916016
1488506204.0677919388,1488506204.0702109337,        0.6152343750,        0.0053710938,       -0.1440429688,        6.4239501953,        5.6457519531,        1.1138916016
1488506204.0704889297,1488506204.0729219913,        0.6152343750,        0.0053710938,       -0.1440429688,        6.4239501953,        5.6457519531,        1.3732910156
1488506204.0731990337,1488506204.0756130219,        0.6152343750,        0.0053710938,       -0.1542968750,        6.9122314453,        5.8898925781,        1.3732910156
1488506204.0758900642,1488506204.0783100128,        0.6166992188,        0.0209960938,       -0.1542968750,        6.9122314453,        5.8898925781,        1.5716552734
1488506204.0785889626,1488506204.0810000896,        0.6166992188,        0.0209960938,       -0.1542968750,        6.8817138672,        5.2642822266,        1.5716552734
1488506204.0812768936,1488506204.0836040974,        0.6166992188,        0.0209960938,       -0.1542968750,        6.8817138672,        5.2642822266,        1.5716552734
1488506204.0838749409,1488506204.0861699581,        0.6083984375,        0.0292968750,       -0.1298828125,        6.7749023438,        5.1269531250,        1.6174316406
1488506204.0864400864,1488506204.0887351036,        0.6083984375,        0.0292968750,       -0.1298828125,        6.7749023438,        5.1269531250,        1.6174316406
1488506204.0890090466,1488506204.0913050175,        0.6083984375,        0.0292968750,       -0.1298828125,        6.5612792969,        5.1879882812,        1.7700195312
1488506204.0915780067,1488506204.0939700603,        0.6083984375,        0.0292968750,       -0.1298828125,        6.5612792969,        5.1879882812,        1.7700195312
1488506204.0942440033,1488506204.0965371132,        0.5966796875,        0.0170898438,       -0.1293945312,        6.0424804688,        4.9896240234,        1.9836425781
1488506204.0968079567,1488506204.0991120338,        0.5966796875,        0.0170898438,       -0.1293945312,        6.0424804688,        4.9896240234,        1.9836425781
1488506204.0993859768,1488506204.1018190384,        0.5966796875,        0.0170898438,       -0.1293945312,        5.6915283203,        5.0659179688,        2.5482177734
1488506204.1021029949,1488506204.1045160294,        0.5966796875,        0.0170898438,       -0.1293945312,        5.6915283203,        5.0659179688,        2.5482177734
1488506204.1047968864,1488506204.1072189808,        0.6064453125,        0.0136718750,       -0.1328125000,        5.3863525391,        5.0811767578,        2.4108886719
1488506204.1076679230,1488506204.1100900173,        0.6064453125,        0.0136718750,       -0.1328125000,        5.3863525391,        5.0811767578,        2.4108886719
1488506204.1103711128,1488506204.1128070354,        0.6064453125,        0.0136718750,       -0.1328125000,        5.2337646484,        4.8828125000,        2.0599365234
1488506204.1130869389,1488506204.1155021191,        0.6064453125,        0.0136718750,       -0.1328125000,        5.2337646484,        4.8828125000,        2.0599365234
1488506204.1157820225,1488506204.1182010174,        0.6127929688,        0.0029296875,       -0.1284179688,        5.1879882812,        4.5928955078,        2.1057128906
1488506204.1184809208,1488506204.1209020615,        0.6127929688,        0.0029296875,       -0.1284179688,        5.1879882812,        4.5928955078,        2.1057128906
1488506204.1211810112,1488506204.1236100197,        0.6127929688,        0.0029296875,       -0.1284179688,        5.0964355469,        4.4403076172,        1.7547607422
1488506204.1238911152,1488506204.1263039112,        0.6127929688,        0.0014648438,       -0.1171875000,        5.0964355469,        4.4403076172,        1.7547607422
1488506204.1265850067,1488506204.1290080547,        0.6064453125,        0.0014648438,       -0.1171875000,        4.6234130859,        4.3029785156,        1.3732910156
1488506204.1292901039,1488506204.1317179203,        0.6064453125,        0.0014648438,       -0.1171875000,        4.6234130859,        4.3029785156,        1.3732910156
1488506204.1319930553,1488506204.1342930794,        0.6064453125,        0.0014648438,       -0.1171875000,        4.7149658203,        3.6315917969,        1.3427734375
1488506204.1345651150,1488506204.1368570328,        0.6142578125,        0.0073242188,       -0.1293945312,        4.7149658203,        3.6315917969,        1.3427734375
1488506204.1371309757,1488506204.1394240856,        0.6142578125,        0.0073242188,       -0.1293945312,        4.8217773438,        3.1890869141,        1.1901855469
1488506204.1396970749,1488506204.1421120167,        0.6142578125,        0.0073242188,       -0.1293945312,        4.8217773438,        3.1890869141,        1.1901855469
1488506204.1423950195,1488506204.1448130608,        0.6142578125,        0.0073242188,       -0.1293945312,        3.8909912109,        3.2348632812,        1.1138916016
1488506204.1450951099,1488506204.1475150585,        0.6152343750,        0.0078125000,       -0.1279296875,        3.8909912109,        3.2348632812,        1.1138916016
1488506204.1477959156,1488506204.1502199173,        0.6152343750,        0.0078125000,       -0.1279296875,        2.7160644531,        2.5939941406,        0.7171630859
1488506204.1505019665,1488506204.1529269218,        0.6152343750,        0.0078125000,       -0.1279296875,        2.7160644531,        2.5939941406,        0.7171630859
1488506204.1532099247,1488506204.1556279659,        0.6152343750,        0.0078125000,       -0.1279296875,        1.9683837891,        2.6550292969,        0.5950927734
1488506204.1559100151,1488506204.1584908962,        0.6113281250,        0.0053710938,       -0.1181640625,        1.9683837891,        2.6550292969,        0.5950927734
1488506204.1587729454,1488506204.1611831188,        0.6113281250,        0.0053710938,       -0.1181640625,        1.3732910156,        2.7160644531,        0.2441406250
1488506204.1625320911,1488506204.1648249626,        0.6113281250,        0.0053710938,       -0.1181640625,        1.3732910156,        2.7160644531,        0.2441406250
1488506204.1651020050,1488506204.1673889160,        0.6127929688,        0.0034179688,       -0.1220703125,        1.0986328125,        2.5787353516,        0.1373291016
1488506204.1676640511,1488506204.1699609756,        0.6127929688,        0.0034179688,       -0.1220703125,        1.0986328125,        2.5787353516,        0.1373291016
1488506204.1702349186,1488506204.1726601124,        0.6127929688,        0.0034179688,       -0.1220703125,        0.4425048828,        2.0599365234,       -0.0305175781
1488506204.1730530262,1488506204.1753420830,        0.6127929688,        0.0034179688,       -0.1220703125,        0.4425048828,        2.0599365234,       -0.0305175781
1488506204.1756179333,1488506204.1779110432,        0.6152343750,        0.0029296875,       -0.1333007812,       -0.0305175781,        2.2125244141,       -0.3051757812
1488506204.1781868935,1488506204.1804769039,        0.6152343750,        0.0029296875,       -0.1333007812,       -0.0305175781,        2.2125244141,       -0.3051757812
1488506204.1807510853,1488506204.1830880642,        0.6152343750,        0.0029296875,       -0.1333007812,       -0.3051757812,        2.2583007812,       -0.7324218750
1488506204.1833639145,1488506204.1856470108,        0.6152343750,        0.0029296875,       -0.1333007812,       -0.3051757812,        2.2583007812,       -0.7324218750
1488506204.1859230995,1488506204.1882050037,        0.6157226562,       -0.0083007812,       -0.1254882812,       -0.4272460938,        2.0446777344,       -1.1444091797
1488506204.1884810925,1488506204.1907770634,        0.6157226562,       -0.0083007812,       -0.1254882812,       -0.4272460938,        2.0446777344,       -1.1444091797
1488506204.1910519600,1488506204.1933410168,        0.6157226562,       -0.0083007812,       -0.1254882812,       -0.4272460938,        1.7700195312,       -1.4953613281
1488506204.1936149597,1488506204.1959059238,        0.6157226562,       -0.0083007812,       -0.1254882812,       -0.5950927734,        1.7700195312,       -1.4953613281
1488506204.1961801052,1488506204.1984729767,        0.6196289062,       -0.0073242188,       -0.1220703125,       -0.5950927734,        2.0751953125,       -1.9989013672
1488506204.1987481117,1488506204.2010359764,        0.6196289062,       -0.0073242188,       -0.1220703125,       -1.1596679688,        2.0751953125,       -1.9989013672
1488506204.2013111115,1488506204.2036650181,        0.6196289062,       -0.0073242188,       -0.1220703125,       -1.1596679688,        2.0751953125,       -2.5024414062
1488506204.2039389610,1488506204.2062249184,        0.6196289062,       -0.0073242188,       -0.1220703125,       -1.5411376953,        1.9531250000,       -2.5024414062
1488506204.2064990997,1488506204.2087829113,        0.6254882812,       -0.0083007812,       -0.1215820312,       -1.5411376953,        1.9531250000,       -2.5024414062
1488506204.2090559006,1488506204.2113540173,        0.6254882812,       -0.0083007812,       -0.1215820312,       -1.5563964844,        1.9073486328,       -3.0670166016
1488506204.2116301060,1488506204.2139670849,        0.6254882812,       -0.0083007812,       -0.1215820312,       -1.5563964844,        1.9073486328,       -3.0670166016
1488506204.2142469883,1488506204.2165338993,        0.6254882812,       -0.0083007812,       -0.1225585938,       -1.7547607422,        1.7700195312,       -3.1890869141
1488506204.2168080807,1488506204.2191009521,        0.6298828125,       -0.0151367188,       -0.1225585938,       -1.7547607422,        1.7700195312,       -3.1890869141
1488506204.2193739414,1488506204.2218129635,        0.6298828125,       -0.0151367188,       -0.1225585938,       -1.6326904297,        1.5106201172,       -3.9520263672
1488506204.2220869064,1488506204.2243831158,        0.6298828125,       -0.0151367188,       -0.1225585938,       -1.6326904297,        1.5106201172,       -3.9520263672
1488506204.2246561050,1488506204.2269439697,        0.6298828125,        0.1098632812,       -0.1391601562,       -1.5106201172,        1.1596679688,       -3.8146972656
1488506204.2272179127,1488506204.2295069695,        0.6230468750,        0.0087890625,       -0.1391601562,       -1.5106201172,        1.1596679688,       -3.8146972656
1488506204.2297799587,1488506204.2321128845,        0.6230468750,        0.0087890625,       -0.1391601562,       -1.8615722656,        1.1444091797,       -3.6010742188
1488506204.2323880196,1488506204.2346789837,        0.6230468750,        0.0087890625,       -0.1391601562,       -1.8615722656,        1.1444091797,       -3.6010742188
1488506204.2350609303,1488506204.2373530865,        0.6230468750,        0.0185546875,       -0.1259765625,       -1.8615722656,        1.2512207031,       -2.8228759766
1488506204.2376248837,1488506204.2399210930,        0.6059570312,        0.0185546875,       -0.1259765625,       -1.8615722656,        1.2512207031,       -2.8228759766
1488506204.2401969433,1488506204.2425799370,        0.6059570312,        0.0185546875,       -0.1259765625,       -2.6397705078,        1.0223388672,       -2.7923583984
1488506204.2428629398,1488506204.2452890873,        0.6059570312,        0.0185546875,       -0.1259765625,       -2.6397705078,        1.0223388672,       -2.7923583984
1488506204.2455689907,1488506204.2479879856,        0.6162109375,        0.0263671875,       -0.1206054688,       -3.1890869141,        1.0375976562,       -2.6702880859
1488506204.2482690811,1488506204.2506890297,        0.6162109375,        0.0263671875,       -0.1206054688,       -3.1890869141,        1.0375976562,       -2.6702880859
1488506204.2509698868,1488506204.2534050941,        0.6162109375,        0.0263671875,       -0.1206054688,       -2.9754638672,        1.1749267578,       -2.1820068359
1488506204.2536880970,1488506204.2561008930,        0.6162109375,        0.0263671875,       -0.1206054688,       -2.9754638672,        1.1749267578,       -2.1820068359
1488506204.2563829422,1488506204.2588028908,        0.6103515625,        0.0268554688,       -0.1337890625,       -2.7160644531,        1.5411376953,       -2.1057128906
1488506204.2590830326,1488506204.2615079880,        0.6103515625,        0.0268554688,       -0.1337890625,       -2.7160644531,        1.5411376953,       -2.1057128906
1488506204.2617969513,1488506204.2642149925,        0.6103515625,        0.0268554688,       -0.1337890625,       -2.8381347656,        1.2207031250,       -1.8310546875
1488506204.2644939423,1488506204.2669160366,        0.6103515625,        0.0268554688,       -0.1337890625,       -2.8381347656,        1.2207031250,       -1.8310546875
1488506204.2671968937,1488506204.2696120739,        0.6142578125,        0.0141601562,       -0.1318359375,       -2.8381347656,        1.3427734375,       -1.6021728516
1488506204.2698950768,1488506204.2723250389,        0.6142578125,        0.0141601562,       -0.1318359375,       -2.5329589844,        1.3427734375,       -1.6021728516
1488506204.2726049423,1488506204.2750289440,        0.6142578125,        0.0141601562,       -0.1318359375,       -2.5329589844,        1.3580322266,       -1.4953613281
1488506204.2753090858,1488506204.2778079510,        0.6142578125,        0.0122070312,       -0.1206054688,       -2.1057128906,        1.3580322266,       -1.4953613281
1488506204.2781300545,1488506204.2805559635,        0.6098632812,        0.0122070312,       -0.1206054688,       -1.7852783203,        1.7547607422,       -1.4190673828
1488506204.2808389664,1488506204.2833259106,        0.6098632812,        0.0122070312,       -0.1206054688,       -1.7852783203,        1.7547607422,       -1.4190673828
1488506204.2836010456,1488506204.2858939171,        0.6098632812,        0.0122070312,       -0.1206054688,       -0.8697509766,        2.0446777344,       -1.3885498047
1488506204.2869069576,1488506204.2892129421,        0.6142578125,        0.0043945312,       -0.1313476562,       -0.8697509766,        2.0446777344,       -1.3885498047
1488506204.2894899845,1488506204.2917931080,        0.6142578125,        0.0043945312,       -0.1313476562,       -0.6103515625,        2.1209716797,       -1.8920898438
1488506204.2920749187,1488506204.2945659161,        0.6142578125,        0.0043945312,       -0.1313476562,       -0.6103515625,        2.1209716797,       -1.8920898438
1488506204.2948479652,1488506204.2972509861,        0.6142578125,        0.0043945312,       -0.1313476562,        0.1220703125,        2.0446777344,       -2.1057128906
1488506204.2975320816,1488506204.2999279499,        0.6264648438,        0.0063476562,       -0.1450195312,        0.1220703125,        2.0446777344,       -2.1057128906
1488506204.3003170490,1488506204.3027229309,        0.6264648438,        0.0063476562,       -0.1450195312,        0.5798339844,        1.8615722656,       -1.7395019531
