time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488506608.0308508873,1488506608.0355200768,        0.6040039062,        0.0795898438,       -0.1552734375,        1.5106201172,       -0.3662109375,       -2.0904541016
1488506608.0358240604,1488506608.0383739471,        0.6040039062,        0.0727539062,       -0.1591796875,        0.5035400391,       -0.3509521484,       -2.0904541016
1488506608.0386540890,1488506608.0410540104,        0.6137695312,        0.0727539062,       -0.1591796875,        0.5035400391,       -0.3509521484,       -1.8005371094
1488506608.0417959690,1488506608.0442130566,        0.6137695312,        0.0727539062,       -0.1591796875,       -0.5035400391,        0.0305175781,       -1.8005371094
1488506608.0444939137,1488506608.0469079018,        0.6137695312,        0.0727539062,       -0.1591796875,       -0.5035400391,        0.4577636719,       -0.9918212891
1488506608.0471880436,1488506608.0496089458,        0.5996093750,        0.0673828125,       -0.1538085938,       -1.2359619141,        0.4577636719,       -0.9918212891
1488506608.0498900414,1488506608.0523118973,        0.5996093750,        0.0673828125,       -0.1538085938,       -1.2359619141,        0.6103515625,       -0.8850097656
1488506608.0525920391,1488506608.0549991131,        0.5996093750,        0.0673828125,       -0.1538085938,       -1.1901855469,        0.6103515625,       -0.8850097656
1488506608.0552799702,1488506608.0576989651,        0.5996093750,        0.0673828125,       -0.1538085938,       -1.1901855469,        0.5950927734,       -0.7171630859
1488506608.0579779148,1488506608.0603919029,        0.6103515625,        0.0673828125,       -0.1538085938,       -1.8310546875,        0.5950927734,       -0.7171630859
1488506608.0606720448,1488506608.0631039143,        0.6103515625,        0.0673828125,       -0.1538085938,       -1.8310546875,        0.5798339844,       -0.5950927734
1488506608.0633831024,1488506608.0657970905,        0.6103515625,        0.0673828125,       -0.1538085938,       -1.3885498047,        0.5798339844,       -0.5950927734
1488506608.0660760403,1488506608.0684940815,        0.6103515625,        0.0712890625,       -0.1298828125,       -1.3885498047,        0.5798339844,       -0.6408691406
1488506608.0687758923,1488506608.0711948872,        0.6044921875,        0.0712890625,       -0.1298828125,       -1.7395019531,        0.5645751953,       -0.6408691406
1488506608.0714750290,1488506608.0737860203,        0.6044921875,        0.0712890625,       -0.1298828125,       -1.7395019531,        0.5645751953,       -0.5798339844
1488506608.0740580559,1488506608.0763459206,        0.6044921875,        0.0712890625,       -0.1298828125,       -2.2277832031,        0.1678466797,       -0.5798339844
1488506608.0766201019,1488506608.0789198875,        0.6015625000,        0.0629882812,       -0.1298828125,       -2.2277832031,        0.1678466797,       -0.4577636719
1488506608.0791940689,1488506608.0814809799,        0.6015625000,        0.0629882812,       -0.1298828125,       -2.0446777344,        0.7019042969,       -0.4577636719
1488506608.0817329884,1488506608.0840330124,        0.6015625000,        0.0629882812,       -0.1298828125,       -2.0446777344,        0.7019042969,       -0.4577636719
1488506608.0843069553,1488506608.0865979195,        0.6015625000,        0.0629882812,       -0.1298828125,       -1.3580322266,        0.7171630859,       -0.6103515625
1488506608.0868730545,1488506608.0891640186,        0.6049804688,        0.0659179688,       -0.1440429688,       -1.3580322266,        0.7171630859,       -0.6103515625
1488506608.0894370079,1488506608.0918679237,        0.6049804688,        0.0659179688,       -0.1440429688,       -0.8697509766,        0.9307861328,       -0.9155273438
1488506608.0921449661,1488506608.0944399834,        0.6049804688,        0.0659179688,       -0.1440429688,       -0.8697509766,        0.9307861328,       -0.9155273438
1488506608.0947151184,1488506608.0970020294,        0.6049804688,        0.0659179688,       -0.1440429688,       -0.3967285156,        0.5798339844,       -1.2054443359
1488506608.0974431038,1488506608.0997419357,        0.6103515625,        0.0668945312,       -0.1289062500,       -0.3967285156,        0.5798339844,       -1.2054443359
1488506608.1000170708,1488506608.1024749279,        0.6103515625,        0.0668945312,       -0.1289062500,        0.0915527344,        0.2441406250,       -1.0833740234
1488506608.1027579308,1488506608.1051790714,        0.6103515625,        0.0668945312,       -0.1289062500,        0.0915527344,        0.2441406250,       -1.0833740234
1488506608.1054608822,1488506608.1078789234,        0.6103515625,        0.0668945312,       -0.1289062500,        0.4730224609,       -0.2899169922,       -1.1901855469
1488506608.1081619263,1488506608.1105771065,        0.5957031250,        0.0688476562,       -0.1269531250,        0.4730224609,       -0.2899169922,       -1.1901855469
1488506608.1108601093,1488506608.1132419109,        0.5957031250,        0.0688476562,       -0.1269531250,        0.1525878906,       -0.3204345703,       -1.1291503906
1488506608.1135179996,1488506608.1158111095,        0.5957031250,        0.0688476562,       -0.1269531250,        0.1525878906,       -0.3204345703,       -1.1291503906
1488506608.1160840988,1488506608.1183750629,        0.5957031250,        0.0688476562,       -0.1250000000,       -0.3509521484,        0.0457763672,       -0.6408691406
1488506608.1186490059,1488506608.1211049557,        0.6025390625,        0.0776367188,       -0.1250000000,       -0.3509521484,        0.0457763672,       -0.6408691406
1488506608.1213800907,1488506608.1238529682,        0.6025390625,        0.0776367188,       -0.1250000000,       -0.8087158203,        0.2899169922,       -0.6408691406
1488506608.1241340637,1488506608.1265180111,        0.6025390625,        0.0776367188,       -0.1250000000,       -0.8087158203,        0.2899169922,       -0.6408691406
1488506608.1267979145,1488506608.1298089027,        0.6025390625,        0.0678710938,       -0.1293945312,       -1.1291503906,        0.3814697266,       -0.1678466797
1488506608.1300940514,1488506608.1325209141,        0.6064453125,        0.0678710938,       -0.1293945312,       -1.1291503906,        0.3814697266,       -0.1678466797
1488506608.1328029633,1488506608.1352250576,        0.6064453125,        0.0678710938,       -0.1293945312,       -1.0681152344,        0.0610351562,        0.0915527344
1488506608.1355080605,1488506608.1379239559,        0.6064453125,        0.0678710938,       -0.1293945312,       -1.0681152344,        0.0610351562,        0.0915527344
1488506608.1382060051,1488506608.1406219006,        0.6152343750,        0.0751953125,       -0.1337890625,       -1.6021728516,       -0.3662109375,        0.1373291016
1488506608.1409049034,1488506608.1433389187,        0.6152343750,        0.0751953125,       -0.1337890625,       -1.6021728516,       -0.3662109375,        0.1373291016
1488506608.1436209679,1488506608.1460409164,        0.6152343750,        0.0751953125,       -0.1337890625,       -1.1138916016,       -0.5950927734,        0.6256103516
1488506608.1463220119,1488506608.1487410069,        0.6152343750,        0.0751953125,       -0.1186523438,       -1.1138916016,       -0.5950927734,        0.6256103516
1488506608.1490249634,1488506608.1514389515,        0.6054687500,        0.0756835938,       -0.1186523438,       -1.0070800781,       -0.5340576172,        0.6561279297
1488506608.1517319679,1488506608.1541440487,        0.6054687500,        0.0756835938,       -0.1186523438,       -1.0070800781,       -0.5340576172,        0.6561279297
1488506608.1544280052,1488506608.1568479538,        0.6054687500,        0.0756835938,       -0.1186523438,       -1.4038085938,       -0.5340576172,        0.8850097656
1488506608.1571300030,1488506608.1595509052,        0.6054687500,        0.0756835938,       -0.1293945312,       -1.4038085938,       -0.5340576172,        0.8850097656
1488506608.1598329544,1488506608.1622729301,        0.6020507812,        0.0756835938,       -0.1293945312,       -0.7781982422,       -0.7324218750,        1.4801025391
1488506608.1626570225,1488506608.1649549007,        0.6020507812,        0.0756835938,       -0.1293945312,       -0.7781982422,       -0.7324218750,        1.4801025391
1488506608.1652290821,1488506608.1675209999,        0.6020507812,        0.0756835938,       -0.1293945312,       -0.6103515625,       -0.9765625000,        1.6021728516
1488506608.1677949429,1488506608.1700899601,        0.6020507812,        0.0703125000,       -0.1318359375,       -0.6103515625,       -0.9765625000,        1.6021728516
1488506608.1703639030,1488506608.1728050709,        0.6020507812,        0.0703125000,       -0.1318359375,       -0.4272460938,       -0.7934570312,        1.8615722656
1488506608.1730821133,1488506608.1753709316,        0.6020507812,        0.0703125000,       -0.1318359375,       -0.4272460938,       -0.7934570312,        1.8615722656
1488506608.1756460667,1488506608.1779420376,        0.6020507812,        0.0703125000,       -0.1318359375,       -0.4882812500,       -0.9918212891,        2.3193359375
1488506608.1782159805,1488506608.1805090904,        0.6152343750,        0.0629882812,       -0.1279296875,       -0.4882812500,       -0.9918212891,        2.3193359375
1488506608.1807820797,1488506608.1832680702,        0.6152343750,        0.0629882812,       -0.1279296875,       -0.3356933594,       -0.9918212891,        2.1514892578
1488506608.1835510731,1488506608.1859669685,        0.6152343750,        0.0629882812,       -0.1279296875,       -0.3356933594,       -0.9918212891,        2.1514892578
1488506608.1862480640,1488506608.1886639595,        0.6152343750,        0.0629882812,       -0.1279296875,        0.2746582031,       -0.9765625000,        2.0599365234
1488506608.1889441013,1488506608.1913630962,        0.6181640625,        0.0585937500,       -0.1333007812,        0.2746582031,       -0.9765625000,        2.0599365234
1488506608.1916460991,1488506608.1940999031,        0.6181640625,        0.0585937500,       -0.1333007812,        0.8544921875,       -1.4648437500,        1.6937255859
1488506608.1943809986,1488506608.1967980862,        0.6181640625,        0.0585937500,       -0.1333007812,        0.8544921875,       -1.4648437500,        1.6937255859
1488506608.1970779896,1488506608.1994969845,        0.6181640625,        0.0585937500,       -0.1352539062,        0.8544921875,       -2.1514892578,        1.5563964844
1488506608.1997768879,1488506608.2022030354,        0.6171875000,        0.0463867188,       -0.1352539062,        0.9765625000,       -2.1514892578,        1.5563964844
1488506608.2024838924,1488506608.2049009800,        0.6171875000,        0.0463867188,       -0.1352539062,        0.9765625000,       -2.3498535156,        1.8310546875
1488506608.2051830292,1488506608.2075970173,        0.6171875000,        0.0463867188,       -0.1352539062,        1.1138916016,       -2.3498535156,        1.8310546875
1488506608.2078781128,1488506608.2102921009,        0.6152343750,        0.0551757812,       -0.1411132812,        1.1138916016,       -2.0141601562,        1.9073486328
1488506608.2105710506,1488506608.2129390240,        0.6152343750,        0.0551757812,       -0.1411132812,        1.2207031250,       -2.0141601562,        1.9073486328
1488506608.2132120132,1488506608.2155048847,        0.6152343750,        0.0551757812,       -0.1411132812,        1.2207031250,       -2.2735595703,        1.6021728516
1488506608.2157769203,1488506608.2180700302,        0.6152343750,        0.0551757812,       -0.1411132812,        1.1138916016,       -2.2735595703,        1.6021728516
1488506608.2183420658,1488506608.2206349373,        0.6127929688,        0.0561523438,       -0.1293945312,        1.1138916016,       -2.2735595703,        1.5716552734
1488506608.2209060192,1488506608.2233281136,        0.6127929688,        0.0561523438,       -0.1293945312,        0.7476806641,       -2.2583007812,        1.5716552734
1488506608.2236089706,1488506608.2260251045,        0.6127929688,        0.0561523438,       -0.1293945312,        0.7476806641,       -2.2583007812,        1.4648437500
1488506608.2264161110,1488506608.2288300991,        0.6127929688,        0.0561523438,       -0.1293945312,        0.7934570312,       -2.4261474609,        1.4648437500
1488506608.2291119099,1488506608.2315280437,        0.6215820312,        0.0620117188,       -0.1347656250,        0.7934570312,       -2.4261474609,        1.3122558594
1488506608.2318150997,1488506608.2342350483,        0.6215820312,        0.0620117188,       -0.1347656250,        1.0070800781,       -2.4261474609,        1.3122558594
1488506608.2345149517,1488506608.2369298935,        0.6215820312,        0.0620117188,       -0.1347656250,        1.0070800781,       -2.4261474609,        1.2207031250
1488506608.2372090816,1488506608.2396569252,        0.6215820312,        0.0620117188,       -0.1445312500,        0.3509521484,       -2.4414062500,        1.2207031250
1488506608.2399420738,1488506608.2423739433,        0.6152343750,        0.0610351562,       -0.1445312500,        0.3509521484,       -2.4414062500,        1.4190673828
1488506608.2426550388,1488506608.2450709343,        0.6152343750,        0.0610351562,       -0.1445312500,        0.3814697266,       -2.4261474609,        1.4190673828
1488506608.2453510761,1488506608.2477738857,        0.6152343750,        0.0610351562,       -0.1445312500,        0.3814697266,       -2.4261474609,        1.2664794922
1488506608.2480549812,1488506608.2504670620,        0.6152343750,        0.0581054688,       -0.1430664062,        0.0915527344,       -2.3193359375,        1.2664794922
1488506608.2507479191,1488506608.2531740665,        0.6113281250,        0.0581054688,       -0.1430664062,        0.0915527344,       -2.3193359375,        0.9002685547
1488506608.2534570694,1488506608.2558829784,        0.6113281250,        0.0581054688,       -0.1430664062,       -0.4577636719,       -1.9836425781,        0.9002685547
1488506608.2561669350,1488506608.2585880756,        0.6113281250,        0.0581054688,       -0.1430664062,       -0.4577636719,       -1.9836425781,        1.1901855469
1488506608.2588698864,1488506608.2612860203,        0.6015625000,        0.0625000000,       -0.1440429688,       -0.2441406250,       -2.0904541016,        1.1901855469
