time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488506507.0306930542,1488506507.0347940922,        0.5361328125,        0.1118164062,       -0.2739257812,      -17.7307128906,       -4.8522949219,        8.9721679688
1488506507.0350959301,1488506507.0373868942,        0.5361328125,        0.1118164062,       -0.2739257812,      -15.7165527344,       -3.9672851562,        8.9721679688
1488506507.0376639366,1488506507.0399529934,        0.5361328125,        0.1118164062,       -0.2739257812,      -15.7165527344,       -3.9672851562,        8.3618164062
1488506507.0402309895,1488506507.0425729752,        0.5361328125,        0.1118164062,       -0.2739257812,      -14.4805908203,       -3.9825439453,        8.3618164062
1488506507.0428578854,1488506507.0452740192,        0.5463867188,        0.1225585938,       -0.2890625000,      -14.4805908203,       -3.9825439453,        8.3618164062
1488506507.0455589294,1488506507.0479760170,        0.5463867188,        0.1225585938,       -0.2890625000,      -14.1601562500,       -3.4179687500,        7.8277587891
1488506507.0482590199,1488506507.0506711006,        0.5463867188,        0.1225585938,       -0.2890625000,      -14.1601562500,       -3.4179687500,        3.9215087891
1488506507.0509541035,1488506507.0537838936,        0.5463867188,        0.1225585938,       -0.2807617188,      -14.3737792969,       -2.3803710938,        7.5836181641
1488506507.0540630817,1488506507.0563600063,        0.5522460938,        0.1279296875,       -0.2807617188,      -14.3737792969,       -2.3803710938,        7.0800781250
1488506507.0566389561,1488506507.0589330196,        0.5522460938,        0.1279296875,       -0.2807617188,      -14.1143798828,       -2.2125244141,        7.0800781250
1488506507.0592110157,1488506507.0614969730,        0.5522460938,        0.1279296875,       -0.2807617188,      -14.1143798828,       -2.2125244141,        7.0800781250
1488506507.0617790222,1488506507.0640609264,        0.5522460938,        0.1015625000,       -0.2812500000,      -13.8702392578,       -0.9613037109,        6.2866210938
1488506507.0643379688,1488506507.0666251183,        0.5654296875,        0.1015625000,       -0.2812500000,      -13.8702392578,       -0.9613037109,        6.2866210938
1488506507.0669000149,1488506507.0691831112,        0.5654296875,        0.1015625000,       -0.2812500000,      -13.4124755859,       -0.2288818359,        5.5847167969
1488506507.0694599152,1488506507.0717949867,        0.5654296875,        0.1015625000,       -0.2812500000,      -13.4124755859,       -0.2288818359,        5.5847167969
1488506507.0720698833,1488506507.0743620396,        0.5683593750,        0.1132812500,       -0.2895507812,      -12.6953125000,       -0.1831054688,        4.5471191406
1488506507.0746409893,1488506507.0769290924,        0.5683593750,        0.1132812500,       -0.2895507812,      -12.6953125000,       -0.1831054688,        4.5471191406
1488506507.0772070885,1488506507.0794990063,        0.5683593750,        0.1132812500,       -0.2895507812,      -12.6647949219,        0.1831054688,        3.8909912109
1488506507.0797770023,1488506507.0821321011,        0.5683593750,        0.1132812500,       -0.2895507812,      -12.6647949219,        0.1831054688,        3.8909912109
1488506507.0824100971,1488506507.0846979618,        0.5756835938,        0.1079101562,       -0.2817382812,      -11.6271972656,        0.6256103516,        3.4027099609
1488506507.0849759579,1488506507.0872690678,        0.5756835938,        0.1079101562,       -0.2817382812,      -11.6271972656,        0.6256103516,        3.4027099609
1488506507.0875470638,1488506507.0898349285,        0.5756835938,        0.1079101562,       -0.2817382812,      -11.3220214844,        1.1444091797,        2.5634765625
1488506507.0901129246,1488506507.0924570560,        0.5756835938,        0.1079101562,       -0.2817382812,      -11.3220214844,        1.1444091797,        2.5634765625
1488506507.0927340984,1488506507.0950241089,        0.5795898438,        0.0952148438,       -0.2812500000,      -11.3220214844,        1.5563964844,        2.4414062500
1488506507.0954599380,1488506507.0977509022,        0.5795898438,        0.0952148438,       -0.2812500000,      -10.6811523438,        1.5563964844,        2.4414062500
1488506507.0980300903,1488506507.1003220081,        0.5795898438,        0.0952148438,       -0.2812500000,      -10.6811523438,        1.6021728516,        2.4414062500
1488506507.1005990505,1488506507.1030209064,        0.5795898438,        0.0952148438,       -0.2812500000,      -10.3912353516,        1.6021728516,        2.4414062500
1488506507.1033000946,1488506507.1056749821,        0.5732421875,        0.1118164062,       -0.2841796875,      -10.3912353516,        1.6021728516,        2.7313232422
1488506507.1059548855,1488506507.1082489491,        0.5732421875,        0.1118164062,       -0.2841796875,      -10.1928710938,        1.3885498047,        2.7313232422
1488506507.1085269451,1488506507.1108160019,        0.5732421875,        0.1118164062,       -0.2841796875,      -10.1928710938,        1.3885498047,        2.1820068359
1488506507.1110939980,1488506507.1135849953,        0.5732421875,        0.1118164062,       -0.2841796875,      -10.3759765625,        1.5258789062,        2.1820068359
1488506507.1139569283,1488506507.1162559986,        0.5688476562,        0.1162109375,       -0.2597656250,      -10.3759765625,        1.5258789062,        1.7700195312
1488506507.1165370941,1488506507.1188259125,        0.5688476562,        0.1162109375,       -0.2597656250,       -9.4909667969,        1.4648437500,        1.7700195312
1488506507.1191010475,1488506507.1213910580,        0.5688476562,        0.1162109375,       -0.2597656250,       -9.4909667969,        1.4648437500,        1.7700195312
1488506507.1218578815,1488506507.1241469383,        0.5688476562,        0.1162109375,       -0.2651367188,       -7.8735351562,        1.0528564453,        1.1596679688
1488506507.1244199276,1488506507.1267049313,        0.5747070312,        0.1166992188,       -0.2651367188,       -7.8735351562,        1.0528564453,        1.1596679688
1488506507.1277689934,1488506507.1300599575,        0.5747070312,        0.1166992188,       -0.2651367188,       -7.2631835938,        0.9613037109,        1.0070800781
1488506507.1303369999,1488506507.1326770782,        0.5747070312,        0.1166992188,       -0.2651367188,       -7.2631835938,        0.9613037109,        0.8087158203
1488506507.1329538822,1488506507.1352419853,        0.5976562500,        0.1000976562,       -0.2626953125,       -7.0190429688,        1.4495849609,        0.8087158203
1488506507.1355168819,1488506507.1378059387,        0.5976562500,        0.1000976562,       -0.2626953125,       -7.0190429688,        1.4495849609,       -3.0975341797
1488506507.1380798817,1488506507.1403670311,        0.5976562500,        0.1000976562,       -0.2626953125,       -7.1105957031,        1.6784667969,       -0.1373291016
1488506507.1406409740,1488506507.1429378986,        0.5976562500,        0.1000976562,       -0.2626953125,       -7.1105957031,        1.6784667969,       -0.1373291016
1488506507.1432120800,1488506507.1454989910,        0.6240234375,        0.0659179688,       -0.2534179688,       -6.4544677734,        1.8615722656,       -0.4425048828
1488506507.1457719803,1488506507.1480610371,        0.6240234375,        0.0659179688,       -0.2534179688,       -6.4544677734,        1.8615722656,       -0.4425048828
1488506507.1483340263,1488506507.1506199837,        0.6240234375,        0.0659179688,       -0.2534179688,       -5.0964355469,        1.7089843750,       -0.4882812500
1488506507.1508939266,1488506507.1532568932,        0.6240234375,        0.0659179688,       -0.2534179688,       -5.0964355469,        1.7089843750,       -0.4882812500
1488506507.1535298824,1488506507.1558179855,        0.6093750000,        0.0913085938,       -0.2578125000,       -4.2572021484,        2.0294189453,       -1.3732910156
1488506507.1560909748,1488506507.1583809853,        0.6093750000,        0.0913085938,       -0.2578125000,       -4.2572021484,        2.0294189453,       -1.3732910156
1488506507.1587638855,1488506507.1610589027,        0.6093750000,        0.0913085938,       -0.2578125000,       -3.9367675781,        2.1514892578,       -1.2054443359
1488506507.1613318920,1488506507.1636509895,        0.6093750000,        0.0913085938,       -0.2578125000,       -3.9367675781,        2.1514892578,       -1.2054443359
1488506507.1639249325,1488506507.1662149429,        0.6035156250,        0.1240234375,       -0.2368164062,       -5.0659179688,        1.7089843750,       -0.5950927734
1488506507.1664910316,1488506507.1687819958,        0.6035156250,        0.1240234375,       -0.2368164062,       -5.0659179688,        1.7089843750,       -0.5950927734
1488506507.1690580845,1488506507.1713469028,        0.6035156250,        0.1240234375,       -0.2368164062,       -6.2561035156,        1.4801025391,       -0.4882812500
1488506507.1716198921,1488506507.1739521027,        0.6035156250,        0.1240234375,       -0.2368164062,       -6.2561035156,        1.4801025391,       -0.4882812500
1488506507.1742260456,1488506507.1765129566,        0.5893554688,        0.1264648438,       -0.2519531250,       -6.2561035156,        1.4648437500,       -1.0375976562
1488506507.1767868996,1488506507.1790709496,        0.5893554688,        0.1264648438,       -0.2519531250,       -6.7901611328,        1.4648437500,       -1.0375976562
1488506507.1793439388,1488506507.1816279888,        0.5893554688,        0.1264648438,       -0.2519531250,       -6.7901611328,        1.4648437500,       -0.8239746094
1488506507.1820759773,1488506507.1843729019,        0.5893554688,        0.1264648438,       -0.2519531250,       -7.5531005859,        1.3732910156,       -0.8239746094
1488506507.1846449375,1488506507.1869359016,        0.5825195312,        0.1259765625,       -0.2695312500,       -7.5531005859,        1.3732910156,       -0.9918212891
1488506507.1872079372,1488506507.1895010471,        0.5825195312,        0.1259765625,       -0.2695312500,       -8.8500976562,        1.3427734375,       -0.9918212891
1488506507.1897730827,1488506507.1921360493,        0.5825195312,        0.1259765625,       -0.2695312500,       -8.8500976562,        1.3427734375,       -0.9918212891
1488506507.1924169064,1488506507.1948189735,        0.5825195312,        0.1259765625,       -0.2812500000,       -9.4909667969,        2.0141601562,       -1.6479492188
1488506507.1951000690,1488506507.1975018978,        0.5869140625,        0.1040039062,       -0.2812500000,       -9.4909667969,        2.0141601562,       -1.6479492188
1488506507.1977829933,1488506507.2001860142,        0.5869140625,        0.1040039062,       -0.2812500000,       -9.6893310547,        2.1514892578,       -1.9989013672
1488506507.2004671097,1488506507.2029020786,        0.5869140625,        0.1040039062,       -0.2812500000,       -9.6893310547,        2.1514892578,       -1.9989013672
1488506507.2031810284,1488506507.2055940628,        0.5869140625,        0.1108398438,       -0.2968750000,       -9.6740722656,        2.1362304688,       -2.8228759766
1488506507.2058761120,1488506507.2082929611,        0.5742187500,        0.1108398438,       -0.2968750000,       -9.6740722656,        2.1362304688,       -2.8228759766
1488506507.2085750103,1488506507.2109899521,        0.5742187500,        0.1108398438,       -0.2968750000,      -10.5743408203,        2.6245117188,       -3.4484863281
1488506507.2112779617,1488506507.2136011124,        0.5742187500,        0.1108398438,       -0.2968750000,      -10.5743408203,        2.6245117188,       -3.4484863281
1488506507.2138791084,1488506507.2161729336,        0.5708007812,        0.1103515625,       -0.2734375000,      -10.7574462891,        2.7618408203,       -3.9978027344
1488506507.2164499760,1488506507.2187490463,        0.5708007812,        0.1103515625,       -0.2734375000,      -10.7574462891,        2.7618408203,       -3.9978027344
1488506507.2190270424,1488506507.2213239670,        0.5708007812,        0.1103515625,       -0.2734375000,       -8.7127685547,        2.8533935547,       -5.0201416016
