time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488505901.0305390358,1488505901.0354740620,        0.5937500000,        0.1943359375,       -0.0375976562,        0.5493164062,       -1.8005371094,       -0.7324218750
1488505901.0357799530,1488505901.0384359360,        0.5971679688,        0.1875000000,       -0.0375976562,       -0.4425048828,       -1.4343261719,       -0.7324218750
1488505901.0387179852,1488505901.0411291122,        0.5971679688,        0.1875000000,       -0.0375976562,       -0.4425048828,       -1.4343261719,       -0.7324218750
1488505901.0414080620,1488505901.0454819202,        0.5971679688,        0.1875000000,       -0.0375976562,       -1.2969970703,       -0.9307861328,       -0.7629394531
1488505901.0457839966,1488505901.0480699539,        0.6044921875,        0.1962890625,       -0.0493164062,       -1.2969970703,       -0.9307861328,       -0.5493164062
1488505901.0483438969,1488505901.0506219864,        0.6044921875,        0.1962890625,       -0.0493164062,       -1.8920898438,       -1.4495849609,       -0.5493164062
1488505901.0508940220,1488505901.0532228947,        0.6044921875,        0.1962890625,       -0.0493164062,       -1.8920898438,       -1.4495849609,       -0.3051757812
1488505901.0534949303,1488505901.0557780266,        0.6044921875,        0.1889648438,       -0.0395507812,       -2.0446777344,       -1.8157958984,       -0.3051757812
1488505901.0560491085,1488505901.0583350658,        0.6044921875,        0.1889648438,       -0.0395507812,       -2.0446777344,       -1.8157958984,       -0.3051757812
1488505901.0586071014,1488505901.0608930588,        0.6044921875,        0.1889648438,       -0.0395507812,       -2.1057128906,       -1.8463134766,       -0.5798339844
1488505901.0611639023,1488505901.0634961128,        0.6044921875,        0.1889648438,       -0.0395507812,       -2.1057128906,       -1.8463134766,       -0.5798339844
1488505901.0637669563,1488505901.0660510063,        0.6098632812,        0.1953125000,       -0.0297851562,       -2.1972656250,       -1.6326904297,       -0.6866455078
1488505901.0663230419,1488505901.0686080456,        0.6098632812,        0.1953125000,       -0.0297851562,       -2.1972656250,       -1.6326904297,       -0.6866455078
1488505901.0688810349,1488505901.0711610317,        0.6098632812,        0.1953125000,       -0.0297851562,       -2.3956298828,       -2.1820068359,       -0.5187988281
1488505901.0714321136,1488505901.0737249851,        0.6098632812,        0.1953125000,       -0.0297851562,       -2.3956298828,       -2.1820068359,       -0.5187988281
1488505901.0739960670,1488505901.0762848854,        0.6069335938,        0.1928710938,       -0.0229492188,       -2.1820068359,       -1.8768310547,       -0.6866455078
1488505901.0765590668,1488505901.0788540840,        0.6069335938,        0.1928710938,       -0.0229492188,       -2.1820068359,       -1.8768310547,       -0.6866455078
1488505901.0791270733,1488505901.0814139843,        0.6069335938,        0.1928710938,       -0.0229492188,       -2.0904541016,       -1.5411376953,       -0.9460449219
1488505901.0817298889,1488505901.0840160847,        0.6069335938,        0.1928710938,       -0.0229492188,       -2.0904541016,       -1.5411376953,       -0.9460449219
1488505901.0842890739,1488505901.0865840912,        0.6103515625,        0.1875000000,       -0.0234375000,       -1.9073486328,       -1.1596679688,       -0.6713867188
1488505901.0868589878,1488505901.0891489983,        0.6103515625,        0.1875000000,       -0.0234375000,       -1.9073486328,       -1.1596679688,       -0.6713867188
1488505901.0894238949,1488505901.0918719769,        0.6103515625,        0.1875000000,       -0.0234375000,       -1.9073486328,       -1.4038085938,       -0.6408691406
1488505901.0921480656,1488505901.0944459438,        0.6103515625,        0.1875000000,       -0.0234375000,       -1.1901855469,       -1.4038085938,       -0.6408691406
1488505901.0947198868,1488505901.0970079899,        0.6088867188,        0.1879882812,       -0.0283203125,       -1.1901855469,       -1.4038085938,       -0.5035400391
1488505901.0974299908,1488505901.0997240543,        0.6088867188,        0.1879882812,       -0.0283203125,       -0.2288818359,       -1.6479492188,       -0.5035400391
1488505901.0999989510,1488505901.1024630070,        0.6088867188,        0.1879882812,       -0.0283203125,       -0.2288818359,       -1.6479492188,       -0.5645751953
1488505901.1027450562,1488505901.1051480770,        0.6088867188,        0.1879882812,       -0.0283203125,        1.0833740234,       -1.9073486328,       -0.5645751953
1488505901.1054298878,1488505901.1078419685,        0.5991210938,        0.1850585938,       -0.0136718750,        1.0833740234,       -1.9073486328,       -1.1291503906
1488505901.1081230640,1488505901.1105298996,        0.5991210938,        0.1850585938,       -0.0136718750,        2.0446777344,       -2.0446777344,       -1.1291503906
1488505901.1108100414,1488505901.1131451130,        0.5991210938,        0.1850585938,       -0.0136718750,        2.0446777344,       -2.0446777344,       -1.1138916016
1488505901.1134181023,1488505901.1157169342,        0.5991210938,        0.1850585938,       -0.0224609375,        2.9449462891,       -1.6326904297,       -1.1138916016
1488505901.1159899235,1488505901.1182849407,        0.6064453125,        0.1884765625,       -0.0224609375,        2.9449462891,       -1.6326904297,       -1.1138916016
1488505901.1185579300,1488505901.1209709644,        0.6064453125,        0.1884765625,       -0.0224609375,        3.1585693359,       -1.7547607422,       -1.1596679688
1488505901.1212449074,1488505901.1236500740,        0.6064453125,        0.1884765625,       -0.0224609375,        3.1585693359,       -1.7547607422,       -1.1596679688
1488505901.1239309311,1488505901.1263439655,        0.6064453125,        0.1835937500,       -0.0317382812,        3.6621093750,       -1.7242431641,       -1.2817382812
1488505901.1266241074,1488505901.1290481091,        0.5961914062,        0.1835937500,       -0.0317382812,        3.6621093750,       -1.7242431641,       -1.2817382812
1488505901.1293289661,1488505901.1317579746,        0.5961914062,        0.1835937500,       -0.0317382812,        3.8757324219,       -1.3732910156,       -1.1901855469
1488505901.1320369244,1488505901.1344521046,        0.5961914062,        0.1835937500,       -0.0317382812,        3.8757324219,       -1.3732910156,       -1.1901855469
1488505901.1347339153,1488505901.1371610165,        0.6049804688,        0.1899414062,       -0.0356445312,        3.5247802734,       -1.2817382812,       -1.2969970703
1488505901.1374409199,1488505901.1398589611,        0.6049804688,        0.1899414062,       -0.0356445312,        3.5247802734,       -1.2817382812,       -1.2969970703
1488505901.1401379108,1488505901.1426370144,        0.6049804688,        0.1899414062,       -0.0356445312,        3.9367675781,       -1.2054443359,       -1.4343261719
1488505901.1429190636,1488505901.1453359127,        0.6049804688,        0.1899414062,       -0.0356445312,        3.9367675781,       -1.2054443359,       -1.4343261719
1488505901.1456160545,1488505901.1480300426,        0.6035156250,        0.1958007812,       -0.0410156250,        3.7231445312,       -0.7934570312,       -1.4038085938
1488505901.1483120918,1488505901.1507279873,        0.6035156250,        0.1958007812,       -0.0410156250,        3.7231445312,       -0.7934570312,       -1.4038085938
1488505901.1510109901,1488505901.1534459591,        0.6035156250,        0.1958007812,       -0.0410156250,        3.2958984375,       -0.7934570312,       -1.4953613281
1488505901.1537270546,1488505901.1561429501,        0.6035156250,        0.1958007812,       -0.0483398438,        3.2958984375,       -0.7934570312,       -1.4953613281
1488505901.1564249992,1488505901.1588780880,        0.6069335938,        0.1928710938,       -0.0483398438,        3.3111572266,       -0.5950927734,       -1.2359619141
1488505901.1591610909,1488505901.1615660191,        0.6069335938,        0.1928710938,       -0.0483398438,        3.3111572266,       -0.5950927734,       -1.2359619141
1488505901.1628050804,1488505901.1651039124,        0.6069335938,        0.1928710938,       -0.0483398438,        2.6092529297,       -0.5187988281,       -0.7019042969
1488505901.1653800011,1488505901.1676759720,        0.5952148438,        0.1923828125,       -0.0361328125,        2.6092529297,       -0.5187988281,       -0.9918212891
1488505901.1679511070,1488505901.1702458858,        0.5952148438,        0.1923828125,       -0.0361328125,        1.9378662109,       -0.7629394531,       -0.9918212891
1488505901.1705200672,1488505901.1728749275,        0.5952148438,        0.1923828125,       -0.0361328125,        1.9378662109,       -0.7629394531,       -0.5798339844
1488505901.1731491089,1488505901.1754341125,        0.5952148438,        0.1923828125,       -0.0361328125,        0.9307861328,       -0.6256103516,       -0.5798339844
1488505901.1757080555,1488505901.1779999733,        0.5961914062,        0.2021484375,       -0.0541992188,        0.9307861328,       -0.6256103516,       -0.5798339844
1488505901.1782739162,1488505901.1805639267,        0.5961914062,        0.2021484375,       -0.0541992188,        0.1525878906,       -0.7781982422,       -0.2441406250
1488505901.1808381081,1488505901.1832358837,        0.5961914062,        0.2021484375,       -0.0541992188,        0.1525878906,       -0.7781982422,       -0.2441406250
1488505901.1835129261,1488505901.1858050823,        0.5961914062,        0.2021484375,       -0.0541992188,       -1.0070800781,       -0.2441406250,        0.0762939453
1488505901.1860799789,1488505901.1883749962,        0.5878906250,        0.2080078125,       -0.0444335938,       -1.0070800781,       -0.2441406250,        0.0762939453
1488505901.1886489391,1488505901.1909470558,        0.5878906250,        0.2080078125,       -0.0444335938,       -1.0986328125,        0.0152587891,       -0.1525878906
1488505901.1912200451,1488505901.1935179234,        0.5878906250,        0.2080078125,       -0.0444335938,       -1.0986328125,        0.0152587891,       -0.1525878906
1488505901.1937930584,1488505901.1960799694,        0.5878906250,        0.2080078125,       -0.0444335938,       -1.0681152344,       -0.0915527344,       -0.2441406250
1488505901.1963539124,1488505901.1986498833,        0.5849609375,        0.2001953125,       -0.0390625000,       -1.0681152344,       -0.0915527344,       -0.2441406250
1488505901.1989250183,1488505901.2012109756,        0.5849609375,        0.2001953125,       -0.0390625000,       -1.6632080078,       -0.1373291016,       -0.0762939453
1488505901.2014870644,1488505901.2038218975,        0.5849609375,        0.2001953125,       -0.0390625000,       -1.6632080078,       -0.1373291016,       -0.0762939453
1488505901.2040960789,1488505901.2063899040,        0.5849609375,        0.2001953125,       -0.0458984375,       -2.0904541016,       -0.1220703125,        0.0305175781
1488505901.2066650391,1488505901.2089569569,        0.5878906250,        0.2021484375,       -0.0458984375,       -2.0904541016,       -0.1220703125,        0.0305175781
1488505901.2092330456,1488505901.2115259171,        0.5878906250,        0.2021484375,       -0.0458984375,       -2.0904541016,       -0.3509521484,        0.2441406250
1488505901.2118721008,1488505901.2141599655,        0.5878906250,        0.2021484375,       -0.0458984375,       -2.2430419922,       -0.3509521484,        0.2441406250
1488505901.2144351006,1488505901.2167229652,        0.5878906250,        0.2021484375,       -0.0395507812,       -2.2430419922,       -0.3509521484,        0.6408691406
1488505901.2169990540,1488505901.2192869186,        0.5942382812,        0.2031250000,       -0.0395507812,       -1.6021728516,       -0.7476806641,        0.6408691406
1488505901.2195630074,1488505901.2221128941,        0.5942382812,        0.2031250000,       -0.0395507812,       -1.6021728516,       -0.7476806641,        0.3356933594
