time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488507475.0148611069,1488507475.0253169537,        0.5468750000,        0.3041992188,       -0.1113281250,       21.0418701172,        5.0811767578,      -27.1759033203
1488507475.0256299973,1488507475.0285749435,        0.5781250000,        0.3041992188,       -0.1113281250,       21.0418701172,        5.0811767578,      -31.0821533203
1488507475.0288710594,1488507475.0312879086,        0.5781250000,        0.3041992188,       -0.1113281250,       20.2636718750,        5.3405761719,      -28.5949707031
1488507475.0315780640,1488507475.0340020657,        0.5781250000,        0.3041992188,       -0.2363281250,       20.2636718750,        5.3405761719,      -28.5949707031
1488507475.0342879295,1488507475.0367009640,        0.5937500000,        0.2680664062,       -0.1469726562,       20.2636718750,        5.9051513672,      -29.9835205078
1488507475.0369861126,1488507475.0393960476,        0.5937500000,        0.2680664062,       -0.1469726562,       20.2636718750,        5.9051513672,      -29.9835205078
1488507475.0396809578,1488507475.0421080589,        0.5937500000,        0.2680664062,       -0.1469726562,       21.4233398438,        6.2561035156,      -30.9295654297
1488507475.0423939228,1488507475.0454809666,        0.5937500000,        0.2509765625,       -0.1611328125,       21.4233398438,        6.2561035156,      -32.0739746094
1488507475.0457708836,1488507475.0481901169,        0.5961914062,        0.2509765625,       -0.1611328125,       22.8118896484,        5.7067871094,      -32.0739746094
1488507475.0484769344,1488507475.0508968830,        0.5961914062,        0.2509765625,       -0.1611328125,       22.8118896484,        5.7067871094,      -33.1573486328
1488507475.0511820316,1488507475.0535209179,        0.5961914062,        0.2509765625,       -0.1611328125,       23.8800048828,        5.5847167969,      -33.1573486328
1488507475.0537989140,1488507475.0560960770,        0.5996093750,        0.2641601562,       -0.2080078125,       23.8800048828,        5.5847167969,      -33.8287353516
1488507475.0563740730,1488507475.0586628914,        0.5996093750,        0.2641601562,       -0.2080078125,       24.8107910156,        5.5999755859,      -33.8287353516
1488507475.0589408875,1488507475.0612370968,        0.5996093750,        0.2641601562,       -0.2080078125,       24.8107910156,        5.5999755859,      -33.8287353516
1488507475.0615170002,1488507475.0638349056,        0.5996093750,        0.2641601562,       -0.2080078125,       25.6195068359,        5.6610107422,      -34.2712402344
1488507475.0641129017,1488507475.0664029121,        0.6059570312,        0.2841796875,       -0.2353515625,       25.6195068359,        5.6610107422,      -34.2712402344
1488507475.0666799545,1488507475.0689780712,        0.6059570312,        0.2841796875,       -0.2353515625,       26.4587402344,        5.5389404297,      -34.5764160156
1488507475.0692560673,1488507475.0715448856,        0.6059570312,        0.2841796875,       -0.2353515625,       26.4587402344,        5.5389404297,      -34.5764160156
1488507475.0718328953,1488507475.0742480755,        0.6059570312,        0.2841796875,       -0.2353515625,       26.3824462891,        5.6762695312,      -33.8592529297
1488507475.0745379925,1488507475.0769600868,        0.6147460938,        0.2788085938,       -0.2719726562,       26.3824462891,        5.6762695312,      -33.8592529297
1488507475.0772480965,1488507475.0796670914,        0.6147460938,        0.2788085938,       -0.2719726562,       27.3284912109,        5.9967041016,      -33.8287353516
1488507475.0799560547,1488507475.0823590755,        0.6147460938,        0.2788085938,       -0.2719726562,       27.3284912109,        5.9967041016,      -33.8287353516
1488507475.0826408863,1488507475.0849320889,        0.6147460938,        0.2788085938,       -0.3193359375,       28.7322998047,        5.5847167969,      -33.4625244141
1488507475.0852119923,1488507475.0875089169,        0.6098632812,        0.2797851562,       -0.3193359375,       28.7322998047,        5.5847167969,      -33.4625244141
