time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488507730.0147709846,1488507730.0256600380,        0.6240234375,        0.0571289062,       -0.1206054688,        3.4484863281,       -1.6174316406,       -7.2326660156
1488507730.0259668827,1488507730.0291619301,        0.6240234375,        0.0571289062,       -0.1206054688,        3.4484863281,       -1.1901855469,       -6.9427490234
1488507730.0294539928,1488507730.0325269699,        0.6240234375,        0.0571289062,       -0.1142578125,        3.6315917969,       -1.1901855469,       -6.9427490234
1488507730.0328280926,1488507730.0352530479,        0.6181640625,        0.0620117188,       -0.1142578125,        3.8452148438,       -1.3580322266,       -6.3629150391
1488507730.0355319977,1488507730.0379440784,        0.6181640625,        0.0620117188,       -0.1142578125,        3.8452148438,       -1.3580322266,       -6.3629150391
1488507730.0382220745,1488507730.0406410694,        0.6181640625,        0.0620117188,       -0.1142578125,        4.0588378906,       -1.8615722656,       -6.1798095703
1488507730.0409200191,1488507730.0433490276,        0.6250000000,        0.0585937500,       -0.1171875000,        4.0588378906,       -1.8615722656,       -6.1798095703
1488507730.0436260700,1488507730.0460410118,        0.6250000000,        0.0585937500,       -0.1171875000,        4.0740966797,       -1.5411376953,       -5.7067871094
1488507730.0463180542,1488507730.0487380028,        0.6250000000,        0.0585937500,       -0.1171875000,        4.0740966797,       -1.5411376953,       -5.7067871094
1488507730.0490150452,1488507730.0514268875,        0.6250000000,        0.0585937500,       -0.1171875000,        3.8146972656,       -1.1444091797,       -5.5541992188
1488507730.0517160892,1488507730.0540049076,        0.6171875000,        0.0673828125,       -0.1201171875,        3.8146972656,       -1.1444091797,       -5.5541992188
1488507730.0542750359,1488507730.0565690994,        0.6171875000,        0.0673828125,       -0.1201171875,        3.4790039062,       -1.3427734375,       -4.7302246094
1488507730.0568420887,1488507730.0591289997,        0.6171875000,        0.0673828125,       -0.1201171875,        3.4790039062,       -1.3427734375,       -4.7302246094
1488507730.0594010353,1488507730.0618629456,        0.6171875000,        0.0673828125,       -0.1201171875,        3.5552978516,       -1.4190673828,       -4.3487548828
1488507730.0621359348,1488507730.0644268990,        0.6079101562,        0.0693359375,       -0.1162109375,        3.5552978516,       -1.4190673828,       -4.3487548828
1488507730.0646970272,1488507730.0669879913,        0.6079101562,        0.0693359375,       -0.1162109375,        3.5552978516,       -1.4648437500,       -3.8146972656
1488507730.0672590733,1488507730.0695490837,        0.6079101562,        0.0693359375,       -0.1162109375,        3.2501220703,       -1.4648437500,       -3.8146972656
1488507730.0698199272,1488507730.0722539425,        0.6079101562,        0.0693359375,       -0.1162109375,        3.2501220703,       -1.4648437500,       -3.0822753906
1488507730.0725779533,1488507730.0749969482,        0.6132812500,        0.0805664062,       -0.1127929688,        2.3803710938,       -1.2207031250,       -3.0822753906
1488507730.0752780437,1488507730.0777049065,        0.6132812500,        0.0805664062,       -0.1127929688,        2.3803710938,       -1.4190673828,       -2.8381347656
1488507730.0779869556,1488507730.0803999901,        0.6132812500,        0.0805664062,       -0.1127929688,        2.2277832031,       -1.4190673828,       -2.8381347656
1488507730.0806789398,1488507730.0831110477,        0.6132812500,        0.0805664062,       -0.1181640625,        2.2277832031,       -1.4190673828,       -2.1667480469
