time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488507628.0165638924,1488507628.0255150795,        0.6147460938,        0.0058593750,       -0.1376953125,       -0.3204345703,       -0.4425048828,       -0.2288818359
1488507628.0258209705,1488507628.0291430950,        0.6049804688,        0.0019531250,       -0.1376953125,       -0.3204345703,       -0.4425048828,       -0.4425048828
1488507628.0294320583,1488507628.0321280956,        0.6049804688,        0.0019531250,       -0.1376953125,        0.1373291016,       -0.5187988281,       -0.4425048828
1488507628.0324199200,1488507628.0348370075,        0.6049804688,        0.0019531250,       -0.1416015625,        0.1068115234,       -0.7934570312,       -0.3509521484
1488507628.0351200104,1488507628.0375359058,        0.6108398438,        0.0000000000,       -0.1416015625,        0.1068115234,       -0.7934570312,       -0.3509521484
1488507628.0378170013,1488507628.0402328968,        0.6108398438,        0.0000000000,       -0.1416015625,        0.0762939453,       -0.9613037109,       -0.4882812500
1488507628.0405139923,1488507628.0429379940,        0.6108398438,        0.0000000000,       -0.1416015625,        0.0762939453,       -0.9613037109,       -0.4882812500
1488507628.0432159901,1488507628.0456249714,        0.6108398438,        0.0063476562,       -0.1386718750,       -3.8299560547,       -0.8087158203,       -0.4882812500
1488507628.0459089279,1488507628.0483210087,        0.6069335938,        0.0063476562,       -0.1386718750,       -0.1831054688,       -0.8087158203,       -0.4882812500
1488507628.0486009121,1488507628.0510120392,        0.6069335938,        0.0063476562,       -0.1386718750,       -0.1831054688,       -0.6713867188,       -0.3356933594
1488507628.0512909889,1488507628.0536119938,        0.6069335938,        0.0063476562,       -0.1386718750,       -0.2593994141,       -0.6713867188,       -0.3356933594
1488507628.0538840294,1488507628.0561718941,        0.6152343750,        0.0107421875,       -0.1391601562,       -0.2593994141,       -0.6713867188,       -0.0457763672
1488507628.0564439297,1488507628.0587329865,        0.6152343750,        0.0107421875,       -0.1391601562,       -0.0915527344,       -0.6256103516,       -0.0457763672
1488507628.0590050220,1488507628.0612978935,        0.6152343750,        0.0107421875,       -0.1391601562,       -0.0915527344,       -0.6256103516,       -0.0915527344
1488507628.0615689754,1488507628.0639789104,        0.6152343750,        0.0107421875,       -0.1391601562,        0.0457763672,       -0.7629394531,       -0.0915527344
1488507628.0642530918,1488507628.0665469170,        0.6113281250,        0.0053710938,       -0.1376953125,        0.0457763672,       -0.7629394531,        3.8146972656
1488507628.0668210983,1488507628.0691080093,        0.6113281250,        0.0053710938,       -0.1376953125,       -0.1220703125,       -0.5798339844,        0.0457763672
1488507628.0693819523,1488507628.0718359947,        0.6113281250,        0.0053710938,       -0.1376953125,       -0.1220703125,       -0.5798339844,        0.0457763672
1488507628.0721199512,1488507628.0745189190,        0.6113281250,        0.0053710938,       -0.1376953125,        0.2746582031,       -0.5798339844,       -0.2593994141
1488507628.0748000145,1488507628.0772008896,        0.6132812500,       -0.0024414062,       -0.1396484375,        0.2746582031,       -0.5798339844,       -0.2593994141
1488507628.0774829388,1488507628.0798768997,        0.6132812500,       -0.0024414062,       -0.1396484375,       -0.3051757812,       -0.4882812500,       -0.2136230469
1488507628.0801589489,1488507628.0825650692,        0.6132812500,       -0.0024414062,       -0.1396484375,       -0.3051757812,       -0.4882812500,       -0.2136230469
1488507628.0828471184,1488507628.0852189064,        0.6132812500,       -0.0024414062,       -0.1440429688,       -0.9460449219,       -0.0305175781,        0.0457763672
1488507628.0856211185,1488507628.0880579948,        0.6171875000,        0.0048828125,       -0.1440429688,       -0.9460449219,       -0.0305175781,        0.0457763672
1488507628.0885019302,1488507628.0909130573,        0.6171875000,        0.0048828125,       -0.1440429688,       -0.3967285156,        0.0000000000,        0.1678466797
1488507628.0911939144,1488507628.0936110020,        0.6171875000,        0.0048828125,       -0.1440429688,       -0.3967285156,        0.0000000000,        0.1678466797
1488507628.0938959122,1488507628.0963110924,        0.6147460938,       -0.0048828125,       -0.1420898438,        0.0305175781,       -0.3204345703,        0.4425048828
1488507628.0965950489,1488507628.0990109444,        0.6147460938,       -0.0048828125,       -0.1420898438,        0.0305175781,       -0.3204345703,        0.4425048828
1488507628.0992949009,1488507628.1017189026,        0.6147460938,       -0.0048828125,       -0.1420898438,        0.3967285156,       -0.4882812500,        0.2441406250
1488507628.1019940376,1488507628.1042859554,        0.6147460938,       -0.0048828125,       -0.1420898438,        0.3967285156,       -0.4882812500,        0.2441406250
1488507628.1045610905,1488507628.1068499088,        0.6093750000,       -0.0029296875,       -0.1328125000,       -0.5493164062,       -0.4577636719,       -0.0457763672
1488507628.1071250439,1488507628.1094219685,        0.6093750000,       -0.0029296875,       -0.1328125000,       -0.5493164062,       -0.4577636719,       -0.0457763672
