time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488507679.0162069798,1488507679.0255310535,        0.6147460938,        0.0156250000,       -0.1293945312,       -0.9613037109,       -1.0070800781,       -0.0915527344
1488507679.0258340836,1488507679.0283279419,        0.6108398438,        0.0156250000,       -0.1293945312,       -0.9613037109,       -1.0070800781,        0.0610351562
1488507679.0286118984,1488507679.0323829651,        0.6108398438,        0.0156250000,       -0.1293945312,       -1.4038085938,       -1.0528564453,        0.0610351562
1488507679.0326890945,1488507679.0359780788,        0.6152343750,        0.0092773438,       -0.1220703125,       -1.7089843750,       -0.7476806641,        0.0610351562
1488507679.0362679958,1488507679.0387830734,        0.6152343750,        0.0092773438,       -0.1220703125,       -1.7089843750,       -0.7476806641,        0.0610351562
1488507679.0390729904,1488507679.0414829254,        0.6152343750,        0.0092773438,       -0.1220703125,       -1.3580322266,       -0.7324218750,        0.3662109375
1488507679.0417759418,1488507679.0441930294,        0.6152343750,        0.0092773438,       -0.1254882812,       -1.3580322266,       -0.7324218750,        0.3662109375
1488507679.0444719791,1488507679.0468859673,        0.6127929688,        0.0087890625,       -0.1254882812,       -1.1291503906,       -1.0528564453,        0.3967285156
1488507679.0471661091,1488507679.0495851040,        0.6127929688,        0.0087890625,       -0.1254882812,       -1.1291503906,       -1.0528564453,        0.3967285156
1488507679.0498669147,1488507679.0523231030,        0.6127929688,        0.0087890625,       -0.1254882812,       -0.9460449219,       -1.3122558594,        0.2136230469
1488507679.0526030064,1488507679.0550100803,        0.6127929688,        0.0146484375,       -0.1264648438,       -0.9460449219,       -1.3122558594,        0.2136230469
1488507679.0552899837,1488507679.0577049255,        0.6162109375,        0.0146484375,       -0.1264648438,       -1.2817382812,       -1.2969970703,        0.0762939453
1488507679.0579819679,1488507679.0603969097,        0.6162109375,        0.0146484375,       -0.1264648438,       -1.2817382812,       -1.2969970703,        0.0762939453
1488507679.0606770515,1488507679.0630331039,        0.6162109375,        0.0146484375,       -0.1264648438,       -1.3580322266,       -1.4648437500,        0.2441406250
1488507679.0633039474,1488507679.0655980110,        0.6215820312,        0.0083007812,       -0.1289062500,       -1.3580322266,       -1.4648437500,        0.2441406250
1488507679.0658710003,1488507679.0681560040,        0.6215820312,        0.0083007812,       -0.1289062500,       -0.7934570312,       -1.1291503906,        0.2136230469
1488507679.0684299469,1488507679.0707199574,        0.6215820312,        0.0083007812,       -0.1289062500,       -0.7934570312,       -1.1291503906,        0.2136230469
1488507679.0709950924,1488507679.0733850002,        0.6215820312,        0.0083007812,       -0.1289062500,       -0.8392333984,       -1.2512207031,        0.0152587891
1488507679.0736620426,1488507679.0759580135,        0.6166992188,        0.0078125000,       -0.1264648438,       -0.8392333984,       -1.2512207031,        0.0152587891
1488507679.0762319565,1488507679.0786609650,        0.6166992188,        0.0078125000,       -0.1264648438,       -0.8392333984,       -1.1901855469,       -0.1525878906
1488507679.0789370537,1488507679.0812320709,        0.6166992188,        0.0078125000,       -0.1264648438,       -0.8392333984,       -1.1901855469,       -0.1525878906
1488507679.0815069675,1488507679.0840380192,        0.6166992188,        0.0078125000,       -0.1264648438,       -0.7934570312,       -1.1444091797,       -0.0915527344
1488507679.0843191147,1488507679.0867269039,        0.6230468750,        0.0063476562,       -0.1303710938,       -0.7934570312,       -1.1444091797,       -0.0915527344
