time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488507424.0145890713,1488507424.0252540112,        0.6132812500,        0.0332031250,       -0.1406250000,       36.3311767578,      -15.8691406250,      -14.0991210938
1488507424.0255630016,1488507424.0278549194,        0.6132812500,        0.0332031250,       -0.1406250000,       36.3311767578,      -15.8691406250,      -14.0991210938
1488507424.0281379223,1488507424.0304219723,        0.6132812500,        0.0332031250,       -0.1406250000,       39.1540527344,      -16.0369873047,      -14.4958496094
1488507424.0307040215,1488507424.0332560539,        0.6132812500,        0.0332031250,       -0.1406250000,       39.1540527344,      -16.0369873047,      -14.4958496094
1488507424.0335459709,1488507424.0359289646,        0.6035156250,        0.0146484375,       -0.1440429688,       42.6483154297,      -16.4184570312,      -15.3350830078
1488507424.0362179279,1488507424.0391669273,        0.6035156250,        0.0146484375,       -0.1440429688,       42.6483154297,      -16.4184570312,      -15.3350830078
1488507424.0394699574,1488507424.0420999527,        0.6035156250,        0.0146484375,       -0.1440429688,       45.9899902344,      -17.6391601562,      -15.4724121094
1488507424.0423989296,1488507424.0448160172,        0.6005859375,        0.0092773438,       -0.1621093750,       45.9899902344,      -17.6391601562,      -15.3350830078
1488507424.0451109409,1488507424.0475189686,        0.6005859375,        0.0092773438,       -0.1621093750,       49.1943359375,      -18.7225341797,      -15.3350830078
1488507424.0478100777,1488507424.0502240658,        0.6005859375,        0.0092773438,       -0.1621093750,       49.1943359375,      -18.7225341797,      -19.2413330078
1488507424.0505149364,1488507424.0529398918,        0.6005859375,        0.0092773438,       -0.1621093750,       52.4291992188,      -20.2026367188,      -15.7775878906
1488507424.0532310009,1488507424.0556449890,        0.6127929688,        0.0131835938,       -0.1743164062,       52.4291992188,      -20.2026367188,      -15.7775878906
1488507424.0559339523,1488507424.0583479404,        0.6127929688,        0.0131835938,       -0.1743164062,       55.3588867188,      -20.7366943359,      -16.0675048828
1488507424.0586369038,1488507424.0610508919,        0.6127929688,        0.0131835938,       -0.1743164062,       55.3588867188,      -20.7366943359,      -12.1612548828
1488507424.0613400936,1488507424.0637691021,        0.6127929688,        0.0131835938,       -0.1621093750,       57.1136474609,      -21.0418701172,      -15.6097412109
1488507424.0640599728,1488507424.0664749146,        0.6206054688,        0.0375976562,       -0.1621093750,       57.1136474609,      -21.0418701172,      -15.6097412109
1488507424.0667660236,1488507424.0691800117,        0.6206054688,        0.0375976562,       -0.1621093750,       57.1899414062,      -21.2402343750,      -14.4653320312
1488507424.0694699287,1488507424.0719211102,        0.6206054688,        0.0375976562,       -0.1621093750,       57.1899414062,      -21.2402343750,      -14.4653320312
1488507424.0722088814,1488507424.0744988918,        0.6206054688,        0.0727539062,       -0.1611328125,       57.0678710938,      -21.7590332031,      -13.5192871094
1488507424.0747849941,1488507424.0770759583,        0.6215820312,        0.0727539062,       -0.1611328125,       57.0678710938,      -21.7590332031,      -13.5192871094
1488507424.0773611069,1488507424.0796480179,        0.6215820312,        0.0727539062,       -0.1611328125,       55.5877685547,      -21.3470458984,      -12.6495361328
1488507424.0799319744,1488507424.0824038982,        0.6215820312,        0.0727539062,       -0.1611328125,       55.5877685547,      -21.3470458984,      -12.6495361328
1488507424.0826880932,1488507424.0849781036,        0.6240234375,        0.0839843750,       -0.1616210938,       53.1768798828,      -20.9655761719,      -11.8865966797
1488507424.0852620602,1488507424.0875558853,        0.6240234375,        0.0839843750,       -0.1616210938,       53.1768798828,      -20.9655761719,      -11.8865966797
1488507424.0880000591,1488507424.0902960300,        0.6240234375,        0.0839843750,       -0.1616210938,       50.3234863281,      -21.0723876953,      -10.2691650391
1488507424.0905809402,1488507424.0930519104,        0.6240234375,        0.0839843750,       -0.1616210938,       50.3234863281,      -21.0723876953,      -10.2691650391
1488507424.0933449268,1488507424.0957601070,        0.6186523438,        0.0800781250,       -0.1513671875,       46.7529296875,      -20.7672119141,       -8.1329345703
1488507424.0960500240,1488507424.0984680653,        0.6186523438,        0.0800781250,       -0.1513671875,       46.7529296875,      -20.7672119141,       -8.1329345703
1488507424.0987570286,1488507424.1011691093,        0.6186523438,        0.0800781250,       -0.1513671875,       42.7093505859,      -20.3094482422,       -6.3323974609
1488507424.1014580727,1488507424.1039209366,        0.6186523438,        0.0800781250,       -0.1513671875,       42.7093505859,      -20.3094482422,       -6.3323974609
1488507424.1042098999,1488507424.1066269875,        0.6108398438,        0.0805664062,       -0.1528320312,       38.8183593750,      -20.1263427734,       -4.3945312500
1488507424.1069180965,1488507424.1093349457,        0.6108398438,        0.0805664062,       -0.1528320312,       38.8183593750,      -20.1263427734,       -4.3945312500
