time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488507373.0161790848,1488507373.0252609253,        0.6010742188,        0.0341796875,       -0.2187500000,       -6.1492919922,        0.9918212891,        1.0986328125
1488507373.0255620480,1488507373.0280079842,        0.6030273438,       -0.0175781250,       -0.2216796875,       -6.1492919922,        0.9918212891,        1.0986328125
1488507373.0282990932,1488507373.0307269096,        0.6030273438,       -0.0175781250,       -0.2216796875,       -6.2103271484,        1.0223388672,        0.5340576172
1488507373.0310099125,1488507373.0334250927,        0.6030273438,       -0.0175781250,       -0.2216796875,       -6.2103271484,        1.0223388672,        0.5340576172
1488507373.0337049961,1488507373.0361199379,        0.6030273438,       -0.0175781250,       -0.2216796875,       -6.1187744141,        1.0223388672,        0.0915527344
1488507373.0364000797,1488507373.0388140678,        0.5922851562,       -0.0112304688,       -0.2187500000,       -6.1187744141,        1.0223388672,        0.0915527344
1488507373.0390939713,1488507373.0415060520,        0.5922851562,       -0.0112304688,       -0.2187500000,       -4.2114257812,        0.8392333984,       -0.1068115234
1488507373.0417959690,1488507373.0442130566,        0.5922851562,       -0.0112304688,       -0.2187500000,       -4.2114257812,        0.8392333984,       -0.1068115234
1488507373.0444920063,1488507373.0469040871,        0.5922851562,       -0.0112304688,       -0.2187500000,       -3.0364990234,        1.4801025391,       -0.4425048828
1488507373.0471830368,1488507373.0501201153,        0.6010742188,        0.0322265625,       -0.2187500000,       -3.0364990234,        1.4801025391,       -0.4425048828
1488507373.0504031181,1488507373.0528268814,        0.6010742188,        0.0322265625,       -0.2187500000,       -2.4261474609,        1.3580322266,       -0.9155273438
1488507373.0531079769,1488507373.0555160046,        0.6010742188,        0.0322265625,       -0.2187500000,       -2.4261474609,        1.3580322266,       -1.2359619141
1488507373.0557930470,1488507373.0582129955,        0.6010742188,        0.0146484375,       -0.2216796875,       -2.3803710938,        1.5411376953,       -1.2359619141
1488507373.0584909916,1488507373.0609090328,        0.6064453125,        0.0146484375,       -0.2216796875,       -2.3803710938,        1.5411376953,       -1.8615722656
1488507373.0611839294,1488507373.0635099411,        0.6064453125,        0.0146484375,       -0.2216796875,       -2.7923583984,        1.9378662109,       -1.8615722656
1488507373.0637791157,1488507373.0660729408,        0.6064453125,        0.0146484375,       -0.2216796875,       -2.7923583984,        1.9378662109,       -1.8615722656
1488507373.0663421154,1488507373.0686271191,        0.5947265625,        0.0234375000,       -0.2172851562,       -2.9144287109,        1.6479492188,       -1.8768310547
1488507373.0688979626,1488507373.0711851120,        0.5947265625,        0.0234375000,       -0.2172851562,       -2.9144287109,        1.6479492188,       -1.8768310547
1488507373.0714600086,1488507373.0739369392,        0.5947265625,        0.0234375000,       -0.2172851562,       -2.1820068359,        1.6479492188,       -1.8310546875
1488507373.0742180347,1488507373.0766310692,        0.5947265625,        0.0234375000,       -0.2172851562,       -2.1820068359,        1.6479492188,       -1.8310546875
1488507373.0769109726,1488507373.0793309212,        0.5981445312,        0.0356445312,       -0.2202148438,       -2.1820068359,        1.5411376953,       -1.4648437500
1488507373.0796110630,1488507373.0820190907,        0.5981445312,        0.0356445312,       -0.2202148438,       -2.1820068359,        1.5411376953,       -1.4648437500
1488507373.0822930336,1488507373.0845880508,        0.5981445312,        0.0356445312,       -0.2202148438,       -1.7242431641,        1.7395019531,       -1.7700195312
1488507373.0848610401,1488507373.0871589184,        0.5981445312,        0.0356445312,       -0.2202148438,       -1.7242431641,        1.7395019531,       -1.7700195312
1488507373.0875890255,1488507373.0898840427,        0.6000976562,        0.0302734375,       -0.2294921875,       -1.6479492188,        1.9836425781,       -2.6092529297
1488507373.0901570320,1488507373.0926148891,        0.6000976562,        0.0302734375,       -0.2294921875,       -1.6479492188,        1.9836425781,       -2.6092529297
1488507373.0928900242,1488507373.0951900482,        0.6000976562,        0.0302734375,       -0.2294921875,       -1.5258789062,        1.6632080078,       -2.6550292969
