time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488507577.0165650845,1488507577.0257899761,        0.6166992188,        0.0278320312,       -0.1801757812,       -4.6539306641,       -4.1046142578,        1.8310546875
1488507577.0260949135,1488507577.0294361115,        0.6166992188,        0.0278320312,       -0.1801757812,       -4.6539306641,       -4.1046142578,        2.2583007812
1488507577.0297310352,1488507577.0329771042,        0.6064453125,        0.0263671875,       -0.1723632812,       -4.8828125000,       -4.4403076172,        2.2583007812
1488507577.0332610607,1488507577.0357429981,        0.6064453125,        0.0263671875,       -0.1723632812,       -4.9591064453,       -4.4097900391,        2.7008056641
1488507577.0360260010,1488507577.0383050442,        0.6064453125,        0.0263671875,       -0.1723632812,       -4.9591064453,       -4.4097900391,        2.7008056641
1488507577.0385789871,1488507577.0408549309,        0.6000976562,        0.0366210938,       -0.1528320312,       -4.7454833984,       -4.2572021484,        3.1738281250
1488507577.0411260128,1488507577.0434529781,        0.6000976562,        0.0366210938,       -0.1528320312,       -4.7454833984,       -4.2572021484,        3.1738281250
1488507577.0437240601,1488507577.0460019112,        0.6000976562,        0.0366210938,       -0.1528320312,       -4.6081542969,       -4.4403076172,        3.4179687500
1488507577.0462739468,1488507577.0485548973,        0.6000976562,        0.0366210938,       -0.1528320312,       -4.6081542969,       -4.4403076172,        3.4179687500
1488507577.0488269329,1488507577.0511059761,        0.6025390625,        0.0249023438,       -0.1679687500,       -4.6081542969,       -4.3640136719,        3.6773681641
1488507577.0513780117,1488507577.0536689758,        0.6025390625,        0.0249023438,       -0.1679687500,       -4.8828125000,       -4.3640136719,        3.6773681641
1488507577.0539400578,1488507577.0562219620,        0.6025390625,        0.0249023438,       -0.1679687500,       -4.8828125000,       -4.3640136719,        3.7231445312
1488507577.0564920902,1488507577.0587720871,        0.6025390625,        0.0249023438,       -0.1679687500,       -4.9285888672,       -4.4860839844,        3.7231445312
1488507577.0590419769,1488507577.0613179207,        0.6083984375,        0.0087890625,       -0.1782226562,       -4.9285888672,       -4.4860839844,        3.6010742188
1488507577.0615899563,1488507577.0639889240,        0.6083984375,        0.0087890625,       -0.1782226562,       -4.7454833984,       -4.2419433594,        3.6010742188
