time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488507526.0170629025,1488507526.0254039764,        0.6176757812,        0.0498046875,       -0.1538085938,        1.7089843750,       -3.4179687500,       -4.1503906250
1488507526.0257010460,1488507526.0282239914,        0.6113281250,        0.0600585938,       -0.1591796875,        1.7089843750,       -3.4179687500,       -4.1503906250
1488507526.0285038948,1488507526.0307960510,        0.6113281250,        0.0600585938,       -0.1591796875,        1.4343261719,       -3.2653808594,       -4.2419433594
1488507526.0310668945,1488507526.0335149765,        0.6113281250,        0.0600585938,       -0.1591796875,        1.4343261719,       -3.2653808594,       -4.2419433594
1488507526.0337929726,1488507526.0368700027,        0.6113281250,        0.0600585938,       -0.1591796875,        1.5258789062,       -2.9296875000,       -3.6010742188
1488507526.0371539593,1488507526.0395689011,        0.6113281250,        0.0541992188,       -0.1484375000,        1.5258789062,       -2.9296875000,       -3.6010742188
1488507526.0398468971,1488507526.0423090458,        0.6113281250,        0.0541992188,       -0.1484375000,        1.7395019531,       -2.9296875000,       -2.9296875000
1488507526.0425870419,1488507526.0450010300,        0.6113281250,        0.0541992188,       -0.1484375000,        1.7395019531,       -2.9296875000,       -2.9296875000
1488507526.0452799797,1488507526.0476949215,        0.6103515625,        0.0502929688,       -0.1547851562,        1.4953613281,       -2.9144287109,       -2.3651123047
1488507526.0479729176,1488507526.0503931046,        0.6103515625,        0.0502929688,       -0.1547851562,        1.4953613281,       -2.9144287109,       -2.3651123047
1488507526.0506699085,1488507526.0530219078,        0.6103515625,        0.0502929688,       -0.1547851562,        1.7547607422,       -2.5024414062,       -2.1514892578
1488507526.0532948971,1488507526.0555820465,        0.6103515625,        0.0502929688,       -0.1547851562,        1.7547607422,       -2.5024414062,       -2.1514892578
1488507526.0558540821,1488507526.0581440926,        0.6088867188,        0.0615234375,       -0.1660156250,        1.6021728516,       -2.3193359375,       -1.7242431641
1488507526.0584149361,1488507526.0607020855,        0.6088867188,        0.0615234375,       -0.1660156250,        1.6021728516,       -2.3193359375,       -1.7242431641
1488507526.0609738827,1488507526.0632710457,        0.6088867188,        0.0615234375,       -0.1660156250,        1.8005371094,       -2.0904541016,       -1.9378662109
1488507526.0635430813,1488507526.0658309460,        0.6088867188,        0.0615234375,       -0.1660156250,        1.8005371094,       -2.0904541016,       -1.9378662109
1488507526.0661029816,1488507526.0683889389,        0.5986328125,        0.0546875000,       -0.1586914062,        1.7852783203,       -1.9836425781,       -1.5106201172
1488507526.0686600208,1488507526.0709509850,        0.5986328125,        0.0546875000,       -0.1586914062,        1.7852783203,       -1.9836425781,       -1.5106201172
1488507526.0712239742,1488507526.0735259056,        0.5986328125,        0.0546875000,       -0.1586914062,        1.2969970703,       -2.2583007812,       -1.1291503906
1488507526.0737988949,1488507526.0760910511,        0.5986328125,        0.0546875000,       -0.1586914062,        1.2969970703,       -2.2583007812,       -1.1291503906
1488507526.0763649940,1488507526.0786640644,        0.6015625000,        0.0439453125,       -0.1650390625,        1.4190673828,       -2.3498535156,       -1.0986328125
1488507526.0789361000,1488507526.0812261105,        0.6015625000,        0.0439453125,       -0.1650390625,        1.4190673828,       -2.3498535156,       -1.0986328125
1488507526.0815000534,1488507526.0839560032,        0.6015625000,        0.0439453125,       -0.1650390625,        1.4190673828,       -2.4414062500,       -1.2664794922
1488507526.0842289925,1488507526.0865221024,        0.6015625000,        0.0439453125,       -0.1650390625,        1.4801025391,       -2.4414062500,       -1.2664794922
