time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488507271.0167260170,1488507271.0255820751,        0.5820312500,        0.1699218750,       -0.0820312500,        2.9449462891,       -0.3662109375,       -9.8419189453
1488507271.0258879662,1488507271.0286159515,        0.5820312500,        0.1699218750,       -0.0820312500,        3.1127929688,       -0.3814697266,       -9.6740722656
1488507271.0289189816,1488507271.0314419270,        0.5820312500,        0.1630859375,       -0.1083984375,        3.1127929688,       -0.3814697266,       -9.6740722656
1488507271.0317380428,1488507271.0341570377,        0.5756835938,        0.1630859375,       -0.1083984375,        3.3569335938,       -0.1373291016,      -10.2691650391
1488507271.0344419479,1488507271.0368618965,        0.5756835938,        0.1630859375,       -0.1083984375,        3.3569335938,       -0.1373291016,      -10.2691650391
1488507271.0371460915,1488507271.0395588875,        0.5756835938,        0.1630859375,       -0.1083984375,        3.6468505859,       -0.9002685547,      -10.3454589844
1488507271.0398440361,1488507271.0422968864,        0.5795898438,        0.1552734375,       -0.1235351562,        3.6468505859,       -0.9002685547,      -10.3454589844
1488507271.0425739288,1488507271.0448648930,        0.5795898438,        0.1552734375,       -0.1235351562,        3.9367675781,       -0.9765625000,      -10.6048583984
1488507271.0451419353,1488507271.0474300385,        0.5795898438,        0.1552734375,       -0.1235351562,        3.9367675781,       -0.9765625000,      -10.6048583984
1488507271.0477070808,1488507271.0500009060,        0.5795898438,        0.1552734375,       -0.1235351562,        3.9978027344,       -1.1291503906,      -11.1389160156
1488507271.0502779484,1488507271.0525710583,        0.5791015625,        0.1499023438,       -0.1289062500,        3.9978027344,       -1.1291503906,      -11.1389160156
1488507271.0528459549,1488507271.0551340580,        0.5791015625,        0.1499023438,       -0.1289062500,        4.2419433594,       -1.4495849609,      -11.5509033203
1488507271.0554089546,1488507271.0577011108,        0.5791015625,        0.1499023438,       -0.1289062500,        4.2419433594,       -1.4495849609,      -11.5509033203
1488507271.0579750538,1488507271.0608029366,        0.5791015625,        0.1499023438,       -0.1289062500,        3.9215087891,       -2.0751953125,      -11.9934082031
1488507271.0610840321,1488507271.0634241104,        0.5893554688,        0.1518554688,       -0.1372070312,        3.9215087891,       -2.0751953125,      -11.9934082031
1488507271.0637009144,1488507271.0659921169,        0.5893554688,        0.1518554688,       -0.1372070312,        3.6773681641,       -2.4108886719,      -12.0086669922
