time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488917025.0296540260,1488917025.0370049477,        0.6362304688,        0.0087890625,       -0.0971679688,       -1.1291503906,       -0.1220703125,       -8.5754394531
1488917025.0373098850,1488917025.0399200916,        0.6357421875,        0.0122070312,       -0.0708007812,       -1.1291503906,       -0.1220703125,       -8.5754394531
1488917025.0402019024,1488917025.0426011086,        0.6357421875,        0.0122070312,       -0.0708007812,        0.4119873047,        0.1525878906,       -8.6669921875
1488917025.0428810120,1488917025.0452730656,        0.6357421875,        0.0122070312,       -0.0708007812,        0.4119873047,        0.1525878906,       -8.6669921875
1488917025.0455489159,1488917025.0479269028,        0.6357421875,        0.0122070312,       -0.0708007812,        2.2277832031,        0.3356933594,       -9.2773437500
1488917025.0482039452,1488917025.0508010387,        0.6293945312,       -0.0009765625,       -0.0615234375,        2.2277832031,        0.3356933594,       -9.2773437500
1488917025.0510880947,1488917025.0534939766,        0.6293945312,       -0.0009765625,       -0.0615234375,        4.3792724609,        0.3356933594,      -10.1165771484
1488917025.0537779331,1488917025.0561490059,        0.6293945312,       -0.0009765625,       -0.0615234375,        4.3792724609,        0.3356933594,      -10.1165771484
1488917025.0564301014,1488917025.0590178967,        0.6293945312,       -0.0009765625,       -0.0742187500,        6.1798095703,        0.4272460938,      -10.5285644531
1488917025.0593159199,1488917025.0618829727,        0.6367187500,        0.0302734375,       -0.0742187500,        6.1798095703,        0.4272460938,      -10.5285644531
1488917025.0621750355,1488917025.0645730495,        0.6367187500,        0.0302734375,       -0.0742187500,        6.2255859375,        0.1220703125,       -9.6740722656
1488917025.0648510456,1488917025.0672240257,        0.6367187500,        0.0302734375,       -0.0742187500,        6.2255859375,        0.1220703125,       -9.6740722656
1488917025.0675029755,1488917025.0699241161,        0.6137695312,        0.0488281250,       -0.0795898438,        4.2724609375,        0.1983642578,       -7.9498291016
1488917025.0702021122,1488917025.0726161003,        0.6137695312,        0.0488281250,       -0.0795898438,        4.2724609375,        0.1983642578,       -7.9498291016
1488917025.0728940964,1488917025.0752279758,        0.6137695312,        0.0488281250,       -0.0795898438,        1.8310546875,        0.3356933594,       -5.7525634766
1488917025.0754981041,1488917025.0777869225,        0.6137695312,        0.0488281250,       -0.0795898438,        1.8310546875,        0.3356933594,       -5.7525634766
1488917025.0780580044,1488917025.0803430080,        0.6088867188,        0.0673828125,       -0.0703125000,       -0.9155273438,        0.1831054688,       -2.8381347656
1488917025.0806150436,1488917025.0829050541,        0.6088867188,        0.0673828125,       -0.0703125000,       -0.9155273438,        0.1831054688,       -2.8381347656
1488917025.0831789970,1488917025.0865769386,        0.6088867188,        0.0673828125,       -0.0703125000,       -4.2266845703,       -0.0915527344,        0.0152587891
1488917025.0868890285,1488917025.0893070698,        0.6088867188,        0.0673828125,       -0.0581054688,       -4.2266845703,       -0.0915527344,        0.0152587891
1488917025.0895910263,1488917025.0920040607,        0.6079101562,        0.0659179688,       -0.0581054688,       -7.1258544922,        0.0610351562,        2.4871826172
1488917025.0922870636,1488917025.0947210789,        0.6079101562,        0.0659179688,       -0.0581054688,       -7.1258544922,        0.0610351562,        2.4871826172
1488917025.0950019360,1488917025.0974109173,        0.6079101562,        0.0659179688,       -0.0581054688,       -9.4757080078,       -0.3967285156,        5.1422119141
1488917025.0976929665,1488917025.1001019478,        0.6240234375,        0.0458984375,       -0.0664062500,       -9.4757080078,       -0.3967285156,        5.1422119141
1488917025.1005539894,1488917025.1029698849,        0.6240234375,        0.0458984375,       -0.0664062500,      -11.3677978516,       -0.8239746094,        6.8817138672
1488917025.1032590866,1488917025.1056818962,        0.6240234375,        0.0458984375,       -0.0664062500,      -11.3677978516,       -0.8239746094,        6.8817138672
1488917025.1059679985,1488917025.1083900928,        0.6240234375,        0.0458984375,       -0.0664062500,      -11.7187500000,       -1.2359619141,        8.1176757812
1488917025.1086750031,1488917025.1110899448,        0.6274414062,        0.0288085938,       -0.0566406250,      -11.7187500000,       -1.2359619141,        8.1176757812
1488917025.1113760471,1488917025.1137979031,        0.6274414062,        0.0288085938,       -0.0566406250,      -11.6119384766,       -1.4648437500,        8.8043212891
1488917025.1140840054,1488917025.1165060997,        0.6274414062,        0.0288085938,       -0.0566406250,      -11.6119384766,       -1.4648437500,        8.8043212891
1488917025.1167929173,1488917025.1192040443,        0.6274414062,        0.0288085938,       -0.0566406250,      -10.8337402344,       -1.9073486328,        8.8348388672
1488917025.1194911003,1488917025.1219029427,        0.6240234375,        0.0214843750,       -0.0595703125,      -10.8337402344,       -1.9073486328,        8.8348388672
1488917025.1221880913,1488917025.1245820522,        0.6240234375,        0.0214843750,       -0.0595703125,      -10.2386474609,       -1.8157958984,        8.8043212891
1488917025.1248610020,1488917025.1271491051,        0.6240234375,        0.0214843750,       -0.0595703125,      -10.2386474609,       -1.8157958984,        8.8043212891
1488917025.1274271011,1488917025.1297199726,        0.6240234375,        0.0214843750,       -0.0625000000,       -9.9182128906,       -1.9836425781,        9.4146728516
1488917025.1299929619,1488917025.1322839260,        0.6186523438,        0.0273437500,       -0.0625000000,       -9.9182128906,       -1.9836425781,        9.4146728516
1488917025.1325581074,1488917025.1349349022,        0.6186523438,        0.0273437500,       -0.0625000000,       -9.0332031250,       -2.1362304688,        9.8876953125
