time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1488916905.0271699429,1488916905.0367441177,        0.9584960938,        2.1533203125,       -0.4531250000,      -16.0980224609,       -0.5950927734,       51.9714355469
1488916905.0370469093,1488916905.0393290520,        0.9721679688,        2.1337890625,       -0.4531250000,       -1.3580322266,       -1.9531250000,        4.0435791016
1488916905.0396010876,1488916905.0418839455,        0.9721679688,        2.1337890625,       -0.4531250000,       -1.3580322266,       -1.9531250000,        4.0435791016
1488916905.0421519279,1488916905.0445079803,        0.9721679688,        2.1337890625,       -0.4531250000,       18.1732177734,       -3.8757324219,      -39.6118164062
1488916905.0447859764,1488916905.0470631123,        0.9223632812,        1.9169921875,       -0.4921875000,       16.5863037109,       -3.8757324219,      -39.6118164062
1488916905.0473399162,1488916905.0496289730,        0.9223632812,        1.9169921875,       -0.4921875000,       16.5863037109,       -7.7819824219,      -78.5369873047
1488916905.0499069691,1488916905.0522909164,        0.9223632812,        1.9169921875,       -0.4921875000,       34.1186523438,       -7.4310302734,      -78.5369873047
1488916905.0525898933,1488916905.0552101135,        0.9223632812,        1.9169921875,       -0.4921875000,       34.1186523438,      -15.2435302734,     -114.7308349609
1488916905.0555169582,1488916905.0578069687,        0.8100585938,        1.8081054688,       -0.5375976562,       49.1027832031,      -12.5122070312,     -114.7308349609
1488916905.0580899715,1488916905.0603721142,        0.8100585938,        1.8081054688,       -0.5375976562,       49.1027832031,      -12.5122070312,     -147.0336914062
1488916905.0606529713,1488916905.0629420280,        0.8100585938,        1.8081054688,       -0.5375976562,       61.3861083984,      -18.5089111328,     -147.0336914062
1488916905.0632228851,1488916905.0656020641,        0.8100585938,        1.8081054688,       -0.5375976562,       61.3861083984,      -18.5089111328,     -174.3774414062
1488916905.0658829212,1488916905.0681669712,        0.8300781250,        1.8247070312,       -0.5932617188,       68.7866210938,      -24.4903564453,     -173.2788085938
1488916905.0684490204,1488916905.0707399845,        0.8300781250,        1.8247070312,       -0.5932617188,       68.7866210938,      -24.4903564453,     -173.2788085938
1488916905.0710210800,1488916905.0733020306,        0.8300781250,        1.8247070312,       -0.5932617188,       71.5179443359,      -30.3497314453,     -192.5048828125
1488916905.0736510754,1488916905.0759510994,        0.8300781250,        1.8247070312,       -0.5932617188,       71.5179443359,      -30.3497314453,     -192.5048828125
1488916905.0762329102,1488916905.0785210133,        0.9350585938,        1.6909179688,       -0.5781250000,       72.5402832031,      -35.5834960938,     -205.5053710938
1488916905.0788080692,1488916905.0810899734,        0.9350585938,        1.6909179688,       -0.5781250000,       72.5402832031,      -35.5834960938,     -205.5053710938
1488916905.0813748837,1488916905.0838010311,        0.9350585938,        1.6909179688,       -0.5781250000,       75.0579833984,      -33.2489013672,     -197.8912353516
1488916905.0840880871,1488916905.0863759518,        0.9350585938,        1.6909179688,       -0.4531250000,       75.0579833984,      -33.2489013672,     -197.8912353516
1488916905.0866611004,1488916905.0889470577,        1.6269531250,       -0.1889648438,       -0.3803710938,       76.7669677734,      -19.6228027344,     -135.2539062500
1488916905.0892300606,1488916905.0915229321,        1.6269531250,       -0.1889648438,       -0.3803710938,       76.7669677734,      -19.6228027344,     -135.2539062500
1488916905.0918080807,1488916905.0940990448,        1.6269531250,       -0.1889648438,       -0.3803710938,       57.6782226562,       -8.4838867188,     -101.6235351562
1488916905.0943799019,1488916905.0966720581,        1.6269531250,       -0.1889648438,        0.5722656250,       57.6782226562,       -8.4838867188,     -101.6235351562
1488916905.0971219540,1488916905.0994141102,        0.7553710938,       -2.3769531250,        0.5722656250,        8.2702636719,       -6.3781738281,     -132.3242187500
1488916905.0996921062,1488916905.1019730568,        0.7553710938,       -2.3769531250,        0.5722656250,        8.2702636719,       -6.3781738281,     -132.3242187500
1488916905.1022500992,1488916905.1050529480,        0.7553710938,       -2.3769531250,        0.5722656250,       10.1623535156,       -1.2054443359,     -174.5452880859
1488916905.1053550243,1488916905.1083679199,        0.8227539062,       -0.6420898438,        0.6132812500,       10.1623535156,       -1.2054443359,     -174.5452880859
1488916905.1086680889,1488916905.1110830307,        0.8227539062,       -0.6420898438,        0.6132812500,       89.0655517578,       -8.8806152344,     -225.3570556641
