# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,0.5852128907,-0.0706608073,-0.1312815755,-12.9365997315,-2.1272735596,-105.1037851969
0.0026969910,0.5852128907,-0.0706608073,-0.1312815755,-12.9671173096,-2.1272735596,-105.1037851969
0.0053858757,0.5964433594,-0.0677311198,-0.1390940755,-12.9671173096,-2.3561553955,-104.9206797282
0.0080900192,0.5964433594,-0.0677311198,-0.1390940755,-12.9365997315,-2.3561553955,-104.9206797282
0.0107870102,0.5964433594,-0.0677311198,-0.1390940755,-12.9365997315,-2.5545196533,-104.6002451579
0.0134799480,0.5964433594,-0.0677311198,-0.1415354817,-12.9365997315,-2.5545196533,-104.6002451579
0.0161759853,0.5954667969,-0.0735904948,-0.1415354817,-12.9365997315,-2.4629669189,-104.5239512126
0.0189990997,0.5954667969,-0.0735904948,-0.1415354817,-13.2265167237,-2.4629669189,-104.5239512126
0.0216569901,0.5954667969,-0.0735904948,-0.1415354817,-13.2265167237,-2.2340850830,-104.2798105876
0.0248808861,0.5876542969,-0.0701725260,-0.1381175130,-13.3180694580,-2.2340850830,-104.2798105876
0.0275108814,0.5876542969,-0.0701725260,-0.1381175130,-13.2875518799,-2.1120147705,-103.8373057048
0.0300800800,0.5876542969,-0.0701725260,-0.1381175130,-13.2875518799,-2.1120147705,-103.8373057048
0.0326340199,0.5876542969,-0.0701725260,-0.1381175130,-13.2875518799,-2.1425323486,-103.7915293376
0.0351901054,0.5876542969,-0.0691959636,-0.1346995443,-13.3028106690,-2.1425323486,-103.7915293376
0.0377531052,0.5876542969,-0.0691959636,-0.1346995443,-13.3028106690,-2.1425323486,-103.4558359782
0.0403180122,0.5876542969,-0.0691959636,-0.1346995443,-13.7605743409,-2.4171905518,-103.4558359782
0.0428829193,0.5876542969,-0.0691959636,-0.1346995443,-13.7605743409,-2.4171905518,-103.4558359782
0.0454480648,0.5852128907,-0.0731022136,-0.1366526693,-13.6690216065,-2.1120147705,-103.7610117595
0.0480570793,0.5852128907,-0.0731022136,-0.1366526693,-13.6690216065,-2.1120147705,-103.7610117595
0.0506200790,0.5852128907,-0.0731022136,-0.1366526693,-13.5927276612,-2.0814971924,-103.5016123454
0.0533430576,0.5852128907,-0.0731022136,-0.1366526693,-13.5927276612,-2.0814971924,-103.5016123454
0.0559029579,0.5832597657,-0.0721256510,-0.1400706380,-13.3638458252,-2.4019317627,-103.3337656657
0.0585649014,0.5832597657,-0.0721256510,-0.1400706380,-13.3638458252,-2.4019317627,-103.3337656657
0.0611269474,0.5832597657,-0.0721256510,-0.1400706380,-13.3943634034,-2.5392608643,-102.8760019938
0.0636899471,0.5832597657,-0.0721256510,-0.1400706380,-13.3943634034,-2.5392608643,-102.8760019938
0.0662529469,0.5930253907,-0.0672428386,-0.1425120443,-13.3028106690,-2.5850372315,-102.5403086345
0.0689430237,0.5930253907,-0.0672428386,-0.1425120443,-13.3028106690,-2.5850372315,-102.5403086345
0.0715050697,0.5930253907,-0.0672428386,-0.1425120443,-13.2417755127,-2.3408966065,-102.5860850016
0.0740740299,0.5930253907,-0.0672428386,-0.1425120443,-13.2417755127,-2.3408966065,-102.5860850016
0.0766379833,0.5988847657,-0.0740787760,-0.1371409505,-12.7992706299,-2.4782257080,-102.4029795329
0.0792899132,0.5988847657,-0.0740787760,-0.1371409505,-12.7992706299,-2.4782257080,-102.4029795329
0.0818510056,0.5988847657,-0.0740787760,-0.1371409505,-12.6772003174,-2.3103790283,-102.3724619548
0.0844159126,0.5988847657,-0.0740787760,-0.1395823567,-12.6772003174,-2.3103790283,-102.3724619548
0.0869779587,0.5920488281,-0.0731022136,-0.1395823567,-12.6772003174,-2.8444366455,-101.9452158610
0.0896940231,0.5920488281,-0.0731022136,-0.1395823567,-12.7077178956,-2.8444366455,-101.9452158610
0.0923879147,0.5920488281,-0.0731022136,-0.1395823567,-12.7077178956,-2.6613311768,-101.8384043376
0.0950860977,0.5920488281,-0.0770084636,-0.1410472005,-12.4635772706,-2.6613311768,-101.8384043376
0.0977809429,0.5827714844,-0.0770084636,-0.1410472005,-12.4635772706,-2.3866729736,-101.6858164469
0.1004788876,0.5827714844,-0.0770084636,-0.1410472005,-12.4025421143,-2.3866729736,-101.6858164469
0.1031770706,0.5827714844,-0.0770084636,-0.1410472005,-12.4025421143,-2.3866729736,-101.3196055095
0.1058759689,0.5842363281,-0.0794498698,-0.1410472005,-13.2570343018,-2.7071075439,-101.3196055095
0.1085789204,0.5842363281,-0.0794498698,-0.1410472005,-13.2570343018,-2.7071075439,-101.3958994548
0.1112749577,0.5842363281,-0.0794498698,-0.1410472005,-12.8755645752,-2.7986602783,-101.3958994548
0.1139678955,0.5842363281,-0.0794498698,-0.1410472005,-12.8755645752,-2.7986602783,-101.4721934001
0.1168930531,0.5832597657,-0.0687076823,-0.1430003255,-13.1349639893,-2.8139190674,-101.4721934001
0.1196019650,0.5832597657,-0.0687076823,-0.1430003255,-13.1349639893,-2.9817657471,-101.4569346110
0.1222739220,0.5832597657,-0.0687076823,-0.1430003255,-12.9823760987,-2.9817657471,-101.4569346110
0.1250948906,0.5832597657,-0.0648014323,-0.1303050130,-12.9823760987,-2.6613311768,-101.2890879313
0.1277120113,0.5940019531,-0.0648014323,-0.1303050130,-12.9365997315,-2.6613311768,-101.2890879313
0.1302700043,0.5940019531,-0.0648014323,-0.1303050130,-12.9365997315,-2.6613311768,-101.1822764079
0.1328320503,0.5940019531,-0.0648014323,-0.1303050130,-12.8450469971,-2.7681427002,-101.1822764079
0.1354000568,0.5940019531,-0.0638248698,-0.1371409505,-12.8450469971,-2.7681427002,-101.1822764079
0.1380228996,0.5910722657,-0.0638248698,-0.1371409505,-12.6772003174,-2.2646026611,-101.4874521891
0.1405830383,0.5910722657,-0.0638248698,-0.1371409505,-12.6772003174,-2.2646026611,-101.4874521891
0.1431479454,0.5910722657,-0.0638248698,-0.1371409505,-12.7840118409,-1.9289093018,-101.3501230876
0.1457080841,0.5910722657,-0.0711490886,-0.1351878255,-12.7840118409,-1.9289093018,-101.3501230876
0.1483929157,0.5910722657,-0.0711490886,-0.1351878255,-13.2265167237,-1.9289093018,-101.4111582438
0.1509609222,0.5910722657,-0.0711490886,-0.1351878255,-13.2265167237,-1.9289093018,-101.4111582438
0.1535201073,0.5910722657,-0.0711490886,-0.1351878255,-12.8297882080,-2.1425323486,-101.5332285563
0.1560850143,0.5944902344,-0.0687076823,-0.1288401693,-12.8297882080,-2.1425323486,-101.5332285563
0.1586580276,0.5944902344,-0.0687076823,-0.1288401693,-12.8603057862,-2.3866729736,-101.3653818766
0.1612188816,0.5944902344,-0.0687076823,-0.1288401693,-12.8603057862,-2.3866729736,-101.3653818766
0.1637859344,0.5944902344,-0.0687076823,-0.1288401693,-12.8603057862,-2.5240020752,-101.3348642985
0.1663439274,0.5930253907,-0.0701725260,-0.1400706380,-12.8603057862,-2.5240020752,-101.3348642985
0.1690890789,0.5930253907,-0.0701725260,-0.1400706380,-12.4178009034,-2.6460723877,-101.3043467204
0.1716549397,0.5930253907,-0.0701725260,-0.1400706380,-12.4178009034,-2.6460723877,-101.3043467204
0.1742200851,0.5930253907,-0.0701725260,-0.1400706380,-12.4178009034,-2.7071075439,-101.2280527751
0.1767959595,0.5886308594,-0.0706608073,-0.1425120443,-12.1889190674,-2.7071075439,-101.2280527751
0.1797070503,0.5886308594,-0.0706608073,-0.1425120443,-12.1889190674,-2.5087432861,-101.2890879313
0.1824069023,0.5886308594,-0.0706608073,-0.1425120443,-12.2346954346,-2.5087432861,-101.2890879313
0.1851160526,0.5886308594,-0.0706608073,-0.1415354817,-12.2346954346,-2.4171905518,-101.5637461345
0.1878728867,0.5964433594,-0.0701725260,-0.1415354817,-12.5093536377,-2.4171905518,-101.5637461345
0.1905739307,0.5964433594,-0.0701725260,-0.1415354817,-12.5093536377,-2.2951202393,-101.3348642985
0.1932718754,0.5964433594,-0.0701725260,-0.1415354817,-12.3567657471,-2.2951202393,-101.3348642985
0.1959769726,0.5964433594,-0.0652897136,-0.1371409505,-12.3567657471,-2.0814971924,-101.3501230876
0.1986989975,0.5886308594,-0.0652897136,-0.1371409505,-12.3109893799,-2.0814971924,-101.3501230876
0.2013959885,0.5886308594,-0.0652897136,-0.1371409505,-12.3109893799,-2.2951202393,-101.5179697673
0.2040939331,0.5886308594,-0.0652897136,-0.1371409505,-12.1126251221,-2.2951202393,-101.5179697673
0.2067949772,0.5881425781,-0.0608951823,-0.1381175130,-12.1126251221,-1.7915802002,-101.4264170329
0.2095069885,0.5881425781,-0.0608951823,-0.1381175130,-12.2957305909,-1.7915802002,-101.4264170329
0.2122120857,0.5881425781,-0.0608951823,-0.1381175130,-12.2957305909,-1.6542510986,-101.2433115641
0.2149109840,0.5881425781,-0.0608951823,-0.1381175130,-12.3262481690,-1.6542510986,-101.2433115641
0.2176430225,0.5842363281,-0.0682194010,-0.1273753255,-12.3262481690,-1.9136505127,-101.0754648845
0.2202129364,0.5842363281,-0.0682194010,-0.1273753255,-12.8908233643,-1.9136505127,-101.0754648845
0.2227799892,0.5842363281,-0.0682194010,-0.1273753255,-12.8908233643,-1.9136505127,-101.3958994548
0.2253429890,0.5842363281,-0.0682194010,-0.2523753255,-12.2957305909,-2.2646026611,-101.3958994548
0.2280058861,0.5905839844,-0.0711490886,-0.1307932943,-12.2957305909,-2.2646026611,-101.3806406657
0.2307128906,0.5905839844,-0.0711490886,-0.1307932943,-12.3872833252,-1.8220977783,-101.3806406657
0.2334110737,0.5905839844,-0.0711490886,-0.1307932943,-12.3872833252,-1.8220977783,-101.3196055095
0.2362389565,0.5905839844,-0.0765201823,-0.1322581380,-13.0739288330,-2.0052032471,-101.3196055095
0.2392768860,0.5954667969,-0.0765201823,-0.1322581380,-13.0739288330,-2.0052032471,-101.3501230876
0.2419910431,0.5954667969,-0.0765201823,-0.1322581380,-13.7300567627,-1.7763214111,-101.3501230876
0.2447929382,0.5954667969,-0.0765201823,-0.1322581380,-13.7300567627,-1.5169219971,-101.6247812907
0.2474970818,0.5944902344,-0.0652897136,-0.1386057943,-13.7147979737,-1.5169219971,-101.6247812907
0.2501969337,0.5944902344,-0.0652897136,-0.1386057943,-13.7147979737,-1.2727813721,-101.4569346110
0.2529010773,0.5944902344,-0.0652897136,-0.1386057943,-14.2183380127,-1.2727813721,-101.4569346110
0.2556099892,0.5944902344,-0.0652897136,-0.1386057943,-14.2183380127,-1.2727813721,-101.5942637126
0.2583189011,0.5910722657,-0.0618717448,-0.1405589193,-14.1878204346,-1.1964874268,-101.5942637126
0.2610149384,0.5910722657,-0.0618717448,-0.1405589193,-14.1878204346,-1.1964874268,-101.7315928141
0.2637200356,0.5910722657,-0.0618717448,-0.1405589193,-14.2641143799,-0.9523468018,-101.7315928141
0.2664179802,0.5910722657,-0.0569889323,-0.1371409505,-14.2641143799,-0.9523468018,-101.7621103923
0.2690629959,0.5954667969,-0.0569889323,-0.1371409505,-15.0575714112,-0.6929473877,-101.7621103923
0.2716279030,0.5954667969,-0.0569889323,-0.1371409505,-15.0575714112,-0.6929473877,-101.9757334391
0.2741930485,0.5954667969,-0.0569889323,-0.1371409505,-14.9965362549,-0.4793243408,-101.9757334391
0.2767639160,0.5954667969,-0.0569889323,-0.1317698567,-14.9965362549,-0.4793243408,-101.9757334391
0.2793779373,0.5925371094,-0.0569889323,-0.1317698567,-15.5458526612,-0.1283721924,-101.7926279704
0.2819499969,0.5925371094,-0.0569889323,-0.1317698567,-15.5458526612,-0.1283721924,-101.7926279704
0.2845239639,0.5925371094,-0.0569889323,-0.1317698567,-15.1186065674,-0.5556182861,-102.1588389079
0.2870879173,0.5910722657,-0.0525944010,-0.1356761067,-15.1186065674,-0.5556182861,-102.1588389079
0.2897050381,0.5910722657,-0.0525944010,-0.1356761067,-14.6150665284,-0.6471710205,-102.1588389079
0.2922689915,0.5910722657,-0.0525944010,-0.1356761067,-14.6150665284,-0.6471710205,-102.1588389079
0.2948319912,0.5910722657,-0.0525944010,-0.1356761067,-14.6913604737,-0.2809600830,-102.5097910563
0.2974770069,0.5817949219,-0.0569889323,-0.1293284505,-14.6913604737,-0.2809600830,-102.5097910563
0.3001780510,0.5817949219,-0.0569889323,-0.1293284505,-14.5540313721,-0.3114776611,-102.7997080485
0.3028790951,0.5817949219,-0.0569889323,-0.1293284505,-14.5540313721,-0.3114776611,-102.7997080485
0.3055799007,0.5817949219,-0.0569889323,-0.1293284505,-14.6761016846,-0.4945831299,-103.0896250407
0.3084089756,0.5886308594,-0.0638248698,-0.1381175130,-14.6761016846,-0.4945831299,-103.0896250407
0.3111150265,0.5886308594,-0.0638248698,-0.1381175130,-14.2793731690,-0.3877716065,-103.5016123454
0.3138189316,0.5886308594,-0.0638248698,-0.1381175130,-14.2793731690,-0.3877716065,-103.5016123454
0.3165168762,0.5886308594,-0.0638248698,-0.1278636067,-14.1267852784,-0.3572540283,-103.1354014079
0.3191759586,0.5822832031,-0.0716373698,-0.1278636067,-14.1267852784,-0.3572540283,-103.1354014079
0.3218810558,0.5822832031,-0.0716373698,-0.1278636067,-14.3404083252,-0.1131134033,-102.8149668376
0.3244550228,0.5822832031,-0.0716373698,-0.1278636067,-14.3404083252,-0.1131134033,-102.8149668376
0.3270220757,0.5822832031,-0.0691959636,-0.1288401693,-14.3556671143,-0.2962188721,-102.5097910563
0.3297960758,0.5817949219,-0.0691959636,-0.1288401693,-14.3556671143,-0.2962188721,-102.5097910563
0.3324658871,0.5817949219,-0.0691959636,-0.1288401693,-14.9202423096,-0.1894073486,-102.5860850016
0.3356900215,0.5817949219,-0.0691959636,-0.1288401693,-14.9202423096,-0.1894073486,-102.5860850016
0.3383560181,0.5813066407,-0.0765201823,-0.1268870443,-15.2406768799,0.2530975342,-101.9452158610
0.3409168720,0.5813066407,-0.0765201823,-0.1268870443,-15.2406768799,0.2530975342,-101.9452158610
0.3434810638,0.5813066407,-0.0765201823,-0.1268870443,-15.4695587159,0.4209442139,-101.9604746501
0.3460390568,0.5813066407,-0.0765201823,-0.1268870443,-15.4695587159,0.4209442139,-101.9604746501
