# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7348632812,0.0732421875,0.0493164062,-1.5258789062,-1.3580322266,-5.2490234375
0.0025629997,-0.7348632812,0.0732421875,0.0493164062,-1.9531250000,-1.1138916016,-4.6844482422
0.0051238537,-0.7348632812,0.0732421875,0.0493164062,-1.9531250000,-1.1138916016,-4.6844482422
0.0076858997,-0.7309570312,0.0717773438,0.0449218750,-2.1362304688,-0.8544921875,-3.8452148438
0.0104498863,-0.7309570312,0.0717773438,0.0449218750,-2.1362304688,-0.8544921875,-3.8452148438
0.0131289959,-0.7309570312,0.0717773438,0.0449218750,-2.2583007812,-1.1291503906,-3.7078857422
0.0158059597,-0.7309570312,0.0717773438,0.0449218750,-2.2583007812,-1.1291503906,-3.7078857422
0.0185368061,-0.7270507812,0.0781250000,0.0600585938,-2.2430419922,-0.5645751953,-3.8146972656
0.0212090015,-0.7270507812,0.0781250000,0.0600585938,-2.2430419922,-0.5645751953,-3.8146972656
0.0238878727,-0.7270507812,0.0781250000,0.0600585938,-2.4566650391,-0.9765625000,-3.6315917969
0.0265629292,-0.7270507812,0.0781250000,0.0429687500,-2.4566650391,-0.9765625000,-3.6315917969
0.0291860104,-0.7270507812,0.0766601562,0.0429687500,-2.0904541016,-0.9918212891,-4.0435791016
0.0317468643,-0.7270507812,0.0766601562,0.0429687500,-2.0904541016,-0.9918212891,-4.0435791016
0.0343058109,-0.7270507812,0.0766601562,0.0429687500,-2.0904541016,-1.2207031250,-3.8909912109
0.0369138718,-0.7270507812,0.0766601562,0.0590820312,-2.2277832031,-1.2207031250,-3.8909912109
0.0395507812,-0.7280273438,0.0708007812,0.0590820312,-2.2277832031,-1.2207031250,-3.6315917969
0.0421168804,-0.7280273438,0.0708007812,0.0590820312,-2.0446777344,-0.9307861328,-3.6315917969
0.0446918011,-0.7280273438,0.0708007812,0.0590820312,-2.0446777344,-0.9307861328,-3.6163330078
