# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.0774913736,-0.0457400716,-0.0023748373,-2.3364156087,-0.0408325196,-6.0098063151
0.0025629997,-0.0774913736,-0.0457400716,-0.0023748373,-2.7636617025,0.2033081054,-5.4452311198
0.0051238537,-0.0774913736,-0.0457400716,-0.0023748373,-2.7636617025,0.2033081054,-5.4452311198
0.0076858997,-0.0735851236,-0.0472049153,-0.0067693685,-2.9467671713,0.4627075195,-4.6059977214
0.0104498863,-0.0735851236,-0.0472049153,-0.0067693685,-2.9467671713,0.4627075195,-4.6059977214
0.0131289959,-0.0735851236,-0.0472049153,-0.0067693685,-3.0688374837,0.1880493164,-4.4686686198
0.0158059597,-0.0735851236,-0.0472049153,-0.0067693685,-3.0688374837,0.1880493164,-4.4686686198
0.0185368061,-0.0696788736,-0.0408572591,0.0083673503,-3.0535786947,0.7526245117,-4.5754801432
0.0212090015,-0.0696788736,-0.0408572591,0.0083673503,-3.0535786947,0.7526245117,-4.5754801432
0.0238878727,-0.0696788736,-0.0408572591,0.0083673503,-3.2672017416,0.3406372070,-4.3923746745
0.0265629292,-0.0696788736,-0.0408572591,-0.0087224935,-3.2672017416,0.3406372070,-4.3923746745
0.0291860104,-0.0696788736,-0.0423221029,-0.0087224935,-2.9009908041,0.3253784179,-4.8043619792
0.0317468643,-0.0696788736,-0.0423221029,-0.0087224935,-2.9009908041,0.3253784179,-4.8043619792
0.0343058109,-0.0696788736,-0.0423221029,-0.0087224935,-2.9009908041,0.0964965820,-4.6517740885
0.0369138718,-0.0696788736,-0.0423221029,0.0073907877,-3.0383199056,0.0964965820,-4.6517740885
0.0395507812,-0.0706554362,-0.0481814779,0.0073907877,-3.0383199056,0.0964965820,-4.3923746745
0.0421168804,-0.0706554362,-0.0481814779,0.0073907877,-2.8552144369,0.3864135742,-4.3923746745
0.0446918011,-0.0706554362,-0.0481814779,0.0073907877,-2.8552144369,0.3864135742,-4.3771158854
