# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.1600499675,-0.1333295898,0.0615541993,4.0087636312,-1.8237253825,-7.9986572266
0.0025599003,-0.1600499675,-0.1333295898,0.0615541993,2.5134023030,-1.6253611247,-7.9986572266
0.0051209927,-0.1600499675,-0.1333295898,0.0615541993,2.5134023030,-1.6253611247,-7.9986572266
0.0077428818,-0.1683507487,-0.1264936523,0.0591127930,1.7657216390,-1.4880320231,-7.8155517579
0.0103919506,-0.1683507487,-0.1264936523,0.0591127930,1.7657216390,-1.4880320231,-7.8155517579
0.0129508972,-0.1683507487,-0.1264936523,0.0591127930,2.1166737874,-1.3354441325,-7.4798583985
0.0155107975,-0.1683507487,-0.1264936523,0.0591127930,2.1166737874,-1.3354441325,-7.4798583985
0.0182018280,-0.1610265299,-0.1416303710,0.0625307617,2.1777089437,-1.3964792888,-6.8237304688
0.0207829475,-0.1610265299,-0.1416303710,0.0625307617,2.1777089437,-1.3964792888,-6.8237304688
0.0233378410,-0.1610265299,-0.1416303710,0.0625307617,2.3150380452,-1.3964792888,-6.3812255860
0.0258929729,-0.1610265299,-0.1416303710,0.0625307617,2.3150380452,-1.3964792888,-6.3812255860
0.0286598206,-0.1795812175,-0.1533491210,0.0625307617,2.9559071859,-1.3354441325,-5.4504394532
0.0312268734,-0.1795812175,-0.1533491210,0.0625307617,2.9559071859,-1.3354441325,-5.4504394532
0.0337779522,-0.1795812175,-0.1533491210,0.0625307617,3.2153065999,-0.6182810466,-4.6264648438
0.0363509655,-0.1795812175,-0.1533491210,0.0625307617,3.2153065999,-0.6182810466,-4.6264648438
0.0390188694,-0.1878819987,-0.1733686523,0.0610659180,2.2692616780,-0.5267283122,-4.2907714844
0.0415878296,-0.1878819987,-0.1733686523,0.0610659180,2.2692616780,-0.5267283122,-4.2907714844
0.0441489220,-0.1878819987,-0.1733686523,0.0610659180,2.2692616780,-0.3283640544,-3.2684326172
