# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7485351562,0.3491210938,0.0195312500,17.7612304688,-2.6092529297,20.8282470703
0.0027010441,-0.7636718750,0.3095703125,0.0195312500,17.7612304688,-2.6092529297,24.5361328125
0.0053980350,-0.7636718750,0.3095703125,0.0195312500,19.6228027344,-1.8615722656,24.5361328125
0.0081071854,-0.7636718750,0.3095703125,0.0195312500,19.6228027344,-1.8615722656,28.2135009766
0.0108060837,-0.7836914062,0.3837890625,0.0063476562,22.0031738281,-1.4343261719,28.2135009766
0.0135111809,-0.7836914062,0.3837890625,0.0063476562,22.0031738281,-1.4343261719,32.1655273438
0.0162250996,-0.7836914062,0.3837890625,0.0063476562,23.6663818359,-1.2512207031,32.1655273438
0.0189261436,-0.7836914062,0.3837890625,0.0063476562,23.6663818359,-1.2512207031,36.7889404297
0.0216240883,-0.7792968750,0.4077148438,0.0043945312,24.8565673828,-1.6326904297,36.7889404297
0.0243210793,-0.7792968750,0.4077148438,0.0043945312,24.8565673828,-1.6326904297,41.3513183594
0.0269730091,-0.7792968750,0.4077148438,0.0043945312,24.8565673828,-1.9989013672,41.3513183594
0.0295410156,-0.7792968750,0.4077148438,0.0043945312,24.8565673828,-1.9989013672,46.1578369141
0.0321090221,-0.7880859375,0.4321289062,0.0200195312,23.2543945312,-1.7547607422,46.1578369141
0.0346820354,-0.7880859375,0.4321289062,0.0200195312,23.2543945312,-1.7547607422,46.1578369141
0.0372810364,-0.7880859375,0.4321289062,0.0200195312,20.0958251953,-1.1749267578,51.4831542969
0.0398550034,-0.7880859375,0.4321289062,0.0200195312,20.0958251953,-1.1749267578,51.4831542969
0.0424280167,-0.7773437500,0.4790039062,0.0190429688,15.3045654297,-0.9460449219,57.0373535156
0.0449950695,-0.7773437500,0.4790039062,0.0190429688,15.3045654297,-0.9460449219,57.0373535156
0.0477170944,-0.7773437500,0.4790039062,0.0190429688,10.5438232422,-1.0070800781,63.2476806641
0.0502879620,-0.7773437500,0.4790039062,0.0170898438,10.5438232422,-1.0070800781,63.2476806641
0.0530130863,-0.7709960938,0.4916992188,0.0170898438,5.0354003906,-1.1291503906,69.1986083984
0.0555830002,-0.7709960938,0.4916992188,0.0170898438,5.0354003906,-1.1291503906,69.1986083984
0.0583319664,-0.7709960938,0.4916992188,0.0170898438,-1.2664794922,-0.7019042969,75.3173828125
0.0609011650,-0.7709960938,0.4833984375,0.0156250000,-1.2664794922,-0.7019042969,75.3173828125
0.0634679794,-0.7543945312,0.4833984375,0.0156250000,-8.8653564453,-0.9765625000,81.8939208984
0.0661270618,-0.7543945312,0.4833984375,0.0156250000,-8.8653564453,-0.9765625000,81.8939208984
0.0687081814,-0.7543945312,0.4833984375,0.0156250000,-18.8598632812,-1.4343261719,88.1958007812
0.0712921619,-0.7543945312,0.5268554688,0.0356445312,-18.8598632812,-1.4343261719,88.1958007812
0.0738739967,-0.7529296875,0.5268554688,0.0356445312,-30.5786132812,-1.6174316406,94.6655273438
0.0764529705,-0.7529296875,0.5268554688,0.0356445312,-29.1595458984,-1.6174316406,94.6655273438
0.0790259838,-0.7529296875,0.5268554688,0.0356445312,-29.1595458984,-1.3580322266,101.0437011719
0.0815889835,-0.7524414062,0.5854492188,0.0556640625,-40.2069091797,-1.3580322266,101.0437011719
0.0841560364,-0.7524414062,0.5854492188,0.0556640625,-40.2069091797,-1.3580322266,107.7880859375
0.0868151188,-0.7524414062,0.5854492188,0.0556640625,-51.2847900391,-1.7089843750,107.7880859375
0.0896050930,-0.7524414062,0.5854492188,0.0556640625,-51.2847900391,-1.7089843750,113.5101318359
