# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,0.2101686198,0.1493782553,-0.0873437500,8.2054138184,-1.5130666097,-34.0367736817
0.0027010441,0.1950319010,0.1098274740,-0.0873437500,8.2054138184,-1.5130666097,-30.3288879395
0.0053980350,0.1950319010,0.1098274740,-0.0873437500,10.0669860840,-0.7653859456,-30.3288879395
0.0081071854,0.1950319010,0.1098274740,-0.0873437500,10.0669860840,-0.7653859456,-26.6515197754
0.0108060837,0.1750123698,0.1840462240,-0.1005273438,12.4473571777,-0.3381398519,-26.6515197754
0.0135111809,0.1750123698,0.1840462240,-0.1005273438,12.4473571777,-0.3381398519,-22.6994934082
0.0162250996,0.1750123698,0.1840462240,-0.1005273438,14.1105651855,-0.1550343831,-22.6994934082
0.0189261436,0.1750123698,0.1840462240,-0.1005273438,14.1105651855,-0.1550343831,-18.0760803223
0.0216240883,0.1794069010,0.2079720053,-0.1024804688,15.3007507324,-0.5365041097,-18.0760803223
0.0243210793,0.1794069010,0.2079720053,-0.1024804688,15.3007507324,-0.5365041097,-13.5137023926
0.0269730091,0.1794069010,0.2079720053,-0.1024804688,15.3007507324,-0.9027150472,-13.5137023926
0.0295410156,0.1794069010,0.2079720053,-0.1024804688,15.3007507324,-0.9027150472,-8.7071838379
0.0321090221,0.1706178385,0.2323860677,-0.0868554688,13.6985778808,-0.6585744222,-8.7071838379
0.0346820354,0.1706178385,0.2323860677,-0.0868554688,13.6985778808,-0.6585744222,-8.7071838379
0.0372810364,0.1706178385,0.2323860677,-0.0868554688,10.5400085449,-0.0787404378,-3.3818664551
0.0398550034,0.1706178385,0.2323860677,-0.0868554688,10.5400085449,-0.0787404378,-3.3818664551
0.0424280167,0.1813600260,0.2792610677,-0.0878320312,5.7487487793,0.1501413981,2.1723327636
0.0449950695,0.1813600260,0.2792610677,-0.0878320312,5.7487487793,0.1501413981,2.1723327636
0.0477170944,0.1813600260,0.2792610677,-0.0878320312,0.9880065918,0.0891062419,8.3826599121
0.0502879620,0.1813600260,0.2792610677,-0.0897851562,0.9880065918,0.0891062419,8.3826599121
0.0530130863,0.1877076822,0.2919563803,-0.0897851562,-4.5204162598,-0.0329640706,14.3335876464
0.0555830002,0.1877076822,0.2919563803,-0.0897851562,-4.5204162598,-0.0329640706,14.3335876464
0.0583319664,0.1877076822,0.2919563803,-0.0897851562,-10.8222961426,0.3942820231,20.4523620605
0.0609011650,0.1877076822,0.2836555990,-0.0912500000,-10.8222961426,0.3942820231,20.4523620605
0.0634679794,0.2043092448,0.2836555990,-0.0912500000,-18.4211730957,0.1196238200,27.0289001464
0.0661270618,0.2043092448,0.2836555990,-0.0912500000,-18.4211730957,0.1196238200,27.0289001464
0.0687081814,0.2043092448,0.2836555990,-0.0912500000,-28.4156799316,-0.3381398519,33.3307800292
0.0712921619,0.2043092448,0.3271126303,-0.0712304688,-28.4156799316,-0.3381398519,33.3307800292
0.0738739967,0.2057740885,0.3271126303,-0.0712304688,-40.1344299316,-0.5212453206,39.8005065918
0.0764529705,0.2057740885,0.3271126303,-0.0712304688,-38.7153625488,-0.5212453206,39.8005065918
0.0790259838,0.2057740885,0.3271126303,-0.0712304688,-38.7153625488,-0.2618459066,46.1786804199
0.0815889835,0.2062623698,0.3857063803,-0.0512109375,-49.7627258301,-0.2618459066,46.1786804199
0.0841560364,0.2062623698,0.3857063803,-0.0512109375,-49.7627258301,-0.2618459066,52.9230651855
0.0868151188,0.2062623698,0.3857063803,-0.0512109375,-60.8406066895,-0.6127980550,52.9230651855
0.0896050930,0.2062623698,0.3857063803,-0.0512109375,-60.8406066895,-0.6127980550,58.6451110839
0.0923161507,0.2336061198,0.4198860677,-0.0204492188,-67.6002502442,-1.0553029378,58.6451110839
0.0950231552,0.2336061198,0.4198860677,-0.0204492188,-67.6002502442,-1.0553029378,61.9562683105
0.0977361202,0.2336061198,0.4198860677,-0.0204492188,-67.2798156738,-1.1315968831,61.9562683105
0.1005630493,0.2336061198,0.4198860677,-0.0204492188,-67.2798156738,-1.1315968831,63.5279235839
0.1032471657,0.2790162760,0.2084602865,-0.0858789062,-64.0907287598,-1.4520314534,63.5279235839
0.1059920788,0.2790162760,0.2084602865,-0.0858789062,-64.0907287598,-1.4520314534,65.5115661621
0.1085650921,0.2790162760,0.2084602865,-0.0858789062,-62.2291564942,-3.4356740316,65.5115661621
0.1111381054,0.2790162760,0.0834602865,-0.0180078125,-62.2291564942,-3.4356740316,68.4107360839
0.1138069630,0.3278444010,0.1669563803,-0.0180078125,-64.9909973145,-5.4650929769,68.4107360839
0.1165361404,0.3278444010,0.1669563803,-0.0180078125,-64.9909973145,-5.4650929769,72.3169860839
0.1191070080,0.3278444010,0.1669563803,-0.0180078125,-71.0639953613,-6.8078664144,71.5387878418
0.1216750145,0.4528444010,0.2343391927,0.0728125000,-71.0639953613,-6.8078664144,71.5387878418
0.1242380142,0.3639772135,0.2343391927,0.0728125000,-73.6885070801,-8.5321095784,73.7360534668
0.1269440651,0.3639772135,0.2343391927,0.0728125000,-73.6885070801,-8.5321095784,73.7360534668
0.1295111179,0.3639772135,0.2343391927,0.0728125000,-73.2002258301,-11.6449025472,76.1774597168
0.1320791245,0.3991334635,0.1899055990,0.0737890625,-73.2002258301,-11.6449025472,76.1774597168
0.1346571445,0.3991334635,0.1899055990,0.0737890625,-72.0252990723,-15.8410695394,78.9850769042
0.1372370720,0.3991334635,0.1899055990,0.0737890625,-72.0252990723,-15.8410695394,78.9850769042
0.1398110390,0.3991334635,0.1899055990,0.0737890625,-67.9206848145,-20.9680226644,81.0602722168
