# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-1.6663395182,-0.4901671549,-1.2453844401,-21.3695017497,37.0423075358,180.2519989014
0.0028879642,-1.6663395182,-0.4901671549,-1.2453844401,-54.9846140543,25.8728739420,189.5598602295
0.0055999756,-1.6663395182,-0.4901671549,-1.2453844401,-54.9846140543,25.8728739420,189.5598602295
0.0082900524,-0.4676090495,-0.4838194987,-0.4558336588,-88.1572214762,16.3056131998,199.2949676514
0.0110499859,-0.4676090495,-0.4838194987,-0.4558336588,-88.1572214762,16.3056131998,199.2949676514
0.0137181282,-0.4676090495,-0.4838194987,-0.4558336588,-94.5201365153,14.8407694498,207.6262664795
0.0179200172,-0.4676090495,0.5137390951,0.1681897786,-94.5201365153,14.8407694498,207.6262664795
0.0204930305,0.7482112630,0.5137390951,0.1681897786,-69.9840037028,14.5661112467,204.8339080811
0.0230600834,0.7482112630,0.5137390951,0.1681897786,-69.9840037028,14.5661112467,204.8339080811
0.0257141590,0.7482112630,0.5137390951,0.1681897786,-30.8909861247,13.0097147623,183.3495330811
0.0282840729,0.8732112630,0.8760437826,0.1886975912,-30.8909861247,13.0097147623,183.3495330811
0.0308501720,0.8859065755,0.8760437826,0.1886975912,-7.4534861247,9.0729471842,154.2662811279
0.0334060192,0.8859065755,0.8760437826,0.1886975912,-7.4534861247,9.0729471842,154.2662811279
0.0360901356,0.8859065755,0.8760437826,0.1886975912,-3.1962839762,3.5187479655,136.5050506592
0.0386641026,0.5045589192,0.5557312826,-0.1008531901,-3.1962839762,3.5187479655,136.5050506592
0.0412321091,0.5045589192,0.5557312826,-0.1008531901,11.3911183675,-4.2327168783,123.9318084717
0.0437991619,0.5045589192,0.5557312826,-0.1008531901,11.3911183675,-4.2327168783,123.9318084717
0.0465199947,0.5045589192,0.5557312826,-0.1008531901,34.6607716878,-5.2245381674,111.0381317139
0.0490951538,0.2545589192,0.2339539389,-0.3098375651,34.6607716878,-5.2245381674,111.0381317139
0.0516610146,0.2545589192,0.2339539389,-0.3098375651,40.6422170003,-3.1951192221,104.6141815186
0.0543870926,0.2545589192,0.2339539389,-0.3098375651,40.6422170003,-3.1951192221,104.6141815186
0.0571451187,0.2545589192,0.2339539389,-0.3098375651,32.7229054769,-2.7831319174,100.4790496826
0.0597131252,-0.0633121745,-0.0927062174,-0.1618883464,32.7229054769,-2.7831319174,100.4790496826
0.0622830391,-0.0633121745,-0.0927062174,-0.1618883464,32.7229054769,-1.9591573080,98.4954071045
0.0648481846,-0.0633121745,-0.0927062174,-0.1618883464,19.6156056722,-1.9591573080,98.4954071045
0.0676059723,-0.0633121745,-0.0927062174,-0.1618883464,19.6156056722,1.9470926920,101.0131072998
0.0701820850,-0.0061832682,-0.1971984049,-0.1184313151,5.6385548910,-1.4250996908,101.0131072998
0.0727541447,-0.0061832682,-0.1971984049,-0.1184313151,5.6385548910,-1.4250996908,103.5918426514
0.0753171444,-0.0061832682,-0.1971984049,-0.1184313151,-2.5096384684,-0.1128438314,103.5918426514
0.0780191422,-0.0061832682,-0.1971984049,-0.0520250651,-2.5096384684,-0.1128438314,101.7455291748
0.0805881023,0.0748714192,0.2246765951,-0.0520250651,-4.9052683512,0.7874247233,101.7455291748
0.0831580162,0.0748714192,0.2246765951,-0.0520250651,-4.9052683512,0.7874247233,101.7455291748
0.0857791901,0.0748714192,0.2246765951,-0.0520250651,-5.3477732340,-1.6844991049,97.3357391358
0.0883460045,0.0748714192,0.2246765951,-0.0364000651,-5.3477732340,-1.6844991049,97.3357391358
0.0909211636,0.2130550130,0.2012390951,-0.0364000651,-2.9826609293,-6.2468770345,92.4681854248
0.0934901237,0.2130550130,0.2012390951,-0.0364000651,-2.9826609293,-6.2468770345,92.4681854248
0.0960571766,0.2130550130,0.2012390951,-0.0364000651,3.3802541097,-9.7869160971,86.9902801514
0.0986320972,0.2130550130,0.1787781576,0.0812757162,3.3802541097,-9.7869160971,86.9902801514
0.1012029648,0.1754573568,0.1787781576,0.0812757162,10.9333546957,-11.5721944174,80.4747772217
0.1037790775,0.1754573568,0.1787781576,0.0812757162,10.9333546957,-11.5721944174,80.4747772217
0.1066370010,0.1754573568,0.1787781576,0.0812757162,20.0581105550,-12.8997090658,73.2115936279
0.1092109680,0.1778987630,0.2339539389,0.1242444662,20.0581105550,-12.8997090658,73.2115936279
0.1123631001,0.1778987630,0.2339539389,0.1242444662,29.4270070394,-16.5923360189,66.3146209717
0.1149380207,0.1778987630,0.2339539389,0.1242444662,29.4270070394,-16.5923360189,66.3146209717
0.1176321507,0.1778987630,0.2339539389,0.1242444662,32.5092824300,-18.3318379721,61.4012908936
0.1202061176,0.1686214192,0.1211609701,-0.0061266276,32.5092824300,-18.3318379721,61.4012908936
0.1227760315,0.1686214192,0.1211609701,-0.0061266276,28.7098439535,-20.0560811361,59.4023895264
0.1253480911,0.1686214192,0.1211609701,-0.0061266276,28.7098439535,-20.0560811361,59.4023895264
0.1280140877,0.1686214192,0.1211609701,-0.0061266276,21.7518361410,-21.6429951986,58.5631561279
0.1305880547,0.0924495442,0.1128601889,-0.0344469401,21.7518361410,-21.6429951986,58.5631561279
0.1331610680,0.0924495442,0.1128601889,-0.0344469401,13.9393361410,-20.3917744955,57.0067596436
0.1357820034,0.0924495442,0.1128601889,-0.0344469401,15.8161671957,-20.3917744955,57.0067596436
0.1383521557,0.0924495442,0.1128601889,-0.0344469401,15.8161671957,-20.3917744955,53.9092254639
