# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.2270507812,0.6796875000,-0.1347656250,-0.3662109375,-1.0223388672,-0.6256103516
0.0026898384,-0.2270507812,0.6796875000,-0.1347656250,0.4119873047,-1.3122558594,-0.7019042969
0.0053758621,-0.2270507812,0.6796875000,-0.1347656250,0.4119873047,-1.3122558594,-0.7019042969
0.0080778599,-0.2270507812,0.6796875000,-0.1347656250,0.2136230469,-1.2512207031,-0.6866455078
0.0107710361,-0.2290039062,0.6777343750,-0.1303710938,0.2136230469,-1.2512207031,-0.6866455078
0.0134618282,-0.2290039062,0.6777343750,-0.1303710938,0.3051757812,-0.9002685547,-0.6561279297
0.0161569118,-0.2290039062,0.6777343750,-0.1303710938,0.3051757812,-0.9002685547,-0.6561279297
0.0188109875,-0.2290039062,0.6777343750,-0.1303710938,0.3051757812,-1.2207031250,-0.8850097656
0.0213708878,-0.2231445312,0.6796875000,-0.1333007812,0.5493164062,-1.2207031250,-0.8850097656
0.0239338875,-0.2231445312,0.6796875000,-0.1333007812,0.5493164062,-1.2207031250,-0.8087158203
0.0264940262,-0.2231445312,0.6796875000,-0.1333007812,0.3967285156,-1.5716552734,-0.8087158203
0.0291788578,-0.2231445312,0.6796875000,-0.1333007812,0.3967285156,-1.5716552734,-0.7324218750
0.0317430496,-0.2182617188,0.6762695312,-0.1337890625,0.5493164062,-1.8157958984,-0.7324218750
0.0342988968,-0.2182617188,0.6762695312,-0.1337890625,0.5493164062,-1.8157958984,-0.7324218750
0.0368700027,-0.2182617188,0.6762695312,-0.1337890625,0.4272460938,-1.6479492188,-0.8544921875
0.0395328999,-0.2182617188,0.6762695312,-0.1333007812,0.4272460938,-1.6479492188,-0.8544921875
0.0420958996,-0.2236328125,0.6806640625,-0.1333007812,0.4730224609,-1.8005371094,-0.7781982422
0.0449390411,-0.2236328125,0.6806640625,-0.1333007812,0.4730224609,-1.8005371094,-0.7781982422
0.0475080013,-0.2236328125,0.6806640625,-0.1333007812,-0.0152587891,-1.7852783203,-0.7019042969
0.0505490303,-0.2172851562,0.6811523438,-0.1367187500,-0.0152587891,-1.7852783203,-0.7019042969
