# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.0077045898,0.0933077799,-0.0037591146,-0.2383015951,-0.8155517578,-0.0728454590
0.0026898384,-0.0077045898,0.0933077799,-0.0037591146,0.5398966471,-1.1054687500,-0.1491394043
0.0053758621,-0.0077045898,0.0933077799,-0.0037591146,0.5398966471,-1.1054687500,-0.1491394043
0.0080778599,-0.0077045898,0.0933077799,-0.0037591146,0.3415323893,-1.0444335937,-0.1338806152
0.0107710361,-0.0096577148,0.0913546549,0.0006354166,0.3415323893,-1.0444335937,-0.1338806152
0.0134618282,-0.0096577148,0.0913546549,0.0006354166,0.4330851236,-0.6934814453,-0.1033630371
0.0161569118,-0.0096577148,0.0913546549,0.0006354166,0.4330851236,-0.6934814453,-0.1033630371
0.0188109875,-0.0096577148,0.0913546549,0.0006354166,0.4330851236,-1.0139160156,-0.3322448730
0.0213708878,-0.0037983398,0.0933077799,-0.0022942708,0.6772257486,-1.0139160156,-0.3322448730
0.0239338875,-0.0037983398,0.0933077799,-0.0022942708,0.6772257486,-1.0139160156,-0.2559509277
0.0264940262,-0.0037983398,0.0933077799,-0.0022942708,0.5246378580,-1.3648681640,-0.2559509277
0.0291788578,-0.0037983398,0.0933077799,-0.0022942708,0.5246378580,-1.3648681640,-0.1796569824
0.0317430496,0.0010844726,0.0898898111,-0.0027825521,0.6772257486,-1.6090087890,-0.1796569824
0.0342988968,0.0010844726,0.0898898111,-0.0027825521,0.6772257486,-1.6090087890,-0.1796569824
0.0368700027,0.0010844726,0.0898898111,-0.0027825521,0.5551554362,-1.4411621094,-0.3017272949
0.0395328999,0.0010844726,0.0898898111,-0.0022942708,0.5551554362,-1.4411621094,-0.3017272949
0.0420958996,-0.0042866211,0.0942843424,-0.0022942708,0.6009318033,-1.5937500000,-0.2254333496
0.0449390411,-0.0042866211,0.0942843424,-0.0022942708,0.6009318033,-1.5937500000,-0.2254333496
0.0475080013,-0.0042866211,0.0942843424,-0.0022942708,0.1126505533,-1.5784912109,-0.1491394043
0.0505490303,0.0020610352,0.0947726237,-0.0057122396,0.1126505533,-1.5784912109,-0.1491394043
0.0534119606,0.0020610352,0.0947726237,-0.0057122396,0.0821329752,-1.5632324218,-0.3780212402
0.0561099052,0.0020610352,0.0947726237,-0.0057122396,0.0821329752,-1.5632324218,-0.6069030762
0.0588638783,0.0020610352,0.0947726237,-0.0057122396,0.9213663736,-1.8531494140,-0.6069030762
0.0615599155,0.0020610352,0.0869601237,-0.0086419271,0.9213663736,-1.8531494140,-0.6069030762
0.0642590523,0.0020610352,0.0869601237,-0.0086419271,1.2875773112,-1.5784912109,-0.5763854980
0.0669560432,0.0020610352,0.0869601237,-0.0086419271,1.2875773112,-1.5784912109,-0.5763854980
0.0696630478,0.0020610352,0.0869601237,-0.0042473958,0.7230021158,-1.1665039062,-0.5306091308
0.0723669529,-0.0008686524,0.0898898111,-0.0042473958,0.7230021158,-1.1665039062,-0.5306091308
0.0750589371,-0.0008686524,0.0898898111,-0.0042473958,0.8603312174,-1.1359863281,-0.4390563965
