# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.1397320963,0.0027283529,-0.0324485677,4.2026519776,4.5095062255,17.6055603027
0.0026960373,-0.1451031901,-0.0045958659,-0.0304954427,4.2026519776,4.5095062255,17.6055603027
0.0053911209,-0.1451031901,-0.0045958659,-0.0304954427,5.4538726807,4.0822601318,18.5821228027
0.0081431866,-0.1451031901,-0.0045958659,-0.0304954427,5.4538726807,4.0822601318,18.5821228027
0.0108389854,-0.1451031901,-0.0045958659,-0.0304954427,6.6135406494,4.0822601318,19.4518737793
0.0135362148,-0.1382672526,-0.0036193034,-0.0470970052,6.6135406494,4.0822601318,19.4518737793
0.0162281990,-0.1382672526,-0.0036193034,-0.0470970052,7.2849273682,4.4637298583,20.7183532715
0.0190181732,-0.1382672526,-0.0036193034,-0.0470970052,7.2849273682,4.4637298583,20.7183532715
0.0215849876,-0.1382672526,-0.0036193034,-0.0451438802,8.2157135010,4.4179534912,21.9085388183
0.0241479874,-0.1431500651,-0.0070372721,-0.0451438802,8.2157135010,4.4179534912,21.9085388183
0.0267181396,-0.1431500651,-0.0070372721,-0.0451438802,9.5432281494,4.3111419677,23.6480407715
0.0293991566,-0.1431500651,-0.0070372721,-0.0451438802,9.5432281494,4.3111419677,23.6480407715
0.0319650173,-0.1431500651,-0.0070372721,-0.0524680990,10.1993560791,5.1351165771,25.1891784668
0.0354051590,-0.1490094401,-0.0260802409,-0.0524680990,10.1993560791,5.1351165771,25.1891784668
0.0380821228,-0.1490094401,-0.0260802409,-0.0524680990,10.4740142822,6.0659027099,27.0049743652
0.0407559872,-0.1490094401,-0.0260802409,-0.0524680990,10.4740142822,6.0659027099,27.0049743652
0.0434191227,-0.1636578776,-0.0397521159,-0.0446555990,10.7791900635,6.6457366943,29.0954284668
0.0460910797,-0.1636578776,-0.0397521159,-0.0446555990,10.7791900635,6.6457366943,29.0954284668
0.0487940311,-0.1636578776,-0.0397521159,-0.0446555990,10.6266021729,6.5389251709,31.3079528808
0.0514872074,-0.1636578776,-0.0397521159,-0.0446555990,10.6266021729,6.5389251709,31.3079528808
0.0543401241,-0.1748883463,-0.0382872721,-0.0441673177,10.0772857666,6.6304779052,33.1542663574
0.0570321083,-0.1748883463,-0.0382872721,-0.0441673177,10.0772857666,6.6304779052,33.1542663574
0.0597209930,-0.1748883463,-0.0382872721,-0.0441673177,9.4821929932,6.6762542724,35.7177429199
0.0624501705,-0.1748883463,-0.0343810221,-0.0392845052,9.4821929932,6.6762542724,35.7177429199
0.0651562214,-0.1870953776,-0.0343810221,-0.0392845052,9.8178863526,6.4473724365,37.8387145996
0.0678491592,-0.1870953776,-0.0343810221,-0.0392845052,9.8178863526,6.4473724365,37.8387145996
0.0704281330,-0.1870953776,-0.0343810221,-0.0392845052,10.2451324463,6.5236663818,40.1427917480
0.0730001926,-0.1861188151,-0.0338927409,-0.0358665364,10.2451324463,6.5236663818,40.1427917480
0.0755770206,-0.1861188151,-0.0338927409,-0.0358665364,10.3214263916,6.5999603271,42.2942810058
0.0782611370,-0.1861188151,-0.0338927409,-0.0358665364,10.3214263916,6.5999603271,42.2942810058
0.0808341503,-0.1861188151,-0.0338927409,-0.0358665364,10.3824615479,5.6996917724,44.7204284668
0.0834181309,-0.1929547526,-0.0348693034,-0.0417259114,10.3824615479,5.6996917724,44.7204284668
0.0859971046,-0.1929547526,-0.0348693034,-0.0417259114,10.3824615479,5.6386566162,46.6888122558
0.0887160301,-0.1929547526,-0.0348693034,-0.0417259114,10.5045318604,5.6386566162,46.6888122558
0.0914130211,-0.1929547526,-0.0348693034,-0.0417259114,10.5045318604,5.0130462646,48.3825378418
0.0941011906,-0.2119977213,-0.0417052409,-0.0241477864,10.8402252197,5.0130462646,48.3825378418
0.0967922211,-0.2119977213,-0.0417052409,-0.0241477864,10.8402252197,4.1585540771,51.3427429199
0.0995311737,-0.2119977213,-0.0417052409,-0.0241477864,10.7181549072,4.1585540771,51.3427429199
0.1022191048,-0.2119977213,-0.0417052409,-0.0241477864,10.7181549072,2.0833587646,53.9062194824
0.1049101353,-0.2383649089,-0.0827208659,-0.0270774740,9.4669342041,2.0833587646,53.9062194824
0.1076450348,-0.2383649089,-0.0827208659,-0.0270774740,9.4669342041,0.4048919677,56.1797790527
0.1103351116,-0.2383649089,-0.0827208659,-0.0270774740,8.5514068604,0.4048919677,56.1797790527
0.1130211353,-0.2383649089,-0.0485411784,-0.0143821614,8.5514068604,-0.5564117432,57.6598815918
0.1157040596,-0.2515485026,-0.0485411784,-0.0143821614,9.4516754150,-0.5564117432,57.6598815918
0.1185150146,-0.2515485026,-0.0485411784,-0.0143821614,9.4516754150,-1.4871978760,59.2315368652
0.1212060452,-0.2515485026,-0.0485411784,-0.0143821614,9.8636627197,-1.4871978760,59.2315368652
0.1238930225,-0.2710797526,0.0139588216,-0.0280540364,9.8636627197,-2.4942779541,60.4827575683
0.1265881062,-0.2710797526,0.0139588216,-0.0280540364,10.6418609619,-2.4942779541,60.4827575683
0.1293201447,-0.2710797526,0.0139588216,-0.0280540364,10.6418609619,-2.4942779541,61.3830261230
0.1320021152,-0.2710797526,0.0139588216,-0.0280540364,12.1219635010,-3.4555816651,61.3830261230
0.1346950531,-0.2857281901,0.0085877279,-0.0510032552,12.1219635010,-3.4555816651,62.3138122558
0.1373801231,-0.2857281901,0.0085877279,-0.0510032552,14.2276763916,-4.0201568604,62.3138122558
0.1400971413,-0.2857281901,0.0085877279,-0.0510032552,14.2276763916,-4.0201568604,63.2293395996
0.1427621841,-0.2857281901,0.0085877279,-0.0724876302,16.1808013916,-5.0882720948,63.2293395996
0.1457121372,-0.2945172526,0.0203064779,-0.0724876302,16.1808013916,-5.8512115479,64.0075378418
0.1486279964,-0.2945172526,0.0203064779,-0.0724876302,18.9426422119,-5.8512115479,64.0075378418
0.1513290405,-0.2945172526,0.0203064779,-0.0724876302,18.9426422119,-6.7209625245,64.8772888183
0.1540470123,-0.3116070963,0.0247010091,-0.0744407552,21.4450836182,-6.7209625245,64.8772888183
0.1567540169,-0.3116070963,0.0247010091,-0.0744407552,25.3513336182,-6.7819976807,65.7775573730
0.1594660282,-0.3116070963,0.0247010091,-0.0744407552,23.8101959229,-6.7819976807,65.7775573730
0.1621770859,-0.3116070963,0.0247010091,-0.0744407552,23.8101959229,-6.3547515870,67.0287780761
0.1648821831,-0.3404156901,0.0134705403,-0.0734641927,25.7022857666,-6.3547515870,67.0287780761
0.1675879955,-0.3404156901,0.0134705403,-0.0734641927,25.7022857666,-6.1869049073,67.7459411621
0.1703040600,-0.3404156901,0.0134705403,-0.0734641927,26.4194488526,-6.1869049073,67.7459411621
0.1730101109,-0.3404156901,0.0134705403,-0.0495384114,26.4194488526,-5.4239654541,68.3715515137
0.1757261753,-0.3999860026,-0.0070372721,-0.0495384114,25.8548736572,-5.4239654541,68.3715515137
0.1784050465,-0.3999860026,-0.0070372721,-0.0495384114,25.8548736572,-5.2103424073,70.1568298340
0.1809811592,-0.3999860026,-0.0070372721,-0.0495384114,25.9159088135,-5.2103424073,70.1568298340
