# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.0960795898,0.0679838867,-0.1161225586,8.7460632324,6.5357564291,-8.9550069173
0.0026881695,-0.0960795898,0.0679838867,-0.1161225586,8.0441589355,6.5357564291,-8.9550069173
0.0053701401,-0.2210795898,0.0635893554,-0.0985444336,8.0441589355,7.5123189291,-8.2073262532
0.0081961155,-0.1239116210,0.0635893554,-0.0985444336,4.9466247559,7.5123189291,-8.2073262532
0.0108561516,-0.1239116210,0.0635893554,-0.0985444336,4.9466247559,8.7025044760,-7.5511983235
0.0136539936,-0.1239116210,0.0635893554,-0.0985444336,0.8725280762,8.7025044760,-7.5511983235
0.0163409710,-0.1370952148,0.0782377930,-0.0760834961,0.8725280762,9.4501851400,-6.0558369954
0.0190701485,-0.1370952148,0.0782377930,-0.0760834961,-1.1111145019,9.4501851400,-6.0558369954
0.0217449665,-0.1370952148,0.0782377930,-0.0760834961,-1.1111145019,10.0147603353,-4.1332295735
0.0244240761,-0.1370952148,0.0782377930,-0.0760834961,-2.7590637207,10.0147603353,-4.1332295735
0.0271010399,-0.1175639648,0.0880034180,-0.0638764649,-2.7590637207,13.9210103353,-1.9969991048
0.0296661854,-0.1175639648,0.0880034180,-0.0638764649,-3.5677795410,11.5101216634,-1.9969991048
0.0322680473,-0.1175639648,0.0880034180,-0.0638764649,-3.5677795410,11.5101216634,0.2460428874
0.0348351002,-0.1175639648,0.0880034180,-0.0638764649,-4.6511535645,12.1357320150,0.2460428874
0.0375220776,-0.1327006836,0.0718901367,-0.0355561523,-4.6511535645,12.1357320150,1.9855448405
0.0401921272,-0.1327006836,0.0718901367,-0.0355561523,-6.1617736816,11.8763326010,1.9855448405
0.0428631306,-0.1327006836,0.0718901367,-0.0355561523,-6.1617736816,11.8763326010,5.8917948405
0.0455341339,-0.1327006836,0.0816557617,-0.0096772461,-6.4059143066,11.9068501791,3.8318583171
0.0482151508,-0.1434428710,0.0816557617,-0.0096772461,-6.4059143066,11.9068501791,3.8318583171
0.0507860184,-0.1434428710,0.0816557617,-0.0096772461,-5.8108215332,11.6321919760,6.0138651530
0.0535221100,-0.1434428710,0.0816557617,-0.0096772461,-5.8108215332,11.6321919760,6.0138651530
0.0560960770,-0.1419780273,0.0904448242,-0.0023530273,-4.7121887207,11.2812398275,7.8449198405
0.0587840080,-0.1419780273,0.0904448242,-0.0023530273,-4.7121887207,11.2812398275,7.8449198405
0.0614840984,-0.1419780273,0.0904448242,-0.0023530273,-2.9269104004,10.2741597494,9.4318339030
0.0640661716,-0.1419780273,0.0904448242,-0.0023530273,-2.9269104004,10.2741597494,9.4318339030
0.0666379929,-0.1390483398,0.0933745117,0.0093657227,-1.1416320801,9.1144917806,10.4541727702
0.0693030357,-0.1390483398,0.0933745117,0.0093657227,-1.1416320801,9.1144917806,10.4541727702
0.0718781948,-0.1390483398,0.0933745117,0.0093657227,1.3150329590,8.4431050619,11.3544413249
0.0744481087,-0.1390483398,0.0933745117,0.0093657227,1.3150329590,8.4431050619,11.3544413249
0.0771131516,-0.1458842773,0.0840971680,0.0215727539,4.2752380371,7.4665425619,12.3310038249
0.0796930790,-0.1458842773,0.0840971680,0.0215727539,4.2752380371,7.4665425619,12.3310038249
0.0823571682,-0.1458842773,0.0840971680,0.0215727539,6.8539733887,6.2610982260,12.8498026530
0.0849320889,-0.1458842773,0.0840971680,0.0215727539,6.8539733887,6.2610982260,12.8498026530
