# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7221679688,0.0517578125,0.0834960938,3.3264160156,3.4332275391,-0.4272460938
0.0026941299,-0.7221679688,0.0517578125,0.0834960938,3.3264160156,3.4332275391,-0.4577636719
0.0053851604,-0.7221679688,0.0517578125,0.0834960938,4.8370361328,3.2653808594,-0.4577636719
0.0083551407,-0.7221679688,0.0517578125,0.0825195312,4.8370361328,3.0822753906,-0.6408691406
0.0110709667,-0.7114257812,0.0546875000,0.0825195312,5.8441162109,3.0822753906,-0.6408691406
0.0137629509,-0.7114257812,0.0546875000,0.0825195312,5.8441162109,3.0822753906,-0.9307861328
0.0164480209,-0.7114257812,0.0546875000,0.0825195312,6.9885253906,3.2958984375,-0.9307861328
0.0191540718,-0.7114257812,0.0678710938,0.0751953125,6.9885253906,3.2958984375,-1.6937255859
0.0218441486,-0.7094726562,0.0678710938,0.0751953125,8.8348388672,2.8991699219,-1.6937255859
0.0245370865,-0.7094726562,0.0678710938,0.0751953125,8.8348388672,2.8991699219,-2.1820068359
0.0272350311,-0.7094726562,0.0678710938,0.0751953125,10.6658935547,2.7618408203,-2.1820068359
0.0298149586,-0.7231445312,0.0683593750,0.0693359375,10.6658935547,2.7618408203,-2.2430419922
0.0323791504,-0.7231445312,0.0683593750,0.0693359375,13.2446289062,2.8991699219,-2.2430419922
0.0349409580,-0.7231445312,0.0683593750,0.0693359375,13.2446289062,2.8991699219,-2.2430419922
0.0375931263,-0.7231445312,0.0683593750,0.0693359375,15.0299072266,2.8076171875,-2.8381347656
0.0402569771,-0.7314453125,0.0507812500,0.0786132812,15.0299072266,2.8076171875,-2.8381347656
0.0429210663,-0.7314453125,0.0507812500,0.0786132812,15.6097412109,2.8076171875,-3.0822753906
0.0455830097,-0.7314453125,0.0507812500,0.0786132812,15.6097412109,2.8076171875,-3.0822753906
0.0482490063,-0.7314453125,0.0507812500,0.0786132812,15.8233642578,2.3956298828,-3.3111572266
0.0508210659,-0.7207031250,0.0424804688,0.0639648438,15.8233642578,2.3956298828,-3.3111572266
0.0535531044,-0.7207031250,0.0424804688,0.0639648438,15.7012939453,1.7395019531,-3.1738281250
0.0561220646,-0.7207031250,0.0424804688,0.0639648438,15.7012939453,1.7395019531,-3.1738281250
