# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7348632812,0.0649414062,0.0273437500,0.7476806641,-0.3356933594,-0.9918212891
0.0031402111,-0.7333984375,0.0590820312,0.0273437500,0.6713867188,-0.1678466797,-1.0986328125
0.0058391094,-0.7333984375,0.0590820312,0.0273437500,0.6713867188,-0.1678466797,-1.0986328125
0.0084421635,-0.7333984375,0.0590820312,0.0273437500,1.0986328125,-0.3509521484,-0.8392333984
0.0110030174,-0.7309570312,0.0556640625,0.0205078125,1.0986328125,-0.3509521484,-0.8392333984
0.0135622025,-0.7309570312,0.0556640625,0.0205078125,0.7171630859,-0.3356933594,-0.7171630859
0.0161180496,-0.7309570312,0.0556640625,0.0205078125,0.7171630859,-0.3356933594,-0.7171630859
0.0190172195,-0.7309570312,0.0556640625,0.0205078125,0.7171630859,-0.2593994141,-0.8087158203
0.0215911865,-0.7373046875,0.0527343750,0.0180664062,0.7171630859,-0.2593994141,-0.8087158203
0.0241482258,-0.7373046875,0.0527343750,0.0180664062,0.7171630859,-0.1220703125,-0.1983642578
0.0267190933,-0.7373046875,0.0527343750,0.0180664062,0.7171630859,-0.1220703125,-0.1983642578
0.0293171406,-0.7373046875,0.0527343750,0.0180664062,0.1831054688,-0.3356933594,-0.1525878906
0.0318720341,-0.7333984375,0.0634765625,0.0239257812,0.1831054688,-0.3356933594,-0.1525878906
0.0344390869,-0.7333984375,0.0634765625,0.0239257812,0.5798339844,-0.3967285156,-0.5798339844
0.0371370316,-0.7333984375,0.0634765625,0.0239257812,0.5798339844,-0.3967285156,-0.5798339844
0.0398020744,-0.7333984375,0.0634765625,0.0239257812,0.5035400391,-0.4425048828,-0.6713867188
0.0424711704,-0.7412109375,0.0576171875,0.0195312500,0.5035400391,-0.4425048828,-0.6713867188
0.0451350212,-0.7412109375,0.0576171875,0.0195312500,0.7781982422,-0.5493164062,-0.6408691406
0.0478191376,-0.7412109375,0.0576171875,0.0195312500,0.7781982422,-0.5493164062,-0.6408691406
0.0505239964,-0.7412109375,0.0576171875,0.0273437500,0.5645751953,-0.6103515625,-0.5187988281
0.0534009933,-0.7451171875,0.0522460938,0.0273437500,0.5645751953,-0.6103515625,-0.5187988281
0.0561091900,-0.7451171875,0.0522460938,0.0273437500,0.5950927734,-0.2136230469,-0.4577636719
0.0586922169,-0.7451171875,0.0522460938,0.0273437500,0.5950927734,-0.2136230469,-0.4577636719
0.0612621307,-0.7451171875,0.0541992188,0.0219726562,0.5950927734,-0.5187988281,-0.4425048828
0.0638360977,-0.7373046875,0.0541992188,0.0219726562,1.4801025391,-0.5187988281,-0.4425048828
0.0665302277,-0.7373046875,0.0541992188,0.0219726562,1.4801025391,-0.4882812500,-0.4272460938
0.0691041946,-0.7373046875,0.0541992188,0.0219726562,0.6561279297,-0.4882812500,-0.4272460938
