# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7353515625,0.0625000000,0.0107421875,-0.3967285156,-0.4882812500,-0.2136230469
0.0025558472,-0.7353515625,0.0625000000,0.0107421875,-0.0915527344,-0.6408691406,-0.2136230469
0.0051159859,-0.7368164062,0.0659179688,0.0029296875,-0.0915527344,-0.6408691406,-0.2593994141
0.0076599121,-0.7368164062,0.0659179688,0.0029296875,-0.1525878906,-0.8392333984,-0.2593994141
0.0102229118,-0.7368164062,0.0659179688,0.0029296875,-0.1525878906,-0.8392333984,-0.2593994141
0.0127758980,-0.7368164062,0.0659179688,0.0029296875,-0.8544921875,-0.4577636719,-0.1831054688
0.0153269768,-0.7397460938,0.0625000000,0.0092773438,-0.8544921875,-0.4577636719,-0.1831054688
0.0180449486,-0.7397460938,0.0625000000,0.0092773438,-1.0223388672,-0.5493164062,-0.0915527344
0.0206079483,-0.7397460938,0.0625000000,0.0092773438,-1.0223388672,-0.5493164062,-0.0915527344
0.0231728554,-0.7397460938,0.0625000000,0.0092773438,-0.6256103516,-0.5035400391,0.1678466797
0.0257408619,-0.7358398438,0.0664062500,0.0234375000,-0.6256103516,-0.5035400391,0.1678466797
0.0283939838,-0.7358398438,0.0664062500,0.0234375000,-0.5340576172,-0.3662109375,0.3814697266
0.0309660435,-0.7358398438,0.0664062500,0.0234375000,-0.5340576172,-0.3662109375,0.3814697266
0.0335240364,-0.7358398438,0.0664062500,0.0234375000,-0.9002685547,-0.3509521484,0.0457763672
0.0360908508,-0.7348632812,0.0654296875,0.0083007812,-0.9002685547,-0.3509521484,0.0457763672
0.0388288498,-0.7348632812,0.0654296875,0.0083007812,-0.3814697266,-0.4425048828,-0.1373291016
0.0414910316,-0.7348632812,0.0654296875,0.0083007812,-0.3814697266,-0.4425048828,-0.1373291016
0.0441548824,-0.7348632812,0.0654296875,0.0068359375,-0.6103515625,-0.2441406250,0.0152587891
0.0468149185,-0.7358398438,0.0625000000,0.0068359375,-0.6103515625,-0.2441406250,0.0152587891
0.0495250225,-0.7358398438,0.0625000000,0.0068359375,-0.8392333984,-0.3356933594,0.1525878906
0.0523939133,-0.7358398438,0.0625000000,0.0068359375,-0.8392333984,-0.3356933594,0.1525878906
0.0550909042,-0.7382812500,0.0634765625,0.0170898438,-0.5493164062,-0.1983642578,0.1373291016
0.0578389168,-0.7382812500,0.0634765625,0.0170898438,-0.5493164062,-0.1983642578,0.1373291016
0.0605430603,-0.7382812500,0.0634765625,0.0170898438,-0.5645751953,-0.1831054688,0.2593994141
0.0632350445,-0.7382812500,0.0634765625,0.0170898438,-0.5645751953,-0.1831054688,0.2593994141
0.0659358501,-0.7416992188,0.0610351562,0.0146484375,-0.8850097656,-0.1678466797,0.0457763672
0.0687508583,-0.7416992188,0.0610351562,0.0146484375,-0.8850097656,-0.1678466797,0.0457763672
0.0714490414,-0.7416992188,0.0610351562,0.0146484375,-0.7476806641,0.0305175781,0.0762939453
0.0741529465,-0.7416992188,0.0610351562,0.0156250000,-0.7476806641,0.0305175781,0.0762939453
0.0768470764,-0.7392578125,0.0649414062,0.0156250000,-0.4425048828,-0.0915527344,0.1220703125
0.0795588493,-0.7392578125,0.0649414062,0.0156250000,-0.4425048828,-0.0915527344,0.1220703125
0.0822658539,-0.7392578125,0.0649414062,0.0156250000,-0.5645751953,-0.0610351562,0.1220703125
0.0853390694,-0.7358398438,0.0634765625,0.0146484375,-0.5645751953,-0.0610351562,0.1220703125
0.0884840488,-0.7358398438,0.0634765625,0.0146484375,-0.5950927734,-0.3051757812,0.1068115234
0.0911848545,-0.7358398438,0.0634765625,0.0146484375,-0.5950927734,-0.3051757812,0.1068115234
0.0938830376,-0.7358398438,0.0634765625,0.0146484375,-0.4577636719,-0.4272460938,0.0457763672
0.0965869427,-0.7407226562,0.0629882812,0.0180664062,-0.4577636719,-0.4272460938,0.0457763672
0.0992958546,-0.7407226562,0.0629882812,0.0180664062,-0.4119873047,-0.5340576172,0.1373291016
0.1019868851,-0.7407226562,0.0629882812,0.0180664062,-0.4119873047,-0.5340576172,0.1373291016
0.1046910286,-0.7407226562,0.0629882812,0.0209960938,-0.6713867188,-0.5187988281,0.1525878906
0.1073870659,-0.7319335938,0.0625000000,0.0209960938,-0.6713867188,-0.5187988281,0.1525878906
0.1101059914,-0.7319335938,0.0625000000,0.0209960938,-0.6561279297,-0.5493164062,-0.1220703125
0.1127998829,-0.7319335938,0.0625000000,0.0209960938,-0.6561279297,-0.5493164062,-0.1220703125
0.1155018806,-0.7392578125,0.0634765625,0.0087890625,-1.0528564453,-0.5798339844,-0.1678466797
0.1182980537,-0.7392578125,0.0634765625,0.0087890625,-1.0528564453,-0.5798339844,-0.1678466797
0.1208648682,-0.7392578125,0.0634765625,0.0087890625,-0.4272460938,0.0457763672,-0.1525878906
0.1234309673,-0.7392578125,0.0634765625,0.0087890625,-0.4272460938,0.0457763672,-0.1525878906
