# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7280273438,0.0781250000,0.0439453125,0.5187988281,-0.1220703125,-3.3569335938
0.0037968159,-0.7280273438,0.0781250000,0.0439453125,0.6103515625,-0.1983642578,-3.7078857422
0.0063660145,-0.7280273438,0.0781250000,0.0439453125,0.6103515625,-0.1983642578,-3.7078857422
0.0089359283,-0.7280273438,0.0781250000,0.0571289062,0.6103515625,-0.4425048828,-4.2114257812
0.0115308762,-0.7231445312,0.0732421875,0.0571289062,1.0223388672,-0.4425048828,-4.2114257812
0.0140888691,-0.7231445312,0.0732421875,0.0571289062,1.0223388672,-0.4425048828,-4.2266845703
0.0166409016,-0.7231445312,0.0732421875,0.0571289062,0.8850097656,-0.4577636719,-4.2266845703
0.0192339420,-0.7231445312,0.0668945312,0.0488281250,0.8850097656,-0.4577636719,-3.7994384766
0.0217838287,-0.7304687500,0.0668945312,0.0488281250,0.8850097656,-0.0762939453,-3.7994384766
0.0243320465,-0.7304687500,0.0668945312,0.0488281250,0.8850097656,-0.0762939453,-3.7994384766
0.0268869400,-0.7304687500,0.0668945312,0.0488281250,1.2359619141,-0.1525878906,-3.7689208984
0.0294549465,-0.7304687500,0.0717773438,0.0654296875,1.2359619141,-0.1525878906,-3.7689208984
0.0320079327,-0.7368164062,0.0717773438,0.0654296875,1.0223388672,-0.1525878906,-4.0435791016
0.0345649719,-0.7368164062,0.0717773438,0.0654296875,1.0223388672,-0.1525878906,-4.0435791016
0.0371270180,-0.7368164062,0.0717773438,0.0654296875,0.9155273438,-0.2899169922,-4.1198730469
0.0397088528,-0.7368164062,0.0673828125,0.0444335938,0.9155273438,-0.2899169922,-4.1198730469
0.0422718525,-0.7343750000,0.0673828125,0.0444335938,0.7629394531,-0.2288818359,-4.0740966797
0.0449118614,-0.7343750000,0.0673828125,0.0444335938,0.7629394531,-0.2288818359,-4.0740966797
0.0476830006,-0.7343750000,0.0673828125,0.0444335938,0.6408691406,-0.1678466797,-4.3487548828
0.0502610207,-0.7416992188,0.0644531250,0.0522460938,0.6408691406,-0.1678466797,-4.3487548828
0.0529818535,-0.7416992188,0.0644531250,0.0522460938,0.0305175781,0.1220703125,-4.5928955078
0.0555539131,-0.7416992188,0.0644531250,0.0522460938,0.0305175781,0.1220703125,-4.5928955078
0.0585038662,-0.7416992188,0.0644531250,0.0522460938,0.2746582031,0.2136230469,-4.2266845703
0.0616559982,-0.7338867188,0.0678710938,0.0527343750,0.2746582031,0.2136230469,-4.2266845703
0.0643579960,-0.7338867188,0.0678710938,0.0527343750,0.1525878906,-0.1068115234,-3.5858154297
0.0670559406,-0.7338867188,0.0678710938,0.0527343750,0.1525878906,-0.1068115234,-3.5858154297
0.0697648525,-0.7338867188,0.0585937500,0.0458984375,-0.0152587891,-0.1678466797,-3.7078857422
0.0724630356,-0.7343750000,0.0585937500,0.0458984375,-0.0152587891,-0.1678466797,-3.7078857422
0.0751609802,-0.7343750000,0.0585937500,0.0458984375,-0.1068115234,-0.0152587891,-3.7994384766
0.0778779984,-0.7343750000,0.0585937500,0.0458984375,-0.1068115234,-0.0152587891,-3.7994384766
0.0804388523,-0.7333984375,0.0615234375,0.0478515625,-0.1068115234,0.1220703125,-3.6010742188
0.0829989910,-0.7333984375,0.0615234375,0.0478515625,-0.1068115234,0.1220703125,-3.6010742188
0.0855629444,-0.7333984375,0.0615234375,0.0478515625,-0.1983642578,-0.0915527344,-3.2348632812
0.0881419182,-0.7333984375,0.0615234375,0.0478515625,-0.1983642578,-0.0915527344,-3.2348632812
0.0907449722,-0.7280273438,0.0576171875,0.0498046875,-0.5187988281,0.0762939453,-3.2348632812
0.0933158398,-0.7280273438,0.0576171875,0.0498046875,-0.5187988281,0.0762939453,-3.2348632812
0.0958869457,-0.7280273438,0.0576171875,0.0498046875,-0.5187988281,0.0610351562,-3.1280517578
