# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7353515625,0.0766601562,0.0590820312,0.1983642578,0.5798339844,0.3967285156
0.0025641918,-0.7280273438,0.0766601562,0.0595703125,0.1983642578,0.5798339844,0.3967285156
0.0051181316,-0.7280273438,0.0766601562,0.0595703125,-0.0915527344,0.9765625000,0.2899169922
0.0076920986,-0.7280273438,0.0766601562,0.0595703125,-0.0915527344,0.9765625000,0.2899169922
0.0102500916,-0.7280273438,0.0766601562,0.0595703125,-0.2136230469,0.5187988281,0.3662109375
0.0128049850,-0.7338867188,0.0791015625,0.0659179688,-0.2136230469,0.5187988281,0.3662109375
0.0153651237,-0.7338867188,0.0791015625,0.0659179688,-0.1525878906,0.7629394531,0.2899169922
0.0179240704,-0.7338867188,0.0791015625,0.0659179688,-0.1525878906,0.7629394531,0.2899169922
0.0204811096,-0.7338867188,0.0791015625,0.0659179688,0.1983642578,1.0528564453,-0.1525878906
0.0230381489,-0.7231445312,0.0771484375,0.0566406250,0.1983642578,1.0528564453,-0.1525878906
0.0256700516,-0.7231445312,0.0771484375,0.0566406250,0.1983642578,0.8544921875,-0.0915527344
0.0282301903,-0.7231445312,0.0771484375,0.0566406250,0.0762939453,0.8544921875,-0.0915527344
0.0307831764,-0.7231445312,0.0771484375,0.0576171875,0.0762939453,0.8544921875,-0.0305175781
0.0333352089,-0.7255859375,0.0883789062,0.0576171875,0.5798339844,0.8239746094,-0.0305175781
0.0360960960,-0.7255859375,0.0883789062,0.0576171875,0.5798339844,0.8239746094,0.4119873047
0.0386631489,-0.7255859375,0.0883789062,0.0576171875,0.8087158203,0.5340576172,0.4119873047
0.0412230492,-0.7255859375,0.0883789062,0.0634765625,0.8087158203,0.5340576172,0.4119873047
0.0437891483,-0.7358398438,0.0771484375,0.0634765625,0.4272460938,0.7629394531,0.2593994141
0.0464479923,-0.7358398438,0.0771484375,0.0634765625,0.4272460938,0.7629394531,0.2593994141
0.0490190983,-0.7358398438,0.0771484375,0.0634765625,0.5493164062,0.4272460938,0.2746582031
0.0517430305,-0.7358398438,0.0747070312,0.0551757812,0.5493164062,0.4272460938,0.2746582031
0.0543072224,-0.7255859375,0.0747070312,0.0551757812,0.3509521484,0.4119873047,0.2593994141
0.0569121838,-0.7255859375,0.0747070312,0.0551757812,0.3509521484,0.4119873047,0.2593994141
0.0594770908,-0.7255859375,0.0747070312,0.0551757812,-0.3356933594,0.5798339844,0.0762939453
0.0620419979,-0.7260742188,0.0830078125,0.0502929688,-0.3356933594,0.5798339844,0.0762939453
0.0646111965,-0.7260742188,0.0830078125,0.0502929688,-0.3509521484,0.7324218750,-0.0457763672
0.0672791004,-0.7260742188,0.0830078125,0.0502929688,-0.3509521484,0.7324218750,-0.0457763672
0.0699820518,-0.7260742188,0.0830078125,0.0502929688,-0.0152587891,0.8544921875,-0.0152587891
0.0726771355,-0.7333984375,0.0751953125,0.0561523438,-0.0152587891,0.8544921875,-0.0152587891
0.0753741264,-0.7333984375,0.0751953125,0.0561523438,-0.0457763672,0.7476806641,-0.1678466797
0.0779531002,-0.7333984375,0.0751953125,0.0561523438,-0.0457763672,0.7476806641,-0.1678466797
0.0805230141,-0.7333984375,0.0751953125,0.0561523438,-0.4425048828,0.5645751953,-0.2593994141
0.0830972195,-0.7348632812,0.0742187500,0.0678710938,-0.4425048828,0.5645751953,-0.2593994141
0.0857310295,-0.7348632812,0.0742187500,0.0678710938,-0.2593994141,0.4425048828,-0.1220703125
0.0884320736,-0.7348632812,0.0742187500,0.0678710938,-0.2593994141,0.4425048828,-0.1220703125
0.0911331177,-0.7348632812,0.0742187500,0.0678710938,-0.4119873047,0.6561279297,-0.3204345703
0.0939800739,-0.7299804688,0.0869140625,0.0595703125,-0.4119873047,0.6561279297,-0.3204345703
