# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7270507812,0.0527343750,0.0258789062,-0.2746582031,-0.2593994141,-0.2441406250
0.0027000904,-0.7358398438,0.0512695312,0.0307617188,-0.2593994141,0.1373291016,-0.1678466797
0.0053908825,-0.7358398438,0.0512695312,0.0307617188,-0.2593994141,0.1373291016,-0.1678466797
0.0081450939,-0.7358398438,0.0512695312,0.0307617188,-0.2746582031,-0.0915527344,-0.1678466797
0.0108358860,-0.7358398438,0.0512695312,0.0307617188,-0.2746582031,-0.0915527344,-0.1678466797
0.0135319233,-0.7377929688,0.0541992188,0.0302734375,0.0000000000,-0.1373291016,-0.3356933594
0.0162289143,-0.7377929688,0.0541992188,0.0302734375,0.0000000000,-0.1373291016,-0.1525878906
0.0196199417,-0.7377929688,0.0541992188,0.0302734375,0.0762939453,-0.1831054688,-0.1525878906
0.0223069191,-0.7377929688,0.0493164062,0.0258789062,0.0762939453,-0.1831054688,-0.0305175781
0.0250039101,-0.7397460938,0.0493164062,0.0258789062,-0.5493164062,-0.2288818359,-0.0305175781
0.0277318954,-0.7397460938,0.0493164062,0.0258789062,-0.5493164062,-0.2288818359,-0.3051757812
0.0302879810,-0.7397460938,0.0493164062,0.0258789062,-0.0762939453,-0.2136230469,-0.3051757812
0.0328428745,-0.7373046875,0.0488281250,0.0307617188,-0.0762939453,-0.2136230469,-0.3051757812
0.0354070663,-0.7373046875,0.0488281250,0.0307617188,-0.2288818359,0.0457763672,-0.3204345703
0.0380868912,-0.7373046875,0.0488281250,0.0307617188,-0.2288818359,0.0457763672,-0.3204345703
0.0407440662,-0.7373046875,0.0488281250,0.0307617188,-0.6103515625,0.0152587891,-0.0610351562
0.0434041023,-0.7353515625,0.0498046875,0.0278320312,-0.6103515625,0.0152587891,-0.0610351562
0.0460770130,-0.7353515625,0.0498046875,0.0278320312,0.0305175781,-0.3509521484,-0.3967285156
0.0487360954,-0.7353515625,0.0498046875,0.0278320312,0.0305175781,-0.3509521484,-0.3967285156
0.0513079166,-0.7353515625,0.0498046875,0.0278320312,0.5798339844,-0.5340576172,-0.1678466797
0.0540258884,-0.7387695312,0.0537109375,0.0297851562,0.5798339844,-0.5340576172,-0.1678466797
0.0565910339,-0.7387695312,0.0537109375,0.0297851562,0.1068115234,-0.2899169922,-0.0762939453
0.0594360828,-0.7387695312,0.0537109375,0.0297851562,0.1068115234,-0.2899169922,-0.0762939453
0.0620050430,-0.7387695312,0.0537109375,0.0249023438,-0.1525878906,-0.1525878906,-0.0762939453
0.0645740032,-0.7377929688,0.0488281250,0.0249023438,-0.1525878906,-0.1525878906,-0.0762939453
0.0672559738,-0.7377929688,0.0488281250,0.0249023438,-0.1220703125,-0.2593994141,-0.0152587891
0.0701999664,-0.7377929688,0.0488281250,0.0249023438,-0.1220703125,-0.2593994141,-0.0152587891
0.0727829933,-0.7377929688,0.0493164062,0.0219726562,-0.1373291016,-0.4119873047,-0.3356933594
0.0753650665,-0.7333984375,0.0493164062,0.0219726562,-0.1373291016,-0.4119873047,-0.3356933594
0.0781710148,-0.7333984375,0.0493164062,0.0219726562,0.2746582031,-0.3051757812,-0.1983642578
0.0807449818,-0.7333984375,0.0493164062,0.0219726562,0.2746582031,-0.3051757812,-0.1983642578
0.0833089352,-0.7421875000,0.0429687500,0.0375976562,-0.1220703125,-0.2441406250,-0.1220703125
0.0858750343,-0.7421875000,0.0429687500,0.0375976562,-0.1220703125,-0.2441406250,-0.1220703125
0.0886740685,-0.7421875000,0.0429687500,0.0375976562,-0.6256103516,-0.1373291016,-0.1220703125
0.0913369656,-0.7421875000,0.0429687500,0.0375976562,-0.6256103516,-0.1373291016,-0.1220703125
0.0948560238,-0.7241210938,0.0512695312,0.0185546875,-0.3509521484,0.0762939453,-0.0457763672
0.0976939201,-0.7241210938,0.0512695312,0.0185546875,-0.3509521484,0.0762939453,-0.0457763672
0.1002800465,-0.7241210938,0.0512695312,0.0185546875,-0.3051757812,-0.2441406250,0.0152587891
0.1028740406,-0.7241210938,0.0498046875,0.0273437500,-0.3051757812,-0.2441406250,0.0152587891
