# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7265625000,0.0620117188,0.0527343750,-0.3662109375,0.3662109375,-0.2441406250
0.0026998520,-0.7265625000,0.0620117188,0.0527343750,-0.3662109375,0.3662109375,-0.2441406250
0.0053949356,-0.7363281250,0.0659179688,0.0581054688,0.0457763672,-0.1068115234,-0.1678466797
0.0081079006,-0.7363281250,0.0659179688,0.0581054688,0.0457763672,-0.1068115234,-0.1678466797
0.0108020306,-0.7363281250,0.0659179688,0.0581054688,0.0762939453,-0.2746582031,-0.1220703125
0.0134999752,-0.7363281250,0.0673828125,0.0566406250,0.0762939453,-0.2746582031,-0.1220703125
0.0161910057,-0.7260742188,0.0673828125,0.0566406250,-0.3814697266,-0.1983642578,-0.0915527344
0.0188989639,-0.7260742188,0.0673828125,0.0566406250,-0.3814697266,-0.1983642578,-0.0915527344
0.0215940475,-0.7260742188,0.0673828125,0.0566406250,-0.3356933594,-0.0152587891,-0.4425048828
0.0242879391,-0.7309570312,0.0659179688,0.0649414062,-0.3356933594,-0.0152587891,-0.4425048828
0.0269818306,-0.7309570312,0.0659179688,0.0649414062,-0.2899169922,-0.2441406250,-0.0915527344
0.0296058655,-0.7309570312,0.0659179688,0.0649414062,-0.2899169922,-0.2441406250,-0.0915527344
0.0321669579,-0.7309570312,0.0659179688,0.0649414062,-0.5950927734,-0.2288818359,-0.0457763672
0.0347359180,-0.7285156250,0.0698242188,0.0571289062,-0.5950927734,-0.2288818359,-0.0457763672
0.0373039246,-0.7285156250,0.0698242188,0.0571289062,-0.3204345703,-0.4730224609,-0.1831054688
0.0399620533,-0.7285156250,0.0698242188,0.0571289062,-0.3204345703,-0.4730224609,-0.1831054688
0.0425360203,-0.7285156250,0.0698242188,0.0571289062,-0.4882812500,0.0915527344,-0.1831054688
0.0451049805,-0.7270507812,0.0639648438,0.0590820312,-0.4882812500,0.0915527344,-0.1831054688
0.0476698875,-0.7270507812,0.0639648438,0.0590820312,-0.0610351562,0.0915527344,-0.2593994141
0.0503070354,-0.7270507812,0.0639648438,0.0590820312,-0.0610351562,0.0915527344,-0.2593994141
0.0530350208,-0.7270507812,0.0639648438,0.0590820312,3.8452148438,-0.2746582031,-0.5493164062
0.0556089878,-0.7309570312,0.0683593750,0.0541992188,0.2288818359,-0.2746582031,-0.5493164062
0.0582208633,-0.7309570312,0.0683593750,0.0541992188,0.2288818359,-0.4119873047,-0.3356933594
0.0609200001,-0.7309570312,0.0683593750,0.0541992188,0.5645751953,-0.4119873047,-0.3356933594
0.0636248589,-0.7309570312,0.0683593750,0.0546875000,0.5645751953,-0.1983642578,-0.1220703125
0.0663239956,-0.7294921875,0.0644531250,0.0546875000,-0.3204345703,-0.1983642578,-0.1220703125
