# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7299804688,0.0620117188,0.0429687500,0.0915527344,-0.0915527344,0.5645751953
0.0026969910,-0.7299804688,0.0620117188,0.0429687500,-0.2593994141,-0.0152587891,0.3204345703
0.0053911209,-0.7250976562,0.0576171875,0.0498046875,-0.2593994141,-0.0152587891,0.3204345703
0.0080981255,-0.7250976562,0.0576171875,0.0498046875,-0.4119873047,0.5645751953,0.1525878906
0.0107891560,-0.7250976562,0.0576171875,0.0498046875,-0.4119873047,0.5645751953,0.1525878906
0.0134849548,-0.7250976562,0.0576171875,0.0541992188,0.1068115234,0.2593994141,0.1373291016
0.0161881447,-0.7373046875,0.0639648438,0.0541992188,0.1068115234,0.2593994141,0.1373291016
0.0188820362,-0.7373046875,0.0639648438,0.0541992188,0.0610351562,0.3204345703,0.2746582031
0.0215790272,-0.7373046875,0.0639648438,0.0541992188,0.0610351562,0.3204345703,0.2746582031
0.0242750645,-0.7373046875,0.0585937500,0.0551757812,-0.1373291016,0.1373291016,0.2288818359
0.0269341469,-0.7324218750,0.0585937500,0.0551757812,-0.1373291016,0.1373291016,0.2288818359
0.0295031071,-0.7324218750,0.0585937500,0.0551757812,-0.1373291016,0.0305175781,-0.3204345703
0.0320661068,-0.7324218750,0.0585937500,0.0551757812,-0.1373291016,0.0305175781,-0.3204345703
0.0346369743,-0.7333984375,0.0605468750,0.0493164062,-0.1373291016,-3.8757324219,0.0152587891
0.0372700691,-0.7333984375,0.0605468750,0.0493164062,-0.0305175781,-0.1373291016,0.0152587891
0.0398399830,-0.7333984375,0.0605468750,0.0493164062,-0.0305175781,-0.1373291016,-0.0610351562
0.0424060822,-0.7333984375,0.0605468750,0.0493164062,-0.0915527344,-0.1831054688,-0.0610351562
0.0449709892,-0.7299804688,0.0566406250,0.0498046875,-0.0915527344,-0.1831054688,-0.0610351562
0.0476610661,-0.7299804688,0.0566406250,0.0498046875,-0.0915527344,0.2136230469,-0.0610351562
0.0502331257,-0.7299804688,0.0566406250,0.0498046875,-0.0915527344,0.2136230469,-0.0610351562
0.0529680252,-0.7299804688,0.0566406250,0.0498046875,-0.2441406250,0.1068115234,0.0915527344
0.0556411743,-0.7309570312,0.0620117188,0.0463867188,-0.2441406250,0.1068115234,0.0915527344
0.0584580898,-0.7309570312,0.0620117188,0.0463867188,-0.2593994141,0.2441406250,0.0152587891
0.0611560345,-0.7309570312,0.0620117188,0.0463867188,-0.2593994141,0.2441406250,-3.8909912109
0.0638589859,-0.7309570312,0.0620117188,0.0541992188,-0.2899169922,0.2593994141,-0.2593994141
0.0665400028,-0.7358398438,0.0590820312,0.0541992188,-0.2899169922,0.2593994141,-0.2593994141
0.0691080093,-0.7358398438,0.0590820312,0.0541992188,-0.1220703125,-0.2441406250,-0.1678466797
0.0716781616,-0.7358398438,0.0590820312,0.0541992188,-0.1220703125,-0.2441406250,-0.1678466797
0.0742490292,-0.7358398438,0.0590820312,0.0493164062,-0.1373291016,0.2746582031,-0.2288818359
0.0769240856,-0.7275390625,0.0654296875,0.0493164062,-0.1373291016,0.2746582031,-0.2288818359
0.0796201229,-0.7275390625,0.0654296875,0.0493164062,0.0610351562,0.1373291016,-0.0152587891
0.0823190212,-0.7275390625,0.0654296875,0.0493164062,0.0610351562,0.1373291016,-0.0152587891
0.0848841667,-0.7275390625,0.0556640625,0.0473632812,-0.3204345703,0.0152587891,-0.0610351562
0.0876660347,-0.7392578125,0.0556640625,0.0473632812,-0.3204345703,0.0152587891,-0.0610351562
0.0903270245,-0.7392578125,0.0556640625,0.0473632812,-0.3051757812,0.4272460938,0.0305175781
0.0936181545,-0.7392578125,0.0556640625,0.0473632812,-0.3051757812,0.4272460938,0.0305175781
0.0963301659,-0.7290039062,0.0576171875,0.0473632812,-0.7324218750,0.3509521484,0.0915527344
0.0990321636,-0.7290039062,0.0576171875,0.0473632812,-0.7324218750,0.3509521484,0.0915527344
0.1017360687,-0.7290039062,0.0576171875,0.0473632812,-1.0223388672,0.3204345703,-0.0305175781
0.1044361591,-0.7290039062,0.0576171875,0.0483398438,-1.0223388672,0.3204345703,-0.0305175781
0.1070909500,-0.7338867188,0.0595703125,0.0483398438,-0.7781982422,0.1220703125,0.0152587891
0.1096570492,-0.7338867188,0.0595703125,0.0483398438,-0.7781982422,0.1220703125,0.0152587891
0.1122241020,-0.7338867188,0.0595703125,0.0483398438,-0.7629394531,-0.2899169922,0.0152587891
0.1147880554,-0.7338867188,0.0595703125,0.0498046875,-0.7629394531,-0.2899169922,0.0152587891
0.1175529957,-0.7333984375,0.0571289062,0.0498046875,-0.7934570312,-0.0915527344,0.0305175781
0.1202521324,-0.7333984375,0.0571289062,0.0498046875,-0.7934570312,-0.0915527344,0.0305175781
0.1229510307,-0.7333984375,0.0571289062,0.0498046875,-0.3814697266,0.2593994141,-0.0457763672
0.1256470680,-0.7329101562,0.0649414062,0.0434570312,-0.3814697266,0.2593994141,-0.0457763672
0.1282379627,-0.7329101562,0.0649414062,0.0434570312,-0.5950927734,-0.1220703125,-0.1068115234
0.1308040619,-0.7329101562,0.0649414062,0.0434570312,-0.5950927734,-0.1220703125,-0.1068115234
0.1333739758,-0.7329101562,0.0649414062,0.0434570312,-0.5035400391,0.2136230469,-0.1068115234
0.1359930038,-0.7314453125,0.0556640625,0.0478515625,-0.5035400391,0.2136230469,-0.1068115234
0.1385660172,-0.7314453125,0.0556640625,0.0478515625,-0.5035400391,0.2288818359,-0.0762939453
0.1411340237,-0.7314453125,0.0556640625,0.0478515625,-0.5035400391,0.2288818359,-0.0762939453
0.1437001228,-0.7314453125,0.0556640625,0.0478515625,-0.5035400391,0.0457763672,-0.1220703125
0.1464331150,-0.7338867188,0.0585937500,0.0522460938,-0.9918212891,0.0457763672,-0.1220703125
0.1490950584,-0.7338867188,0.0585937500,0.0522460938,-0.9918212891,0.3509521484,-0.5187988281
0.1517570019,-0.7338867188,0.0585937500,0.0522460938,-0.8697509766,0.3509521484,-0.5187988281
0.1544151306,-0.7338867188,0.0585937500,0.0522460938,-0.8697509766,0.4119873047,-0.2746582031
0.1570880413,-0.7343750000,0.0561523438,0.0488281250,-0.6561279297,0.4119873047,-0.2746582031
0.1596550941,-0.7343750000,0.0561523438,0.0488281250,-0.6561279297,0.4119873047,-0.0152587891
0.1622209549,-0.7343750000,0.0561523438,0.0488281250,-1.0528564453,0.2136230469,-0.0152587891
0.1647830009,-0.7343750000,0.0561523438,0.0488281250,-1.0528564453,0.2136230469,3.8909912109
0.1674370766,-0.7299804688,0.0576171875,0.0522460938,-0.7629394531,0.0000000000,0.0152587891
0.1701359749,-0.7299804688,0.0576171875,0.0522460938,-0.7629394531,0.0000000000,-3.8909912109
0.1728241444,-0.7299804688,0.0576171875,0.0522460938,-0.8239746094,0.0305175781,-0.1220703125
0.1755199432,-0.7299804688,0.0659179688,0.0566406250,-0.8239746094,0.0305175781,-0.1220703125
0.1782259941,-0.7309570312,0.0659179688,0.0566406250,-1.0681152344,0.1068115234,-0.1525878906
