# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7255859375,0.0678710938,0.0419921875,-0.0610351562,0.4272460938,-0.1678466797
0.0025520325,-0.7255859375,0.0678710938,0.0419921875,0.1373291016,0.2288818359,0.1831054688
0.0051069260,-0.7255859375,0.0678710938,0.0488281250,0.1373291016,0.2288818359,0.1831054688
0.0077021122,-0.7319335938,0.0644531250,0.0488281250,-0.0152587891,0.0152587891,0.1525878906
0.0102589130,-0.7319335938,0.0644531250,0.0488281250,-0.0152587891,0.0152587891,0.1525878906
0.0128109455,-0.7319335938,0.0644531250,0.0488281250,-0.0152587891,0.1678466797,-0.2746582031
0.0153710842,-0.7319335938,0.0644531250,0.0419921875,-0.3356933594,0.1678466797,-0.2746582031
0.0179641247,-0.7368164062,0.0659179688,0.0419921875,-0.3356933594,0.1678466797,-0.5035400391
0.0205249786,-0.7368164062,0.0659179688,0.0419921875,-0.2441406250,0.2136230469,-0.5035400391
0.0230801105,-0.7368164062,0.0659179688,0.0419921875,-0.2441406250,0.2136230469,-0.4882812500
0.0256330967,-0.7368164062,0.0678710938,0.0556640625,0.3662109375,-0.0457763672,-0.4882812500
0.0284819603,-0.7348632812,0.0678710938,0.0556640625,0.3662109375,-0.0457763672,-0.1373291016
0.0310380459,-0.7348632812,0.0678710938,0.0556640625,0.0610351562,0.1831054688,-0.1373291016
0.0335960388,-0.7348632812,0.0678710938,0.0556640625,0.0610351562,0.1831054688,-0.1373291016
0.0361640453,-0.7348632812,0.0703125000,0.0434570312,-0.1373291016,0.0152587891,0.0762939453
0.0389239788,-0.7290039062,0.0703125000,0.0434570312,-0.1373291016,0.0152587891,0.0762939453
0.0414938927,-0.7290039062,0.0703125000,0.0434570312,0.1831054688,-0.1220703125,-0.1678466797
0.0440549850,-0.7290039062,0.0703125000,0.0434570312,0.1831054688,-0.1220703125,-0.1678466797
0.0466179848,-0.7348632812,0.0634765625,0.0463867188,0.4425048828,0.2899169922,-0.1678466797
0.0491909981,-0.7348632812,0.0634765625,0.0463867188,0.4425048828,0.2899169922,-0.1678466797
0.0519149303,-0.7348632812,0.0634765625,0.0463867188,0.6103515625,0.2746582031,-0.3814697266
0.0544769764,-0.7348632812,0.0634765625,0.0463867188,0.6103515625,0.2746582031,-0.3814697266
0.0570409298,-0.7280273438,0.0629882812,0.0449218750,0.7324218750,-0.3509521484,-0.7019042969
0.0596120358,-0.7280273438,0.0629882812,0.0449218750,0.7324218750,-0.3509521484,-0.7019042969
0.0621850491,-0.7280273438,0.0629882812,0.0449218750,0.1983642578,-0.0305175781,-0.5340576172
0.0647470951,-0.7280273438,0.0629882812,0.0449218750,0.1983642578,-0.0305175781,-0.5340576172
0.0673079491,-0.7392578125,0.0615234375,0.0502929688,0.7019042969,-0.1678466797,-0.2899169922
0.0699100494,-0.7392578125,0.0615234375,0.0502929688,0.7019042969,-0.1678466797,-0.2899169922
0.0724740028,-0.7392578125,0.0615234375,0.0502929688,0.7019042969,-0.3204345703,-0.3204345703
0.0750360489,-0.7392578125,0.0615234375,0.0502929688,0.5493164062,-0.3204345703,-0.3204345703
0.0776081085,-0.7348632812,0.0649414062,0.0380859375,0.5493164062,-0.3204345703,-0.3356933594
0.0801799297,-0.7348632812,0.0649414062,0.0380859375,0.4272460938,-0.1373291016,-0.3356933594
0.0827450752,-0.7348632812,0.0649414062,0.0380859375,0.4272460938,-0.1373291016,-0.1831054688
0.0853860378,-0.7348632812,0.0649414062,0.0380859375,0.0000000000,-0.0457763672,-0.1831054688
0.0880250931,-0.7368164062,0.0654296875,0.0429687500,0.0000000000,-0.0457763672,-0.1831054688
0.0906059742,-0.7368164062,0.0654296875,0.0429687500,-0.4730224609,-0.1220703125,-0.2441406250
0.0931799412,-0.7368164062,0.0654296875,0.0429687500,-0.4730224609,-0.1220703125,-0.2441406250
0.0958819389,-0.7368164062,0.0654296875,0.0429687500,-0.1068115234,-0.0610351562,-0.3814697266
0.0992169380,-0.7275390625,0.0644531250,0.0473632812,-0.1068115234,-0.0610351562,-0.3051757812
0.1017830372,-0.7275390625,0.0644531250,0.0473632812,-0.2136230469,-0.2136230469,-0.3051757812
