# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7221679688,0.0683593750,0.0737304688,4.8980712891,-1.0528564453,-2.8076171875
0.0025599003,-0.7221679688,0.0683593750,0.0737304688,3.4027099609,-0.8544921875,-2.8076171875
0.0051209927,-0.7221679688,0.0683593750,0.0737304688,3.4027099609,-0.8544921875,-2.8076171875
0.0077428818,-0.7304687500,0.0751953125,0.0712890625,2.6550292969,-0.7171630859,-2.6245117188
0.0103919506,-0.7304687500,0.0751953125,0.0712890625,2.6550292969,-0.7171630859,-2.6245117188
0.0129508972,-0.7304687500,0.0751953125,0.0712890625,3.0059814453,-0.5645751953,-2.2888183594
0.0155107975,-0.7304687500,0.0751953125,0.0712890625,3.0059814453,-0.5645751953,-2.2888183594
0.0182018280,-0.7231445312,0.0600585938,0.0747070312,3.0670166016,-0.6256103516,-1.6326904297
0.0207829475,-0.7231445312,0.0600585938,0.0747070312,3.0670166016,-0.6256103516,-1.6326904297
0.0233378410,-0.7231445312,0.0600585938,0.0747070312,3.2043457031,-0.6256103516,-1.1901855469
0.0258929729,-0.7231445312,0.0600585938,0.0747070312,3.2043457031,-0.6256103516,-1.1901855469
0.0286598206,-0.7416992188,0.0483398438,0.0747070312,3.8452148438,-0.5645751953,-0.2593994141
0.0312268734,-0.7416992188,0.0483398438,0.0747070312,3.8452148438,-0.5645751953,-0.2593994141
0.0337779522,-0.7416992188,0.0483398438,0.0747070312,4.1046142578,0.1525878906,0.5645751953
0.0363509655,-0.7416992188,0.0483398438,0.0747070312,4.1046142578,0.1525878906,0.5645751953
0.0390188694,-0.7500000000,0.0283203125,0.0732421875,3.1585693359,0.2441406250,0.9002685547
0.0415878296,-0.7500000000,0.0283203125,0.0732421875,3.1585693359,0.2441406250,0.9002685547
0.0441489220,-0.7500000000,0.0283203125,0.0732421875,3.1585693359,0.4425048828,1.9226074219
0.0467069149,-0.7500000000,0.0283203125,0.0732421875,3.2501220703,0.4425048828,1.9226074219
0.0492968559,-0.7534179688,0.0502929688,0.0727539062,3.2501220703,0.4425048828,2.3651123047
0.0520238876,-0.7534179688,0.0502929688,0.0727539062,3.4637451172,1.2207031250,2.3651123047
0.0545859337,-0.7534179688,0.0502929688,0.0727539062,3.4637451172,1.2207031250,1.6784667969
0.0571539402,-0.7534179688,0.0502929688,0.0688476562,3.7231445312,1.8005371094,1.6784667969
0.0598278046,-0.7685546875,0.0751953125,0.0688476562,3.7231445312,1.8005371094,1.4190673828
0.0625128746,-0.7685546875,0.0751953125,0.0688476562,5.9967041016,2.2277832031,1.4190673828
0.0651888847,-0.7685546875,0.0751953125,0.0688476562,5.9967041016,2.2277832031,0.8697509766
0.0679118633,-0.6435546875,0.1147460938,0.0473632812,8.0566406250,1.6784667969,0.8697509766
0.0705788136,-0.7490234375,0.1147460938,0.0473632812,8.0566406250,1.6784667969,0.2441406250
0.0732889175,-0.7490234375,0.1147460938,0.0473632812,10.2691650391,0.9918212891,0.2441406250
0.0759708881,-0.7490234375,0.1147460938,0.0473632812,10.2691650391,0.9918212891,-0.3051757812
0.0787019730,-0.7436523438,0.1103515625,0.0493164062,11.9476318359,0.5798339844,-0.3051757812
0.0813829899,-0.7436523438,0.1103515625,0.0493164062,11.9476318359,0.5798339844,-0.3051757812
0.0840709209,-0.7436523438,0.1103515625,0.0493164062,13.9312744141,0.1220703125,-0.2899169922
0.0867559910,-0.7436523438,0.1103515625,0.0493164062,13.9312744141,0.1220703125,-0.2899169922
0.0894608498,-0.7290039062,0.1054687500,0.0688476562,15.8081054688,-0.1678466797,-0.4425048828
0.0921738148,-0.7290039062,0.1054687500,0.0688476562,15.8081054688,-0.1678466797,-0.4425048828
0.0948739052,-0.7290039062,0.1054687500,0.0688476562,15.3045654297,-0.2746582031,-0.5187988281
0.0975739956,-0.7290039062,0.1054687500,0.0615234375,15.3045654297,-0.2746582031,-0.5187988281
0.1002810001,-0.7338867188,0.0727539062,0.0615234375,14.7705078125,-0.2136230469,-0.6256103516
0.1029829979,-0.7338867188,0.0727539062,0.0615234375,14.7705078125,-0.2136230469,-0.6256103516
0.1056900024,-0.7338867188,0.0727539062,0.0615234375,14.1906738281,-0.5340576172,-0.6408691406
0.1084017754,-0.7329101562,0.0727539062,0.0556640625,14.1906738281,-0.5340576172,-0.6408691406
0.1111028194,-0.7329101562,0.0727539062,0.0556640625,14.0228271484,-0.2593994141,-0.5340576172
0.1138088703,-0.7329101562,0.0727539062,0.0556640625,14.0228271484,-0.2593994141,-0.5340576172
0.1166257858,-0.7329101562,0.0727539062,0.0556640625,13.7023925781,-0.9307861328,-0.2746582031
0.1193408966,-0.7182617188,0.0957031250,0.0571289062,13.7023925781,-0.9307861328,-0.2746582031
0.1220469475,-0.7182617188,0.0957031250,0.0571289062,15.1214599609,-1.1749267578,-1.0528564453
0.1247479916,-0.7182617188,0.0957031250,0.0571289062,15.1214599609,-1.1749267578,-1.0528564453
0.1274609566,-0.7182617188,0.0957031250,0.0571289062,15.7775878906,-0.9307861328,-1.7852783203
0.1300327778,-0.7392578125,0.0903320312,0.0605468750,15.7775878906,-0.9307861328,-1.7852783203
0.1326048374,-0.7392578125,0.0903320312,0.0605468750,15.1824951172,-0.0915527344,-1.1749267578
0.1351809502,-0.7392578125,0.0903320312,0.0605468750,15.1824951172,-0.0915527344,-1.1749267578
0.1377577782,-0.7392578125,0.0903320312,0.0673828125,13.8549804688,0.0000000000,-0.6256103516
0.1404128075,-0.7333984375,0.0712890625,0.0673828125,13.8549804688,0.0000000000,-0.6256103516
0.1430838108,-0.7333984375,0.0712890625,0.0673828125,12.4206542969,0.1983642578,-0.4882812500
0.1457448006,-0.7333984375,0.0712890625,0.0673828125,12.4206542969,0.1983642578,-0.4882812500
0.1484298706,-0.7333984375,0.0566406250,0.0761718750,10.7421875000,0.7019042969,-0.2136230469
0.1511349678,-0.7324218750,0.0566406250,0.0761718750,10.7421875000,0.7019042969,-0.2136230469
0.1538419724,-0.7324218750,0.0566406250,0.0761718750,8.5754394531,0.5493164062,-0.0152587891
0.1565399170,-0.7324218750,0.0566406250,0.0761718750,8.5754394531,0.5493164062,-0.0152587891
0.1592359543,-0.7363281250,0.0888671875,0.0693359375,7.6599121094,0.7019042969,-0.1678466797
0.1619338989,-0.7363281250,0.0888671875,0.0693359375,7.6599121094,0.7019042969,-0.1678466797
0.1646339893,-0.7363281250,0.0888671875,0.0693359375,7.8277587891,0.6561279297,-0.2288818359
0.1673309803,-0.7363281250,0.0888671875,0.0693359375,7.8277587891,0.6561279297,-0.2288818359
0.1700329781,-0.7333984375,0.1025390625,0.0742187500,9.3383789062,0.3662109375,-0.3509521484
0.1727299690,-0.7333984375,0.1025390625,0.0742187500,9.3383789062,0.3662109375,-0.3509521484
0.1754269600,-0.7333984375,0.1025390625,0.0742187500,10.1318359375,0.1525878906,-0.5645751953
0.1781167984,-0.7333984375,0.1025390625,0.0742187500,10.1318359375,0.1525878906,-0.5645751953
0.1807949543,-0.7280273438,0.1127929688,0.0688476562,11.1694335938,0.1373291016,-0.6256103516
0.1833717823,-0.7280273438,0.1127929688,0.0688476562,11.1694335938,0.1373291016,-0.6256103516
0.1859459877,-0.7280273438,0.1127929688,0.0688476562,11.2609863281,-0.0305175781,-1.0681152344
0.1885848045,-0.7280273438,0.1127929688,0.0659179688,11.2609863281,-0.0305175781,-1.0681152344
0.1912930012,-0.7045898438,0.1005859375,0.0659179688,11.3983154297,-0.4577636719,-1.7242431641
0.1939969063,-0.7045898438,0.1005859375,0.0659179688,11.3983154297,-0.4577636719,-1.7242431641
0.1966948509,-0.7045898438,0.1005859375,0.0659179688,11.0168457031,-0.7324218750,-2.5177001953
0.1994178295,-0.6982421875,0.1137695312,0.0649414062,11.0168457031,-0.7324218750,-2.5177001953
0.2021129131,-0.6982421875,0.1137695312,0.0649414062,10.7574462891,-0.9918212891,-3.1433105469
0.2048130035,-0.6982421875,0.1137695312,0.0649414062,10.7574462891,-0.9918212891,-3.1433105469
0.2075238228,-0.6982421875,0.1137695312,0.0649414062,9.8571777344,-0.5493164062,-3.2501220703
0.2102220058,-0.7089843750,0.1064453125,0.0698242188,9.8571777344,-0.5493164062,-3.2501220703
0.2129259109,-0.7089843750,0.1064453125,0.0698242188,9.8571777344,-0.4119873047,-3.4179687500
0.2156248093,-0.7089843750,0.1064453125,0.0698242188,9.2926025391,-0.4119873047,-3.4179687500
