# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7250976562,0.2241210938,0.0029296875,4.8217773438,6.2103271484,12.6495361328
0.0026960373,-0.7304687500,0.2167968750,0.0048828125,4.8217773438,6.2103271484,12.6495361328
0.0053911209,-0.7304687500,0.2167968750,0.0048828125,6.0729980469,5.7830810547,13.6260986328
0.0081431866,-0.7304687500,0.2167968750,0.0048828125,6.0729980469,5.7830810547,13.6260986328
0.0108389854,-0.7304687500,0.2167968750,0.0048828125,7.2326660156,5.7830810547,14.4958496094
0.0135362148,-0.7236328125,0.2177734375,-0.0117187500,7.2326660156,5.7830810547,14.4958496094
0.0162281990,-0.7236328125,0.2177734375,-0.0117187500,7.9040527344,6.1645507812,15.7623291016
0.0190181732,-0.7236328125,0.2177734375,-0.0117187500,7.9040527344,6.1645507812,15.7623291016
0.0215849876,-0.7236328125,0.2177734375,-0.0097656250,8.8348388672,6.1187744141,16.9525146484
0.0241479874,-0.7285156250,0.2143554688,-0.0097656250,8.8348388672,6.1187744141,16.9525146484
0.0267181396,-0.7285156250,0.2143554688,-0.0097656250,10.1623535156,6.0119628906,18.6920166016
0.0293991566,-0.7285156250,0.2143554688,-0.0097656250,10.1623535156,6.0119628906,18.6920166016
0.0319650173,-0.7285156250,0.2143554688,-0.0170898438,10.8184814453,6.8359375000,20.2331542969
0.0354051590,-0.7343750000,0.1953125000,-0.0170898438,10.8184814453,6.8359375000,20.2331542969
0.0380821228,-0.7343750000,0.1953125000,-0.0170898438,11.0931396484,7.7667236328,22.0489501953
0.0407559872,-0.7343750000,0.1953125000,-0.0170898438,11.0931396484,7.7667236328,22.0489501953
0.0434191227,-0.7490234375,0.1816406250,-0.0092773438,11.3983154297,8.3465576172,24.1394042969
0.0460910797,-0.7490234375,0.1816406250,-0.0092773438,11.3983154297,8.3465576172,24.1394042969
0.0487940311,-0.7490234375,0.1816406250,-0.0092773438,11.2457275391,8.2397460938,26.3519287109
0.0514872074,-0.7490234375,0.1816406250,-0.0092773438,11.2457275391,8.2397460938,26.3519287109
0.0543401241,-0.7602539062,0.1831054688,-0.0087890625,10.6964111328,8.3312988281,28.1982421875
0.0570321083,-0.7602539062,0.1831054688,-0.0087890625,10.6964111328,8.3312988281,28.1982421875
0.0597209930,-0.7602539062,0.1831054688,-0.0087890625,10.1013183594,8.3770751953,30.7617187500
0.0624501705,-0.7602539062,0.1870117188,-0.0039062500,10.1013183594,8.3770751953,30.7617187500
0.0651562214,-0.7724609375,0.1870117188,-0.0039062500,10.4370117188,8.1481933594,32.8826904297
0.0678491592,-0.7724609375,0.1870117188,-0.0039062500,10.4370117188,8.1481933594,32.8826904297
0.0704281330,-0.7724609375,0.1870117188,-0.0039062500,10.8642578125,8.2244873047,35.1867675781
0.0730001926,-0.7714843750,0.1875000000,-0.0004882812,10.8642578125,8.2244873047,35.1867675781
0.0755770206,-0.7714843750,0.1875000000,-0.0004882812,10.9405517578,8.3007812500,37.3382568359
0.0782611370,-0.7714843750,0.1875000000,-0.0004882812,10.9405517578,8.3007812500,37.3382568359
0.0808341503,-0.7714843750,0.1875000000,-0.0004882812,11.0015869141,7.4005126953,39.7644042969
0.0834181309,-0.7783203125,0.1865234375,-0.0063476562,11.0015869141,7.4005126953,39.7644042969
0.0859971046,-0.7783203125,0.1865234375,-0.0063476562,11.0015869141,7.3394775391,41.7327880859
0.0887160301,-0.7783203125,0.1865234375,-0.0063476562,11.1236572266,7.3394775391,41.7327880859
0.0914130211,-0.7783203125,0.1865234375,-0.0063476562,11.1236572266,6.7138671875,43.4265136719
0.0941011906,-0.7973632812,0.1796875000,0.0112304688,11.4593505859,6.7138671875,43.4265136719
0.0967922211,-0.7973632812,0.1796875000,0.0112304688,11.4593505859,5.8593750000,46.3867187500
