# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7324218750,0.1708984375,-0.0097656250,-3.7231445312,4.1503906250,5.8746337891
0.0025570393,-0.7324218750,0.1708984375,-0.0097656250,-2.6855468750,4.5776367188,6.8817138672
0.0051119328,-0.7358398438,0.1699218750,-0.0014648438,-2.6855468750,4.5776367188,6.8817138672
0.0077359676,-0.7358398438,0.1699218750,-0.0014648438,-1.2512207031,3.8146972656,7.8277587891
0.0102839470,-0.7358398438,0.1699218750,-0.0014648438,-1.2512207031,3.8146972656,7.8277587891
0.0128400326,-0.7358398438,0.1699218750,-0.0014648438,0.9002685547,3.3416748047,8.7127685547
0.0153920650,-0.7416992188,0.1674804688,-0.0053710938,0.9002685547,3.3416748047,8.7127685547
0.0181319714,-0.7416992188,0.1674804688,-0.0053710938,2.5634765625,3.1585693359,9.4909667969
0.0206868649,-0.7416992188,0.1674804688,-0.0053710938,2.5634765625,3.1585693359,9.4909667969
0.0232419968,-0.7416992188,0.1674804688,-0.0063476562,2.5939941406,2.9602050781,10.7727050781
0.0257968903,-0.7421875000,0.1635742188,-0.0063476562,2.5939941406,2.9602050781,10.7727050781
0.0285098553,-0.7421875000,0.1635742188,-0.0063476562,3.0517578125,2.6397705078,11.4440917969
0.0310759544,-0.7421875000,0.1635742188,-0.0063476562,3.0517578125,2.6397705078,11.4440917969
0.0336449146,-0.7421875000,0.1635742188,-0.0092773438,3.0517578125,2.3345947266,12.5732421875
0.0362079144,-0.7495117188,0.1684570312,-0.0092773438,3.6621093750,2.3345947266,12.5732421875
0.0388619900,-0.7495117188,0.1684570312,-0.0092773438,3.6621093750,1.7700195312,14.3127441406
0.0414328575,-0.7495117188,0.1684570312,-0.0092773438,4.0435791016,1.7700195312,14.3127441406
0.0439980030,-0.7495117188,0.1757812500,-0.0146484375,4.0435791016,1.7700195312,16.0217285156
0.0465729237,-0.7402343750,0.1757812500,-0.0146484375,4.1351318359,1.3885498047,16.0217285156
0.0492548943,-0.7402343750,0.1757812500,-0.0146484375,4.1351318359,1.3885498047,16.9830322266
0.0521008968,-0.7402343750,0.1757812500,-0.0146484375,4.2266845703,1.3122558594,16.9830322266
0.0547828674,-0.7343750000,0.1860351562,-0.0156250000,4.2266845703,1.3122558594,17.9290771484
0.0575089455,-0.7343750000,0.1860351562,-0.0156250000,5.6457519531,1.4038085938,17.9290771484
0.0601730347,-0.7343750000,0.1860351562,-0.0156250000,5.6457519531,1.4038085938,19.0429687500
0.0628349781,-0.7343750000,0.1860351562,-0.0156250000,6.5002441406,1.1749267578,19.0429687500
0.0655009747,-0.7290039062,0.1889648438,-0.0043945312,6.5002441406,1.1749267578,19.5159912109
0.0683109760,-0.7290039062,0.1889648438,-0.0043945312,7.7362060547,0.9918212891,19.5159912109
0.0710220337,-0.7290039062,0.1889648438,-0.0043945312,7.7362060547,0.9918212891,20.2026367188
