# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7387695312,0.0068359375,-0.0019531250,1.2969970703,-2.6550292969,-3.9672851562
0.0026969910,-0.7387695312,0.0068359375,-0.0019531250,1.2664794922,-2.6550292969,-3.9672851562
0.0053858757,-0.7275390625,0.0097656250,-0.0097656250,1.2664794922,-2.8839111328,-3.7841796875
0.0080900192,-0.7275390625,0.0097656250,-0.0097656250,1.2969970703,-2.8839111328,-3.7841796875
0.0107870102,-0.7275390625,0.0097656250,-0.0097656250,1.2969970703,-3.0822753906,-3.4637451172
0.0134799480,-0.7275390625,0.0097656250,-0.0122070312,1.2969970703,-3.0822753906,-3.4637451172
0.0161759853,-0.7285156250,0.0039062500,-0.0122070312,1.2969970703,-2.9907226562,-3.3874511719
0.0189990997,-0.7285156250,0.0039062500,-0.0122070312,1.0070800781,-2.9907226562,-3.3874511719
0.0216569901,-0.7285156250,0.0039062500,-0.0122070312,1.0070800781,-2.7618408203,-3.1433105469
0.0248808861,-0.7363281250,0.0073242188,-0.0087890625,0.9155273438,-2.7618408203,-3.1433105469
0.0275108814,-0.7363281250,0.0073242188,-0.0087890625,0.9460449219,-2.6397705078,-2.7008056641
0.0300800800,-0.7363281250,0.0073242188,-0.0087890625,0.9460449219,-2.6397705078,-2.7008056641
0.0326340199,-0.7363281250,0.0073242188,-0.0087890625,0.9460449219,-2.6702880859,-2.6550292969
0.0351901054,-0.7363281250,0.0083007812,-0.0053710938,0.9307861328,-2.6702880859,-2.6550292969
0.0377531052,-0.7363281250,0.0083007812,-0.0053710938,0.9307861328,-2.6702880859,-2.3193359375
0.0403180122,-0.7363281250,0.0083007812,-0.0053710938,0.4730224609,-2.9449462891,-2.3193359375
0.0428829193,-0.7363281250,0.0083007812,-0.0053710938,0.4730224609,-2.9449462891,-2.3193359375
0.0454480648,-0.7387695312,0.0043945312,-0.0073242188,0.5645751953,-2.6397705078,-2.6245117188
0.0480570793,-0.7387695312,0.0043945312,-0.0073242188,0.5645751953,-2.6397705078,-2.6245117188
0.0506200790,-0.7387695312,0.0043945312,-0.0073242188,0.6408691406,-2.6092529297,-2.3651123047
0.0533430576,-0.7387695312,0.0043945312,-0.0073242188,0.6408691406,-2.6092529297,-2.3651123047
0.0559029579,-0.7407226562,0.0053710938,-0.0107421875,0.8697509766,-2.9296875000,-2.1972656250
0.0585649014,-0.7407226562,0.0053710938,-0.0107421875,0.8697509766,-2.9296875000,-2.1972656250
0.0611269474,-0.7407226562,0.0053710938,-0.0107421875,0.8392333984,-3.0670166016,-1.7395019531
0.0636899471,-0.7407226562,0.0053710938,-0.0107421875,0.8392333984,-3.0670166016,-1.7395019531
0.0662529469,-0.7309570312,0.0102539062,-0.0131835938,0.9307861328,-3.1127929688,-1.4038085938
0.0689430237,-0.7309570312,0.0102539062,-0.0131835938,0.9307861328,-3.1127929688,-1.4038085938
0.0715050697,-0.7309570312,0.0102539062,-0.0131835938,0.9918212891,-2.8686523438,-1.4495849609
0.0740740299,-0.7309570312,0.0102539062,-0.0131835938,0.9918212891,-2.8686523438,-1.4495849609
0.0766379833,-0.7250976562,0.0034179688,-0.0078125000,1.4343261719,-3.0059814453,-1.2664794922
0.0792899132,-0.7250976562,0.0034179688,-0.0078125000,1.4343261719,-3.0059814453,-1.2664794922
0.0818510056,-0.7250976562,0.0034179688,-0.0078125000,1.5563964844,-2.8381347656,-1.2359619141
0.0844159126,-0.7250976562,0.0034179688,-0.0102539062,1.5563964844,-2.8381347656,-1.2359619141
0.0869779587,-0.7319335938,0.0043945312,-0.0102539062,1.5563964844,-3.3721923828,-0.8087158203
0.0896940231,-0.7319335938,0.0043945312,-0.0102539062,1.5258789062,-3.3721923828,-0.8087158203
0.0923879147,-0.7319335938,0.0043945312,-0.0102539062,1.5258789062,-3.1890869141,-0.7019042969
0.0950860977,-0.7319335938,0.0004882812,-0.0117187500,1.7700195312,-3.1890869141,-0.7019042969
0.0977809429,-0.7412109375,0.0004882812,-0.0117187500,1.7700195312,-2.9144287109,-0.5493164062
0.1004788876,-0.7412109375,0.0004882812,-0.0117187500,1.8310546875,-2.9144287109,-0.5493164062
0.1031770706,-0.7412109375,0.0004882812,-0.0117187500,1.8310546875,-2.9144287109,-0.1831054688
0.1058759689,-0.7397460938,-0.0019531250,-0.0117187500,0.9765625000,-3.2348632812,-0.1831054688
0.1085789204,-0.7397460938,-0.0019531250,-0.0117187500,0.9765625000,-3.2348632812,-0.2593994141
0.1112749577,-0.7397460938,-0.0019531250,-0.0117187500,1.3580322266,-3.3264160156,-0.2593994141
0.1139678955,-0.7397460938,-0.0019531250,-0.0117187500,1.3580322266,-3.3264160156,-0.3356933594
0.1168930531,-0.7407226562,0.0087890625,-0.0136718750,1.0986328125,-3.3416748047,-0.3356933594
0.1196019650,-0.7407226562,0.0087890625,-0.0136718750,1.0986328125,-3.5095214844,-0.3204345703
0.1222739220,-0.7407226562,0.0087890625,-0.0136718750,1.2512207031,-3.5095214844,-0.3204345703
0.1250948906,-0.7407226562,0.0126953125,-0.0009765625,1.2512207031,-3.1890869141,-0.1525878906
