# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-0.7294921875,0.0966796875,0.0322265625,1.4801025391,-0.1983642578,0.7476806641
0.0026588440,-0.7294921875,0.0966796875,0.0322265625,1.3580322266,-0.3051757812,0.8850097656
0.0052208900,-0.7265625000,0.1088867188,0.0395507812,1.3580322266,-0.3051757812,0.8850097656
0.0079109669,-0.7265625000,0.1088867188,0.0395507812,1.2207031250,-0.3356933594,0.7629394531
0.0106058121,-0.7265625000,0.1088867188,0.0395507812,1.2207031250,-0.3356933594,0.7629394531
0.0132968426,-0.7265625000,0.1088867188,0.0395507812,1.4648437500,-0.1373291016,1.2207031250
0.0159988403,-0.7270507812,0.0996093750,0.0395507812,1.4648437500,-0.1373291016,1.2207031250
0.0187809467,-0.7270507812,0.0996093750,0.0395507812,1.7700195312,-0.0610351562,1.4495849609
0.0214498043,-0.7270507812,0.0996093750,0.0395507812,1.7700195312,-0.0610351562,1.4495849609
0.0243690014,-0.7236328125,0.0986328125,0.0351562500,1.6174316406,-0.1831054688,1.2969970703
0.0273678303,-0.7236328125,0.0986328125,0.0351562500,1.6174316406,-0.1831054688,1.2969970703
0.0299308300,-0.7236328125,0.0986328125,0.0351562500,1.2359619141,-0.2288818359,1.2969970703
0.0324878693,-0.7236328125,0.0986328125,0.0351562500,1.2359619141,-0.2288818359,1.2969970703
0.0350439548,-0.7197265625,0.1088867188,0.0415039062,1.2969970703,-0.1220703125,1.2969970703
0.0377678871,-0.7197265625,0.1088867188,0.0415039062,1.2969970703,-0.1220703125,1.2969970703
0.0404198170,-0.7197265625,0.1088867188,0.0415039062,1.5869140625,0.0457763672,1.2969970703
0.0436768532,-0.7197265625,0.1088867188,0.0317382812,1.5869140625,0.0457763672,1.2969970703
0.0463168621,-0.7241210938,0.1035156250,0.0317382812,1.9378662109,0.3814697266,1.2207031250
0.0488870144,-0.7241210938,0.1035156250,0.0317382812,1.9378662109,0.3814697266,1.2207031250
0.0514459610,-0.7241210938,0.1035156250,0.0317382812,2.3498535156,0.5950927734,1.4495849609
0.0541658401,-0.7241210938,0.0937500000,0.0424804688,2.3498535156,0.5950927734,1.4495849609
0.0567359924,-0.7294921875,0.0937500000,0.0424804688,2.5634765625,0.2746582031,1.6937255859
0.0592978001,-0.7294921875,0.0937500000,0.0424804688,2.5634765625,0.2746582031,1.6937255859
0.0618538857,-0.7294921875,0.0937500000,0.0424804688,2.3803710938,0.1678466797,1.6174316406
0.0644209385,-0.7294921875,0.0922851562,0.0361328125,2.3803710938,0.1678466797,1.6174316406
0.0670340061,-0.7382812500,0.0922851562,0.0361328125,2.3803710938,0.4272460938,1.6784667969
0.0695970058,-0.7382812500,0.0922851562,0.0361328125,2.1514892578,0.4272460938,1.6784667969
0.0721619129,-0.7382812500,0.0922851562,0.0361328125,2.1514892578,0.4272460938,1.6479492188
0.0747258663,-0.7348632812,0.0971679688,0.0332031250,1.4801025391,0.7629394531,1.6479492188
0.0772988796,-0.7348632812,0.0971679688,0.0332031250,1.4801025391,0.7629394531,1.5563964844
0.0798628330,-0.7348632812,0.0971679688,0.0332031250,1.3885498047,0.5798339844,1.5563964844
0.0824208260,-0.7348632812,0.0971679688,0.0332031250,1.3885498047,0.5798339844,1.5563964844
0.0849878788,-0.7382812500,0.1083984375,0.0400390625,1.0070800781,0.7171630859,1.4495849609
