# time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
0.0000000000,-2.4711914062,-0.2382812500,-1.1630859375,-7.2174072266,34.9273681641,225.7537841797
0.0028879642,-2.4711914062,-0.2382812500,-1.1630859375,-40.8325195312,23.7579345703,235.0616455078
0.0055999756,-2.4711914062,-0.2382812500,-1.1630859375,-40.8325195312,23.7579345703,235.0616455078
0.0082900524,-1.2724609375,-0.2319335938,-0.3735351562,-74.0051269531,14.1906738281,244.7967529297
0.0110499859,-1.2724609375,-0.2319335938,-0.3735351562,-74.0051269531,14.1906738281,244.7967529297
0.0137181282,-1.2724609375,-0.2319335938,-0.3735351562,-80.3680419922,12.7258300781,253.1280517578
0.0179200172,-1.2724609375,0.7656250000,0.2504882812,-80.3680419922,12.7258300781,253.1280517578
0.0204930305,-0.0566406250,0.7656250000,0.2504882812,-55.8319091797,12.4511718750,250.3356933594
0.0230600834,-0.0566406250,0.7656250000,0.2504882812,-55.8319091797,12.4511718750,250.3356933594
0.0257141590,-0.0566406250,0.7656250000,0.2504882812,-16.7388916016,10.8947753906,228.8513183594
0.0282840729,0.0683593750,1.1279296875,0.2709960938,-16.7388916016,10.8947753906,228.8513183594
0.0308501720,0.0810546875,1.1279296875,0.2709960938,6.6986083984,6.9580078125,199.7680664062
0.0334060192,0.0810546875,1.1279296875,0.2709960938,6.6986083984,6.9580078125,199.7680664062
0.0360901356,0.0810546875,1.1279296875,0.2709960938,10.9558105469,1.4038085938,182.0068359375
0.0386641026,-0.3002929688,0.8076171875,-0.0185546875,10.9558105469,1.4038085938,182.0068359375
0.0412321091,-0.3002929688,0.8076171875,-0.0185546875,25.5432128906,-6.3476562500,169.4335937500
0.0437991619,-0.3002929688,0.8076171875,-0.0185546875,25.5432128906,-6.3476562500,169.4335937500
0.0465199947,-0.3002929688,0.8076171875,-0.0185546875,48.8128662109,-7.3394775391,156.5399169922
0.0490951538,-0.5502929688,0.4858398438,-0.2275390625,48.8128662109,-7.3394775391,156.5399169922
