time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,        0.5764106512,-0.0878433138,-0.1129093915,-16.4238338470,-2.5841116905,-79.8613510132
        0.0026969910,        0.5764106512,-0.0878433138,-0.1129093915,-16.4543514252,-2.5841116905,-79.8613510132
        0.0053858757,        0.5876411200,-0.0849136263,-0.1207218915,-16.4543514252,-2.8129935265,-79.6782455444
        0.0080900192,        0.5876411200,-0.0849136263,-0.1207218915,-16.4238338470,-2.8129935265,-79.6782455444
        0.0107870102,        0.5876411200,-0.0849136263,-0.1207218915,-16.4238338470,-3.0113577843,-79.3578109741
        0.0134799480,        0.5876411200,-0.0849136263,-0.1231632978,-16.4238338470,-3.0113577843,-79.3578109741
        0.0161759853,        0.5866645575,-0.0907730013,-0.1231632978,-16.4238338470,-2.9198050499,-79.2815170288
        0.0189990997,        0.5866645575,-0.0907730013,-0.1231632978,-16.7137508392,-2.9198050499,-79.2815170288
        0.0216569901,        0.5866645575,-0.0907730013,-0.1231632978,-16.7137508392,-2.6909232140,-79.0373764038
        0.0248808861,        0.5788520575,-0.0873550326,-0.1197453290,-16.8053035736,-2.6909232140,-79.0373764038
        0.0275108814,        0.5788520575,-0.0873550326,-0.1197453290,-16.7747859955,-2.5688529015,-78.5948715210
        0.0300800800,        0.5788520575,-0.0873550326,-0.1197453290,-16.7747859955,-2.5688529015,-78.5948715210
        0.0326340199,        0.5788520575,-0.0873550326,-0.1197453290,-16.7747859955,-2.5993704796,-78.5490951538
        0.0351901054,        0.5788520575,-0.0863784701,-0.1163273603,-16.7900447845,-2.5993704796,-78.5490951538
        0.0377531052,        0.5788520575,-0.0863784701,-0.1163273603,-16.7900447845,-2.5993704796,-78.2134017944
        0.0403180122,        0.5788520575,-0.0863784701,-0.1163273603,-17.2478084564,-2.8740286827,-78.2134017944
        0.0428829193,        0.5788520575,-0.0863784701,-0.1163273603,-17.2478084564,-2.8740286827,-78.2134017944
        0.0454480648,        0.5764106512,-0.0902847201,-0.1182804853,-17.1562557220,-2.5688529015,-78.5185775757
        0.0480570793,        0.5764106512,-0.0902847201,-0.1182804853,-17.1562557220,-2.5688529015,-78.5185775757
        0.0506200790,        0.5764106512,-0.0902847201,-0.1182804853,-17.0799617767,-2.5383353233,-78.2591781616
        0.0533430576,        0.5764106512,-0.0902847201,-0.1182804853,-17.0799617767,-2.5383353233,-78.2591781616
        0.0559029579,        0.5744575262,-0.0893081576,-0.1216984540,-16.8510799408,-2.8587698936,-78.0913314819
        0.0585649014,        0.5744575262,-0.0893081576,-0.1216984540,-16.8510799408,-2.8587698936,-78.0913314819
        0.0611269474,        0.5744575262,-0.0893081576,-0.1216984540,-16.8815975189,-2.9960989952,-77.6335678101
        0.0636899471,        0.5744575262,-0.0893081576,-0.1216984540,-16.8815975189,-2.9960989952,-77.6335678101
        0.0662529469,        0.5842231512,-0.0844253451,-0.1241398603,-16.7900447845,-3.0418753624,-77.2978744507
        0.0689430237,        0.5842231512,-0.0844253451,-0.1241398603,-16.7900447845,-3.0418753624,-77.2978744507
        0.0715050697,        0.5842231512,-0.0844253451,-0.1241398603,-16.7290096283,-2.7977347374,-77.3436508179
        0.0740740299,        0.5842231512,-0.0844253451,-0.1241398603,-16.7290096283,-2.7977347374,-77.3436508179
        0.0766379833,        0.5900825262,-0.0912612826,-0.1187687665,-16.2865047455,-2.9350638390,-77.1605453491
        0.0792899132,        0.5900825262,-0.0912612826,-0.1187687665,-16.2865047455,-2.9350638390,-77.1605453491
        0.0818510056,        0.5900825262,-0.0912612826,-0.1187687665,-16.1644344330,-2.7672171593,-77.1300277710
        0.0844159126,        0.5900825262,-0.0912612826,-0.1212101728,-16.1644344330,-2.7672171593,-77.1300277710
        0.0869779587,        0.5832465887,-0.0902847201,-0.1212101728,-16.1644344330,-3.3012747765,-76.7027816772
        0.0896940231,        0.5832465887,-0.0902847201,-0.1212101728,-16.1949520111,-3.3012747765,-76.7027816772
        0.0923879147,        0.5832465887,-0.0902847201,-0.1212101728,-16.1949520111,-3.1181693077,-76.5959701538
        0.0950860977,        0.5832465887,-0.0941909701,-0.1226750165,-15.9508113861,-3.1181693077,-76.5959701538
        0.0977809429,        0.5739692450,-0.0941909701,-0.1226750165,-15.9508113861,-2.8435111046,-76.4433822632
        0.1004788876,        0.5739692450,-0.0941909701,-0.1226750165,-15.8897762299,-2.8435111046,-76.4433822632
        0.1031770706,        0.5739692450,-0.0941909701,-0.1226750165,-15.8897762299,-2.8435111046,-76.0771713257
        0.1058759689,        0.5754340887,-0.0966323763,-0.1226750165,-16.7442684174,-3.1639456749,-76.0771713257
        0.1085789204,        0.5754340887,-0.0966323763,-0.1226750165,-16.7442684174,-3.1639456749,-76.1534652710
        0.1112749577,        0.5754340887,-0.0966323763,-0.1226750165,-16.3627986908,-3.2554984093,-76.1534652710
        0.1139678955,        0.5754340887,-0.0966323763,-0.1226750165,-16.3627986908,-3.2554984093,-76.2297592163
        0.1168930531,        0.5744575262,-0.0858901888,-0.1246281415,-16.6221981049,-3.2707571983,-76.2297592163
        0.1196019650,        0.5744575262,-0.0858901888,-0.1246281415,-16.6221981049,-3.4386038780,-76.2145004272
        0.1222739220,        0.5744575262,-0.0858901888,-0.1246281415,-16.4696102142,-3.4386038780,-76.2145004272
        0.1250948906,        0.5744575262,-0.0819839388,-0.1119328290,-16.4696102142,-3.1181693077,-76.0466537476
        0.1277120113,        0.5851997137,-0.0819839388,-0.1119328290,-16.4238338470,-3.1181693077,-76.0466537476
        0.1302700043,        0.5851997137,-0.0819839388,-0.1119328290,-16.4238338470,-3.1181693077,-75.9398422241
        0.1328320503,        0.5851997137,-0.0819839388,-0.1119328290,-16.3322811127,-3.2249808311,-75.9398422241
        0.1354000568,        0.5851997137,-0.0810073763,-0.1187687665,-16.3322811127,-3.2249808311,-75.9398422241
        0.1380228996,        0.5822700262,-0.0810073763,-0.1187687665,-16.1644344330,-2.7214407921,-76.2450180054
