time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,       -0.1555682421,-0.1120050699,0.0270245671,2.9624414444,1.6938078403,3.6648569107
        0.0026588440,       -0.1555682421,-0.1120050699,0.0270245671,2.8403711319,1.5869963169,3.8021860123
        0.0052208900,       -0.1526385546,-0.0997980386,0.0343487859,2.8403711319,1.5869963169,3.8021860123
        0.0079109669,       -0.1526385546,-0.0997980386,0.0343487859,2.7030420303,1.5564787388,3.6801156998
        0.0106058121,       -0.1526385546,-0.0997980386,0.0343487859,2.7030420303,1.5564787388,3.6801156998
        0.0132968426,       -0.1526385546,-0.0997980386,0.0343487859,2.9471826553,1.7548429966,4.1378793716
        0.0159988403,       -0.1531268358,-0.1090753824,0.0343487859,2.9471826553,1.7548429966,4.1378793716
        0.0187809467,       -0.1531268358,-0.1090753824,0.0343487859,3.2523584366,1.8311369419,4.3667612076
        0.0214498043,       -0.1531268358,-0.1090753824,0.0343487859,3.2523584366,1.8311369419,4.3667612076
        0.0243690014,       -0.1497088671,-0.1100519449,0.0299542546,3.0997705460,1.7090666294,4.2141733170
        0.0273678303,       -0.1497088671,-0.1100519449,0.0299542546,3.0997705460,1.7090666294,4.2141733170
        0.0299308300,       -0.1497088671,-0.1100519449,0.0299542546,2.7183008194,1.6632902622,4.2141733170
        0.0324878693,       -0.1497088671,-0.1100519449,0.0299542546,2.7183008194,1.6632902622,4.2141733170
        0.0350439548,       -0.1458026171,-0.0997980386,0.0363019109,2.7793359756,1.7701017857,4.2141733170
        0.0377678871,       -0.1458026171,-0.0997980386,0.0363019109,2.7793359756,1.7701017857,4.2141733170
        0.0404198170,       -0.1458026171,-0.0997980386,0.0363019109,3.0692529678,1.9379484653,4.2141733170
        0.0436768532,       -0.1458026171,-0.0997980386,0.0265362859,3.0692529678,1.9379484653,4.2141733170
        0.0463168621,       -0.1501971483,-0.1051691324,0.0265362859,3.4202051163,2.2736418247,4.1378793716
        0.0488870144,       -0.1501971483,-0.1051691324,0.0265362859,3.4202051163,2.2736418247,4.1378793716
        0.0514459610,       -0.1501971483,-0.1051691324,0.0265362859,3.8321924210,2.4872648716,4.3667612076
        0.0541658401,       -0.1501971483,-0.1149347574,0.0372784734,3.8321924210,2.4872648716,4.3667612076
        0.0567359924,       -0.1555682421,-0.1149347574,0.0372784734,4.0458154678,2.1668303013,4.6109018326
        0.0592978001,       -0.1555682421,-0.1149347574,0.0372784734,4.0458154678,2.1668303013,4.6109018326
        0.0618538857,       -0.1555682421,-0.1149347574,0.0372784734,3.8627099991,2.0600187778,4.5346078873
        0.0644209385,       -0.1555682421,-0.1163996011,0.0309308171,3.8627099991,2.0600187778,4.5346078873
        0.0670340061,       -0.1643573046,-0.1163996011,0.0309308171,3.8627099991,2.3194181919,4.5956430435
        0.0695970058,       -0.1643573046,-0.1163996011,0.0309308171,3.6338281631,2.3194181919,4.5956430435
        0.0721619129,       -0.1643573046,-0.1163996011,0.0309308171,3.6338281631,2.3194181919,4.5651254654
        0.0747258663,       -0.1609393358,-0.1115167886,0.0280011296,2.9624414444,2.6551115513,4.5651254654
        0.0772988796,       -0.1609393358,-0.1115167886,0.0280011296,2.9624414444,2.6551115513,4.4735727310
        0.0798628330,       -0.1609393358,-0.1115167886,0.0280011296,2.8708887100,2.4720060825,4.4735727310
        0.0824208260,       -0.1609393358,-0.1115167886,0.0280011296,2.8708887100,2.4720060825,4.4735727310
        0.0849878788,       -0.1643573046,-0.1002863199,0.0348370671,2.4894189835,2.6093351841,4.3667612076
        0.0877180099,       -0.1643573046,-0.1002863199,0.0348370671,2.4894189835,2.6093351841,4.3667612076
        0.0902898312,       -0.1643573046,-0.1002863199,0.0348370671,2.1995019913,2.5940763950,4.1836557388
        0.0928568840,       -0.1643573046,-0.1002863199,0.0348370671,2.1995019913,2.5940763950,4.1836557388
        0.0954298973,       -0.1594744921,-0.1061456949,0.0314190984,1.7417383194,2.6856291294,3.8479623795
        0.0981748104,       -0.1594744921,-0.1061456949,0.0314190984,1.7417383194,2.6856291294,3.8479623795
        0.1008388996,       -0.1594744921,-0.1061456949,0.0314190984,1.5281152725,2.5025236607,3.6648569107
        0.1036159992,       -0.1594744921,-0.1061456949,0.0314190984,1.5281152725,2.5025236607,3.6648569107
        0.1063239574,       -0.1550799608,-0.0914972574,0.0104230046,1.5891504288,2.0600187778,3.2986459732
        0.1088860035,       -0.1550799608,-0.0914972574,0.0104230046,1.5891504288,2.0600187778,3.2986459732
        0.1114559174,       -0.1550799608,-0.0914972574,0.0104230046,1.6196680069,1.9684660435,2.7645883560
        0.1140189171,       -0.1550799608,-0.0914972574,0.0104230046,1.6196680069,1.9684660435,2.7645883560
        0.1167628765,       -0.1575213671,-0.0978449136,0.0162823796,1.8485498428,1.9837248325,2.7798471451
        0.1193258762,       -0.1575213671,-0.0978449136,0.0162823796,1.8485498428,1.9837248325,2.7798471451
        0.1218879223,       -0.1575213671,-0.0978449136,0.0162823796,1.8180322647,2.2889006138,2.9019174576
        0.1244518757,       -0.1575213671,-0.0978449136,0.0250714421,1.8180322647,2.2889006138,2.9019174576
        0.1270649433,       -0.1545916796,-0.1095636636,0.0250714421,1.6501855850,2.4109709263,2.7493295670
        0.1296269894,       -0.1545916796,-0.1095636636,0.0250714421,1.6501855850,2.4109709263,2.7493295670
        0.1321949959,       -0.1545916796,-0.1095636636,0.0250714421,1.6501855850,2.2126066685,2.6272592545
        0.1347579956,       -0.1545916796,-0.1095636636,0.0270245671,1.6044092178,2.2126066685,2.6272592545
        0.1373758316,       -0.1580096483,-0.1085871011,0.0270245671,1.6044092178,2.2126066685,2.5967416763
        0.1399419308,       -0.1580096483,-0.1085871011,0.0270245671,1.5586328506,2.1820890903,2.5967416763
        0.1425018311,       -0.1580096483,-0.1085871011,0.0270245671,1.5586328506,2.1820890903,2.5967416763
        0.1450707912,       -0.1580096483,-0.1037042886,0.0148175359,1.6959619522,2.0905363560,2.3373422623
        0.1476638317,       -0.1521502733,-0.1037042886,0.0148175359,1.6959619522,2.0905363560,2.3373422623
        0.1502230167,       -0.1521502733,-0.1037042886,0.0148175359,1.4975976944,2.2278654575,2.2610483170
        0.1529588699,       -0.1521502733,-0.1037042886,0.0148175359,1.4975976944,2.2278654575,2.2610483170
        0.1555228233,       -0.1521502733,-0.1071222574,0.0192120671,1.7112207413,2.3346769810,2.6272592545
        0.1586558819,       -0.1619158983,-0.1071222574,0.0192120671,1.7112207413,2.3346769810,2.6272592545
        0.1613597870,       -0.1619158983,-0.1071222574,0.0192120671,1.6349267960,2.3804533482,2.6577768326
        0.1640558243,       -0.1619158983,-0.1071222574,0.0192120671,1.6349267960,2.3804533482,2.6577768326
        0.1667659283,       -0.1570330858,-0.1076105386,0.0270245671,1.4975976944,2.5635588169,2.6425180435
        0.1694669724,       -0.1570330858,-0.1076105386,0.0270245671,1.4975976944,2.5635588169,2.6425180435
        0.1721639633,       -0.1570330858,-0.1076105386,0.0270245671,2.2300195694,2.0600187778,2.6730356216
        0.1748700142,       -0.1570330858,-0.1076105386,0.0338605046,2.2300195694,2.0600187778,2.6730356216
        0.1774950027,       -0.1648455858,-0.1168878824,0.0338605046,2.2452783585,2.0295011997,2.8103647232
        0.1801807880,       -0.1648455858,-0.1168878824,0.0338605046,2.2452783585,2.0295011997,2.8103647232
        0.1827528477,       -0.1648455858,-0.1168878824,0.0338605046,1.7722558975,2.6093351841,2.7493295670
        0.1853179932,       -0.1648455858,-0.1168878824,0.0206769109,1.7722558975,2.6093351841,2.7493295670
        0.1878988743,       -0.1692401171,-0.1173761636,0.0206769109,1.2687158585,2.5940763950,3.0239877701
        0.1904687881,       -0.1692401171,-0.1173761636,0.0206769109,1.2687158585,2.5940763950,3.0239877701
        0.1930367947,       -0.1692401171,-0.1173761636,0.0206769109,0.9940576553,2.7619230747,3.1613168716
        0.1956079006,       -0.1692401171,-0.1046808511,0.0211651921,0.9940576553,2.7619230747,3.1613168716
        0.1981828213,       -0.1536151171,-0.1046808511,0.0211651921,0.5362939835,2.7161467075,3.2223520279
        0.2007508278,       -0.1536151171,-0.1046808511,0.0211651921,0.5362939835,2.7161467075,3.2223520279
        0.2034168243,       -0.1536151171,-0.1046808511,0.0211651921,0.4294824600,3.0213224888,2.8408823013
        0.2060909271,       -0.1536151171,-0.0983331949,0.0416730046,0.4294824600,3.0213224888,2.8408823013
        0.2086639404,       -0.1536151171,-0.0983331949,0.0416730046,0.4294824600,3.0213224888,2.9019174576
        0.2112288475,       -0.1536151171,-0.0983331949,0.0416730046,0.7499170303,3.0213224888,2.9019174576
        0.2137959003,       -0.1536151171,-0.0983331949,0.0416730046,0.7499170303,2.3346769810,3.0087289810
        0.2164058685,       -0.1565448046,-0.1017511636,0.0226300359,1.1924219131,2.3346769810,3.0087289810
        0.2190978527,       -0.1565448046,-0.1017511636,0.0226300359,1.1924219131,2.3346769810,3.0697641373
        0.2217938900,       -0.1565448046,-0.1017511636,0.0226300359,1.3144922256,2.5635588169,3.0697641373
        0.2244958878,       -0.1565448046,-0.1017511636,0.0226300359,1.3144922256,2.5635588169,2.9324350357
        0.2271738052,       -0.1599627733,-0.1076105386,0.0338605046,1.5738916397,2.5635588169,2.9324350357
        0.2297468185,       -0.1599627733,-0.1076105386,0.0338605046,1.5738916397,2.5635588169,2.6882944107
        0.2323129177,       -0.1599627733,-0.1076105386,0.0338605046,1.7417383194,2.5483000278,2.6882944107
        0.2348768711,       -0.1599627733,-0.1076105386,0.0338605046,1.7417383194,2.5483000278,2.6882944107
        0.2375359535,       -0.1565448046,-0.1134699136,0.0348370671,1.8332910538,2.4720060825,2.5051889420
        0.2402338982,       -0.1565448046,-0.1134699136,0.0348370671,1.8332910538,2.4720060825,2.5051889420
        0.2430408001,       -0.1565448046,-0.1134699136,0.0348370671,1.4518213272,2.8687345982,2.5357065201
        0.2457439899,       -0.1565448046,-0.1134699136,0.0284894109,1.4518213272,2.8687345982,2.5357065201
        0.2484469414,       -0.1624041796,-0.1124933511,0.0284894109,1.5433740616,3.2349455357,2.5662240982
        0.2510159016,       -0.1624041796,-0.1124933511,0.0284894109,1.5433740616,3.2349455357,2.5662240982
        0.2535808086,       -0.1624041796,-0.1124933511,0.0284894109,1.8027734756,2.8229582310,3.1002817154
        0.2563560009,       -0.1624041796,-0.1183527261,0.0153058171,1.8027734756,2.8229582310,3.1002817154
        0.2589178085,       -0.1667987108,-0.1183527261,0.0153058171,1.8332910538,2.6245939732,2.7645883560
        0.2620229721,       -0.1667987108,-0.1183527261,0.0153058171,1.8332910538,2.6245939732,2.7645883560
        0.2645888329,       -0.1667987108,-0.1183527261,0.0153058171,1.8943262100,2.6703703403,3.0697641373
        0.2672259808,       -0.1511737108,-0.1144464761,0.0118878484,1.8943262100,2.6703703403,3.0697641373
        0.2697908878,       -0.1511737108,-0.1144464761,0.0118878484,0.9482812881,2.6703703403,3.3749399185
        0.2723469734,       -0.1511737108,-0.1144464761,0.0118878484,0.9482812881,2.6703703403,3.3749399185
        0.2749059200,       -0.1511737108,-0.1144464761,0.0118878484,0.8109521866,2.8229582310,3.6343393326
        0.2774708271,       -0.1570330858,-0.1071222574,0.0123761296,0.8109521866,2.8229582310,3.6343393326
        0.2800359726,       -0.1570330858,-0.1071222574,0.0123761296,0.7651758194,2.5330412388,3.8327035904
        0.2825949192,       -0.1570330858,-0.1071222574,0.0123761296,0.7651758194,2.5330412388,3.8327035904
        0.2851569653,       -0.1570330858,-0.1071222574,0.0123761296,0.8414697647,2.6245939732,3.8937387466
        0.2877738476,       -0.1589862108,-0.1032160074,0.0153058171,0.8414697647,2.6245939732,3.8937387466
        0.2903368473,       -0.1589862108,-0.1032160074,0.0153058171,1.6501855850,1.9837248325,3.8784799576
        0.2929019928,       -0.1589862108,-0.1032160074,0.0153058171,1.6501855850,1.9837248325,3.8784799576
        0.2954659462,       -0.1589862108,-0.1032160074,0.0153058171,1.6501855850,1.7090666294,3.8174448013
        0.2980368137,       -0.1604510546,-0.1027277261,0.0231183171,2.0011377335,1.7090666294,3.8174448013
        0.3006079197,       -0.1604510546,-0.1027277261,0.0231183171,2.0011377335,1.7090666294,3.9395151138
        0.3031978607,       -0.1604510546,-0.1027277261,0.0231183171,1.8943262100,1.7548429966,3.9395151138
        0.3058679104,       -0.1604510546,-0.1027277261,0.0231183171,1.8943262100,1.7548429966,3.5580453873
        0.3084988594,       -0.1570330858,-0.1080988199,0.0177472234,1.4060449600,1.8311369419,3.5580453873
        0.3110690117,       -0.1570330858,-0.1080988199,0.0177472234,1.4060449600,1.8311369419,3.5580453873
        0.3136408329,       -0.1570330858,-0.1080988199,0.0177472234,1.7264795303,2.1363127232,3.9242563248
        0.3163528442,       -0.1570330858,-0.1080988199,0.0201886296,1.7264795303,2.1363127232,3.9242563248
        0.3190469742,       -0.1599627733,-0.1066339761,0.0201886296,1.6501855850,2.2431242466,3.9242563248
        0.3217499256,       -0.1599627733,-0.1066339761,0.0201886296,1.6501855850,2.2431242466,3.9242563248
        0.3244500160,       -0.1599627733,-0.1066339761,0.0201886296,1.5128564835,2.3651945591,3.6495981216
        0.3271088600,       -0.1599627733,-0.1046808511,0.0226300359,1.5128564835,2.3651945591,3.6495981216
        0.3296718597,       -0.1531268358,-0.1046808511,0.0226300359,1.4213037491,2.3957121372,3.3444223404
        0.3322370052,       -0.1531268358,-0.1046808511,0.0226300359,1.4213037491,2.3957121372,3.3444223404
        0.3348038197,       -0.1531268358,-0.1046808511,0.0226300359,2.2452783585,2.1515715122,3.7716684341
        0.3374869823,       -0.1506854296,-0.0944269449,0.0162823796,2.2452783585,2.1515715122,3.7716684341
        0.3401849270,       -0.1506854296,-0.0944269449,0.0162823796,3.0997705460,2.0142424107,4.1073617935
        0.3428878784,       -0.1506854296,-0.0944269449,0.0162823796,3.0997705460,2.0142424107,4.1073617935
        0.3455889225,       -0.1506854296,-0.0944269449,0.0162823796,2.6572656631,2.0142424107,3.7258920670
        0.3482978344,       -0.1516619921,-0.1027277261,0.0201886296,2.6572656631,2.0142424107,3.7258920670
        0.3511099815,       -0.1516619921,-0.1027277261,0.0201886296,2.4589014053,2.1973478794,3.7411508560
        0.3536779881,       -0.1516619921,-0.1027277261,0.0201886296,2.4589014053,2.1973478794,3.7411508560
        0.3564159870,       -0.1516619921,-0.1027277261,0.0201886296,1.9401025772,2.2736418247,3.8632211685
        0.3590748310,       -0.1526385546,-0.1080988199,0.0197003484,1.9401025772,2.2736418247,3.8632211685
        0.3622419834,       -0.1526385546,-0.1080988199,0.0197003484,2.0926904678,2.3041594028,3.7869272232
        0.3648118973,       -0.1526385546,-0.1080988199,0.0197003484,2.0926904678,2.3041594028,3.7869272232
        0.3674488068,       -0.1526385546,-0.1022394449,0.0231183171,1.8638086319,2.2889006138,3.7716684341
        0.3701169491,       -0.1550799608,-0.1022394449,0.0231183171,1.8638086319,2.2889006138,3.7716684341
        0.3726809025,       -0.1550799608,-0.1022394449,0.0231183171,1.2076807022,2.5025236607,3.6038217545
        0.3752419949,       -0.1550799608,-0.1022394449,0.0231183171,1.2076807022,2.5025236607,3.6038217545
        0.3778247833,       -0.1570330858,-0.0983331949,0.0187237859,1.8180322647,2.0600187778,3.8479623795
        0.3803868294,       -0.1570330858,-0.0983331949,0.0187237859,1.8180322647,2.0600187778,3.8479623795
        0.3829569817,       -0.1570330858,-0.0983331949,0.0187237859,2.1384668350,1.6022551060,3.7258920670
        0.3855168819,       -0.1570330858,-0.0983331949,0.0187237859,2.1384668350,1.6022551060,3.7258920670
        0.3881449699,       -0.1584979296,-0.1076105386,0.0133526921,2.1384668350,1.7243254185,3.8327035904
        0.3907108307,       -0.1584979296,-0.1076105386,0.0133526921,2.4283838272,1.7243254185,3.8327035904
        0.3932747841,       -0.1584979296,-0.1076105386,0.0133526921,2.4283838272,1.7243254185,4.0310678482
        0.3958339691,       -0.1584979296,-0.1076105386,0.0133526921,2.8251123428,1.5717375278,4.0310678482
        0.3984019756,       -0.1599627733,-0.1139581949,0.0240948796,2.8251123428,1.5717375278,3.9395151138
        0.4009618759,       -0.1599627733,-0.1139581949,0.0240948796,2.7030420303,1.7090666294,3.9395151138
        0.4035317898,       -0.1599627733,-0.1139581949,0.0240948796,2.7030420303,1.7090666294,3.9395151138
        0.4061110020,       -0.1599627733,-0.1139581949,0.0240948796,2.5809717178,1.6632902622,4.2294321060
        0.4086778164,       -0.1648455858,-0.1139581949,0.0201886296,2.5809717178,1.6632902622,4.2294321060
        0.4112479687,       -0.1648455858,-0.1139581949,0.0201886296,2.2452783585,1.8463957310,4.5346078873
        0.4138159752,       -0.1648455858,-0.1139581949,0.0201886296,2.2452783585,1.8463957310,4.5346078873
        0.4165358543,       -0.1648455858,-0.1139581949,0.0201886296,2.0011377335,1.8463957310,4.6871957779
        0.4191038609,       -0.1653338671,-0.1134699136,0.0260480046,2.0011377335,1.8463957310,4.6871957779
        0.4216639996,       -0.1653338671,-0.1134699136,0.0260480046,1.8027734756,1.7853605747,4.7024545670
        0.4242389202,       -0.1653338671,-0.1134699136,0.0260480046,1.8027734756,1.7853605747,4.7024545670
        0.4268889427,       -0.1653338671,-0.1134699136,0.0260480046,1.3144922256,2.4109709263,4.8245248795
        0.4295859337,       -0.1584979296,-0.0997980386,0.0187237859,1.3144922256,2.4109709263,4.8245248795
        0.4322898388,       -0.1584979296,-0.0997980386,0.0187237859,1.3297510147,2.3346769810,5.0076303482
        0.4351079464,       -0.1584979296,-0.0997980386,0.0187237859,1.3297510147,2.3346769810,5.0076303482
        0.4378528595,       -0.1584979296,-0.0997980386,0.0167706609,1.5433740616,2.1363127232,4.4430551529
        0.4405529499,       -0.1555682421,-0.0875910074,0.0167706609,1.5433740616,2.1363127232,4.4430551529
        0.4432528019,       -0.1555682421,-0.0875910074,0.0167706609,2.4131250381,1.3886320591,4.3057260513
        0.4459679127,       -0.1555682421,-0.0875910074,0.0167706609,2.4131250381,1.3886320591,4.3057260513
        0.4486708641,       -0.1516619921,-0.0988214761,0.0260480046,2.1842432022,0.9461271763,3.9852914810
        0.4513688087,       -0.1516619921,-0.0988214761,0.0260480046,2.1842432022,0.9461271763,3.9852914810
        0.4540657997,       -0.1516619921,-0.0988214761,0.0260480046,2.1537256241,1.1444914341,3.7564096451
        0.4570269585,       -0.1516619921,-0.0988214761,0.0260480046,2.1537256241,1.1444914341,3.7564096451
        0.4596889019,       -0.1511737108,-0.0958917886,0.0109112859,1.7569971085,1.2360441685,3.5427865982
        0.4629759789,       -0.1511737108,-0.0958917886,0.0109112859,1.7569971085,1.2360441685,3.5427865982
        0.4655427933,       -0.1511737108,-0.0958917886,0.0109112859,1.6196680069,1.5259611607,3.5427865982
        0.4681789875,       -0.1511737108,-0.0993097574,0.0162823796,1.6196680069,1.5259611607,3.5427865982
        0.4707469940,       -0.1511737108,-0.0993097574,0.0162823796,1.9706201553,1.6022551060,3.4817514420
        0.4733078480,       -0.1511737108,-0.0993097574,0.0162823796,1.9706201553,1.6022551060,3.4817514420
        0.4758679867,       -0.1511737108,-0.0993097574,0.0162823796,2.2452783585,1.3123381138,3.5275278091
        0.4784398079,       -0.1511737108,-0.0983331949,0.0284894109,2.2452783585,1.3123381138,3.5275278091
        0.4810028076,       -0.1472674608,-0.0983331949,0.0284894109,2.0774316788,1.4954435825,3.6038217545
        0.4835679531,       -0.1472674608,-0.0983331949,0.0284894109,2.0774316788,1.4954435825,3.6038217545
        0.4861869812,       -0.1472674608,-0.0983331949,0.0284894109,2.0774316788,1.2513029575,3.6343393326
        0.4887518883,       -0.1472674608,-0.1056574136,0.0221417546,2.1995019913,1.2513029575,3.6343393326
        0.4913179874,       -0.1482440233,-0.1056574136,0.0221417546,2.1995019913,1.2513029575,3.1765756607
        0.4938819408,       -0.1482440233,-0.1056574136,0.0221417546,1.9401025772,1.3733732700,3.1765756607
        0.4964699745,       -0.1482440233,-0.1056574136,0.0221417546,1.9401025772,1.3733732700,3.5122690201
        0.4991428852,       -0.1570330858,-0.0919855386,0.0197003484,1.8638086319,1.6632902622,3.5122690201
        0.5017108917,       -0.1570330858,-0.0919855386,0.0197003484,1.8638086319,1.6632902622,3.5122690201
        0.5042729378,       -0.1570330858,-0.0919855386,0.0197003484,2.0774316788,1.2665617466,3.7411508560
        0.5069658756,       -0.1570330858,-0.0919855386,0.0197003484,2.0774316788,1.2665617466,3.7411508560
        0.5095348358,       -0.1541033983,-0.0988214761,0.0118878484,1.7264795303,1.2818205357,3.5885629654
        0.5120999813,       -0.1541033983,-0.0988214761,0.0118878484,1.7264795303,1.2818205357,3.5885629654
        0.5146708488,       -0.1541033983,-0.0988214761,0.0118878484,1.8332910538,1.5717375278,3.8632211685
        0.5173239708,       -0.1541033983,-0.0988214761,0.0118878484,1.8332910538,1.5717375278,3.8632211685
        0.5198848248,       -0.1663104296,-0.0963800699,0.0211651921,2.0316553116,1.0681974888,3.8784799576
        0.5224537849,       -0.1663104296,-0.0963800699,0.0211651921,2.0316553116,1.0681974888,3.8784799576
        0.5250139236,       -0.1663104296,-0.0963800699,0.0211651921,2.2910547256,0.9613859653,3.9547739029
        0.5276429653,       -0.1663104296,-0.0963800699,0.0211651921,2.2910547256,0.9613859653,3.9547739029
        0.5302069187,       -0.1560565233,-0.1007746011,0.0192120671,2.6267480850,1.1902678013,4.2294321060
        0.5327658653,       -0.1560565233,-0.1007746011,0.0192120671,2.6267480850,1.1902678013,4.2294321060
        0.5353319645,       -0.1560565233,-0.1007746011,0.0192120671,3.0692529678,1.0529386997,4.1836557388
        0.5379509926,       -0.1560565233,-0.1007746011,0.0192120671,3.0692529678,1.0529386997,4.1836557388
        0.5405128002,       -0.1604510546,-0.1032160074,0.0167706609,3.0692529678,0.7172453403,4.1531381607
        0.5430769920,       -0.1604510546,-0.1032160074,0.0167706609,2.9319238663,0.7172453403,4.1531381607
        0.5456409454,       -0.1604510546,-0.1032160074,0.0167706609,2.9319238663,0.7172453403,4.5040903091
        0.5482139587,       -0.1604510546,-0.1032160074,0.0167706609,3.1302881241,0.9461271763,4.5040903091
        0.5507798195,       -0.1565448046,-0.1061456949,0.0157940984,3.1302881241,0.9461271763,4.9008188248
        0.5533399582,       -0.1565448046,-0.1061456949,0.0157940984,2.7945947647,0.7782804966,4.9008188248
        0.5559058189,       -0.1565448046,-0.1061456949,0.0157940984,2.7945947647,0.7782804966,4.9008188248
        0.5585188866,       -0.1565448046,-0.1061456949,0.0157940984,2.1995019913,1.2360441685,5.2822885513
        0.5611848831,       -0.1594744921,-0.1027277261,0.0216534734,2.1995019913,1.2360441685,5.2822885513
        0.5637559891,       -0.1594744921,-0.1027277261,0.0216534734,1.9248437881,1.1292326450,5.2517709732
        0.5664179325,       -0.1594744921,-0.1027277261,0.0216534734,1.9248437881,1.1292326450,5.2517709732
        0.5689978600,       -0.1594744921,-0.1027277261,0.0236065984,1.9095849991,1.3123381138,5.3891000748
        0.5715799332,       -0.1633807421,-0.0978449136,0.0236065984,1.9095849991,1.3123381138,5.3891000748
        0.5743889809,       -0.1633807421,-0.0978449136,0.0236065984,2.2910547256,1.0529386997,5.2365121841
        0.5774757862,       -0.1633807421,-0.0978449136,0.0236065984,2.2910547256,1.0529386997,5.2365121841
        0.5801739693,       -0.1589862108,-0.0905206949,0.0201886296,2.2300195694,1.0376799107,5.1297006607
        0.5828659534,       -0.1589862108,-0.0905206949,0.0201886296,2.2300195694,1.0376799107,5.1297006607
        0.5855669975,       -0.1589862108,-0.0905206949,0.0201886296,2.2300195694,1.0681974888,5.1602182388
        0.5882818699,       -0.1589862108,-0.0905206949,0.0201886296,2.2300195694,1.0681974888,5.1602182388
        0.5909838676,       -0.1541033983,-0.0836847574,0.0231183171,2.3520898819,1.0376799107,4.9771127701
        0.5936789513,       -0.1541033983,-0.0836847574,0.0231183171,2.3520898819,1.0376799107,4.9771127701
        0.5963788033,       -0.1541033983,-0.0836847574,0.0231183171,2.6725244522,0.7477629185,4.6719369888
        0.5990829468,       -0.1541033983,-0.0836847574,0.0299542546,2.6725244522,0.7477629185,4.6719369888
        0.6017827988,       -0.1531268358,-0.0905206949,0.0299542546,3.0234766006,0.5188810825,4.6414194107
        0.6044769287,       -0.1531268358,-0.0905206949,0.0299542546,3.0234766006,0.5188810825,4.6414194107
        0.6071238518,       -0.1531268358,-0.0905206949,0.0299542546,3.1455469131,0.7935392857,4.3515024185
        0.6096878052,       -0.1531268358,-0.0949152261,0.0187237859,3.1455469131,0.7935392857,4.3515024185
        0.6122539043,       -0.1550799608,-0.0949152261,0.0187237859,2.9166650772,1.1444914341,4.4735727310
        0.6148200035,       -0.1550799608,-0.0949152261,0.0187237859,2.9166650772,1.1444914341,4.4735727310
        0.6174268723,       -0.1550799608,-0.0949152261,0.0187237859,2.7945947647,1.0376799107,4.5040903091
        0.6199958324,       -0.1550799608,-0.0954035074,0.0197003484,2.7945947647,1.0376799107,4.5040903091
        0.6225659847,       -0.1589862108,-0.0954035074,0.0197003484,2.7488183975,1.0071623325,4.6871957779
        0.6252408028,       -0.1589862108,-0.0954035074,0.0197003484,2.7488183975,1.0071623325,4.6871957779
        0.6279399395,       -0.1589862108,-0.0954035074,0.0197003484,2.2757959366,0.9308683872,4.9618539810
        0.6305069923,       -0.1536151171,-0.0910089761,0.0172589421,2.2757959366,0.9308683872,4.9618539810
        0.6330699921,       -0.1536151171,-0.0910089761,0.0172589421,2.2757959366,0.9156095982,4.9923715591
        0.6356368065,       -0.1536151171,-0.0910089761,0.0172589421,2.0011377335,0.9156095982,4.9923715591
        0.6384379864,       -0.1536151171,-0.0910089761,0.0172589421,2.0011377335,1.2665617466,5.2670297623
        0.6411368847,       -0.1536151171,-0.0885675699,0.0275128484,1.8180322647,1.2665617466,5.2670297623
        0.6438319683,       -0.1536151171,-0.0885675699,0.0275128484,1.8180322647,0.9461271763,5.1144418716
        0.6465399265,       -0.1536151171,-0.0885675699,0.0275128484,1.7417383194,0.9461271763,5.1144418716
        0.6492400169,       -0.1536151171,-0.0885675699,0.0275128484,1.7417383194,0.9156095982,4.6414194107
        0.6519348621,       -0.1497088671,-0.0919855386,0.0153058171,1.8485498428,0.9156095982,4.6414194107
        0.6546289921,       -0.1497088671,-0.0919855386,0.0153058171,1.8485498428,1.2818205357,5.0534067154
        0.6573379040,       -0.1497088671,-0.0919855386,0.0153058171,1.9095849991,1.2818205357,5.0534067154
        0.6600329876,       -0.1497088671,-0.0919855386,0.0221417546,1.9095849991,1.2818205357,5.1602182388
        0.6627268791,       -0.1516619921,-0.0993097574,0.0221417546,2.1995019913,1.2360441685,5.1602182388
        0.6654169559,       -0.1516619921,-0.0993097574,0.0221417546,2.1995019913,1.2360441685,4.7482309341
        0.6680219173,       -0.1516619921,-0.0993097574,0.0221417546,1.7112207413,1.0224211216,4.7482309341
        0.6705918312,       -0.1516619921,-0.0934503824,0.0177472234,1.7112207413,1.0224211216,4.9313364029
