time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,       -0.0117739439,-0.0520124584,-0.0091748312,-1.9979418516,0.1409071684,-5.9477920532
        0.0025629997,       -0.0117739439,-0.0520124584,-0.0091748312,-2.4251878262,0.3850477934,-5.3832168579
        0.0051238537,       -0.0117739439,-0.0520124584,-0.0091748312,-2.4251878262,0.3850477934,-5.3832168579
        0.0076858997,       -0.0078676939,-0.0534773022,-0.0135693625,-2.6082932949,0.6444472075,-4.5439834595
        0.0104498863,       -0.0078676939,-0.0534773022,-0.0135693625,-2.6082932949,0.6444472075,-4.5439834595
        0.0131289959,       -0.0078676939,-0.0534773022,-0.0135693625,-2.7303636074,0.3697890043,-4.4066543579
        0.0158059597,       -0.0078676939,-0.0534773022,-0.0135693625,-2.7303636074,0.3697890043,-4.4066543579
        0.0185368061,       -0.0039614439,-0.0471296459,0.0015673563,-2.7151048183,0.9343641996,-4.5134658813
        0.0212090015,       -0.0039614439,-0.0471296459,0.0015673563,-2.7151048183,0.9343641996,-4.5134658813
        0.0238878727,       -0.0039614439,-0.0471296459,0.0015673563,-2.9287278652,0.5223768950,-4.3303604126
        0.0265629292,       -0.0039614439,-0.0471296459,-0.0155224875,-2.9287278652,0.5223768950,-4.3303604126
        0.0291860104,       -0.0039614439,-0.0485944897,-0.0155224875,-2.5625169277,0.5071181059,-4.7423477173
        0.0317468643,       -0.0039614439,-0.0485944897,-0.0155224875,-2.5625169277,0.5071181059,-4.7423477173
        0.0343058109,       -0.0039614439,-0.0485944897,-0.0155224875,-2.5625169277,0.2782362700,-4.5897598267
        0.0369138718,       -0.0039614439,-0.0485944897,0.0005907938,-2.6998460293,0.2782362700,-4.5897598267
        0.0395507812,       -0.0049380064,-0.0544538647,0.0005907938,-2.6998460293,0.2782362700,-4.3303604126
        0.0421168804,       -0.0049380064,-0.0544538647,0.0005907938,-2.5167405605,0.5681532621,-4.3303604126
        0.0446918011,       -0.0049380064,-0.0544538647,0.0005907938,-2.5167405605,0.5681532621,-4.3151016235
        0.0472559929,       -0.0049380064,-0.0485944897,-0.0130810812,-2.0437180996,0.1256483793,-4.3151016235
        0.0499858856,       -0.0015200377,-0.0485944897,-0.0130810812,-2.0437180996,0.1256483793,-4.3151016235
        0.0528509617,       -0.0015200377,-0.0485944897,-0.0130810812,-2.1810472012,0.0188368559,-4.2845840454
        0.0555489063,       -0.0015200377,-0.0485944897,-0.0130810812,-2.1810472012,0.0188368559,-4.2998428345
        0.0582568645,       -0.0088442564,-0.0510358959,-0.0077099875,-2.2115647793,0.2172011137,-4.2998428345
        0.0609469414,       -0.0088442564,-0.0510358959,-0.0077099875,-2.2115647793,0.2172011137,-4.1014785767
        0.0636458397,       -0.0088442564,-0.0510358959,-0.0077099875,-1.6164721251,0.0646132231,-4.1014785767
        0.0665218830,       -0.0088442564,-0.0510358959,-0.0077099875,-1.6164721251,0.0646132231,-3.6131973267
        0.0693538189,       -0.0005434752,-0.0564069897,-0.0077099875,-1.5249193907,-0.1947861910,-3.6131973267
        0.0720658302,       -0.0005434752,-0.0564069897,-0.0077099875,-1.5249193907,-0.1947861910,-3.5216445923
        0.0747649670,       -0.0005434752,-0.0564069897,-0.0077099875,-1.9521654844,-0.2863389254,-3.5216445923
        0.0774619579,       -0.0005434752,-0.0598249584,-0.0106396750,-1.9521654844,-0.2863389254,-3.5521621704
        0.0800578594,       -0.0117739439,-0.0598249584,-0.0106396750,-1.5249193907,-0.6983262300,-3.5521621704
        0.0826199055,       -0.0117739439,-0.0598249584,-0.0106396750,-1.5249193907,-0.6983262300,-3.5521621704
        0.0851860046,       -0.0117739439,-0.0598249584,-0.0106396750,-1.2197436094,-0.6830674410,-3.5063858032
        0.0877590179,       -0.0117739439,-0.0617780834,-0.0116162375,-1.2197436094,-0.6830674410,-3.0486221313
        0.0909709930,       -0.0107973814,-0.0617780834,-0.0116162375,-1.6012133360,-0.4999619722,-3.0486221313
        0.0935389996,       -0.0107973814,-0.0617780834,-0.0116162375,-1.6012133360,-0.4999619722,-3.0486221313
        0.0960948467,       -0.0107973814,-0.0617780834,-0.0116162375,-2.4099290371,-0.2100449800,-2.6976699829
        0.0987348557,       -0.0039614439,-0.0471296459,-0.0106396750,-2.4099290371,-0.2100449800,-2.6976699829
        0.1012978554,       -0.0039614439,-0.0471296459,-0.0106396750,-2.8066575527,-0.2863389254,-2.5450820923
        0.1038589478,       -0.0039614439,-0.0471296459,-0.0106396750,-2.8066575527,-0.2863389254,-2.5450820923
        0.1064188480,       -0.0039614439,-0.0471296459,-0.0106396750,-2.3336350918,-0.2253037691,-2.4840469360
        0.1089839935,       -0.0039614439,-0.0393171459,0.0015673563,-2.3336350918,-0.2253037691,-2.4840469360
