time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,       -0.0288683772,-0.1458387822,0.0530910566,3.5703573227,-1.5031222105,1.9407424927
        0.0025599003,       -0.0288683772,-0.1458387822,0.0530910566,2.0749959946,-1.3047579527,1.9407424927
        0.0051209927,       -0.0288683772,-0.1458387822,0.0530910566,2.0749959946,-1.3047579527,1.9407424927
        0.0077428818,       -0.0371691585,-0.1390028447,0.0506496504,1.3273152113,-1.1674288511,2.1238479614
        0.0103919506,       -0.0371691585,-0.1390028447,0.0506496504,1.3273152113,-1.1674288511,2.1238479614
        0.0129508972,       -0.0371691585,-0.1390028447,0.0506496504,1.6782673597,-1.0148409605,2.4595413208
        0.0155107975,       -0.0371691585,-0.1390028447,0.0506496504,1.6782673597,-1.0148409605,2.4595413208
        0.0182018280,       -0.0298449397,-0.1541395634,0.0540676191,1.7393025160,-1.0758761168,3.1156692505
        0.0207829475,       -0.0298449397,-0.1541395634,0.0540676191,1.7393025160,-1.0758761168,3.1156692505
        0.0233378410,       -0.0298449397,-0.1541395634,0.0540676191,1.8766316175,-1.0758761168,3.5581741333
        0.0258929729,       -0.0298449397,-0.1541395634,0.0540676191,1.8766316175,-1.0758761168,3.5581741333
        0.0286598206,       -0.0483996272,-0.1658583134,0.0540676191,2.5175008774,-1.0148409605,4.4889602661
        0.0312268734,       -0.0483996272,-0.1658583134,0.0540676191,2.5175008774,-1.0148409605,4.4889602661
        0.0337779522,       -0.0483996272,-0.1658583134,0.0540676191,2.7769002914,-0.2976778746,5.3129348755
        0.0363509655,       -0.0483996272,-0.1658583134,0.0540676191,2.7769002914,-0.2976778746,5.3129348755
        0.0390188694,       -0.0567004085,-0.1858778447,0.0526027754,1.8308552504,-0.2061251402,5.6486282349
        0.0415878296,       -0.0567004085,-0.1858778447,0.0526027754,1.8308552504,-0.2061251402,5.6486282349
        0.0441489220,       -0.0567004085,-0.1858778447,0.0526027754,1.8308552504,-0.0077608824,6.6709671021
        0.0467069149,       -0.0567004085,-0.1858778447,0.0526027754,1.9224079847,-0.0077608824,6.6709671021
        0.0492968559,       -0.0601183772,-0.1639051884,0.0521144941,1.9224079847,-0.0077608824,7.1134719849
        0.0520238876,       -0.0601183772,-0.1639051884,0.0521144941,2.1360311508,0.7704373598,7.1134719849
        0.0545859337,       -0.0601183772,-0.1639051884,0.0521144941,2.1360311508,0.7704373598,6.4268264771
        0.0571539402,       -0.0601183772,-0.1639051884,0.0482082441,2.3954305649,1.3502713442,6.4268264771
        0.0598278046,       -0.0752550960,-0.1390028447,0.0482082441,2.3954305649,1.3502713442,6.1674270630
        0.0625128746,       -0.0752550960,-0.1390028447,0.0482082441,4.6689901352,1.7775174379,6.1674270630
        0.0651888847,       -0.0752550960,-0.1390028447,0.0482082441,4.6689901352,1.7775174379,5.6181106567
        0.0679118633,        0.0497449040,-0.0994520634,0.0267238710,6.7289266586,1.2282010317,5.6181106567
        0.0705788136,       -0.0557238460,-0.0994520634,0.0267238710,6.7289266586,1.2282010317,4.9925003052
        0.0732889175,       -0.0557238460,-0.0994520634,0.0267238710,8.9414510727,0.5415555239,4.9925003052
        0.0759708881,       -0.0557238460,-0.0994520634,0.0267238710,8.9414510727,0.5415555239,4.4431838989
        0.0787019730,       -0.0503527522,-0.1038465947,0.0286769960,10.6199178696,0.1295682192,4.4431838989
        0.0813829899,       -0.0503527522,-0.1038465947,0.0286769960,10.6199178696,0.1295682192,4.4431838989
        0.0840709209,       -0.0503527522,-0.1038465947,0.0286769960,12.6035604477,-0.3281954527,4.4584426880
        0.0867559910,       -0.0503527522,-0.1038465947,0.0286769960,12.6035604477,-0.3281954527,4.4584426880
        0.0894608498,       -0.0357043147,-0.1087294072,0.0482082441,14.4803915024,-0.6181124449,4.3058547974
        0.0921738148,       -0.0357043147,-0.1087294072,0.0482082441,14.4803915024,-0.6181124449,4.3058547974
        0.0948739052,       -0.0357043147,-0.1087294072,0.0482082441,13.9768514633,-0.7249239683,4.2295608521
        0.0975739956,       -0.0357043147,-0.1087294072,0.0408840254,13.9768514633,-0.7249239683,4.2295608521
        0.1002810001,       -0.0405871272,-0.1414442509,0.0408840254,13.4427938461,-0.6638888121,4.1227493286
        0.1029829979,       -0.0405871272,-0.1414442509,0.0408840254,13.4427938461,-0.6638888121,4.1227493286
        0.1056900024,       -0.0405871272,-0.1414442509,0.0408840254,12.8629598618,-0.9843233824,4.1074905396
        0.1084017754,       -0.0396105647,-0.1414442509,0.0350246504,12.8629598618,-0.9843233824,4.1074905396
        0.1111028194,       -0.0396105647,-0.1414442509,0.0350246504,12.6951131821,-0.7096651793,4.2143020630
        0.1138088703,       -0.0396105647,-0.1414442509,0.0350246504,12.6951131821,-0.7096651793,4.2143020630
        0.1166257858,       -0.0396105647,-0.1414442509,0.0350246504,12.3746786118,-1.3810518980,4.4737014771
        0.1193408966,       -0.0249621272,-0.1184950322,0.0364894941,12.3746786118,-1.3810518980,4.4737014771
        0.1220469475,       -0.0249621272,-0.1184950322,0.0364894941,13.7937459946,-1.6251925230,3.6955032349
        0.1247479916,       -0.0249621272,-0.1184950322,0.0364894941,13.7937459946,-1.6251925230,3.6955032349
        0.1274609566,       -0.0249621272,-0.1184950322,0.0364894941,14.4498739243,-1.3810518980,2.9630813599
        0.1300327778,       -0.0459582210,-0.1238661259,0.0399074629,14.4498739243,-1.3810518980,2.9630813599
        0.1326048374,       -0.0459582210,-0.1238661259,0.0399074629,13.8547811508,-0.5418184996,3.5734329224
        0.1351809502,       -0.0459582210,-0.1238661259,0.0399074629,13.8547811508,-0.5418184996,3.5734329224
        0.1377577782,       -0.0459582210,-0.1238661259,0.0467434004,12.5272665024,-0.4502657652,4.1227493286
        0.1404128075,       -0.0400988460,-0.1429090947,0.0467434004,12.5272665024,-0.4502657652,4.1227493286
        0.1430838108,       -0.0400988460,-0.1429090947,0.0467434004,11.0929403305,-0.2519015074,4.2600784302
        0.1457448006,       -0.0400988460,-0.1429090947,0.0467434004,11.0929403305,-0.2519015074,4.2600784302
        0.1484298706,       -0.0400988460,-0.1575575322,0.0555324629,9.4144735336,0.2516385317,4.5347366333
        0.1511349678,       -0.0391222835,-0.1575575322,0.0555324629,9.4144735336,0.2516385317,4.5347366333
        0.1538419724,       -0.0391222835,-0.1575575322,0.0555324629,7.2477254868,0.0990506411,4.7331008911
        0.1565399170,       -0.0391222835,-0.1575575322,0.0555324629,7.2477254868,0.0990506411,4.7331008911
        0.1592359543,       -0.0430285335,-0.1253309697,0.0486965254,6.3321981430,0.2516385317,4.5805130005
        0.1619338989,       -0.0430285335,-0.1253309697,0.0486965254,6.3321981430,0.2516385317,4.5805130005
        0.1646339893,       -0.0430285335,-0.1253309697,0.0486965254,6.5000448227,0.2058621645,4.5194778442
        0.1673309803,       -0.0430285335,-0.1253309697,0.0486965254,6.5000448227,0.2058621645,4.5194778442
