time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,        0.3320132494,0.0889855027,-0.0857011452,10.1411619186,-0.7061724663,-52.6600189209
        0.0027010441,        0.3168765306,0.0494347215,-0.0857011452,10.1411619186,-0.7061724663,-48.9521331787
        0.0053980350,        0.3168765306,0.0494347215,-0.0857011452,12.0027341843,0.0415081978,-48.9521331787
        0.0081071854,        0.3168765306,0.0494347215,-0.0857011452,12.0027341843,0.0415081978,-45.2747650146
        0.0108060837,        0.2968569994,0.1236534715,-0.0988847390,14.3831052780,0.4687542915,-45.2747650146
        0.0135111809,        0.2968569994,0.1236534715,-0.0988847390,14.3831052780,0.4687542915,-41.3227386475
        0.0162250996,        0.2968569994,0.1236534715,-0.0988847390,16.0463142395,0.6518597603,-41.3227386475
        0.0189261436,        0.2968569994,0.1236534715,-0.0988847390,16.0463142395,0.6518597603,-36.6993255615
        0.0216240883,        0.3012515306,0.1475792527,-0.1008378640,17.2364997864,0.2703900337,-36.6993255615
        0.0243210793,        0.3012515306,0.1475792527,-0.1008378640,17.2364997864,0.2703900337,-32.1369476318
        0.0269730091,        0.3012515306,0.1475792527,-0.1008378640,17.2364997864,-0.0958209038,-32.1369476318
        0.0295410156,        0.3012515306,0.1475792527,-0.1008378640,17.2364997864,-0.0958209038,-27.3304290771
        0.0321090221,        0.2924624681,0.1719933152,-0.0852128640,15.6343259811,0.1483197212,-27.3304290771
        0.0346820354,        0.2924624681,0.1719933152,-0.0852128640,15.6343259811,0.1483197212,-27.3304290771
        0.0372810364,        0.2924624681,0.1719933152,-0.0852128640,12.4757566452,0.7281537056,-22.0051116943
        0.0398550034,        0.2924624681,0.1719933152,-0.0852128640,12.4757566452,0.7281537056,-22.0051116943
        0.0424280167,        0.3032046556,0.2188683152,-0.0861894265,7.6844968796,0.9570355415,-16.4509124756
        0.0449950695,        0.3032046556,0.2188683152,-0.0861894265,7.6844968796,0.9570355415,-16.4509124756
        0.0477170944,        0.3032046556,0.2188683152,-0.0861894265,2.9237546921,0.8960003853,-10.2405853271
        0.0502879620,        0.3032046556,0.2188683152,-0.0881425515,2.9237546921,0.8960003853,-10.2405853271
        0.0530130863,        0.3095523119,0.2315636277,-0.0881425515,-2.5846681595,0.7739300728,-4.2896575928
        0.0555830002,        0.3095523119,0.2315636277,-0.0881425515,-2.5846681595,0.7739300728,-4.2896575928
        0.0583319664,        0.3095523119,0.2315636277,-0.0881425515,-8.8865480423,1.2011761665,1.8291168213
        0.0609011650,        0.3095523119,0.2232628465,-0.0896073952,-8.8865480423,1.2011761665,1.8291168213
