time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,       -1.5907189846,-0.5695114136,-1.2506531477,-22.1851158142,37.0088691711,163.1444396973
        0.0028879642,       -1.5907189846,-0.5695114136,-1.2506531477,-55.8002281189,25.8394355774,172.4523010254
        0.0055999756,       -1.5907189846,-0.5695114136,-1.2506531477,-55.8002281189,25.8394355774,172.4523010254
        0.0082900524,       -0.3919885159,-0.5631637573,-0.4611023366,-88.9728393555,16.2721748352,182.1874084473
        0.0110499859,       -0.3919885159,-0.5631637573,-0.4611023366,-88.9728393555,16.2721748352,182.1874084473
        0.0137181282,       -0.3919885159,-0.5631637573,-0.4611023366,-95.3357543945,14.8073320389,190.5187072754
        0.0179200172,       -0.3919885159,0.4343948364,0.1629211009,-95.3357543945,14.8073320389,190.5187072754
        0.0204930305,        0.8238317966,0.4343948364,0.1629211009,-70.7996215820,14.5326738358,187.7263488770
        0.0230600834,        0.8238317966,0.4343948364,0.1629211009,-70.7996215820,14.5326738358,187.7263488770
        0.0257141590,        0.8238317966,0.4343948364,0.1629211009,-31.7066001892,12.9762773514,166.2419738770
        0.0282840729,        0.9488317966,0.7966995239,0.1834289134,-31.7066001892,12.9762773514,166.2419738770
        0.0308501720,        0.9615271091,0.7966995239,0.1834289134,-8.2691011429,9.0395097733,137.1587219238
        0.0334060192,        0.9615271091,0.7966995239,0.1834289134,-8.2691011429,9.0395097733,137.1587219238
        0.0360901356,        0.9615271091,0.7966995239,0.1834289134,-4.0118989944,3.4853103161,119.3974914551
        0.0386641026,        0.5801794529,0.4763870239,-0.1061218604,-4.0118989944,3.4853103161,119.3974914551
        0.0412321091,        0.5801794529,0.4763870239,-0.1061218604,10.5755033493,-4.2661542892,106.8242492676
        0.0437991619,        0.5801794529,0.4763870239,-0.1061218604,10.5755033493,-4.2661542892,106.8242492676
        0.0465199947,        0.5801794529,0.4763870239,-0.1061218604,33.8451576233,-5.2579755783,93.9305725098
        0.0490951538,        0.3301794529,0.1546096802,-0.3151062429,33.8451576233,-5.2579755783,93.9305725098
        0.0516610146,        0.3301794529,0.1546096802,-0.3151062429,39.8266029358,-3.2285568714,87.5066223145
        0.0543870926,        0.3301794529,0.1546096802,-0.3151062429,39.8266029358,-3.2285568714,87.5066223145
        0.0571451187,        0.3301794529,0.1546096802,-0.3151062429,31.9072914124,-2.8165695667,83.3714904785
        0.0597131252,        0.0123083591,-0.1720504761,-0.1671570241,31.9072914124,-2.8165695667,83.3714904785
        0.0622830391,        0.0123083591,-0.1720504761,-0.1671570241,31.9072914124,-1.9925949574,81.3878479004
        0.0648481846,        0.0123083591,-0.1720504761,-0.1671570241,18.7999916077,-1.9925949574,81.3878479004
        0.0676059723,        0.0123083591,-0.1720504761,-0.1671570241,18.7999916077,1.9136550426,83.9055480957
        0.0701820850,        0.0694372654,-0.2765426636,-0.1236999854,4.8229398727,-1.4585373402,83.9055480957
        0.0727541447,        0.0694372654,-0.2765426636,-0.1236999854,4.8229398727,-1.4585373402,86.4842834473
        0.0753171444,        0.0694372654,-0.2765426636,-0.1236999854,-3.3252534866,-0.1462814808,86.4842834473
        0.0780191422,        0.0694372654,-0.2765426636,-0.0572937354,-3.3252534866,-0.1462814808,84.6379699707
        0.0805881023,        0.1504919529,0.1453323364,-0.0572937354,-5.7208833694,0.7539870739,84.6379699707
