time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,        0.0073350221,0.0037774444,0.0037542433,-0.2016165107,-0.8042775393,-0.0243823528
        0.0026898384,        0.0073350221,0.0037774444,0.0037542433,0.5765817165,-1.0941945314,-0.1006762981
        0.0053758621,        0.0073350221,0.0037774444,0.0037542433,0.5765817165,-1.0941945314,-0.1006762981
        0.0080778599,        0.0073350221,0.0037774444,0.0037542433,0.3782174587,-1.0331593752,-0.0854175091
        0.0107710361,        0.0053818971,0.0018243194,0.0081487745,0.3782174587,-1.0331593752,-0.0854175091
        0.0134618282,        0.0053818971,0.0018243194,0.0081487745,0.4697701931,-0.6822072268,-0.0548999310
        0.0161569118,        0.0053818971,0.0018243194,0.0081487745,0.4697701931,-0.6822072268,-0.0548999310
        0.0188109875,        0.0053818971,0.0018243194,0.0081487745,0.4697701931,-1.0026417971,-0.2837817669
        0.0213708878,        0.0112412721,0.0037774444,0.0052190870,0.7139108181,-1.0026417971,-0.2837817669
        0.0239338875,        0.0112412721,0.0037774444,0.0052190870,0.7139108181,-1.0026417971,-0.2074878216
        0.0264940262,        0.0112412721,0.0037774444,0.0052190870,0.5613229275,-1.3535939455,-0.2074878216
        0.0291788578,        0.0112412721,0.0037774444,0.0052190870,0.5613229275,-1.3535939455,-0.1311938763
        0.0317430496,        0.0161240846,0.0003594756,0.0047308058,0.7139108181,-1.5977345705,-0.1311938763
        0.0342988968,        0.0161240846,0.0003594756,0.0047308058,0.7139108181,-1.5977345705,-0.1311938763
        0.0368700027,        0.0161240846,0.0003594756,0.0047308058,0.5918405056,-1.4298878908,-0.2532641888
        0.0395328999,        0.0161240846,0.0003594756,0.0052190870,0.5918405056,-1.4298878908,-0.2532641888
        0.0420958996,        0.0107529908,0.0047540069,0.0052190870,0.6376168728,-1.5824757814,-0.1769702435
        0.0449390411,        0.0107529908,0.0047540069,0.0052190870,0.6376168728,-1.5824757814,-0.1769702435
        0.0475080013,        0.0107529908,0.0047540069,0.0052190870,0.1493356377,-1.5672169924,-0.1006762981
        0.0505490303,        0.0171006471,0.0052422881,0.0018011183,0.1493356377,-1.5672169924,-0.1006762981
        0.0534119606,        0.0171006471,0.0052422881,0.0018011183,0.1188180596,-1.5519582033,-0.3295581341
        0.0561099052,        0.0171006471,0.0052422881,0.0018011183,0.1188180596,-1.5519582033,-0.5584399700
        0.0588638783,        0.0171006471,0.0052422881,0.0018011183,0.9580514431,-1.8418751955,-0.5584399700
        0.0615599155,        0.0171006471,-0.0025702119,-0.0011285692,0.9580514431,-1.8418751955,-0.5584399700
        0.0642590523,        0.0171006471,-0.0025702119,-0.0011285692,1.3242623806,-1.5672169924,-0.5279223919
        0.0669560432,        0.0171006471,-0.0025702119,-0.0011285692,1.3242623806,-1.5672169924,-0.5279223919
        0.0696630478,        0.0171006471,-0.0025702119,0.0032659620,0.7596871853,-1.1552296877,-0.4821460247
        0.0723669529,        0.0141709596,0.0003594756,0.0032659620,0.7596871853,-1.1552296877,-0.4821460247
        0.0750589371,        0.0141709596,0.0003594756,0.0032659620,0.8970162868,-1.1247121096,-0.3905932903
        0.0777938366,        0.0141709596,0.0003594756,0.0032659620,0.8970162868,-1.1247121096,-0.3905932903
        0.0803630352,        0.0141709596,-0.0011053681,-0.0016168505,0.9122750759,-1.3078175783,-0.3142993450
        0.0829269886,        0.0073350221,-0.0011053681,-0.0016168505,0.9122750759,-1.3078175783,-0.3142993450
        0.0854959488,        0.0073350221,-0.0011053681,-0.0016168505,0.8817574978,-1.1094533205,-0.2990405560
        0.0881009102,        0.0073350221,-0.0011053681,-0.0016168505,0.8817574978,-1.1094533205,-0.2990405560
        0.0906670094,        0.0073350221,0.0032891631,-0.0069879442,0.6223580837,-0.9416066408,-0.4363696575
        0.0932328701,        0.0146592408,0.0032891631,-0.0069879442,0.6223580837,-0.9416066408,-0.4363696575
        0.0957958698,        0.0146592408,0.0032891631,-0.0069879442,0.8207223415,-0.6516896486,-0.4974048138
        0.0984098911,        0.0146592408,0.0032891631,-0.0069879442,0.8207223415,-0.6516896486,-0.4974048138
        0.1009838581,        0.0078233033,-0.0001288056,-0.0006402880,0.3934762478,-0.7585011721,-0.4211108685
        0.1035518646,        0.0078233033,-0.0001288056,-0.0006402880,0.3934762478,-0.7585011721,-0.4211108685
        0.1061229706,        0.0078233033,-0.0001288056,-0.0006402880,0.3476998806,-0.7585011721,-0.8178393841
        0.1089680195,        0.0078233033,-0.0001288056,-0.0006402880,0.3476998806,-0.7585011721,-0.8178393841
        0.1115419865,        0.0161240846,-0.0015936494,-0.0030816942,0.5460641384,-0.8958302736,-0.4211108685
        0.1141078472,        0.0161240846,-0.0015936494,-0.0030816942,0.5460641384,-0.8958302736,-0.4211108685
        0.1167800426,        0.0161240846,-0.0015936494,-0.0030816942,0.3019235134,-1.0484181643,-0.4974048138
        0.1195960045,        0.0161240846,-0.0015936494,-0.0030816942,0.3019235134,-1.0484181643,-0.4974048138
        0.1222519875,        0.0087998658,0.0062188506,0.0061956495,0.6070992947,-0.6822072268,-0.5889575481
        0.1256978512,        0.0087998658,0.0062188506,0.0061956495,0.6070992947,-0.6822072268,-0.5889575481
        0.1283249855,        0.0087998658,0.0062188506,0.0061956495,0.4087350368,-0.5753957033,-0.3753345013
        0.1308879852,        0.0087998658,-0.0011053681,-0.0025934130,0.4087350368,-0.5753957033,-0.3753345013
        0.1334500313,        0.0122178346,-0.0011053681,-0.0025934130,0.1493356377,-0.5296193361,-0.1464526653
        0.1360130310,        0.0122178346,-0.0011053681,-0.0025934130,0.1493356377,-0.5296193361,-0.1464526653
        0.1386308670,        0.0122178346,-0.0011053681,-0.0025934130,4.0555858612,-0.8347951174,-0.6347339153
        0.1411900520,        0.0122178346,-0.0001288056,0.0052190870,0.6681344509,-0.8347951174,-0.6347339153
        0.1437468529,        0.0009873658,-0.0001288056,0.0052190870,0.6681344509,-0.8347951174,-0.6499927044
        0.1463060379,        0.0009873658,-0.0001288056,0.0052190870,0.4545114040,-0.7432423830,-0.6499927044
        0.1490130424,        0.0009873658,-0.0001288056,0.0052190870,0.4545114040,-0.7432423830,-0.5736987591
        0.1515698433,        0.0083115846,0.0008477569,-0.0045465380,0.4545114040,-0.6516896486,-0.5736987591
        0.1541278362,        0.0083115846,0.0008477569,-0.0045465380,0.4545114040,-0.6516896486,-0.5736987591
        0.1566908360,        0.0083115846,0.0008477569,-0.0045465380,0.7596871853,-0.8195363283,-0.3600757122
        0.1592559814,        0.0083115846,0.0008477569,-0.0045465380,0.7596871853,-0.8195363283,-0.3600757122
        0.1618168354,        0.0024522096,0.0067071319,0.0066839308,0.7139108181,-0.9263478518,-0.6652514935
        0.1643738747,        0.0024522096,0.0067071319,0.0066839308,0.7139108181,-0.9263478518,-0.6652514935
        0.1669359207,        0.0024522096,0.0067071319,0.0066839308,0.4087350368,-1.0331593752,-0.5736987591
        0.1695499420,        0.0024522096,0.0067071319,0.0066839308,0.4087350368,-1.0331593752,-0.5736987591
        0.1721138954,        0.0004990846,0.0018243194,0.0135198683,0.5918405056,-0.8195363283,-0.5431811810
        0.1746768951,        0.0004990846,0.0018243194,0.0135198683,0.5918405056,-0.8195363283,-0.5431811810
        0.1772458553,        0.0004990846,0.0018243194,0.0135198683,0.6681344509,-0.5448781252,-0.5889575481
        0.1800279617,        0.0004990846,0.0018243194,0.0135198683,0.6681344509,-0.5448781252,-0.5889575481
        0.1825959682,        0.0044053346,0.0037774444,0.0061956495,0.1798532158,-0.4380666018,-0.3905932903
        0.1851608753,        0.0044053346,0.0037774444,0.0061956495,0.1798532158,-0.4380666018,-0.3905932903
        0.1877248287,        0.0044053346,0.0037774444,0.0061956495,0.1645944268,-0.4685841799,-0.2837817669
        0.1904878616,        0.0044053346,0.0037774444,0.0061956495,0.1645944268,-0.4685841799,-0.2837817669
        0.1931838989,        0.0024522096,0.0018243194,0.0037542433,0.1798532158,-0.5906544924,-0.3295581341
