time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,       -0.0242575407,-0.0139415115,-0.0375037789,0.7437505722,5.0578346252,14.0346727371
        0.0026960373,       -0.0296286345,-0.0212657303,-0.0355506539,0.7437505722,5.0578346252,14.0346727371
        0.0053911209,       -0.0296286345,-0.0212657303,-0.0355506539,1.9949712753,4.6305885315,15.0112352371
        0.0081431866,       -0.0296286345,-0.0212657303,-0.0355506539,1.9949712753,4.6305885315,15.0112352371
        0.0108389854,       -0.0296286345,-0.0212657303,-0.0355506539,3.1546392441,4.6305885315,15.8809862137
        0.0135362148,       -0.0227926970,-0.0202891678,-0.0521522164,3.1546392441,4.6305885315,15.8809862137
        0.0162281990,       -0.0227926970,-0.0202891678,-0.0521522164,3.8260259628,5.0120582581,17.1474666595
        0.0190181732,       -0.0227926970,-0.0202891678,-0.0521522164,3.8260259628,5.0120582581,17.1474666595
        0.0215849876,       -0.0227926970,-0.0202891678,-0.0501990914,4.7568120956,4.9662818909,18.3376522064
        0.0241479874,       -0.0276755095,-0.0237071365,-0.0501990914,4.7568120956,4.9662818909,18.3376522064
        0.0267181396,       -0.0276755095,-0.0237071365,-0.0501990914,6.0843267441,4.8594703674,20.0771541595
        0.0293991566,       -0.0276755095,-0.0237071365,-0.0501990914,6.0843267441,4.8594703674,20.0771541595
        0.0319650173,       -0.0276755095,-0.0237071365,-0.0575233102,6.7404546738,5.6834449768,21.6182918549
        0.0354051590,       -0.0335348845,-0.0427501053,-0.0575233102,6.7404546738,5.6834449768,21.6182918549
        0.0380821228,       -0.0335348845,-0.0427501053,-0.0575233102,7.0151128769,6.6142311096,23.4340877533
        0.0407559872,       -0.0335348845,-0.0427501053,-0.0575233102,7.0151128769,6.6142311096,23.4340877533
        0.0434191227,       -0.0481833220,-0.0564219803,-0.0497108102,7.3202886581,7.1940650940,25.5245418549
        0.0460910797,       -0.0481833220,-0.0564219803,-0.0497108102,7.3202886581,7.1940650940,25.5245418549
        0.0487940311,       -0.0481833220,-0.0564219803,-0.0497108102,7.1677007675,7.0872535706,27.7370662689
        0.0514872074,       -0.0481833220,-0.0564219803,-0.0497108102,7.1677007675,7.0872535706,27.7370662689
        0.0543401241,       -0.0594137907,-0.0549571365,-0.0492225289,6.6183843613,7.1788063049,29.5833797455
        0.0570321083,       -0.0594137907,-0.0549571365,-0.0492225289,6.6183843613,7.1788063049,29.5833797455
        0.0597209930,       -0.0594137907,-0.0549571365,-0.0492225289,6.0232915878,7.2245826721,32.1468544006
        0.0624501705,       -0.0594137907,-0.0510508865,-0.0443397164,6.0232915878,7.2245826721,32.1468544006
        0.0651562214,       -0.0716208220,-0.0510508865,-0.0443397164,6.3589849472,6.9957008362,34.2678260803
        0.0678491592,       -0.0716208220,-0.0510508865,-0.0443397164,6.3589849472,6.9957008362,34.2678260803
        0.0704281330,       -0.0716208220,-0.0510508865,-0.0443397164,6.7862310410,7.0719947815,36.5719032288
        0.0730001926,       -0.0706442595,-0.0505626053,-0.0409217477,6.7862310410,7.0719947815,36.5719032288
        0.0755770206,       -0.0706442595,-0.0505626053,-0.0409217477,6.8625249863,7.1482887268,38.7233924866
        0.0782611370,       -0.0706442595,-0.0505626053,-0.0409217477,6.8625249863,7.1482887268,38.7233924866
        0.0808341503,       -0.0706442595,-0.0505626053,-0.0409217477,6.9235601425,6.2480201721,41.1495399475
        0.0834181309,       -0.0774801970,-0.0515391678,-0.0467811227,6.9235601425,6.2480201721,41.1495399475
        0.0859971046,       -0.0774801970,-0.0515391678,-0.0467811227,6.9235601425,6.1869850159,43.1179237366
        0.0887160301,       -0.0774801970,-0.0515391678,-0.0467811227,7.0456304550,6.1869850159,43.1179237366
        0.0914130211,       -0.0774801970,-0.0515391678,-0.0467811227,7.0456304550,5.5613746643,44.8116493225
        0.0941011906,       -0.0965231657,-0.0583751053,-0.0292029977,7.3813238144,5.5613746643,44.8116493225
        0.0967922211,       -0.0965231657,-0.0583751053,-0.0292029977,7.3813238144,4.7068824768,47.7718544006
        0.0995311737,       -0.0965231657,-0.0583751053,-0.0292029977,7.2592535019,4.7068824768,47.7718544006
