time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,        0.0218480825,-0.0104672313,0.0259176325,-1.1330382824,6.0131802559,-17.1163311005
        0.0025601387,        0.0218480825,-0.0104672313,0.0259176325,-1.1330382824,6.0131802559,-16.9790019989
        0.0051200390,        0.0218480825,-0.0104672313,0.0259176325,1.4304382801,5.1129117012,-16.9790019989
        0.0076780319,        0.0218480825,-0.0104672313,0.0259176325,1.4304382801,4.8382534981,-16.4449443817
        0.0109980106,        0.0071996450,-0.0055844188,0.0156637263,3.9481384754,4.8382534981,-16.4449443817
        0.0136880875,        0.0071996450,-0.0055844188,0.0156637263,3.9481384754,4.5025601387,-16.3686504364
        0.0163879395,        0.0071996450,-0.0055844188,0.0156637263,5.3061704636,4.5025601387,-16.3686504364
        0.0190250874,        0.0071996450,-0.0055844188,0.0469137281,5.3061704636,8.4088096619,-15.7735576630
        0.0215899944,        0.0013402700,-0.0309750438,0.0469137281,6.9693784714,4.5941128731,-15.7735576630
        0.0241470337,        0.0013402700,-0.0309750438,0.0469137281,6.9693784714,4.5941128731,-14.4765605927
        0.0267059803,        0.0013402700,-0.0309750438,0.0469137281,7.8849058151,5.2349820137,-14.4765605927
        0.0292949677,        0.0013402700,-0.0285336375,0.0459371656,7.8849058151,5.2349820137,-10.5703105927
        0.0318629742,        0.0047582388,-0.0285336375,0.0459371656,8.2663755417,5.0518765450,-13.7441387177
        0.0344290733,        0.0047582388,-0.0285336375,0.0459371656,8.2663755417,5.0518765450,-13.7441387177
        0.0369980335,        0.0047582388,-0.0285336375,0.0459371656,8.9530210495,5.2807583809,-12.6760234833
        0.0396380424,        0.0047582388,-0.0348812938,0.0503316969,8.9530210495,5.2807583809,-12.6760234833
        0.0422129631,        0.0111058950,-0.0348812938,0.0503316969,9.4565610886,5.9826626778,-11.5773906708
        0.0447800159,        0.0111058950,-0.0348812938,0.0503316969,9.4565610886,5.9826626778,-11.5773906708
        0.0473399162,        0.0111058950,-0.0348812938,0.0503316969,8.2663755417,6.4556851387,-11.0128154755
        0.0500979424,       -0.0108667612,-0.0719906688,0.0522848219,8.2663755417,6.4556851387,-11.0128154755
        0.0528221130,       -0.0108667612,-0.0719906688,0.0522848219,6.9083433151,7.6000943184,-9.9447002411
        0.0553901196,       -0.0108667612,-0.0719906688,0.0522848219,6.9083433151,7.6000943184,-9.9447002411
