time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,        0.1960311532,-0.1709689945,-0.0600139052,-2.4446868896,7.8797702789,-45.4638481140
        0.0026941299,        0.1960311532,-0.1709689945,-0.0600139052,-2.4446868896,7.8797702789,-45.4943656921
        0.0053851604,        0.1960311532,-0.1709689945,-0.0600139052,-0.9340667725,7.7119235992,-45.4943656921
        0.0083551407,        0.1960311532,-0.1709689945,-0.0609904677,-0.9340667725,7.5288181305,-45.6774711609
        0.0110709667,        0.2067733407,-0.1680393070,-0.0609904677,0.0730133057,7.5288181305,-45.6774711609
        0.0137629509,        0.2067733407,-0.1680393070,-0.0609904677,0.0730133057,7.5288181305,-45.9673881531
        0.0164480209,        0.2067733407,-0.1680393070,-0.0609904677,1.2174224854,7.7424411774,-45.9673881531
        0.0191540718,        0.2067733407,-0.1548557132,-0.0683146864,1.2174224854,7.7424411774,-46.7303276062
        0.0218441486,        0.2087264657,-0.1548557132,-0.0683146864,3.0637359619,7.3457126617,-46.7303276062
        0.0245370865,        0.2087264657,-0.1548557132,-0.0683146864,3.0637359619,7.3457126617,-47.2186088562
        0.0272350311,        0.2087264657,-0.1548557132,-0.0683146864,4.8947906494,7.2083835602,-47.2186088562
        0.0298149586,        0.1950545907,-0.1543674320,-0.0741740614,4.8947906494,7.2083835602,-47.2796440125
        0.0323791504,        0.1950545907,-0.1543674320,-0.0741740614,7.4735260010,7.3457126617,-47.2796440125
        0.0349409580,        0.1950545907,-0.1543674320,-0.0741740614,7.4735260010,7.3457126617,-47.2796440125
        0.0375931263,        0.1950545907,-0.1543674320,-0.0741740614,9.2588043213,7.2541599274,-47.8747367859
        0.0402569771,        0.1867538095,-0.1719455570,-0.0648967177,9.2588043213,7.2541599274,-47.8747367859
        0.0429210663,        0.1867538095,-0.1719455570,-0.0648967177,9.8386383057,7.2541599274,-48.1188774109
        0.0455830097,        0.1867538095,-0.1719455570,-0.0648967177,9.8386383057,7.2541599274,-48.1188774109
        0.0482490063,        0.1867538095,-0.1719455570,-0.0648967177,10.0522613525,6.8421726227,-48.3477592468
        0.0508210659,        0.1974959970,-0.1802463382,-0.0795451552,10.0522613525,6.8421726227,-48.3477592468
        0.0535531044,        0.1974959970,-0.1802463382,-0.0795451552,9.9301910400,6.1860446930,-48.2104301453
        0.0561220646,        0.1974959970,-0.1802463382,-0.0795451552,9.9301910400,6.1860446930,-48.2104301453
        0.0588650703,        0.1974959970,-0.1802463382,-0.0907756239,9.7928619385,5.9266452789,-48.0120658875
        0.0614459515,        0.1901717782,-0.1905002445,-0.0907756239,9.7928619385,5.9266452789,-48.0120658875
        0.0640189648,        0.1901717782,-0.1905002445,-0.0907756239,8.9078521729,6.2928562164,-48.5003471375
        0.0665919781,        0.1901717782,-0.1905002445,-0.0907756239,8.9078521729,6.2928562164,-48.5003471375
        0.0692930222,        0.1901717782,-0.1905002445,-0.0878459364,8.0991363525,6.2775974274,-48.2256889343
        0.0718619823,        0.1882186532,-0.2056369632,-0.0878459364,8.0991363525,6.2775974274,-48.2256889343
        0.0744409561,        0.1882186532,-0.2056369632,-0.0878459364,7.5955963135,6.0639743805,-47.8289604187
        0.0770139694,        0.1882186532,-0.2056369632,-0.0878459364,7.5955963135,6.0639743805,-47.8289604187
        0.0797021389,        0.1882186532,-0.2080783695,-0.0849162489,6.9852447510,6.0639743805,-48.1951713562
        0.0824091434,        0.1945663095,-0.2080783695,-0.0849162489,6.9852447510,6.0639743805,-48.1951713562
        0.0851099491,        0.1945663095,-0.2080783695,-0.0849162489,5.5661773682,5.7587985992,-47.6458549500
        0.0878190994,        0.1945663095,-0.2080783695,-0.0849162489,5.5661773682,5.7587985992,-47.6458549500
        0.0905230045,        0.1965194345,-0.2119846195,-0.0629435927,4.5285797119,5.9419040680,-47.2033500671
        0.0932240486,        0.1965194345,-0.2119846195,-0.0629435927,4.5285797119,5.9419040680,-47.2033500671
        0.0959291458,        0.1965194345,-0.2119846195,-0.0629435927,3.2621002197,5.7130222321,-47.0049858093
        0.0986261368,        0.1965194345,-0.2119846195,-0.0629435927,3.2621002197,5.7130222321,-47.0049858093
        0.1011910439,        0.1984725595,-0.2124729007,-0.0780803114,-0.6441497803,5.6672458649,-47.0507621765
        0.1037640572,        0.1984725595,-0.2124729007,-0.0780803114,1.9193267822,5.6672458649,-47.0507621765
        0.1063230038,        0.1984725595,-0.2124729007,-0.0780803114,1.9193267822,5.4841403961,-46.6235160828
        0.1090700626,        0.1984725595,-0.2124729007,-0.0780803114,0.7901763916,5.4841403961,-46.6235160828
        0.1117689610,        0.1862655282,-0.2105197757,-0.0722209364,0.7901763916,5.4841403961,-46.1047172546
        0.1145939827,        0.1862655282,-0.2105197757,-0.0722209364,-0.7814788818,5.3468112946,-46.1047172546
        0.1174101830,        0.1862655282,-0.2105197757,-0.0722209364,-0.7814788818,5.3468112946,-46.3030815125
        0.1199991703,        0.1862655282,-0.2149143070,-0.0702678114,-1.4986419678,5.3468112946,-46.3030815125
        0.1225690842,        0.1843124032,-0.2149143070,-0.0702678114,-1.4986419678,5.3468112946,-46.1199760437
        0.1253061295,        0.1843124032,-0.2149143070,-0.0702678114,-1.8801116943,5.4993991852,-46.1199760437
        0.1278920174,        0.1843124032,-0.2149143070,-0.0702678114,-1.8801116943,5.4993991852,-45.9521293640
        0.1305899620,        0.1799178720,-0.2095432132,-0.0678264052,-2.8108978271,5.3925876617,-45.9521293640
        0.1332919598,        0.1799178720,-0.2095432132,-0.0678264052,-2.8108978271,5.3925876617,-45.7385063171
        0.1359879971,        0.1799178720,-0.2095432132,-0.0678264052,-3.8179779053,5.1789646149,-45.7385063171
        0.1387071609,        0.1799178720,-0.2095432132,-0.0678264052,-3.8179779053,5.1789646149,-45.3875541687
        0.1414041519,        0.1857772470,-0.2129611820,-0.0668498427,-5.2675628662,5.9113864899,-45.3875541687
        0.1441011429,        0.1857772470,-0.2129611820,-0.0668498427,-5.2675628662,5.9113864899,-45.3112602234
        0.1468081474,        0.1857772470,-0.2129611820,-0.0668498427,-5.6642913818,6.4912204742,-45.3112602234
        0.1494340897,        0.1857772470,-0.2129611820,-0.0668498427,-5.6642913818,6.4912204742,-45.3112602234
        0.1520011425,        0.1891952157,-0.2095432132,-0.0814982802,-6.7018890381,6.4607028961,-45.2044487000
        0.1545679569,        0.1891952157,-0.2095432132,-0.0814982802,-6.7018890381,6.4607028961,-45.2044487000
        0.1571309566,        0.1891952157,-0.2095432132,-0.0814982802,-6.4577484131,6.1402683258,-44.8534965515
        0.1598460674,        0.1891952157,-0.2095432132,-0.0814982802,-6.4577484131,6.1402683258,-44.8534965515
        0.1624159813,        0.1794295907,-0.1939182132,-0.0663615614,-6.6408538818,6.1860446930,-44.8382377625
        0.1649789810,        0.1794295907,-0.1939182132,-0.0663615614,-6.6408538818,6.1860446930,-44.8382377625
        0.1677350998,        0.1794295907,-0.1939182132,-0.0663615614,-6.4424896240,6.2165622711,-44.5940971375
        0.1703090668,        0.1794295907,-0.1939182132,-0.0902873427,-6.4424896240,6.2165622711,-44.5940971375
        0.1728780270,        0.1823592782,-0.1953830570,-0.0902873427,-6.7934417725,6.2318210602,-44.6703910828
        0.1754460335,        0.1823592782,-0.1953830570,-0.0902873427,-6.7934417725,6.2318210602,-44.6703910828
        0.1781520844,        0.1823592782,-0.1953830570,-0.0902873427,-6.8239593506,6.2013034821,-44.5940971375
        0.1809689999,        0.1823592782,-0.1988010257,-0.0761271864,-6.8239593506,6.2013034821,-44.5940971375
        0.1836671829,        0.1838241220,-0.1988010257,-0.0761271864,-6.8849945068,6.1860446930,-44.7466850281
        0.1863629818,        0.1838241220,-0.1988010257,-0.0761271864,-6.8849945068,6.1860446930,-44.7466850281
        0.1890730858,        0.1838241220,-0.1988010257,-0.0761271864,-6.9155120850,6.2165622711,-44.6551322937
        0.1917741299,        0.1882186532,-0.1856174320,-0.0834514052,-6.9155120850,6.2165622711,-44.6551322937
        0.1944689751,        0.1882186532,-0.1856174320,-0.0834514052,-7.1901702881,6.2013034821,-44.5940971375
        0.1971650124,        0.1882186532,-0.1856174320,-0.0834514052,-7.1901702881,6.2013034821,-44.5940971375
        0.1998770237,        0.1882186532,-0.1856174320,-0.0834514052,-7.4800872803,6.1860446930,-44.7009086609
        0.2025780678,        0.1789413095,-0.1944064945,-0.0688029677,-7.4800872803,6.1860446930,-44.7009086609
        0.2052760124,        0.1789413095,-0.1944064945,-0.0688029677,-8.0599212646,6.2623386383,-45.2349662781
        0.2080340385,        0.1789413095,-0.1944064945,-0.0688029677,-8.0599212646,6.2623386383,-45.2349662781
        0.2107341290,        0.1789413095,-0.1944064945,-0.0590373427,-9.0364837646,6.1860446930,-45.2197074890
        0.2134311199,        0.1965194345,-0.1983127445,-0.0590373427,-9.0364837646,6.1860446930,-45.2197074890
        0.2160961628,        0.1965194345,-0.1983127445,-0.0590373427,-8.8838958740,6.3996677399,-45.2654838562
        0.2187521458,        0.1965194345,-0.1983127445,-0.0590373427,-8.8838958740,6.3996677399,-45.2654838562
        0.2213180065,        0.1965194345,-0.1851291507,-0.0668498427,-8.9754486084,6.5217380524,-45.0823783875
        0.2239811420,        0.1916366220,-0.1851291507,-0.0668498427,-8.9754486084,6.5217380524,-45.0823783875
        0.2269380093,        0.1916366220,-0.1851291507,-0.0668498427,-8.7313079834,6.6438083649,-45.4333305359
        0.2296471596,        0.1916366220,-0.1851291507,-0.0668498427,-8.7313079834,6.6438083649,-45.4333305359
        0.2323451042,        0.1940780282,-0.1880588382,-0.0688029677,-8.9907073975,6.5064792633,-45.4485893250
        0.2350389957,        0.1940780282,-0.1880588382,-0.0688029677,-8.9907073975,6.5064792633,-45.4485893250
        0.2377910614,        0.1940780282,-0.1880588382,-0.0688029677,-8.5939788818,6.4912204742,-45.4333305359
        0.2404930592,        0.1940780282,-0.1880588382,-0.0688029677,-8.5939788818,6.4912204742,-45.4333305359
        0.2431890965,        0.1916366220,-0.1846408695,-0.0590373427,-8.3498382568,6.3844089508,-45.3265190125
        0.2459990978,        0.1916366220,-0.1846408695,-0.0590373427,-8.3498382568,6.3844089508,-45.3265190125
        0.2487120628,        0.1916366220,-0.1846408695,-0.0590373427,-7.2817230225,6.8421726227,-45.5859184265
        0.2514081001,        0.1916366220,-0.1924533695,-0.0634318739,-7.2817230225,6.8421726227,-45.5859184265
