time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,       -0.1732887626,-0.1569314003,-0.0051776711,-2.6887321472,1.3714460135,5.6670904160
        0.0026810169,       -0.1732887626,-0.1569314003,-0.0051776711,-6.5949821472,1.2493757010,5.6213140488
        0.0053610802,       -0.1708473563,-0.1627907753,0.0040996727,-2.9481315613,1.2493757010,5.6213140488
        0.0080449581,       -0.1708473563,-0.1627907753,0.0040996727,-2.9481315613,1.4019635916,5.5297613144
        0.0107250214,       -0.1708473563,-0.1627907753,0.0040996727,-3.2227897644,1.4019635916,5.5297613144
        0.0136110783,       -0.1708473563,-0.1627907753,-0.0066425148,-2.5056266785,1.0052350760,5.6365728378
        0.0163090229,       -0.1708473563,-0.1540017128,-0.0066425148,-2.5056266785,1.0052350760,5.6365728378
        0.0190141201,       -0.1708473563,-0.1540017128,-0.0066425148,-6.4118766785,1.1273053885,6.0027837753
        0.0216960907,       -0.1708473563,-0.1540017128,-0.0066425148,-3.2533073425,1.1273053885,6.0027837753
        0.0243721008,       -0.1708473563,-0.1583962440,-0.0032245461,-3.2533073425,1.2493757010,5.9417486191
        0.0271539688,       -0.1659645438,-0.1583962440,-0.0032245461,-3.4669303894,1.2493757010,5.9417486191
        0.0297150612,       -0.1659645438,-0.1583962440,-0.0032245461,-3.4669303894,1.3256696463,5.8959722519
        0.0322749615,       -0.1659645438,-0.1583962440,-0.0032245461,-3.2075309753,1.3256696463,5.8959722519
        0.0348441601,       -0.1718239188,-0.1544899940,-0.0090839211,-3.2075309753,1.3256696463,5.7891607285
        0.0374410152,       -0.1718239188,-0.1544899940,-0.0090839211,-2.8870964050,1.1273053885,5.7891607285
        0.0401501656,       -0.1718239188,-0.1544899940,-0.0090839211,-2.8870964050,1.1273053885,5.5907964706
        0.0428531170,       -0.1718239188,-0.1544899940,-0.0090839211,-2.9786491394,1.1273053885,5.5907964706
        0.0455541611,       -0.1654762626,-0.1544899940,-0.0017597023,-2.9786491394,1.1273053885,5.7128667831
        0.0481970310,       -0.1654762626,-0.1544899940,-0.0017597023,-3.0091667175,0.8221296072,5.7128667831
        0.0507671833,       -0.1654762626,-0.1544899940,-0.0017597023,-3.0091667175,0.8221296072,5.7128667831
        0.0534901619,       -0.1654762626,-0.1544899940,-0.0017597023,-2.8870964050,0.8984235525,5.8349370956
        0.0560660362,       -0.1728004813,-0.1593728065,-0.0037128273,-2.8870964050,0.8984235525,5.8349370956
        0.0588061810,       -0.1728004813,-0.1593728065,-0.0037128273,-3.2533073425,1.0662702322,5.6518316269
        0.0613780022,       -0.1728004813,-0.1593728065,-0.0037128273,-3.2533073425,1.0662702322,5.6518316269
        0.0639441013,       -0.1728004813,-0.1593728065,-0.0037128273,-3.3143424988,1.2798932791,5.8044195175
        0.0665111542,       -0.1693825126,-0.1574196815,-0.0085956398,-3.3143424988,1.2798932791,5.8044195175
        0.0692451000,       -0.1693825126,-0.1574196815,-0.0085956398,-3.3448600769,1.4477399588,5.9417486191
        0.0719540119,       -0.1693825126,-0.1574196815,-0.0085956398,-3.3448600769,1.4477399588,5.9417486191
        0.0746459961,       -0.1693825126,-0.1544899940,-0.0027362648,-3.2838249207,1.3867048025,5.7891607285
        0.0773451328,       -0.1688942313,-0.1544899940,-0.0027362648,-3.2838249207,1.3867048025,5.7891607285
        0.0799131393,       -0.1688942313,-0.1544899940,-0.0027362648,-3.1617546082,1.5698102713,5.7433843613
        0.0824861526,       -0.1688942313,-0.1544899940,-0.0027362648,-3.1617546082,1.5698102713,5.7433843613
        0.0850491524,       -0.1688942313,-0.1623024940,-0.0032245461,-3.2075309753,1.4324811697,5.5602788925
        0.0876569748,       -0.1674293876,-0.1623024940,-0.0032245461,-3.2075309753,1.4324811697,5.5602788925
        0.0903601646,       -0.1674293876,-0.1623024940,-0.0032245461,-3.4364128113,1.4324811697,5.6670904160
        0.0930581093,       -0.1674293876,-0.1623024940,-0.0032245461,-3.4364128113,1.4324811697,5.6670904160
        0.0957520008,       -0.1737770438,-0.1608376503,-0.0042011086,-2.9023551941,1.2798932791,5.8349370956
        0.0984590054,       -0.1737770438,-0.1608376503,-0.0042011086,-2.9023551941,1.2798932791,5.8349370956
        0.1011569500,       -0.1737770438,-0.1608376503,-0.0042011086,-2.7802848816,0.8831647635,5.2703619003
        0.1038560867,       -0.1737770438,-0.1608376503,-0.0042011086,-2.7802848816,0.8831647635,5.2703619003
        0.1065511703,       -0.1688942313,-0.1564431190,-0.0076190773,-2.8565788269,1.0662702322,5.6060552597
        0.1092500687,       -0.1688942313,-0.1564431190,-0.0076190773,-2.8565788269,1.0662702322,5.6060552597
        0.1119520664,       -0.1688942313,-0.1564431190,-0.0076190773,-2.5514030457,0.6390241385,5.6213140488
        0.1146450043,       -0.1688942313,-0.1564431190,-0.0012714211,-2.5514030457,0.6390241385,5.6213140488
        0.1174581051,       -0.1679176688,-0.1652321815,-0.0012714211,-2.8870964050,1.0052350760,5.3924322128
        0.1201610565,       -0.1679176688,-0.1652321815,-0.0012714211,-2.8870964050,1.0052350760,5.3924322128
        0.1228721142,       -0.1679176688,-0.1652321815,-0.0012714211,-3.4669303894,1.1578229666,5.5450201035
        0.1256201267,       -0.1728004813,-0.1554665565,0.0006817039,-3.4669303894,1.1578229666,5.5450201035
        0.1282601357,       -0.1728004813,-0.1554665565,0.0006817039,-3.3296012878,1.4629987478,5.5297613144
        0.1308240891,       -0.1728004813,-0.1554665565,0.0006817039,-3.3296012878,1.4629987478,5.5297613144
        0.1333899498,       -0.1728004813,-0.1554665565,0.0006817039,-3.3296012878,1.2798932791,5.3008794785
        0.1359550953,       -0.1737770438,-0.1564431190,-0.0017597023,-3.3448600769,1.2798932791,5.3008794785
        0.1386239529,       -0.1737770438,-0.1564431190,-0.0017597023,0.5613899231,0.7916120291,5.1177740097
        0.1413199902,       -0.1737770438,-0.1564431190,-0.0017597023,-2.5056266785,0.7916120291,5.1177740097
        0.1440169811,       -0.1737770438,-0.1564431190,-0.0017597023,-2.5056266785,0.9747174978,5.1940679550
        0.1467039585,       -0.1723122001,-0.1603493690,-0.0051776711,-2.5971794128,0.9747174978,5.1940679550
        0.1494100094,       -0.1723122001,-0.1603493690,-0.0051776711,-2.5971794128,1.2646344900,5.2856206894
        0.1521060467,       -0.1723122001,-0.1603493690,-0.0051776711,-2.7802848816,1.2646344900,5.2856206894
        0.1548061371,       -0.1723122001,-0.1603493690,-0.0051776711,-2.7802848816,0.9289411306,5.1940679550
        0.1575150490,       -0.1732887626,-0.1618142128,0.0036113914,-3.1159782410,0.9289411306,5.1940679550
        0.1600770950,       -0.1732887626,-0.1618142128,0.0036113914,-3.1159782410,0.9289411306,5.3466558456
        0.1626410484,       -0.1732887626,-0.1618142128,0.0036113914,-2.8565788269,1.1730817556,5.3466558456
        0.1652071476,       -0.1732887626,-0.1618142128,0.0075176414,-2.8565788269,1.1730817556,5.3313970566
        0.1678891182,       -0.1762184501,-0.1618142128,0.0075176414,-3.1617546082,1.2646344900,5.3313970566
        0.1704599857,       -0.1762184501,-0.1618142128,0.0075176414,-3.1617546082,1.2646344900,5.3313970566
        0.1730241776,       -0.1762184501,-0.1618142128,0.0075176414,-2.9481315613,1.3104108572,5.1025152206
        0.1755909920,       -0.1762184501,-0.1618142128,-0.0022479836,-2.9481315613,1.3104108572,5.1025152206
        0.1782779694,       -0.1674293876,-0.1618142128,-0.0022479836,-2.8565788269,1.2646344900,5.3771734238
        0.1809501648,       -0.1674293876,-0.1618142128,-0.0022479836,-2.8565788269,1.2646344900,5.3771734238
        0.1835210323,       -0.1674293876,-0.1618142128,-0.0022479836,-3.1770133972,1.5850690603,5.4076910019
        0.1860811710,       -0.1674293876,-0.1549782753,-0.0061542336,-3.1770133972,1.5850690603,5.4076910019
        0.1888010502,       -0.1664528251,-0.1549782753,-0.0061542336,-2.9633903503,1.2035993338,5.5297613144
        0.1915011406,       -0.1664528251,-0.1549782753,-0.0061542336,-2.9633903503,1.2035993338,5.5297613144
        0.1941990852,       -0.1664528251,-0.1549782753,-0.0061542336,-2.7345085144,0.9899762869,5.5755376816
        0.1969029903,       -0.1757301688,-0.1569314003,0.0089824852,-2.7345085144,0.9899762869,5.5755376816
        0.1995999813,       -0.1757301688,-0.1569314003,0.0089824852,-2.5056266785,1.1730817556,5.0567388535
        0.2023019791,       -0.1757301688,-0.1569314003,0.0089824852,-2.5056266785,1.1730817556,5.0567388535
        0.2049989700,       -0.1757301688,-0.1569314003,0.0089824852,-2.1088981628,0.9747174978,4.9194097519
        0.2077541351,       -0.1742653251,-0.1564431190,-0.0066425148,-2.1088981628,0.9747174978,4.9194097519
        0.2104520798,       -0.1742653251,-0.1564431190,-0.0066425148,-2.5666618347,1.3714460135,5.4687261581
        0.2131450176,       -0.1742653251,-0.1564431190,-0.0066425148,-2.5666618347,1.3714460135,5.4687261581
        0.2158420086,       -0.1742653251,-0.1564431190,0.0050762352,-2.1546745300,1.0662702322,5.2398443222
        0.2185521126,       -0.1801247001,-0.1535134315,0.0050762352,-2.1546745300,1.0662702322,5.2398443222
        0.2211720943,       -0.1801247001,-0.1535134315,0.0050762352,-2.5666618347,1.0357526541,4.9346685410
        0.2237470150,       -0.1801247001,-0.1535134315,0.0050762352,-2.5666618347,1.0357526541,4.9346685410
        0.2263131142,       -0.1801247001,-0.1535134315,-0.0017597023,-2.4445915222,0.9136823416,5.1940679550
        0.2289669514,       -0.1698707938,-0.1535134315,-0.0017597023,-2.4445915222,0.9136823416,5.1940679550
        0.2315320969,       -0.1698707938,-0.1535134315,-0.0017597023,-1.5900993347,0.6237653494,5.0109624863
        0.2340910435,       -0.1698707938,-0.1535134315,-0.0017597023,-1.5900993347,0.6237653494,5.0109624863
        0.2370631695,       -0.1684059501,-0.1540017128,-0.0085956398,-2.4751091003,0.7763532400,5.3161382675
        0.2397730350,       -0.1684059501,-0.1540017128,-0.0085956398,-2.4751091003,0.7763532400,5.3161382675
        0.2424759865,       -0.1684059501,-0.1540017128,-0.0085956398,-2.5819206238,0.7610944510,5.2245855331
        0.2452809811,       -0.1684059501,-0.1540017128,-0.0085956398,-2.5819206238,0.7610944510,5.2245855331
        0.2479970455,       -0.1732887626,-0.1579079628,-0.0056659523,-2.6887321472,0.7153180838,5.2551031113
        0.2506980896,       -0.1732887626,-0.1579079628,-0.0056659523,-2.6887321472,0.7153180838,5.2551031113
        0.2534010410,       -0.1732887626,-0.1579079628,-0.0056659523,-3.0091667175,1.1120465994,5.5450201035
        0.2560989857,       -0.1732887626,-0.1579079628,-0.0002948586,-3.0091667175,1.1120465994,5.5450201035
        0.2588071823,       -0.1771950126,-0.1579079628,-0.0002948586,-3.1617546082,1.3409284353,5.2551031113
        0.2615120411,       -0.1771950126,-0.1579079628,-0.0002948586,-3.1617546082,1.3409284353,5.2551031113
        0.2642130852,       -0.1771950126,-0.1579079628,-0.0002948586,-2.9786491394,1.2798932791,5.3466558456
        0.2669250965,       -0.1771950126,-0.1593728065,-0.0017597023,-2.9786491394,1.2798932791,5.3466558456
        0.2694890499,       -0.1762184501,-0.1593728065,-0.0017597023,-2.9786491394,1.4477399588,5.4992437363
        0.2720520496,       -0.1762184501,-0.1593728065,-0.0017597023,-3.2533073425,1.4477399588,5.4992437363
        0.2752130032,       -0.1762184501,-0.1593728065,-0.0017597023,-3.0091667175,1.4477399588,5.1788091660
        0.2778661251,       -0.1732887626,-0.1593728065,0.0006817039,-3.0091667175,1.4477399588,5.1788091660
        0.2804319859,       -0.1732887626,-0.1593728065,0.0006817039,-2.3072624207,1.1883405447,5.0414800644
        0.2829949856,       -0.1732887626,-0.1593728065,0.0006817039,-2.3072624207,1.1883405447,5.0414800644
        0.2855541706,       -0.1732887626,-0.1593728065,0.0006817039,-2.3072624207,0.9289411306,5.3313970566
        0.2881200314,       -0.1669411063,-0.1554665565,-0.0017597023,-2.4751091003,0.9289411306,5.3313970566
        0.2906820774,       -0.1669411063,-0.1554665565,-0.0017597023,-2.4751091003,0.9289411306,5.3619146347
        0.2932431698,       -0.1669411063,-0.1554665565,-0.0017597023,-2.8260612488,1.1120465994,5.3619146347
        0.2958049774,       -0.1669411063,-0.1554665565,-0.0017597023,-2.8260612488,1.1120465994,5.3619146347
        0.2983729839,       -0.1752418876,-0.1574196815,0.0006817039,-2.4598503113,0.7610944510,5.2093267441
        0.3009381294,       -0.1752418876,-0.1574196815,0.0006817039,-2.4598503113,0.7610944510,5.2093267441
        0.3034989834,       -0.1752418876,-0.1574196815,0.0006817039,-2.3072624207,0.7458356619,4.9804449081
        0.3060619831,       -0.1752418876,-0.1574196815,0.0006817039,-2.3072624207,0.7458356619,4.9804449081
        0.3087890148,       -0.1708473563,-0.1554665565,0.0001934227,-2.5361442566,1.0510114431,5.2856206894
        0.3113560677,       -0.1708473563,-0.1554665565,0.0001934227,-2.5361442566,1.0510114431,5.2856206894
        0.3139159679,       -0.1708473563,-0.1554665565,0.0001934227,-2.8718376160,0.8068708181,5.3771734238
        0.3164811134,       -0.1708473563,-0.1554665565,0.0001934227,-2.8718376160,0.8068708181,5.3771734238
        0.3191821575,       -0.1698707938,-0.1554665565,-0.0085956398,-2.5208854675,0.8679059744,5.5145025253
        0.3217461109,       -0.1698707938,-0.1554665565,-0.0085956398,-2.5208854675,0.8679059744,5.5145025253
        0.3243069649,       -0.1698707938,-0.1554665565,-0.0085956398,-3.4364128113,1.0815290213,5.4992437363
        0.3269660473,       -0.1698707938,-0.1554665565,-0.0144550148,-3.4364128113,1.0815290213,5.4992437363
        0.3295350075,       -0.1728004813,-0.1627907753,-0.0144550148,-2.6734733582,1.0204938650,5.3161382675
        0.3320980072,       -0.1728004813,-0.1627907753,-0.0144550148,-2.6734733582,1.0204938650,5.3161382675
        0.3346610069,       -0.1728004813,-0.1627907753,-0.0144550148,-6.5797233582,1.2188581228,5.5602788925
        0.3372299671,       -0.1728004813,-0.1627907753,-0.0042011086,-3.0854606628,1.2188581228,5.5602788925
        0.3397951126,       -0.1732887626,-0.1593728065,-0.0042011086,-3.0854606628,1.2188581228,5.4534673691
        0.3423571587,       -0.1732887626,-0.1593728065,-0.0042011086,-3.0396842957,1.3256696463,5.4534673691
        0.3449189663,       -0.1732887626,-0.1593728065,-0.0042011086,-3.0396842957,1.3256696463,5.6518316269
        0.3475611210,       -0.1732887626,-0.1583962440,0.0040996727,-2.8870964050,1.2035993338,5.6518316269
        0.3502631187,       -0.1767067313,-0.1583962440,0.0040996727,-2.8870964050,1.2035993338,5.5755376816
        0.3529579639,       -0.1767067313,-0.1583962440,0.0040996727,-2.7039909363,0.9289411306,5.5755376816
        0.3556511402,       -0.1767067313,-0.1583962440,0.0040996727,-2.7039909363,0.9289411306,5.5755376816
        0.3582999706,       -0.1669411063,-0.1608376503,-0.0105487648,-2.9481315613,1.2035993338,5.6060552597
        0.3608679771,       -0.1669411063,-0.1608376503,-0.0105487648,-2.9481315613,1.2035993338,5.6060552597
        0.3634359837,       -0.1669411063,-0.1608376503,-0.0105487648,-3.1922721863,1.1120465994,5.5907964706
        0.3660011292,       -0.1669411063,-0.1608376503,-0.0105487648,-3.1922721863,1.1120465994,5.5907964706
        0.3686671257,       -0.1752418876,-0.1559548378,0.0050762352,-3.1922721863,1.2035993338,5.6213140488
        0.3714661598,       -0.1752418876,-0.1559548378,0.0050762352,-3.1922721863,1.2035993338,5.6213140488
        0.3741710186,       -0.1752418876,-0.1559548378,0.0050762352,-2.7955436707,1.4324811697,5.6823492050
        0.3768739700,       -0.1752418876,-0.1559548378,0.0050762352,-2.7955436707,1.4324811697,5.6823492050
        0.3795740604,       -0.1757301688,-0.1598610878,-0.0066425148,-2.3835563660,1.0510114431,6.0027837753
        0.3822729588,       -0.1757301688,-0.1598610878,-0.0066425148,-2.3835563660,1.0510114431,6.0027837753
        0.3850560188,       -0.1757301688,-0.1598610878,-0.0066425148,-2.3530387878,0.9441999197,5.6670904160
        0.3880770206,       -0.1757301688,-0.1598610878,-0.0022479836,-2.3530387878,0.9441999197,5.6670904160
        0.3907811642,       -0.1718239188,-0.1598610878,-0.0022479836,-3.0396842957,1.0662702322,5.6365728378
        0.3934800625,       -0.1718239188,-0.1598610878,-0.0022479836,-3.0396842957,1.0662702322,5.6365728378
        0.3961789608,       -0.1718239188,-0.1598610878,-0.0022479836,-3.2075309753,1.1120465994,5.4229497910
        0.3989210129,       -0.1684059501,-0.1583962440,-0.0046893898,-3.2075309753,1.1120465994,5.4229497910
        0.4016211033,       -0.1684059501,-0.1583962440,-0.0046893898,-3.3143424988,1.3104108572,5.4687261581
        0.4043159485,       -0.1684059501,-0.1583962440,-0.0046893898,-3.3143424988,1.3104108572,5.4687261581
        0.4070620537,       -0.1684059501,-0.1583962440,-0.0046893898,-3.3296012878,1.3409284353,5.7739019394
        0.4096269608,       -0.1684059501,-0.1598610878,-0.0032245461,-3.3296012878,1.3409284353,5.7739019394
        0.4121921062,       -0.1684059501,-0.1598610878,-0.0032245461,-2.9633903503,1.1120465994,5.5907964706
        0.4147610664,       -0.1684059501,-0.1598610878,-0.0032245461,-2.9633903503,1.1120465994,5.5907964706
        0.4173581600,       -0.1684059501,-0.1598610878,-0.0032245461,-2.8108024597,1.0204938650,5.5145025253
        0.4199249744,       -0.1688942313,-0.1535134315,-0.0056659523,-2.8108024597,1.0204938650,5.5145025253
        0.4224920273,       -0.1688942313,-0.1535134315,-0.0056659523,-3.2227897644,1.4324811697,5.5450201035
        0.4250600338,       -0.1688942313,-0.1535134315,-0.0056659523,-3.2227897644,1.4324811697,5.5450201035
        0.4276349545,       -0.1688942313,-0.1535134315,-0.0056659523,-3.2075309753,1.3561872244,5.4687261581
        0.4302060604,       -0.1713356376,-0.1574196815,0.0006817039,-3.2075309753,1.3561872244,5.4687261581
        0.4327690601,       -0.1713356376,-0.1574196815,0.0006817039,-3.2075309753,1.5698102713,5.6365728378
        0.4353411198,       -0.1713356376,-0.1574196815,0.0006817039,-3.1770133972,1.5698102713,5.6365728378
        0.4381439686,       -0.1713356376,-0.1574196815,-0.0115253273,-3.1770133972,1.3409284353,5.6365728378
        0.4407141209,       -0.1698707938,-0.1505837440,-0.0115253273,-3.5127067566,1.3409284353,5.6365728378
        0.4432830811,       -0.1698707938,-0.1505837440,-0.0115253273,-3.5127067566,1.3409284353,5.6670904160
        0.4458560944,       -0.1698707938,-0.1505837440,-0.0115253273,-3.2380485535,1.1578229666,5.6670904160
        0.4486570358,       -0.1698707938,-0.1583962440,0.0094707664,-3.2380485535,5.0640730858,5.5755376816
        0.4513590336,       -0.1771950126,-0.1583962440,0.0094707664,-3.5737419128,1.4782575369,5.5755376816
        0.4540569782,       -0.1771950126,-0.1583962440,0.0094707664,-3.5737419128,-2.4279923439,5.6518316269
        0.4567611217,       -0.1771950126,-0.1583962440,0.0094707664,-3.3601188660,1.3714460135,5.6518316269
