time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,       -0.0453066230,-0.1347736120,-0.0119614601,0.5921326876,1.1083788872,-6.0894064903
        0.0031402111,       -0.0438417792,-0.1406329870,-0.0119614601,0.5158387423,1.2762255669,-6.1962180138
        0.0058391094,       -0.0438417792,-0.1406329870,-0.0119614601,0.5158387423,1.2762255669,-6.1962180138
        0.0084421635,       -0.0438417792,-0.1406329870,-0.0119614601,0.9430848360,1.0931200981,-5.9368185997
        0.0110030174,       -0.0414003730,-0.1440509558,-0.0187973976,0.9430848360,1.0931200981,-5.9368185997
        0.0135622025,       -0.0414003730,-0.1440509558,-0.0187973976,0.5616151094,1.1083788872,-5.8147482872
        0.0161180496,       -0.0414003730,-0.1440509558,-0.0187973976,0.5616151094,1.1083788872,-5.8147482872
        0.0190172195,       -0.0414003730,-0.1440509558,-0.0187973976,0.5616151094,1.1846728325,-5.9063010216
        0.0215911865,       -0.0477480292,-0.1469806433,-0.0212388039,0.5616151094,1.1846728325,-5.9063010216
        0.0241482258,       -0.0477480292,-0.1469806433,-0.0212388039,0.5616151094,1.3220019341,-5.2959494591
        0.0267190933,       -0.0477480292,-0.1469806433,-0.0212388039,0.5616151094,1.3220019341,-5.2959494591
        0.0293171406,       -0.0477480292,-0.1469806433,-0.0212388039,0.0275575072,1.1083788872,-5.2501730919
        0.0318720341,       -0.0438417792,-0.1362384558,-0.0153794289,0.0275575072,1.1083788872,-5.2501730919
        0.0344390869,       -0.0438417792,-0.1362384558,-0.0153794289,0.4242860079,1.0473437309,-5.6774191856
        0.0371370316,       -0.0438417792,-0.1362384558,-0.0153794289,0.4242860079,1.0473437309,-5.6774191856
        0.0398020744,       -0.0438417792,-0.1362384558,-0.0153794289,0.3479920626,1.0015673637,-5.7689719200
        0.0424711704,       -0.0516542792,-0.1420978308,-0.0197739601,0.3479920626,1.0015673637,-5.7689719200
        0.0451350212,       -0.0516542792,-0.1420978308,-0.0197739601,0.6226502657,0.8947558403,-5.7384543419
        0.0478191376,       -0.0516542792,-0.1420978308,-0.0197739601,0.6226502657,0.8947558403,-5.7384543419
        0.0505239964,       -0.0516542792,-0.1420978308,-0.0119614601,0.4090272188,0.8337206841,-5.6163840294
        0.0534009933,       -0.0555605292,-0.1474689245,-0.0119614601,0.4090272188,0.8337206841,-5.6163840294
        0.0561091900,       -0.0555605292,-0.1474689245,-0.0119614601,0.4395447969,1.2304491997,-5.5553488731
        0.0586922169,       -0.0555605292,-0.1474689245,-0.0119614601,0.4395447969,1.2304491997,-5.5553488731
        0.0612621307,       -0.0555605292,-0.1455157995,-0.0173325539,0.4395447969,0.9252734184,-5.5400900841
        0.0638360977,       -0.0477480292,-0.1455157995,-0.0173325539,1.3245545626,0.9252734184,-5.5400900841
        0.0665302277,       -0.0477480292,-0.1455157995,-0.0173325539,1.3245545626,0.9557909966,-5.5248312950
        0.0691041946,       -0.0477480292,-0.1455157995,-0.0173325539,0.5005799532,0.9557909966,-5.5248312950
        0.0716831684,       -0.0457949042,-0.1420978308,-0.0173325539,0.5005799532,0.9557909966,-5.6011252403
        0.0742490292,       -0.0457949042,-0.1420978308,-0.0173325539,0.2259217650,0.7726855278,-5.6011252403
        0.0769991875,       -0.0457949042,-0.1420978308,-0.0173325539,0.2259217650,0.7726855278,-5.2654318810
        0.0796780586,       -0.0457949042,-0.1420978308,-0.0173325539,0.2564393282,1.0931200981,-5.2654318810
        0.0823562145,       -0.0487245917,-0.1401447058,-0.0231919289,0.2564393282,1.0931200981,-5.2959494591
        0.0850391388,       -0.0487245917,-0.1401447058,-0.0231919289,0.0885926634,1.0931200981,-5.2959494591
        0.0877301693,       -0.0487245917,-0.1401447058,-0.0231919289,0.0885926634,1.0931200981,-5.2196555138
        0.0904061794,       -0.0487245917,-0.1401447058,-0.0231919289,-0.5065001249,1.2457079887,-5.2196555138
        0.0930891037,       -0.0448183417,-0.1401447058,-0.0222153664,-0.5065001249,1.2457079887,-5.3112082481
        0.0957670212,       -0.0448183417,-0.1401447058,-0.0222153664,-0.5217589140,1.3220019341,-5.3112082481
        0.0984489918,       -0.0448183417,-0.1401447058,-0.0222153664,-0.5217589140,1.3220019341,-5.2806906700
        0.1012930870,       -0.0448183417,-0.1357501745,-0.0114731789,-0.5217589140,0.9863085747,-5.2806906700
        0.1039881706,       -0.0477480292,-0.1357501745,-0.0114731789,-0.5217589140,0.9863085747,-5.3417258263
        0.1066970825,       -0.0477480292,-0.1357501745,-0.0114731789,-0.1402891725,1.0626025200,-5.3417258263
        0.1093962193,       -0.0477480292,-0.1357501745,-0.0114731789,-0.1402891725,1.0626025200,-5.2959494591
        0.1120941639,       -0.0428652167,-0.1333087683,-0.0202622414,-0.0792540163,1.1694140434,-5.2959494591
        0.1147971153,       -0.0428652167,-0.1333087683,-0.0202622414,-0.0792540163,1.1694140434,-5.0823264122
        0.1176440716,       -0.0428652167,-0.1333087683,-0.0202622414,-0.3539122343,1.1694140434,-5.0823264122
        0.1202170849,       -0.0428652167,-0.1333087683,-0.0202622414,-0.3539122343,1.1694140434,-8.9885768890
        0.1227850914,       -0.0389589667,-0.1411212683,-0.0129380226,-0.2013243288,1.0473437309,-5.2196555138
