time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,       -0.1499041319,-0.1278020442,-0.0092233252,-0.1648484170,1.3227781057,-0.0040977299
        0.0025558472,       -0.1499041319,-0.1278020442,-0.0092233252,0.1403273642,1.1701902151,-0.0040977299
        0.0051159859,       -0.1513689756,-0.1243840754,-0.0170358252,0.1403273642,1.1701902151,-0.0498740971
        0.0076599121,       -0.1513689756,-0.1243840754,-0.0170358252,0.0792922080,0.9718259573,-0.0498740971
        0.0102229118,       -0.1513689756,-0.1243840754,-0.0170358252,0.0792922080,0.9718259573,-0.0498740971
        0.0127758980,       -0.1513689756,-0.1243840754,-0.0170358252,-0.6226121187,1.3532956839,0.0264198482
        0.0153269768,       -0.1542986631,-0.1278020442,-0.0106881689,-0.6226121187,1.3532956839,0.0264198482
        0.0180449486,       -0.1542986631,-0.1278020442,-0.0106881689,-0.7904587984,1.2617429495,0.1179725826
        0.0206079483,       -0.1542986631,-0.1278020442,-0.0106881689,-0.7904587984,1.2617429495,0.1179725826
        0.0231728554,       -0.1542986631,-0.1278020442,-0.0106881689,-0.3937302530,1.3075193167,0.3773719966
        0.0257408619,       -0.1503924131,-0.1238957942,0.0034719873,-0.3937302530,1.3075193167,0.3773719966
        0.0283939838,       -0.1503924131,-0.1238957942,0.0034719873,-0.3021775186,1.4448484182,0.5909950733
        0.0309660435,       -0.1503924131,-0.1238957942,0.0034719873,-0.3021775186,1.4448484182,0.5909950733
        0.0335240364,       -0.1503924131,-0.1238957942,0.0034719873,-0.6683884859,1.4601072073,0.2553016841
        0.0360908508,       -0.1494158506,-0.1248723567,-0.0116647314,-0.6683884859,1.4601072073,0.2553016841
        0.0388288498,       -0.1494158506,-0.1248723567,-0.0116647314,-0.1495896280,1.3685544729,0.0721962154
        0.0414910316,       -0.1494158506,-0.1248723567,-0.0116647314,-0.1495896280,1.3685544729,0.0721962154
        0.0441548824,       -0.1494158506,-0.1248723567,-0.0131295752,-0.3784714639,1.5669187307,0.2247841060
        0.0468149185,       -0.1503924131,-0.1278020442,-0.0131295752,-0.3784714639,1.5669187307,0.2247841060
        0.0495250225,       -0.1503924131,-0.1278020442,-0.0131295752,-0.6073533297,1.4753659964,0.3621132076
        0.0523939133,       -0.1503924131,-0.1278020442,-0.0131295752,-0.6073533297,1.4753659964,0.3621132076
        0.0550909042,       -0.1528338194,-0.1268254817,-0.0028756689,-0.3174363077,1.6126950979,0.3468544185
        0.0578389168,       -0.1528338194,-0.1268254817,-0.0028756689,-0.3174363077,1.6126950979,0.3468544185
        0.0605430603,       -0.1528338194,-0.1268254817,-0.0028756689,-0.3326950967,1.6279538870,0.4689247310
        0.0632350445,       -0.1528338194,-0.1268254817,-0.0028756689,-0.3326950967,1.6279538870,0.4689247310
        0.0659358501,       -0.1562517881,-0.1292668879,-0.0053170752,-0.6531296968,1.6432126760,0.2553016841
        0.0687508583,       -0.1562517881,-0.1292668879,-0.0053170752,-0.6531296968,1.6432126760,0.2553016841
        0.0714490414,       -0.1562517881,-0.1292668879,-0.0053170752,-0.5158005953,1.8415769339,0.2858192623
        0.0741529465,       -0.1562517881,-0.1292668879,-0.0043405127,-0.5158005953,1.8415769339,0.2858192623
        0.0768470764,       -0.1538103819,-0.1253606379,-0.0043405127,-0.2106247842,1.7195066214,0.3315956295
        0.0795588493,       -0.1538103819,-0.1253606379,-0.0043405127,-0.2106247842,1.7195066214,0.3315956295
        0.0822658539,       -0.1538103819,-0.1253606379,-0.0043405127,-0.3326950967,1.7500241995,0.3315956295
        0.0853390694,       -0.1503924131,-0.1268254817,-0.0053170752,-0.3326950967,1.7500241995,0.3315956295
        0.0884840488,       -0.1503924131,-0.1268254817,-0.0053170752,-0.3632126749,1.5058835745,0.3163368404
        0.0911848545,       -0.1503924131,-0.1268254817,-0.0053170752,-0.3632126749,1.5058835745,0.3163368404
        0.0938830376,       -0.1503924131,-0.1268254817,-0.0053170752,-0.2258835733,1.3838132620,0.2553016841
        0.0965869427,       -0.1552752256,-0.1273137629,-0.0018991064,-0.2258835733,1.3838132620,0.2553016841
        0.0992958546,       -0.1552752256,-0.1273137629,-0.0018991064,-0.1801072061,1.2770017385,0.3468544185
        0.1019868851,       -0.1552752256,-0.1273137629,-0.0018991064,-0.1801072061,1.2770017385,0.3468544185
        0.1046910286,       -0.1552752256,-0.1273137629,0.0010305811,-0.4395066202,1.2922605276,0.3621132076
        0.1073870659,       -0.1464861631,-0.1278020442,0.0010305811,-0.4395066202,1.2922605276,0.3621132076
        0.1101059914,       -0.1464861631,-0.1278020442,0.0010305811,-0.4242478311,1.2617429495,0.0874550045
        0.1127998829,       -0.1464861631,-0.1278020442,0.0010305811,-0.4242478311,1.2617429495,0.0874550045
        0.1155018806,       -0.1538103819,-0.1268254817,-0.0111764502,-0.8209763765,1.2312253714,0.0416786373
        0.1182980537,       -0.1538103819,-0.1268254817,-0.0111764502,-0.8209763765,1.2312253714,0.0416786373
        0.1208648682,       -0.1538103819,-0.1268254817,-0.0111764502,-0.1953659952,1.8568357229,0.0569374263
        0.1234309673,       -0.1538103819,-0.1268254817,-0.0111764502,-0.1953659952,1.8568357229,0.0569374263
        0.1260030270,       -0.1494158506,-0.1238957942,-0.0053170752,0.0335158408,1.6584714651,0.1027137935
        0.1286258698,       -0.1494158506,-0.1238957942,-0.0053170752,0.0335158408,1.6584714651,0.1027137935
