time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,        0.0865923762,-0.1472338289,-0.0879199505,-2.1605386734,3.9913134575,-32.1594161987
        0.0037968159,        0.0865923762,-0.1472338289,-0.0879199505,-2.0689859390,3.9150195122,-32.5103683472
        0.0063660145,        0.0865923762,-0.1472338289,-0.0879199505,-2.0689859390,3.9150195122,-32.5103683472
        0.0089359283,        0.0865923762,-0.1472338289,-0.0747363567,-2.0689859390,3.6708788872,-33.0139083862
        0.0115308762,        0.0914751887,-0.1521166414,-0.0747363567,-1.6569986343,3.6708788872,-33.0139083862
        0.0140888691,        0.0914751887,-0.1521166414,-0.0747363567,-1.6569986343,3.6708788872,-33.0291671753
        0.0166409016,        0.0914751887,-0.1521166414,-0.0747363567,-1.7943277359,3.6556200981,-33.0291671753
        0.0192339420,        0.0914751887,-0.1584642977,-0.0830371380,-1.7943277359,3.6556200981,-32.6019210815
        0.0217838287,        0.0841509700,-0.1584642977,-0.0830371380,-1.7943277359,4.0370898247,-32.6019210815
        0.0243320465,        0.0841509700,-0.1584642977,-0.0830371380,-1.7943277359,4.0370898247,-32.6019210815
        0.0268869400,        0.0841509700,-0.1584642977,-0.0830371380,-1.4433755875,3.9607958794,-32.5714035034
        0.0294549465,        0.0841509700,-0.1535814852,-0.0664355755,-1.4433755875,3.9607958794,-32.5714035034
        0.0320079327,        0.0778033137,-0.1535814852,-0.0664355755,-1.6569986343,3.9607958794,-32.8460617065
        0.0345649719,        0.0778033137,-0.1535814852,-0.0664355755,-1.6569986343,3.9607958794,-32.8460617065
        0.0371270180,        0.0778033137,-0.1535814852,-0.0664355755,-1.7638101578,3.8234667778,-32.9223556519
        0.0397088528,        0.0778033137,-0.1579760164,-0.0874316692,-1.7638101578,3.8234667778,-32.9223556519
        0.0422718525,        0.0802447200,-0.1579760164,-0.0874316692,-1.9163980484,3.8845019341,-32.8765792847
        0.0449118614,        0.0802447200,-0.1579760164,-0.0874316692,-1.9163980484,3.8845019341,-32.8765792847
        0.0476830006,        0.0802447200,-0.1579760164,-0.0874316692,-2.0384683609,3.9455370903,-33.1512374878
        0.0502610207,        0.0729205012,-0.1609057039,-0.0796191692,-2.0384683609,3.9455370903,-33.1512374878
        0.0529818535,        0.0729205012,-0.1609057039,-0.0796191692,-2.6488199234,4.2354540825,-33.3953781128
        0.0555539131,        0.0729205012,-0.1609057039,-0.0796191692,-2.6488199234,4.2354540825,-33.3953781128
        0.0585038662,        0.0729205012,-0.1609057039,-0.0796191692,-2.4046792984,4.3270068169,-33.0291671753
        0.0616559982,        0.0807330012,-0.1574877352,-0.0791308880,-2.4046792984,4.3270068169,-33.0291671753
        0.0643579960,        0.0807330012,-0.1574877352,-0.0791308880,-2.5267496109,4.0065722466,-32.3882980347
        0.0670559406,        0.0807330012,-0.1574877352,-0.0791308880,-2.5267496109,4.0065722466,-32.3882980347
        0.0697648525,        0.0807330012,-0.1667650789,-0.0859668255,-2.6945962906,3.9455370903,-32.5103683472
        0.0724630356,        0.0802447200,-0.1667650789,-0.0859668255,-2.6945962906,3.9455370903,-32.5103683472
        0.0751609802,        0.0802447200,-0.1667650789,-0.0859668255,-2.7861490250,4.0981249809,-32.6019210815
        0.0778779984,        0.0802447200,-0.1667650789,-0.0859668255,-2.7861490250,4.0981249809,-32.6019210815
        0.0804388523,        0.0812212825,-0.1638353914,-0.0840137005,-2.7861490250,4.2354540825,-32.4035568237
        0.0829989910,        0.0812212825,-0.1638353914,-0.0840137005,-2.7861490250,4.2354540825,-32.4035568237
        0.0855629444,        0.0812212825,-0.1638353914,-0.0840137005,-2.8777017593,4.0218310356,-32.0373458862
        0.0881419182,        0.0812212825,-0.1638353914,-0.0840137005,-2.8777017593,4.0218310356,-32.0373458862
        0.0907449722,        0.0865923762,-0.1677416414,-0.0820605755,-3.1981363297,4.1896777153,-32.0373458862
        0.0933158398,        0.0865923762,-0.1677416414,-0.0820605755,-3.1981363297,4.1896777153,-32.0373458862
        0.0958869457,        0.0865923762,-0.1677416414,-0.0820605755,-3.1981363297,4.1744189262,-31.9305343628
        0.0986468792,        0.0865923762,-0.1677416414,-0.0820605755,-2.8319253922,4.1744189262,-31.9305343628
        0.1013069153,        0.0802447200,-0.1692064852,-0.0810840130,-2.8319253922,4.0218310356,-31.9610519409
        0.1047270298,        0.0802447200,-0.1692064852,-0.0810840130,-2.9234781265,4.0218310356,-31.9610519409
        0.1073608398,        0.0802447200,-0.1692064852,-0.0810840130,-2.9234781265,3.8845019341,-32.1136398315
        0.1099359989,        0.0802447200,-0.1692064852,-0.0781543255,-2.9234781265,3.8845019341,-32.1136398315
        0.1124968529,        0.0782915950,-0.1648119539,-0.0781543255,-3.3659830093,4.1744189262,-31.5185470581
        0.1150679588,        0.0782915950,-0.1648119539,-0.0781543255,-3.3659830093,4.1744189262,-31.5185470581
        0.1177968979,        0.0782915950,-0.1648119539,-0.0781543255,-3.3659830093,4.6016650200,-31.4117355347
        0.1203639507,        0.0782915950,-0.1638353914,-0.0727832317,-3.4880533218,4.6016650200,-31.4117355347
        0.1229250431,        0.0787798762,-0.1638353914,-0.0727832317,-3.4880533218,4.6016650200,-31.5948410034
        0.1254889965,        0.0787798762,-0.1638353914,-0.0727832317,-3.4270181656,4.6474413872,-31.5948410034
